,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot_Creating_Action,Shot_Creating_Action_per90,Pass_Live_Shot,Pass_Dead_Shot,Take_Ons_Shot,Shot-Shot,Fouls_drawn_Shot,Defensive_Shot,Goal_Creating_Action,Goal_Creating_Action_90,Pass_Live_Goal,Pass_Dead_Goal,Take_Ons_Goal,Shot_Goal,Fouls_Drawn_Goal,Defensive_Goal,Matches
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,64,2.30,34,23,4,2,1,0,5,0.18,3,1,1,0,0,0,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,64,1.78,47,2,6,3,4,2,3,0.08,2,0,0,0,1,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,23,0.82,16,0,1,4,2,0,1,0.04,1,0,0,0,0,0,Matches
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,4,2.29,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,53,2.63,30,16,1,3,1,2,4,0.20,2,1,0,1,0,0,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,18,2.60,11,0,1,1,4,1,2,0.29,1,0,0,0,1,0,Matches
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,13,0.69,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0,Matches
7,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,10,1.35,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,37,1.05,34,0,0,2,1,0,5,0.14,5,0,0,0,0,0,Matches
10,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,29,2.35,18,0,4,3,3,1,6,0.49,3,0,1,0,2,0,Matches
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,10.6,19,1.79,14,1,0,2,2,0,2,0.19,1,0,0,0,1,0,Matches
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,21,2.53,18,0,0,1,2,0,5,0.60,4,0,0,0,1,0,Matches
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,7,3.35,4,0,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
15,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,1,0.39,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Amine Adli,ma MAR,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,45,3.97,29,5,5,2,2,2,7,0.62,3,1,2,1,0,0,Matches
18,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
