,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1870,89,529,848,515,41,1869,38,16,42.1,22,57.9,830,4462,2433,60,41,10,31,15,994,89,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,2144,159,763,868,536,43,2144,99,48,48.5,51,51.5,1259,7858,4066,92,61,21,54,31,1253,151,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1854,194,1052,768,51,29,1854,26,20,76.9,6,23.1,1031,5773,3542,21,12,0,15,5,1216,6,Matches
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,63,1,8,24,33,7,63,5,2,40.0,3,60.0,29,164,75,2,2,1,7,0,36,10,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1159,14,163,766,249,17,1159,23,16,69.6,7,30.4,650,3350,1494,25,24,3,24,21,754,42,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,195,7,14,100,86,20,195,19,13,68.4,6,31.6,108,680,346,12,4,5,26,7,144,33,Matches
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,1075,93,456,550,76,10,1075,9,7,77.8,2,22.2,561,3169,1737,18,16,1,6,3,610,12,Matches
7,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,722,30,60,337,334,146,722,35,16,45.7,19,54.3,333,1698,749,31,17,10,74,42,479,134,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,425,24,137,232,58,4,425,5,3,60.0,2,40.0,236,1014,401,8,4,0,18,3,250,13,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2387,300,1093,1125,184,30,2387,14,13,92.9,1,7.1,1391,9440,5596,57,22,0,12,7,1599,36,Matches
10,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,418,11,29,181,214,60,418,25,18,72.0,7,28.0,232,1282,464,20,16,10,40,21,298,87,Matches
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,10.6,813,19,190,452,172,11,813,10,4,40.0,6,60.0,430,1993,862,11,9,2,7,9,548,49,Matches
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,287,6,25,119,147,41,287,21,10,47.6,11,52.4,178,1313,527,19,9,7,28,19,200,67,Matches
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,7,4,6,1,0,0,7,0,0,,0,,3,24,22,0,0,0,0,0,1,0,Matches
14,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,62,1,6,31,26,10,62,3,3,100.0,0,0.0,43,224,118,6,2,5,3,6,49,12,Matches
15,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,110,15,34,40,36,6,110,2,1,50.0,1,50.0,54,306,113,4,4,0,4,2,61,16,Matches
16,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,31,0,3,16,13,1,31,4,3,75.0,1,25.0,23,190,104,4,1,0,1,1,22,5,Matches
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,704,10,70,457,186,11,704,48,26,54.2,22,45.8,485,2646,1418,38,31,3,27,24,537,47,Matches
18,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,331,298,331,0,0,0,331,0,0,,0,,193,925,528,0,1,1,0,0,152,0,Matches
19,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,es La Liga,38,1981,2.3,81,2,4,36,42,13,80,2,1,50.0,1,50.0,37,145,35,2,1,2,7,2,68,15,Matches
20,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1187,77,391,502,314,12,1187,47,29,61.7,18,38.3,583,3716,2025,60,40,6,27,10,583,66,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1237,76,403,635,210,9,1237,29,17,58.6,12,41.4,587,2671,1357,26,21,2,24,13,596,49,Matches
22,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,45,0,8,25,12,0,45,0,0,,0,,33,130,45,1,0,0,1,1,30,2,Matches
23,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,50,0,6,25,21,4,50,3,3,100.0,0,0.0,35,198,74,1,1,1,0,2,31,8,Matches
24,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,387,7,73,195,130,18,387,35,25,71.4,10,28.6,264,1922,1238,39,23,6,15,15,271,34,Matches
25,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,717,75,426,284,11,8,717,4,3,75.0,1,25.0,352,1490,859,0,0,0,4,3,467,0,Matches
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,544,4,17,178,356,131,541,40,24,60.0,16,40.0,405,2057,816,35,26,23,34,30,436,105,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,913,32,209,441,268,21,913,22,12,54.5,10,45.5,534,2573,1482,32,19,4,9,11,581,80,Matches
28,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,129,6,23,86,20,1,129,1,1,100.0,0,0.0,83,468,199,2,2,1,9,1,88,1,Matches
29,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,404,14,78,257,71,13,404,16,12,75.0,4,25.0,225,1210,572,14,9,1,19,7,267,15,Matches
30,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1540,192,830,678,41,11,1540,15,10,66.7,5,33.3,895,4335,2073,17,7,2,14,8,936,2,Matches
31,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1478,70,422,679,399,27,1478,78,47,60.3,31,39.7,718,4943,2913,86,51,8,32,21,817,80,Matches
32,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,465,11,71,354,43,0,465,7,4,57.1,3,42.9,305,1096,567,6,4,0,7,4,338,6,Matches
33,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,972,34,302,440,238,13,972,35,19,54.3,16,45.7,445,2684,1611,45,36,10,27,24,550,69,Matches
34,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,1.5,28,0,1,8,19,7,28,2,0,0.0,2,100.0,17,61,8,0,0,1,4,2,22,10,Matches
35,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,1994,22.9,712,21,40,386,291,95,711,19,7,36.8,12,63.2,376,1503,584,21,15,8,53,15,553,137,Matches
36,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2148,170,1025,1055,72,10,2148,7,6,85.7,1,14.3,1443,7119,3766,18,12,0,15,6,1646,6,Matches
37,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,40,1,7,16,17,2,40,5,4,80.0,1,20.0,25,188,72,1,1,0,1,0,24,6,Matches
38,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1557,238,888,604,77,36,1557,3,3,100.0,0,0.0,958,4935,3112,12,5,0,9,5,922,7,Matches
39,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,280,4,52,141,92,14,280,12,5,41.7,7,58.3,168,688,340,11,14,5,14,15,198,53,Matches
40,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,916,130,504,398,22,2,916,3,2,66.7,1,33.3,530,2637,1416,7,2,0,11,9,610,5,Matches
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2691,145,943,1538,232,12,2691,9,7,77.8,2,22.2,1907,12192,7412,69,28,3,16,4,2060,42,Matches
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,984,39,284,473,242,17,984,33,17,51.5,16,48.5,454,2492,1477,32,22,8,21,7,488,39,Matches
43,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,453,11,24,213,221,78,452,18,13,72.2,5,27.8,247,1027,231,7,5,8,35,17,341,63,Matches
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2307,66,459,1074,782,64,2307,21,12,57.1,9,42.9,1399,5468,2912,42,28,8,17,6,1734,244,Matches
45,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,2653,14,260,1371,1086,98,2652,107,73,68.2,34,31.8,1620,11683,7365,203,171,29,51,47,1901,163,Matches
46,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,2282,336,1270,971,52,21,2282,3,3,100.0,0,0.0,1193,6416,3896,11,8,1,9,2,1497,4,Matches
47,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,618,12,102,245,284,20,618,33,14,42.4,19,57.6,393,1968,822,20,19,4,12,9,423,94,Matches
48,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,306,11,29,137,143,36,306,7,3,42.9,4,57.1,159,597,270,13,7,9,15,8,213,50,Matches
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,163,2,9,75,79,26,163,5,2,40.0,3,60.0,78,207,55,1,2,1,12,5,110,37,Matches
50,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,2029,47,358,1364,334,23,2029,83,71,85.5,12,14.5,1250,5577,2677,27,35,7,28,19,1507,43,Matches
51,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,1340,73,341,848,167,10,1340,28,23,82.1,5,17.9,663,3258,1591,26,15,1,23,15,734,21,Matches
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2349,344,1183,1068,101,22,2349,1,0,0.0,1,100.0,1460,5973,2949,11,18,1,9,5,1566,10,Matches
53,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1421,72,412,759,262,15,1421,19,13,68.4,6,31.6,573,2813,1426,21,17,4,23,22,756,72,Matches
54,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,45,0,2,22,21,6,45,2,0,0.0,2,100.0,21,80,36,1,1,1,2,1,39,6,Matches
55,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,168,1,13,101,55,2,168,3,2,66.7,1,33.3,121,508,218,4,3,0,3,1,143,2,Matches
56,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,466,5,55,291,128,9,466,22,12,54.5,10,45.5,332,1908,876,15,17,0,11,9,381,25,Matches
57,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,350,304,349,1,0,0,350,0,0,,0,,157,734,504,0,0,0,0,0,147,0,Matches
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3582,99,825,1590,1193,54,3582,51,21,41.2,30,58.8,2136,9096,5332,98,113,16,47,12,2281,226,Matches
59,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,85,67,85,0,0,0,85,0,0,,0,,27,144,109,0,0,0,0,0,26,0,Matches
