,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
60,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,631,9,29,300,306,67,631,22,16,72.7,6,27.3,353,1638,704,24,18,12,40,17,496,108,Matches
61,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,992,792,983,10,0,0,992,0,0,,0,,600,2483,1531,0,1,1,0,0,495,0,Matches
62,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,1001,23,167,626,217,13,1001,28,19,67.9,9,32.1,638,3107,1489,25,27,2,30,15,725,53,Matches
63,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,1128,36,156,558,427,76,1127,66,29,43.9,36,54.5,707,3569,1684,56,37,14,50,41,760,152,Matches
64,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,1291,34,260,538,537,81,1291,93,46,49.5,47,50.5,929,7715,3823,120,82,19,80,35,881,160,Matches
65,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1341,27,335,536,477,59,1341,19,12,63.2,7,36.8,787,4088,2269,62,42,6,33,10,833,155,Matches
66,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,935,58,330,437,173,11,935,22,15,68.2,7,31.8,400,2485,1458,37,26,3,19,10,472,45,Matches
67,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,558,27,138,358,71,5,558,9,8,88.9,1,11.1,277,1277,456,6,12,0,6,4,272,6,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,56,50,56,0,0,0,56,0,0,,0,,23,94,64,0,0,0,0,0,22,0,Matches
69,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1821,180,818,947,74,17,1821,17,14,82.4,3,17.6,852,4757,2863,29,18,1,14,5,998,4,Matches
70,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1625,280,878,666,86,34,1625,1,1,100.0,0,0.0,922,4801,2509,6,4,0,6,4,987,11,Matches
71,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,831,32,190,397,251,36,831,47,35,74.5,12,25.5,456,2796,1437,34,34,11,25,28,545,92,Matches
72,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,480,100,331,138,13,4,480,2,2,100.0,0,0.0,290,1128,545,4,0,0,1,3,303,1,Matches
73,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,342,9,71,209,63,8,342,6,4,66.7,2,33.3,177,831,444,9,7,1,5,3,208,10,Matches
74,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1098,35,241,728,146,7,1098,33,26,78.8,7,21.2,626,3565,1691,24,27,3,31,19,727,28,Matches
75,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,34,0,2,16,16,1,34,10,5,50.0,5,50.0,20,132,56,0,1,1,3,2,20,4,Matches
76,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1591,78,510,746,352,28,1591,52,30,57.7,22,42.3,788,4457,2377,62,54,9,32,19,835,92,Matches
77,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,6.1,302,5,24,124,159,30,302,44,25,56.8,19,43.2,185,1476,713,31,24,7,24,23,219,49,Matches
78,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,844,75,287,392,173,11,844,24,11,45.8,13,54.2,416,2730,1615,38,28,5,18,10,427,27,Matches
79,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,1355,15,158,712,504,50,1355,44,30,68.2,14,31.8,723,4405,2166,53,43,13,41,19,905,95,Matches
80,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,94,9,38,54,2,1,94,0,0,,0,,64,340,237,0,0,0,0,0,70,0,Matches
81,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,de Bundesliga,23,1996,5.6,201,5,31,69,108,22,201,39,19,48.7,20,51.3,140,1089,520,23,10,13,28,10,138,50,Matches
82,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,2062,54,355,1357,395,22,2061,103,75,72.8,28,27.2,1388,10322,4827,84,67,5,57,56,1421,52,Matches
83,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1480,166,729,721,32,13,1480,3,3,100.0,0,0.0,905,4909,3029,6,5,0,3,2,1105,1,Matches
84,Djavan Anderson,nl NED,"FW,DF",Lazio,it Serie A,24,1995,1.9,90,6,32,30,30,4,90,5,3,60.0,2,40.0,42,313,136,4,3,1,5,5,37,4,Matches
85,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,1168,19,143,564,486,56,1168,92,63,68.5,29,31.5,764,5752,3044,106,72,21,48,30,884,132,Matches
86,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,1167,42,80,524,573,120,1165,52,21,40.4,31,59.6,637,2876,854,34,29,12,94,67,937,204,Matches
87,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,34,2,7,9,18,3,34,7,2,28.6,5,71.4,19,178,93,2,3,1,5,1,17,4,Matches
88,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,1513,47,240,1041,248,21,1513,25,16,64.0,9,36.0,723,3471,1615,25,25,3,17,20,922,47,Matches
89,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,182,174,182,0,0,0,182,0,0,,0,,68,364,265,0,0,0,0,0,24,0,Matches
90,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1542,60,350,897,312,28,1542,41,28,68.3,13,31.7,768,3284,1325,25,22,5,36,17,831,31,Matches
91,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,708,9,100,525,93,3,708,21,15,71.4,6,28.6,432,2657,1381,25,21,2,18,17,504,17,Matches
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,256,4,12,139,105,21,255,11,8,72.7,3,27.3,138,504,223,10,4,2,19,13,201,37,Matches
93,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1753,87,429,869,491,8,1753,35,27,77.1,8,22.9,798,4091,2068,50,59,4,30,11,802,62,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,491,419,491,0,0,0,491,2,2,100.0,0,0.0,255,1155,767,0,0,0,0,0,217,0,Matches
95,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,478,14,89,186,208,11,478,5,4,80.0,1,20.0,333,1405,797,21,28,1,6,3,338,70,Matches
96,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,22,1997,12.2,881,24,187,396,303,26,881,25,20,80.0,5,20.0,430,2075,1099,24,16,12,15,6,518,92,Matches
97,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,12,0,0,5,7,3,12,2,1,50.0,1,50.0,8,57,25,1,0,1,1,1,8,1,Matches
98,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,732,33,222,289,231,26,732,13,6,46.2,7,53.8,417,1780,917,16,19,4,17,10,496,65,Matches
99,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,1068,54,282,375,426,41,1068,73,36,49.3,37,50.7,614,4593,2262,90,43,11,40,29,629,124,Matches
100,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,3,0,0,1,2,2,3,0,0,,0,,4,10,2,1,0,1,1,1,4,1,Matches
101,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,29,1990,19.6,818,11,39,263,532,117,817,103,65,63.1,37,35.9,494,3148,1490,53,42,26,73,45,599,178,Matches
102,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,582,32,192,252,143,8,582,15,6,40.0,9,60.0,266,1527,856,22,16,3,13,4,302,45,Matches
103,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,39,0,5,16,18,6,39,0,0,,0,,19,88,48,2,1,0,5,0,19,6,Matches
104,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,3,0,1,1,1,0,3,0,0,,0,,1,10,0,0,0,0,0,0,2,0,Matches
105,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,1153,20,175,494,509,78,1153,70,35,50.0,35,50.0,693,5597,2767,114,59,45,63,40,713,155,Matches
106,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,129,2,26,84,20,1,129,1,1,100.0,0,0.0,76,553,288,4,3,0,4,2,79,2,Matches
107,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,21,1998,21.7,1361,10,111,835,446,72,1361,112,67,59.8,45,40.2,924,5915,3217,105,78,28,52,38,1077,127,Matches
108,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,40,0,5,26,10,0,40,3,3,100.0,0,0.0,20,71,18,0,0,0,3,0,27,3,Matches
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,1154,52,399,568,194,5,1154,29,22,75.9,7,24.1,513,2662,1430,23,27,3,21,18,596,32,Matches
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1360,46,244,825,323,21,1360,43,30,69.8,13,30.2,599,3275,1194,30,30,4,45,34,593,41,Matches
111,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,69,2,23,26,20,3,69,1,0,0.0,1,100.0,35,184,127,3,1,0,1,1,39,6,Matches
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1861,42,318,1297,260,23,1861,24,14,58.3,10,41.7,953,4156,1876,14,22,1,28,19,1325,19,Matches
113,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,438,3,50,173,222,29,438,30,22,73.3,8,26.7,253,1848,916,30,22,8,17,15,286,60,Matches
114,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1864,289,1072,763,43,20,1864,2,1,50.0,1,50.0,1039,6339,3318,21,8,0,10,2,1144,4,Matches
115,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,229,30,103,125,1,1,229,1,1,100.0,0,0.0,181,707,386,1,0,0,0,1,184,0,Matches
116,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1421,106,505,772,166,8,1421,13,9,69.2,4,30.8,725,4319,2018,21,17,1,15,7,709,17,Matches
117,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,138,116,138,0,0,0,138,0,0,,0,,75,428,277,0,0,0,0,1,59,0,Matches
118,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,61,44,60,1,0,0,61,0,0,,0,,35,187,120,0,0,0,0,0,28,0,Matches
119,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,769,43,215,326,232,18,769,7,5,71.4,2,28.6,368,1693,909,27,19,3,11,3,430,76,Matches
120,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,5,1,4,1,0,0,5,0,0,,0,,3,6,0,0,0,0,0,0,3,0,Matches
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,889,49,149,419,335,42,889,53,30,56.6,23,43.4,470,3237,1472,45,34,8,55,25,544,101,Matches
122,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,286,4,23,130,136,33,286,10,2,20.0,8,80.0,179,1061,443,17,11,9,40,17,199,60,Matches
123,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,1995,3.7,160,3,16,59,92,14,160,20,12,60.0,8,40.0,115,1035,409,14,8,8,16,9,107,24,Matches
124,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,1818,54,331,1052,459,22,1818,29,19,65.5,10,34.5,917,4175,2111,35,25,1,33,29,1044,48,Matches
125,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,1138,970,1132,6,0,0,1138,0,0,,0,,672,3073,1902,0,0,0,1,0,644,0,Matches
126,Kwadwo Asamoah,gh GHA,"DF,FW",Inter,it Serie A,30,1988,7.1,429,24,109,167,156,17,429,16,12,75.0,4,25.0,214,1196,772,25,16,9,4,6,274,54,Matches
127,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,409,21,120,257,38,0,409,10,7,70.0,3,30.0,162,805,314,3,3,0,7,3,188,3,Matches
128,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,1115,1022,1113,2,0,0,1115,1,1,100.0,0,0.0,496,2610,1667,0,0,0,1,0,442,0,Matches
129,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,192,2,25,76,93,13,192,9,5,55.6,4,44.4,139,782,307,8,8,4,4,5,155,31,Matches
130,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,41,1,12,25,7,0,41,2,2,100.0,0,0.0,29,167,132,2,4,0,2,1,30,0,Matches
131,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,1656,10,132,748,794,136,1649,95,52,54.7,43,45.3,1072,6617,3192,106,87,37,73,45,1289,256,Matches
132,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,190,0,11,70,112,30,190,17,11,64.7,6,35.3,135,923,476,15,7,8,19,7,151,51,Matches
133,Youcef Atal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,741,13,138,341,280,38,741,106,47,44.3,59,55.7,440,3580,1900,54,43,27,35,18,496,119,Matches
134,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,19,1,5,10,4,3,19,0,0,,0,,8,18,5,0,0,0,0,0,11,0,Matches
135,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,eng Premier League,27,1992,8.3,333,11,75,124,144,12,333,36,16,44.4,20,55.6,217,1717,957,29,23,6,20,17,209,22,Matches
136,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,1233,26,143,436,667,150,1231,38,17,44.7,21,55.3,727,4964,2702,98,47,38,58,31,928,288,Matches
137,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,1128,986,1126,2,0,0,1128,0,0,,0,,495,3120,2101,0,0,0,1,0,378,0,Matches
138,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,903,29,249,428,245,4,903,26,19,73.1,7,26.9,491,3138,1833,43,35,2,12,12,579,87,Matches
