,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
0,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
1,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,10,1.03,27,17,63.0,9,0,0,2,22.2,0,0,0,0,,Matches
2,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,900,10.0,17,1.70,47,31,63.8,1,2,6,0,0.0,0,0,0,0,,Matches
3,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,,Matches
4,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,29,29,"2,543",28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0.0,Matches
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,4,4,180,2.0,1,0.50,3,2,66.7,1,1,0,1,25.0,0,0,0,0,,Matches
6,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,6,5,531,5.9,16,2.71,44,28,63.6,0,1,4,0,0.0,1,0,0,1,,Matches
7,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,13,"1,170",13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,,Matches
8,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,4,360,4.0,5,1.25,14,9,78.6,3,1,0,1,25.0,2,2,0,0,0.0,Matches
9,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,3,270,3.0,2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,0,,Matches
10,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,33,"2,970",33.0,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0.0,Matches
11,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,34,"3,060",34.0,41,1.21,145,104,75.2,17,4,13,11,32.4,6,5,1,0,16.7,Matches
12,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,36,"3,240",36.0,60,1.67,165,109,67.9,12,5,19,9,25.0,8,7,0,1,0.0,Matches
13,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
14,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30,30,"2,700",30.0,49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,0,28.6,Matches
15,Asmir Begović,ba BIH,GK,Milan,it Serie A,32,1987,2,1,129,1.4,3,2.09,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0,Matches
16,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26,26,"2,340",26.0,36,1.38,130,95,75.4,9,8,9,4,15.4,6,4,1,1,20.0,Matches
17,Etrit Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26,26,"2,340",26.0,44,1.69,147,105,74.1,5,3,18,3,11.5,6,6,0,0,0.0,Matches
18,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,25,25,"2,204",24.5,38,1.55,108,71,68.5,7,4,14,6,24.0,4,4,0,0,0.0,Matches
19,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,21,1998,3,3,196,2.2,3,1.38,5,2,40.0,0,0,3,0,0.0,0,0,0,0,,Matches
20,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,24,1995,33,33,"2,960",32.9,43,1.31,135,92,71.9,6,14,13,10,30.3,5,5,0,0,0.0,Matches
21,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,6,5,495,5.5,3,0.55,20,17,90.0,4,1,0,4,80.0,1,1,0,0,0.0,Matches
22,Federico Brancolini,it ITA,GK,Fiorentina,it Serie A,18,2001,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
23,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,,Matches
24,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9,9,810,9.0,10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,1,0.0,Matches
25,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,31,31,"2,770",30.8,40,1.30,95,58,61.1,19,5,7,12,38.7,3,3,0,0,0.0,Matches
26,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26,26,"2,340",26.0,32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,0.0,Matches
27,Marcin Bułka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
28,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5,5,450,5.0,7,1.40,16,10,56.3,2,2,1,1,20.0,0,0,0,0,,Matches
29,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,,Matches
30,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,1992,26,26,"2,340",26.0,38,1.46,105,67,67.6,11,6,9,5,19.2,4,4,0,0,0.0,Matches
31,Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,,Matches
32,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,24,24,"2,096",23.3,30,1.29,109,78,78.0,10,7,7,5,20.8,8,6,2,0,25.0,Matches
33,Yannis Clementia,mq MTQ,GK,Nice,fr Ligue 1,22,1997,2,2,180,2.0,2,1.00,7,5,85.7,2,0,0,0,0.0,1,1,0,0,0.0,Matches
34,Simone Colombi,it ITA,GK,Parma,it Serie A,28,1991,4,4,360,4.0,4,1.00,19,15,84.2,1,1,2,1,25.0,2,1,0,1,0.0,Matches
35,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31,31,"2,790",31.0,55,1.77,145,92,66.9,12,5,14,5,16.1,8,7,1,0,12.5,Matches
36,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
37,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28,28,"2,520",28.0,34,1.21,108,74,70.4,9,10,9,6,21.4,3,2,1,0,33.3,Matches
38,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34,34,"3,060",34.0,20,0.59,96,76,79.2,23,8,3,18,52.9,0,0,0,0,,Matches
39,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16,16,"1,440",16.0,21,1.31,89,68,77.5,2,6,8,3,18.8,2,1,1,0,50.0,Matches
40,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27,27,"2,429",27.0,33,1.22,99,65,67.7,7,9,11,7,25.9,2,1,1,0,50.0,Matches
41,Paul Delecroix,gw GNB,GK,Metz,fr Ligue 1,30,1988,2,1,135,1.5,4,2.67,6,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
42,Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,4,3,316,3.5,6,1.71,19,13,68.4,0,2,1,1,33.3,0,0,0,0,,Matches
43,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35,35,"3,150",35.0,51,1.46,122,71,61.5,9,9,17,10,28.6,5,4,1,0,20.0,Matches
44,Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,15,14,"1,324",14.7,23,1.56,81,58,72.8,4,4,6,3,21.4,1,1,0,0,0.0,Matches
