,Player,Nation,Pos,Squad,Competition_Name,Age,Born,Matches_Played,Yellow_Cards,Red_Cards,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost,Percentage_of_Aerials_Won,Matches
63,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,2,0,0,12,33,6,7,17,16,0,0,0,103,19,37,33.9,Matches
64,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,5,0,0,30,59,24,41,31,39,0,0,0,189,9,28,24.3,Matches
65,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,0,0,16,15,2,66,20,16,1,0,0,96,42,29,59.2,Matches
66,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,2,0,0,16,13,1,31,17,25,0,0,1,70,36,10,78.3,Matches
67,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,6,0,0,24,7,0,2,17,22,0,1,0,70,24,35,40.7,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
69,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,2,0,0,18,32,1,12,62,19,0,1,0,167,104,69,60.1,Matches
70,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,4,0,0,24,12,1,13,25,11,0,2,0,116,84,21,80.0,Matches
71,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,1,0,0,17,18,3,8,14,19,0,0,0,75,9,16,36.0,Matches
72,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,1,0,0,8,2,0,1,16,11,0,1,0,39,16,12,57.1,Matches
73,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,2,0,0,15,6,0,5,12,9,0,0,0,42,19,14,57.6,Matches
74,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,5,0,0,26,43,0,25,36,27,0,0,0,107,8,14,36.4,Matches
75,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,3,4,0,0,0,1,0,0,0,4,1,0,100.0,Matches
76,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,9,0,0,41,19,1,31,56,29,0,2,0,126,63,23,73.3,Matches
77,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,6.1,1,0,0,7,9,1,15,3,5,0,0,0,32,23,18,56.1,Matches
78,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,3,0,0,23,8,0,12,18,21,0,1,0,84,21,21,50.0,Matches
79,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,3,0,0,27,39,3,114,14,16,1,0,0,140,9,17,34.6,Matches
80,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,0,0,0,0,1,4,0,0,0,3,1,0,100.0,Matches
81,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,de Bundesliga,23,1996,5.6,1,0,0,16,5,8,14,4,4,0,0,0,27,3,9,25.0,Matches
82,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,10,2,0,63,60,0,25,31,36,1,0,0,219,20,42,32.3,Matches
83,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,3,0,0,17,3,0,1,10,9,0,1,0,84,50,22,69.4,Matches
84,Djavan Anderson,nl NED,"FW,DF",Lazio,it Serie A,24,1995,1.9,1,0,0,4,1,0,2,3,0,0,0,0,12,1,2,33.3,Matches
85,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,1,0,0,17,24,2,34,22,32,0,0,0,112,6,19,24.0,Matches
86,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,5,0,0,62,40,21,31,5,10,0,0,0,89,243,207,54.0,Matches
87,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,0,1,0,2,3,0,0,0,1,0,0,0,6,4,1,80.0,Matches
88,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,6,0,0,55,37,0,12,59,44,0,0,0,178,80,48,62.5,Matches
89,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,100.0,Matches
90,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,13,1,1,65,37,0,39,47,27,1,0,0,189,46,33,58.2,Matches
91,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0,0,18,26,0,3,8,18,0,0,0,87,8,9,47.1,Matches
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0,0,0,16,8,3,4,2,0,0,0,0,13,23,42,35.4,Matches
93,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,4,0,0,21,13,0,148,33,31,0,1,0,181,50,29,63.3,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,1,0,0,1,0,0,0,0,26,2,0,100.0,Matches
95,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,1,0,0,2,2,0,43,9,2,0,0,0,29,6,7,46.2,Matches
96,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,22,1997,12.2,2,0,0,12,16,3,80,19,9,0,0,0,73,7,21,25.0,Matches
97,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
98,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,2,0,0,9,12,1,22,9,4,0,0,0,57,8,4,66.7,Matches
99,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,9,0,0,28,30,4,141,14,25,0,0,0,109,9,18,33.3,Matches
100,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
101,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,29,1990,19.6,3,0,0,41,35,11,48,9,9,0,0,0,62,88,108,44.9,Matches
102,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,1,0,0,18,7,1,36,15,18,0,0,0,58,7,4,63.6,Matches
103,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,1,0,0,2,1,0,0,2,3,0,0,0,5,0,0,,Matches
104,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
105,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,2,0,0,17,39,4,69,15,16,0,0,0,132,22,39,36.1,Matches
106,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,1,0,0,3,5,0,1,5,2,0,0,0,16,3,7,30.0,Matches
107,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,21,1998,21.7,3,0,0,24,42,2,24,13,12,0,0,0,120,17,12,58.6,Matches
108,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,,Matches
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,2,0,0,26,7,0,32,23,35,0,0,0,100,19,17,52.8,Matches
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,11,1,1,79,63,0,45,43,33,0,0,0,201,71,69,50.7,Matches
111,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,2,4,0,4,2,4,0,0,0,7,0,0,,Matches
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,2,0,0,15,44,0,13,22,37,0,0,0,204,14,22,38.9,Matches
113,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,1,0,0,13,23,0,28,4,11,1,0,0,47,4,6,40.0,Matches
114,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,10,0,0,27,9,0,0,52,27,0,0,0,151,83,44,65.4,Matches
115,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,2,1,0,0,0,2,0,0,0,10,6,5,54.5,Matches
116,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,5,0,0,22,12,0,30,29,20,0,0,0,173,56,33,62.9,Matches
117,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,1,0,0,1,0,0,0,0,0,0,1,0,9,1,0,100.0,Matches
118,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,,Matches
119,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,1,0,0,8,16,1,24,19,24,0,0,0,60,21,20,51.2,Matches
120,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,4,0,0,25,20,4,23,11,19,0,0,0,106,13,29,31.0,Matches
122,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,2,0,0,11,17,5,7,5,2,0,0,0,31,9,18,33.3,Matches
123,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,1995,3.7,2,0,0,9,7,1,12,2,0,0,0,0,21,1,5,16.7,Matches
124,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,8,0,0,52,69,0,166,25,24,0,0,0,213,25,24,51.0,Matches
125,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,5,0,0,1,1,0,0,0,35,5,0,100.0,Matches
126,Kwadwo Asamoah,gh GHA,"DF,FW",Inter,it Serie A,30,1988,7.1,1,0,0,6,6,2,18,9,8,0,0,0,42,4,3,57.1,Matches
127,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,2,0,0,11,5,0,2,16,13,0,0,0,46,7,11,38.9,Matches
128,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,2,0,0,2,6,0,0,1,0,0,1,0,39,6,0,100.0,Matches
129,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,0,0,0,2,4,1,11,1,3,0,0,0,16,2,4,33.3,Matches
130,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,2,1,1,4,0,0,0,1,1,0,0,0,3,0,2,0.0,Matches
131,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,9,0,0,25,66,20,26,22,19,2,0,0,108,29,58,33.3,Matches
132,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,1,0,0,8,11,7,6,0,2,3,0,0,16,3,9,25.0,Matches
133,Youcef Atal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,5,0,0,15,25,4,30,24,11,1,1,0,46,16,9,64.0,Matches
134,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,0,0,0,2,1,0,0,2,1,0,0,0,2,2,1,66.7,Matches
135,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,eng Premier League,27,1992,8.3,2,0,0,11,10,4,17,5,8,0,0,0,42,6,14,30.0,Matches
136,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,3,1,0,14,20,20,89,14,19,0,0,0,92,33,58,36.3,Matches
137,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,1,0,0,0,5,0,0,0,1,0,0,1,32,4,1,80.0,Matches
138,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,2,0,0,6,4,1,82,15,9,0,0,0,87,13,5,72.2,Matches
139,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,0,0,0,2,7,4,0,3,0,1,0,0,11,0,8,0.0,Matches
140,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,de Bundesliga,25,1994,10.3,2,0,0,18,12,1,57,10,12,0,0,0,41,16,15,51.6,Matches
141,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,4,1,1,41,22,6,137,47,69,0,2,1,165,70,64,52.2,Matches
142,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,3,0,0,14,6,0,71,10,17,0,0,0,62,4,18,18.2,Matches
143,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,6,0,0,45,43,24,23,3,12,1,0,0,52,56,93,37.6,Matches
144,Javier Avilés,es ESP,"MF,FW",Leganés,es La Liga,21,1997,2.0,1,0,0,5,2,2,17,3,7,0,0,0,12,2,4,33.3,Matches
145,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,10,0,0,22,14,2,8,28,22,0,0,0,105,42,54,43.8,Matches
146,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,de Bundesliga,21,1997,5.4,1,0,0,5,3,3,9,2,0,0,1,0,21,15,22,40.5,Matches
147,Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,1997,15.3,4,1,1,19,22,5,7,4,9,1,0,0,49,44,65,40.4,Matches
148,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,27,1991,35.0,6,0,0,59,105,9,25,15,30,0,0,0,147,77,169,31.3,Matches
149,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,10,0,0,36,20,3,23,45,25,0,1,0,165,43,57,43.0,Matches
150,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,3,0,0,29,19,1,7,19,8,0,0,0,72,18,31,36.7,Matches
151,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,1,0,0,40,15,3,121,67,56,0,0,0,172,92,62,59.7,Matches
152,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,1,0,0,10,15,1,26,17,15,0,1,0,81,22,17,56.4,Matches
153,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,6,0,0,42,59,1,2,39,37,0,3,1,248,62,88,41.3,Matches
154,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,4,0,0,35,32,7,2,3,8,3,0,0,45,35,54,39.3,Matches
155,Carlos Bacca,co COL,FW,Villarreal,es La Liga,32,1986,7.6,1,0,0,8,6,7,3,0,1,1,0,0,11,13,15,46.4,Matches
156,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,3,1,1,17,19,0,4,45,17,0,0,0,109,10,13,43.5,Matches
157,Matthias Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,,Matches
158,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,18,2001,15.7,0,0,0,19,12,0,1,27,12,0,0,0,116,55,32,63.2,Matches
159,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches
160,Alex Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
161,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,3,0,0,24,12,6,15,2,4,0,0,0,21,11,36,23.4,Matches
162,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,6,0,0,31,38,0,5,58,17,0,0,0,180,31,26,54.4,Matches
163,Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,21,1997,12.1,0,2,0,17,17,6,78,8,3,0,0,0,68,10,15,40.0,Matches
164,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,0,0,0,2,0,0,0,4,0,0,1,0,9,8,0,100.0,Matches
165,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,3,1,0,7,5,0,0,28,14,0,0,0,67,36,19,65.5,Matches
166,Leighton Baines,eng ENG,DF,Everton,eng Premier League,34,1984,4.5,0,0,0,1,4,0,27,5,6,0,0,0,17,5,7,41.7,Matches
167,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
