,Player,Nation,Pos,Squad,Competition_Name,Age,Born,Matches_Played,Yellow_Cards,Red_Cards,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost,Percentage_of_Aerials_Won,Matches
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0,0,0,9,8,2,92,45,23,0,0,1,176,16,16,50.0,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,7,0,0,29,49,3,73,37,30,1,0,0,178,22,49,31.0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0,0,0,21,17,0,1,47,33,0,1,0,140,85,51,62.5,Matches
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1,0,0,0,0,3,8,1,0,0,0,0,7,6,11,35.3,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,5,0,0,55,43,1,63,23,29,0,1,0,153,13,17,43.3,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,2,0,0,16,11,7,5,4,9,1,0,0,22,28,34,45.2,Matches
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,1,0,14,12,0,9,25,14,0,0,0,125,48,30,61.5,Matches
7,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,2,0,0,17,24,23,11,6,4,1,0,1,49,89,113,44.1,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,3,0,0,17,12,0,7,7,8,0,0,0,51,9,9,50.0,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,4,0,0,26,41,5,26,42,29,1,0,0,179,56,32,63.6,Matches
10,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,0,0,0,17,16,10,13,2,4,1,0,0,51,41,75,35.3,Matches
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,10.6,0,0,0,9,16,0,10,14,15,0,0,0,58,14,14,50.0,Matches
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,1,0,0,12,7,7,11,2,7,1,0,0,32,12,34,26.1,Matches
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
14,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1,0,0,2,3,1,1,2,2,0,0,0,6,1,4,20.0,Matches
15,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,0,0,3,2,1,3,3,3,0,0,0,11,3,4,42.9,Matches
16,Amine Adli,ma MAR,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,1,0,0,2,0,0,4,1,0,0,0,0,3,1,1,50.0,Matches
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,3,0,0,13,18,0,39,8,14,0,0,0,57,10,13,43.5,Matches
18,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1,0,0,0,1,0,0,0,1,0,0,0,5,4,0,100.0,Matches
19,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,es La Liga,38,1981,2.3,3,0,0,7,1,0,0,0,2,0,0,0,2,21,10,67.7,Matches
20,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,5,1,1,13,9,0,81,21,21,0,0,0,118,17,16,51.5,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,5,1,0,33,19,1,33,18,30,0,1,0,125,26,27,49.1,Matches
22,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,1,0,0,1,0,0,2,0,2,0,0,0,6,0,0,,Matches
23,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,0,0,0,3,1,0,0,1,1,0,0,0,6,0,2,0.0,Matches
24,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,5,1,1,20,11,1,11,6,14,0,1,0,30,3,6,33.3,Matches
25,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,2,0,0,13,6,0,1,18,9,0,0,0,55,43,13,76.8,Matches
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,1,0,0,9,9,6,9,3,4,2,0,0,37,3,12,20.0,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,2,2,0,10,20,0,63,11,22,0,0,0,72,16,13,55.2,Matches
28,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,2,0,0,7,3,1,1,1,1,0,0,0,10,5,12,29.4,Matches
29,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,3,1,0,11,14,1,3,15,12,0,0,0,57,10,11,47.6,Matches
30,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,4,0,0,17,17,0,1,45,27,0,2,0,143,49,51,49.0,Matches
31,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,8,0,0,25,36,2,62,41,24,0,0,0,130,28,26,51.9,Matches
32,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,1,0,0,10,3,0,2,4,8,0,0,0,43,5,5,50.0,Matches
33,Rayan Aït-Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,3,0,0,12,12,0,43,18,22,0,0,0,99,17,6,73.9,Matches
34,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,1.5,0,0,0,6,0,2,0,0,0,0,0,0,2,1,10,9.1,Matches
35,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,1994,22.9,3,0,0,38,21,4,13,2,10,1,1,0,43,114,78,59.4,Matches
36,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2,0,0,11,23,0,2,30,21,0,0,1,119,31,33,48.4,Matches
37,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,1,0,0,3,3,0,1,1,2,0,0,0,4,0,3,0.0,Matches
38,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,9,13,3,5,36,21,0,0,0,140,60,61,49.6,Matches
39,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,1,0,0,9,8,2,6,5,8,0,0,0,36,4,10,28.6,Matches
40,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,2,0,0,8,13,1,3,13,16,0,1,1,72,21,27,43.8,Matches
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0,0,0,10,7,1,29,29,17,0,0,0,213,21,29,42.0,Matches
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,3,0,0,14,27,1,29,23,26,0,1,1,74,10,16,38.5,Matches
43,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,6,0,0,23,13,19,4,1,3,0,0,0,24,42,53,44.2,Matches
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7,0,0,18,18,5,65,37,13,0,0,0,129,6,15,28.6,Matches
45,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5,0,0,20,38,0,177,21,30,0,0,0,217,7,14,33.3,Matches
46,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,9,0,0,30,25,2,3,42,23,0,2,0,155,74,55,57.4,Matches
47,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,2,0,0,7,11,1,69,10,17,0,1,0,67,3,7,30.0,Matches
48,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1,0,0,4,11,13,1,2,3,1,0,0,25,6,22,21.4,Matches
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0,0,0,2,3,7,1,2,2,0,0,0,4,3,15,16.7,Matches
50,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,7,0,0,24,13,0,7,45,26,0,0,0,195,35,37,48.6,Matches
51,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,10,0,0,37,58,0,26,15,30,0,2,0,178,49,52,48.5,Matches
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,7,0,0,18,4,1,9,31,29,0,0,1,154,73,73,50.0,Matches
53,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4,0,0,31,9,1,44,34,16,0,0,0,117,39,19,67.2,Matches
54,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,5,4,1,1,0,0,0,0,0,4,9,10,47.4,Matches
55,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0,0,3,2,0,4,0,1,0,0,0,10,1,4,20.0,Matches
56,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,1,0,0,9,19,3,3,1,9,0,0,0,27,2,11,15.4,Matches
57,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,2,0,0,0,0,0,0,0,9,6,0,100.0,Matches
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,5,0,0,22,9,3,382,45,34,0,0,0,221,15,30,33.3,Matches
59,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
60,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,1,0,0,24,34,5,15,2,5,0,0,0,40,43,63,40.6,Matches
61,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,1,0,1,1,0,0,1,0,0,0,0,63,6,0,100.0,Matches
62,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,3,0,0,30,24,0,13,16,27,0,0,0,87,9,7,56.3,Matches
