,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1595,1202,386,61,2,4,92,280,45,30,7,4,1241,7,20,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1711,1389,322,23,0,4,73,299,0,0,0,0,1332,0,65,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1570,1491,75,72,0,13,1,3,0,0,0,0,1323,4,10,Matches
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,42,42,0,0,0,0,8,0,0,0,0,0,19,0,3,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,967,870,93,38,1,10,63,5,50,24,15,1,792,4,15,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,132,121,11,0,0,0,5,0,0,0,0,0,75,0,7,Matches
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,911,857,52,22,0,12,9,30,0,0,0,0,738,2,5,Matches
7,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,330,317,13,9,0,0,7,1,0,0,0,0,280,0,9,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2073,1979,93,69,3,38,26,23,1,0,0,0,1844,1,12,Matches
10,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,263,261,0,0,4,4,13,0,0,0,0,0,162,2,10,Matches
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,10.6,703,626,77,21,0,5,10,56,0,0,0,0,584,0,14,Matches
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,180,169,10,0,0,1,11,7,0,0,0,0,128,1,11,Matches
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches
14,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,43,42,1,0,0,0,1,1,0,0,0,0,38,0,0,Matches
15,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,83,69,14,0,0,0,3,14,0,0,0,0,58,0,1,Matches
16,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,26,22,4,1,0,0,4,0,3,2,0,0,20,0,0,Matches
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,571,530,38,17,6,2,39,2,19,12,6,0,448,3,8,Matches
18,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,311,217,94,24,0,1,0,0,0,0,0,0,238,0,1,Matches
19,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,es La Liga,38,1981,2.3,57,56,0,0,0,1,0,0,0,0,0,0,32,1,1,Matches
20,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,972,739,225,10,0,4,81,215,0,0,0,0,691,8,42,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1028,770,254,14,1,3,33,239,1,0,1,0,714,4,39,Matches
22,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,38,38,0,0,0,0,2,0,0,0,0,0,35,0,1,Matches
23,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,37,36,0,0,0,0,0,0,0,0,0,0,29,1,0,Matches
24,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,293,292,1,0,0,2,11,1,0,0,0,0,239,0,12,Matches
25,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,597,578,17,13,0,17,1,4,0,0,0,0,492,2,3,Matches
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,365,347,17,1,1,0,9,1,0,0,0,0,286,1,7,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,787,665,122,13,1,3,63,109,0,0,0,0,662,0,14,Matches
28,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,104,102,2,1,0,0,1,1,0,0,0,0,90,0,0,Matches
29,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,310,304,4,4,1,4,3,0,0,0,0,0,260,2,2,Matches
30,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1250,1203,47,37,1,7,1,10,0,0,0,0,1078,0,14,Matches
31,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1185,936,243,14,1,5,62,225,4,0,0,0,862,6,27,Matches
32,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,406,400,4,3,1,0,2,1,0,0,0,0,350,2,6,Matches
33,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,808,655,151,3,0,2,43,148,0,0,0,0,618,2,23,Matches
34,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,1.5,15,13,2,0,0,0,0,0,0,0,0,0,12,0,0,Matches
35,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,1994,22.9,516,493,18,0,4,5,13,3,0,0,0,0,354,5,5,Matches
36,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,1948,1871,74,43,2,20,2,31,0,0,0,0,1764,3,10,Matches
37,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,28,26,2,0,0,0,1,0,0,0,0,0,25,0,0,Matches
38,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1238,1183,52,32,1,3,5,20,0,0,0,0,1079,3,8,Matches
39,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,209,204,5,3,0,1,6,1,1,0,1,0,169,0,6,Matches
40,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,757,727,30,14,0,3,3,16,0,0,0,0,664,0,6,Matches
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2516,2397,115,55,5,14,29,56,4,0,1,0,2263,4,19,Matches
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,798,601,196,13,0,4,29,183,0,0,0,0,648,1,20,Matches
43,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,310,274,32,2,1,3,4,2,0,0,0,0,219,4,12,Matches
