,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot_Creating_Action,Shot_Creating_Action_per90,Pass_Live_Shot,Pass_Dead_Shot,Take_Ons_Shot,Shot-Shot,Fouls_drawn_Shot,Defensive_Shot,Goal_Creating_Action,Goal_Creating_Action_90,Pass_Live_Goal,Pass_Dead_Goal,Take_Ons_Goal,Shot_Goal,Fouls_Drawn_Goal,Defensive_Goal
10,10,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,5.0,0.37,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,17.0,1.47,9.0,0.0,2.0,4.0,2.0,0.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0
12,12,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,8.0,1.63,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,31.0,0.99,26.0,1.0,0.0,2.0,0.0,2.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0
15,15,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,68.0,2.63,47.0,12.0,6.0,2.0,0.0,1.0,8.0,0.31,5.0,2.0,0.0,1.0,0.0,0.0
17,17,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,68.0,2.29,50.0,0.0,2.0,7.0,9.0,0.0,7.0,0.24,6.0,0.0,0.0,0.0,1.0,0.0
18,18,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,37.0,1.8,31.0,0.0,0.0,0.0,3.0,3.0,3.0,0.15,2.0,0.0,0.0,0.0,0.0,1.0
19,19,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,5.3,22.0,4.12,15.0,1.0,2.0,2.0,2.0,0.0,6.0,1.12,4.0,0.0,0.0,2.0,0.0,0.0
20,20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,18.0,0.55,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
21,21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,104.0,3.87,78.0,10.0,8.0,2.0,3.0,3.0,10.0,0.37,7.0,1.0,0.0,1.0,1.0,0.0
23,23,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,28.0,1.62,16.0,9.0,0.0,0.0,3.0,0.0,3.0,0.17,2.0,1.0,0.0,0.0,0.0,0.0
25,26,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,7.0,0.79,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0
26,27,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,8.0,1.03,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,38.0,2.52,19.0,1.0,3.0,8.0,4.0,3.0,7.0,0.46,5.0,1.0,0.0,1.0,0.0,0.0
28,29,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,20.0,0.57,17.0,0.0,0.0,3.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
29,30,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,18.0,2.9,13.0,0.0,3.0,1.0,0.0,1.0,3.0,0.48,2.0,0.0,1.0,0.0,0.0,0.0
30,31,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,24.7,78.0,3.15,56.0,10.0,2.0,1.0,7.0,2.0,7.0,0.28,4.0,1.0,1.0,0.0,1.0,0.0
31,32,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,2.0,0.71,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,12.0,1.2,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,36,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,10.0,0.7,7.0,0.0,1.0,2.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0
34,37,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,27.0,0.91,23.0,3.0,0.0,0.0,1.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0
35,40,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,14.0,0.45,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
36,41,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,33.0,77.0,2.34,55.0,0.0,1.0,12.0,9.0,0.0,8.0,0.24,4.0,0.0,1.0,1.0,2.0,0.0
37,42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,22.0,0.84,16.0,1.0,0.0,3.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
38,43,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,7.0,0.73,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,44,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,2.0,1.23,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,45,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,5.0,0.56,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0
41,46,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,6.0,1.43,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0
42,47,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,19.0,1.62,16.0,0.0,1.0,0.0,0.0,2.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0
43,48,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,7.0,0.53,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,49,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,1992,29.7,60.0,2.02,55.0,1.0,0.0,3.0,0.0,1.0,7.0,0.24,6.0,1.0,0.0,0.0,0.0,0.0
45,50,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,21.0,1.25,14.0,2.0,2.0,0.0,3.0,0.0,3.0,0.18,2.0,0.0,0.0,0.0,1.0,0.0
46,51,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,1.0,1.23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.23,1.0,0.0,0.0,0.0,0.0,0.0
47,52,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,30.0,2.17,22.0,0.0,2.0,3.0,3.0,0.0,3.0,0.22,2.0,0.0,0.0,1.0,0.0,0.0
48,53,Jordi Alba,es ESP,"DF,FW",Barcelona,es La Liga,31,1989,33.6,96.0,2.86,93.0,2.0,1.0,0.0,0.0,0.0,9.0,0.27,8.0,0.0,1.0,0.0,0.0,0.0
49,54,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,157.0,5.4,118.0,25.0,7.0,4.0,2.0,1.0,7.0,0.24,6.0,0.0,1.0,0.0,0.0,0.0
50,55,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,18.0,0.52,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
51,56,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,30,1989,19.4,77.0,3.97,59.0,5.0,5.0,2.0,3.0,3.0,12.0,0.62,8.0,2.0,0.0,1.0,0.0,1.0
52,57,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,27.0,1.57,20.0,1.0,3.0,2.0,1.0,0.0,9.0,0.52,6.0,0.0,2.0,1.0,0.0,0.0
53,58,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,59,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,81.0,3.93,69.0,2.0,2.0,3.0,3.0,2.0,3.0,0.15,2.0,0.0,0.0,1.0,0.0,0.0
55,60,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,28.0,1.16,23.0,0.0,0.0,1.0,3.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
56,61,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,7.0,0.48,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,62,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,22.0,0.88,19.0,0.0,0.0,3.0,0.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0
58,63,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,25,1995,9.2,21.0,2.29,17.0,1.0,1.0,1.0,1.0,0.0,2.0,0.22,1.0,0.0,0.0,1.0,0.0,0.0
59,67,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,131.0,3.89,84.0,34.0,6.0,7.0,0.0,0.0,13.0,0.39,8.0,2.0,1.0,2.0,0.0,0.0
60,68,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,1.0,2.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,69,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,fr Ligue 1,16,2004,3.9,4.0,1.04,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,70,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,eng Premier League,28,1992,27.3,71.0,2.6,57.0,5.0,0.0,5.0,3.0,1.0,5.0,0.18,3.0,1.0,0.0,1.0,0.0,0.0
63,71,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,74,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,39.0,1.71,33.0,1.0,4.0,1.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0
65,75,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,22.0,3.19,19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,76,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,26,1994,27.0,76.0,2.82,54.0,3.0,8.0,4.0,5.0,2.0,6.0,0.22,4.0,0.0,0.0,1.0,0.0,1.0
67,77,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,36.0,3.38,29.0,2.0,0.0,5.0,0.0,0.0,3.0,0.28,2.0,0.0,0.0,1.0,0.0,0.0
68,78,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,28,1992,17.4,19.0,1.09,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,79,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,12.0,0.55,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,80,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,9.0,0.5,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,81,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,10.0,24.0,2.41,20.0,0.0,1.0,3.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
72,82,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,25.0,1.5,22.0,0.0,0.0,2.0,0.0,1.0,4.0,0.24,3.0,0.0,0.0,1.0,0.0,0.0
73,83,Romain Amalfitano,fr FRA,"FW,DF",Dijon,fr Ligue 1,30,1989,1.3,2.0,1.55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,84,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,85,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,5.0,0.62,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,86,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,17.0,1.88,8.0,1.0,1.0,1.0,6.0,0.0,4.0,0.44,2.0,0.0,0.0,0.0,2.0,0.0
77,87,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,8.4,25.0,2.98,19.0,1.0,2.0,1.0,2.0,0.0,2.0,0.24,2.0,0.0,0.0,0.0,0.0,0.0
78,88,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,89,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,80.0,3.81,57.0,13.0,4.0,6.0,0.0,0.0,10.0,0.48,8.0,1.0,1.0,0.0,0.0,0.0
80,90,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,eng Premier League,19,2000,23.2,20.0,0.86,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,91,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,36.0,1.33,35.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
82,92,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,10.0,1.13,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.23,1.0,0.0,0.0,0.0,1.0,0.0
83,95,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,96,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,97,Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,27,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,98,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,14.0,1.12,10.0,0.0,0.0,3.0,1.0,0.0,3.0,0.24,1.0,0.0,0.0,1.0,1.0,0.0
87,100,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,64.0,2.0,55.0,0.0,3.0,2.0,4.0,0.0,5.0,0.16,4.0,0.0,0.0,0.0,1.0,0.0
88,101,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,56.0,2.0,48.0,0.0,3.0,2.0,2.0,1.0,7.0,0.25,6.0,0.0,0.0,0.0,1.0,0.0
89,102,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,25.0,1.35,22.0,1.0,0.0,0.0,2.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
90,104,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,20.0,2.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,105,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,106,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,23,1997,24.0,96.0,4.0,65.0,14.0,6.0,6.0,3.0,2.0,9.0,0.37,5.0,1.0,1.0,1.0,1.0,0.0
93,107,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,108,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,109,Cristian Ansaldi,ar ARG,"DF,FW",Torino,it Serie A,33,1986,21.6,72.0,3.33,43.0,15.0,5.0,4.0,3.0,2.0,8.0,0.37,7.0,0.0,1.0,0.0,0.0,0.0
96,110,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,31.0,1.03,26.0,0.0,0.0,2.0,1.0,2.0,5.0,0.17,4.0,0.0,0.0,0.0,1.0,0.0
97,111,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,1990,21.9,76.0,3.47,41.0,1.0,10.0,8.0,16.0,0.0,11.0,0.5,5.0,1.0,0.0,2.0,3.0,0.0
98,112,José Antonio Miranda,gq EQG,"MF,DF",Getafe,es La Liga,22,1998,0.3,1.0,3.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,113,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,1.0,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,114,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,22,1998,19.8,105.0,5.3,73.0,2.0,13.0,7.0,7.0,3.0,12.0,0.61,7.0,0.0,1.0,3.0,1.0,0.0
101,115,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,18,2002,19.2,95.0,4.93,51.0,33.0,1.0,2.0,8.0,0.0,8.0,0.42,5.0,3.0,0.0,0.0,0.0,0.0
102,116,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,32.0,1.85,28.0,0.0,1.0,0.0,0.0,3.0,5.0,0.29,5.0,0.0,0.0,0.0,0.0,0.0
103,117,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,1.0,3.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,118,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,63.0,1.9,36.0,11.0,4.0,5.0,7.0,0.0,3.0,0.09,2.0,0.0,0.0,1.0,0.0,0.0
105,119,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,36.0,1.94,33.0,0.0,1.0,0.0,0.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
106,120,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,54.0,3.25,40.0,0.0,9.0,4.0,1.0,0.0,4.0,0.24,4.0,0.0,0.0,0.0,0.0,0.0
107,121,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,10.0,0.37,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
108,122,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,9.0,0.54,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0
109,123,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,44.0,1.41,31.0,3.0,4.0,2.0,2.0,2.0,4.0,0.13,2.0,0.0,1.0,1.0,0.0,0.0
110,125,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,126,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,6.0,1.83,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,127,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,es La Liga,21,1999,0.5,1.0,1.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,128,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,129,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,91.0,2.96,64.0,3.0,7.0,6.0,8.0,3.0,15.0,0.49,7.0,0.0,2.0,3.0,2.0,1.0
115,130,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,108.0,3.76,48.0,42.0,2.0,6.0,10.0,0.0,12.0,0.42,5.0,4.0,1.0,0.0,2.0,0.0
116,131,Toluwalase Arokodare,ng NGA,"FW,MF",Köln,de Bundesliga,19,2000,1.2,4.0,3.21,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,132,Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,18,2001,1.5,4.0,2.67,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.33,2.0,0.0,0.0,0.0,0.0,0.0
118,134,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,35.0,1.73,26.0,1.0,2.0,1.0,4.0,1.0,2.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0
119,135,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,it Serie A,31,1988,2.5,3.0,1.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,136,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,14.0,1.66,10.0,0.0,1.0,1.0,1.0,1.0,1.0,0.12,0.0,0.0,0.0,1.0,0.0,0.0
121,138,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,24,1996,20.8,67.0,3.23,48.0,9.0,4.0,3.0,3.0,0.0,8.0,0.39,5.0,1.0,1.0,1.0,0.0,0.0
122,139,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,140,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,119.0,3.74,92.0,4.0,12.0,7.0,4.0,0.0,26.0,0.82,19.0,1.0,4.0,1.0,1.0,0.0
