,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received
0,0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,1353.0,61.0,420.0,612.0,329.0,37.0,1353.0,22.0,10.0,45.5,12.0,54.5,728.0,3406.0,1622.0,38.0,29.0,9.0,24.0,6.0,800.0,87.0
2,2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,1998,0.2,16.0,0.0,5.0,4.0,7.0,1.0,16.0,1.0,1.0,100.0,0.0,0.0,11.0,50.0,37.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0
3,3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,2103.0,230.0,1160.0,920.0,38.0,23.0,2103.0,16.0,7.0,43.8,9.0,56.3,1255.0,6240.0,3618.0,18.0,5.0,1.0,14.0,12.0,1354.0,3.0
4,4,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,19.0,0.0,2.0,11.0,6.0,0.0,19.0,2.0,1.0,50.0,1.0,50.0,11.0,21.0,11.0,0.0,1.0,0.0,1.0,0.0,10.0,2.0
5,5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,852.0,23.0,184.0,541.0,149.0,10.0,852.0,27.0,19.0,70.4,8.0,29.6,532.0,2865.0,1352.0,32.0,23.0,3.0,23.0,10.0,561.0,16.0
6,6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,1940.0,31.0,486.0,1210.0,280.0,12.0,1940.0,37.0,29.0,78.4,8.0,21.6,1075.0,4705.0,2140.0,32.0,32.0,4.0,53.0,44.0,1288.0,35.0
7,7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,320.0,9.0,38.0,138.0,146.0,36.0,320.0,24.0,12.0,50.0,12.0,50.0,166.0,1056.0,424.0,13.0,15.0,2.0,33.0,20.0,242.0,48.0
8,8,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,858.0,115.0,504.0,335.0,22.0,16.0,858.0,4.0,2.0,50.0,2.0,50.0,440.0,2357.0,1307.0,2.0,2.0,1.0,9.0,0.0,463.0,1.0
10,10,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,792.0,50.0,293.0,425.0,83.0,8.0,792.0,5.0,4.0,80.0,1.0,20.0,367.0,1776.0,1030.0,12.0,8.0,1.0,7.0,1.0,441.0,21.0
11,11,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,358.0,20.0,35.0,171.0,154.0,61.0,358.0,18.0,6.0,33.3,12.0,66.7,154.0,694.0,266.0,12.0,5.0,8.0,33.0,7.0,239.0,66.0
12,12,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,0.7,30.0,3.0,12.0,14.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,18.0,102.0,47.0,1.0,2.0,1.0,1.0,1.0,16.0,1.0
13,13,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,282.0,8.0,39.0,147.0,102.0,4.0,282.0,16.0,10.0,62.5,6.0,37.5,187.0,1191.0,444.0,15.0,14.0,1.0,12.0,12.0,206.0,19.0
14,14,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,2430.0,309.0,1122.0,1136.0,191.0,22.0,2430.0,8.0,6.0,75.0,2.0,25.0,1410.0,8649.0,4938.0,41.0,42.0,2.0,21.0,10.0,1565.0,46.0
15,15,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,53.0,1.0,2.0,27.0,25.0,10.0,53.0,0.0,0.0,0.0,0.0,0.0,17.0,109.0,34.0,3.0,4.0,1.0,7.0,2.0,36.0,12.0
16,16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,2019.0,61.0,661.0,878.0,502.0,30.0,2019.0,61.0,41.0,67.2,20.0,32.8,1103.0,5721.0,3242.0,65.0,50.0,12.0,40.0,29.0,1330.0,133.0
17,17,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,926.0,24.0,98.0,403.0,439.0,97.0,926.0,50.0,28.0,56.0,22.0,44.0,516.0,2336.0,900.0,32.0,28.0,13.0,88.0,44.0,713.0,149.0
18,18,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,1591.0,47.0,327.0,964.0,313.0,19.0,1591.0,26.0,15.0,57.7,11.0,42.3,901.0,4292.0,1941.0,27.0,31.0,3.0,37.0,14.0,1056.0,70.0
19,19,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,5.3,226.0,2.0,20.0,63.0,146.0,38.0,226.0,7.0,3.0,42.9,4.0,57.1,151.0,1099.0,514.0,20.0,16.0,3.0,14.0,6.0,176.0,58.0
20,20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,2272.0,398.0,1310.0,900.0,67.0,35.0,2272.0,14.0,11.0,78.6,3.0,21.4,1337.0,5844.0,3132.0,5.0,5.0,0.0,12.0,5.0,1522.0,3.0
21,21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,18.0,1.0,2.0,5.0,11.0,3.0,18.0,1.0,1.0,100.0,0.0,0.0,13.0,103.0,68.0,4.0,3.0,0.0,3.0,0.0,11.0,4.0
22,22,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,1920.0,40.0,348.0,1217.0,390.0,25.0,1920.0,79.0,50.0,63.3,29.0,36.7,1179.0,5988.0,3121.0,54.0,50.0,10.0,42.0,41.0,1422.0,48.0
23,23,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
24,25,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,888.0,41.0,314.0,418.0,164.0,9.0,888.0,6.0,2.0,33.3,4.0,66.7,380.0,1426.0,691.0,11.0,11.0,2.0,14.0,4.0,424.0,36.0
