,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,PK_Attempted
0,0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,"1,777",19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1,38.0,103.0,87.0,0.0,0.05,0.05,0.0,0.05,0.07,0.04,0.11,0.07,0.11,
2,2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,"2,889",32.1,3,0,3,3,0,0,4,1,1.9,1.9,0.3,2.2,18.0,99.0,3.0,0.09,0.0,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,
3,3,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,"1,320",14.7,0,0,0,0,0,0,5,0,1.0,1.0,0.8,1.8,32.0,65.0,16.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,
5,5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,"2,963",32.9,3,1,4,3,0,0,5,0,1.5,1.5,1.7,3.3,32.0,138.0,35.0,0.09,0.03,0.12,0.09,0.12,0.05,0.05,0.1,0.05,0.1,
6,6,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1,3,2,5,3,0,0,1,0,2.1,2.1,0.3,2.4,13.0,21.0,48.0,0.3,0.2,0.49,0.3,0.49,0.21,0.03,0.24,0.21,0.24,
7,7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,8,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,14,"1,260",14.0,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.5,2.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11,
9,9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,14,"1,222",13.6,1,0,1,1,0,0,5,1,0.6,0.6,0.4,1.0,12.0,55.0,21.0,0.07,0.0,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07,
