,Unnamed: 0,Player,Nation,Position,Squad,Competition,Age,Born,90s,Goals,Shots_total,Shots_on_target,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
0,0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,0,18,5,27.8,0.91,0.25,0.0,0.0,21.1,3.0,0,0,1.4,1.4,0.08,-1.4,-1.4
2,2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.2,0.6,10.5,0.0,0,0,1.9,1.9,0.13,1.1,1.1
3,3,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
4,4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,0,20,0,0.0,1.36,0.0,0.0,0.0,23.9,1.0,0,0,1.0,1.0,0.05,-1.0,-1.0
5,5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,3,29,10,34.5,0.88,0.3,0.1,0.3,26.8,0.0,0,0,1.5,1.5,0.05,1.5,1.5
6,6,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,12.5,0.0,0,0,2.1,2.1,0.11,0.9,0.9
7,7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
8,8,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,0,13,3,23.1,0.93,0.21,0.0,0.0,13.0,0.0,0,0,1.4,1.4,0.11,-1.4,-1.4
9,9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,1,10,2,20.0,0.74,0.15,0.1,0.5,15.9,0.0,0,0,0.6,0.6,0.06,0.4,0.4
10,10,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0.0,0,0,5.9,5.9,0.18,0.1,0.1
11,11,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
12,12,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,0,9,0,0.0,1.84,0.0,0.0,0.0,25.8,1.0,0,0,0.3,0.3,0.03,-0.3,-0.3
13,13,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,0,9,0,0.0,0.29,0.0,0.0,0.0,13.1,0.0,0,0,1.1,1.1,0.12,-1.1,-1.1
14,14,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,1,2,1,50.0,1.8,0.9,0.5,1.0,13.7,0.0,0,0,0.1,0.1,0.07,0.9,0.9
15,15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1,18,2,11.1,0.7,0.08,0.06,0.5,20.5,0.0,0,0,1.0,1.0,0.05,0.0,0.0
16,16,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0.0,0,0,9.8,9.8,0.18,-0.8,-0.8
17,17,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,17.6,0.0,0,0,1.3,1.3,0.19,-0.3,-0.3
