,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked
0,0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,1164.0,959.0,192.0,31.0,0.0,4.0,40,159.0,2.0,0.0,2.0,0.0,906.0,13.0,26.0
2,2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,1998,0.2,15.0,12.0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
3,3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,1762.0,1697.0,60.0,60.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,1506.0,5.0,10.0
4,4,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,14.0,14.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
5,5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,718.0,662.0,52.0,33.0,0.0,9.0,40,5.0,14.0,7.0,7.0,0.0,605.0,4.0,7.0
6,6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,1564.0,1521.0,38.0,31.0,1.0,11.0,26,7.0,0.0,0.0,0.0,0.0,1288.0,5.0,34.0
7,7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,202.0,192.0,10.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,128.0,0.0,10.0
8,8,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,681.0,653.0,27.0,25.0,0.0,18.0,1,2.0,0.0,0.0,0.0,0.0,521.0,1.0,2.0
