,Player,Nationality,Position,Squad,Competition,Age,Year_of_Birth,Matches_Played,Minutes,Minutes_Per_Match_Played,Percentage_of_Squad_Minutes_Played,90s_Played,Starts,Minutes_Per_Match_Started,Complete_Matches_Played,Games_Played_as_Sub,Minutes_Per_Substitution,Games_as_Unused_Sub,Points_per_Match,Goals_Scored_(on_pitch),Goals_Allowed_(on_pitch),Plus/Minus,Plus/Minus_per_90,On-Off,xG_(on_pitch),xGA_(on_pitch),xG_Plus/Minus,xG_Plus/Minus_per_90,xG_On-Off,Matches
177,Holger Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,10,522,52,17.1,5.8,5,82,4,5,23,11,0.60,1,13,-12,-2.07,-1.15,4.6,9.3,-4.7,-0.81,-0.26,Matches
178,Fabrizio Bagheria,it ITA,GK,Parma,it Serie A,17,2001,0,,,,,0,,0,0,,22,,,,,,,,,,,,Matches
179,Mohamed Bahlouli,fr FRA,MF,Sampdoria,it Serie A,18,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
180,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,1992,32,"2,469",77,72.2,27.4,31,79,6,1,33,0,1.28,31,28,+3,+0.11,+0.87,33.7,33.4,+0.3,+0.01,-0.22,Matches
181,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,34,1984,33,"2,815",85,92.0,31.3,33,85,24,0,,0,0.97,46,59,-13,-0.42,+2.16,41.3,56.3,-15.0,-0.48,-0.19,Matches
182,Leon Bailey,jm JAM,FW,Leverkusen,de Bundesliga,20,1997,29,"1,914",66,62.5,21.3,21,80,8,8,30,1,1.55,36,36,0,0.00,-1.34,33.9,29.2,+4.7,+0.22,-0.53,Matches
183,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,1994,12,638,53,18.7,7.1,8,78,5,4,5,9,2.17,14,13,+1,+0.14,-0.18,10.0,10.4,-0.3,-0.05,-0.41,Matches
184,Leighton Baines,eng ENG,DF,Everton,eng Premier League,33,1984,6,375,63,11.0,4.2,5,72,3,1,14,25,1.50,8,6,+2,+0.48,+0.30,4.9,6.2,-1.3,-0.32,-0.48,Matches
185,Marvin Bakalorz,de GER,MF,Hannover 96,de Bundesliga,28,1989,25,"1,470",59,48.0,16.3,16,81,11,9,19,6,0.84,18,35,-17,-1.04,+0.26,21.9,30.4,-8.5,-0.52,+0.73,Matches
186,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,23,1994,31,"2,301",74,67.3,25.6,26,85,21,5,19,6,1.61,30,23,+7,+0.27,-0.69,29.5,30.2,-0.7,-0.03,-0.69,Matches
187,Ridle Baku,de GER,MF,Mainz 05,de Bundesliga,20,1998,15,937,62,30.6,10.4,10,84,5,5,20,9,1.20,6,14,-8,-0.77,-0.64,12.5,16.7,-4.2,-0.41,-0.24,Matches
188,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,26,1991,23,"2,013",88,58.9,22.4,23,88,22,0,,4,1.35,33,32,+1,+0.04,+0.30,30.0,33.9,-3.9,-0.17,+0.49,Matches
189,Keita Baldé,sn SEN,FW,Inter,it Serie A,23,1995,24,889,37,26.0,9.9,8,72,1,16,20,7,1.96,17,5,+12,+1.21,+0.79,16.3,9.7,+6.6,+0.67,-0.01,Matches
190,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,29,1989,29,"1,786",62,52.2,19.8,21,76,6,8,25,2,1.72,34,23,+11,+0.55,+0.22,36.1,24.6,+11.5,+0.58,+0.13,Matches
191,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,1988,11,523,48,15.3,5.8,6,80,4,5,9,18,1.73,5,7,-2,-0.34,-0.28,5.7,8.7,-3.0,-0.53,-0.55,Matches
192,Leonardo Balerdi,ar ARG,DF,Dortmund,de Bundesliga,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
193,Andrija Balić,hr CRO,"FW,MF",Udinese,it Serie A,20,1997,4,27,7,0.8,0.3,0,,0,4,7,8,1.00,0,1,-1,-3.33,-2.99,0.4,0.2,+0.2,+0.51,+0.97,Matches
