,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
0,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,2,0,0,1,0,3.0,0.43,+1.0,+1.03,5,16,31.3,13,2,53.8,33.3,11,81.8,52.5,18,0,0.0,0,0.00,,Matches
1,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,43,2,2,5,0,33.8,0.32,-9.2,-0.37,166,388,42.8,655,126,36.2,33.7,213,70.9,51.4,326,13,4.0,45,1.80,18.6,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,22,0,0,5,0,27.2,0.29,+5.2,+0.14,129,311,41.5,1072,212,20.1,28.8,216,44.0,41.3,385,16,4.2,59,1.55,16.6,Matches
3,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,17,1,0,2,1,17.0,0.23,+1.0,+0.08,132,283,46.6,333,68,54.4,41.0,125,81.6,53.9,230,21,9.1,18,1.38,13.1,Matches
4,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,22,2,1,2,1,19.1,0.30,-1.9,-0.15,91,237,38.4,330,47,43.9,36.5,128,71.9,52.1,230,8,3.5,7,0.54,12.9,Matches
5,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,11,0,0,1,0,10.2,0.31,-0.8,-0.08,63,126,50.0,284,35,28.2,31.5,77,59.7,43.2,160,5,3.1,21,1.91,17.8,Matches
6,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,17,4,0,1,1,18.3,0.22,+2.3,+0.11,40,94,42.6,377,100,15.9,25.3,139,24.5,32.0,255,7,2.7,13,0.62,13.7,Matches
7,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,39,1,0,6,0,36.5,0.29,-2.5,-0.07,114,230,49.6,903,156,15.7,25.9,256,34.4,36.5,369,14,3.8,35,0.97,18.1,Matches
8,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,45,2,2,4,3,47.3,0.28,+5.3,+0.17,182,439,41.5,566,134,46.5,39.2,254,69.3,51.5,580,20,3.4,26,0.81,11.8,Matches
9,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36.0,51,7,2,6,1,49.5,0.30,-0.5,-0.01,123,370,33.2,860,181,25.9,28.7,297,49.5,39.1,587,25,4.3,48,1.33,15.0,Matches
