,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
0,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,,Matches
1,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,"2,250",25.0,43,1.72,99,56,58.6,7,5,13,5,20.0,2,2,0,0,0.0,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,"3,420",38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,Matches
3,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,"1,170",13.0,17,1.31,72,56,77.8,2,2,9,1,7.7,1,1,0,0,0.0,Matches
4,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,"1,170",13.0,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0.0,Matches
5,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,Matches
6,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,21,"1,890",21.0,17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,0.0,Matches
7,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,36,"3,240",36.0,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50.0,Matches
8,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,32,"2,880",32.0,45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,1,33.3,Matches
9,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36,36,"3,240",36.0,51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,0,12.5,Matches
10,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3,3,270,3.0,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33,33,"2,970",33.0,51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,0.0,Matches
12,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24,24,"2,160",24.0,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0.0,Matches
13,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,1983,23,22,"2,057",22.9,38,1.66,96,57,63.5,4,6,12,4,18.2,5,3,2,0,40.0,Matches
14,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,1993,35,35,"3,150",35.0,29,0.83,143,112,81.1,15,10,10,16,45.7,5,2,3,0,60.0,Matches
15,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,29,1989,18,18,"1,620",18.0,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0.0,Matches
16,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38,38,"3,420",38.0,58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0,Matches
17,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
18,Marcus Bettinelli,eng ENG,GK,Fulham,eng Premier League,26,1992,7,7,630,7.0,20,2.86,40,19,52.5,1,2,4,0,0.0,3,1,1,1,50.0,Matches
19,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,23,1995,25,25,"2,250",25.0,40,1.60,109,69,67.0,7,6,12,6,24.0,5,4,0,1,0.0,Matches
20,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,38,1980,12,12,"1,080",12.0,18,1.50,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0.0,Matches
21,Zacharie Boucher,fr FRA,GK,Angers,fr Ligue 1,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
22,Yassine Bounou,ma MAR,GK,Girona,es La Liga,27,1991,32,32,"2,862",31.8,43,1.35,166,124,77.7,8,10,14,8,25.0,6,6,0,0,0.0,Matches
23,Fabian Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,1995,14,12,"1,127",12.5,28,2.24,61,32,54.1,2,3,7,2,16.7,2,0,1,1,100.0,Matches
24,Gianluigi Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17,17,"1,530",17.0,18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,0,50.0,Matches
25,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32,32,"2,880",32.0,40,1.25,128,88,71.9,21,7,4,10,31.3,4,4,0,0,0.0,Matches
26,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,35,1983,36,36,"3,239",36.0,48,1.33,161,113,72.0,9,15,12,11,30.6,5,3,2,0,40.0,Matches
27,David Button,eng ENG,GK,Brighton,eng Premier League,29,1989,4,4,360,4.0,5,1.25,18,13,83.3,1,1,2,1,25.0,2,2,0,0,0.0,Matches
28,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,36,1981,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
29,Rafael Cabral,br BRA,GK,Sampdoria,it Serie A,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
30,Marc-Aurèle Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21,21,"1,890",21.0,34,1.62,93,58,64.5,4,7,10,6,28.6,2,1,1,0,50.0,Matches
31,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,24,1994,3,3,270,3.0,6,2.00,12,6,58.3,0,1,2,0,0.0,1,1,0,0,0.0,Matches
32,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,26,26,"2,295",25.5,39,1.53,119,79,70.6,11,6,9,8,30.8,5,4,1,0,20.0,Matches
33,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,36,1982,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,,Matches
34,Leandro Chichizola,ar ARG,GK,Getafe,es La Liga,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,Matches
35,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,29,1989,3,3,270,3.0,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,0.0,Matches
36,Joel Coleman,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
37,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,36,36,"3,213",35.7,56,1.57,155,98,66.5,9,15,12,12,33.3,8,4,3,1,42.9,Matches
38,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37,37,"3,330",37.0,42,1.14,152,109,76.3,9,11,17,9,24.3,7,6,1,0,14.3,Matches
39,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27,27,"2,430",27.0,36,1.33,104,67,71.2,14,3,10,8,29.6,8,6,1,1,14.3,Matches
40,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38,38,"3,420",38.0,54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,0,20.0,Matches
41,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,1984,34,34,"3,056",33.9,38,1.12,115,78,68.7,10,12,12,9,26.5,2,2,0,0,0.0,Matches
42,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5,4,0.73,20,16,85.0,3,2,1,2,33.3,1,1,0,0,0.0,Matches
43,Javier Díaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
44,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,21,"1,890",21.0,35,1.67,95,59,69.5,5,4,12,3,14.3,7,6,1,0,14.3,Matches
45,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,26,1992,24,24,"2,160",24.0,30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,0,25.0,Matches
46,Jaume Doménech,es ESP,GK,Valencia,es La Liga,27,1990,4,4,360,4.0,1,0.25,13,12,92.3,2,2,0,3,75.0,0,0,0,0,,Matches
47,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,36,36,"3,092",34.3,31,0.90,126,95,77.8,18,11,7,11,30.6,4,3,1,0,25.0,Matches
48,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,20,1997,3,2,225,2.5,2,0.80,8,6,75.0,0,1,1,1,50.0,0,0,0,0,,Matches
49,Bartłomiej Drągowski,pl POL,GK,Empoli,it Serie A,20,1997,14,14,"1,260",14.0,24,1.71,96,71,78.1,5,2,7,3,21.4,4,3,1,0,25.0,Matches
50,Jaroslav Drobný,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,,Matches
51,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,38,"3,420",38.0,48,1.26,140,93,70.0,12,9,17,11,28.9,6,6,0,0,0.0,Matches
52,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,10,939,10.4,17,1.63,34,16,55.9,5,3,2,1,10.0,3,2,1,0,33.3,Matches
53,Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,38,"3,420",38.0,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0.0,Matches
54,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,"2,880",32.0,66,2.06,214,148,71.5,5,6,21,5,15.6,6,5,1,0,16.7,Matches
55,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,"3,420",38.0,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9,Matches
56,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,"3,420",38.0,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20.0,Matches
57,Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,2.0,5,2.50,21,16,76.2,0,0,2,0,0.0,0,0,0,0,,Matches
58,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,"1,469",16.3,26,1.59,83,58,71.1,4,3,9,3,18.8,2,2,0,0,0.0,Matches
59,Aitor Fernández,es ESP,GK,Levante,es La Liga,27,1991,16,16,"1,440",16.0,24,1.50,83,60,75.9,4,5,7,2,12.5,4,4,0,0,0.0,Matches
60,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,6.0,7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,0.0,Matches
61,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
62,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
63,Ben Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,"3,420",38.0,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20.0,Matches
