,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assits,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,73,120,60.8,1324,635,32,43,74.4,31,51,60.8,9,17,52.9,0,0.4,0.2,-0.4,2,6,2,2,8,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1564,1971,79.4,24295,10061,874,995,87.8,551,687,80.2,101,194,52.1,2,4.4,3.7,-2.4,35,117,52,4,212,Matches
2,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,763,925,82.5,13052,4961,352,375,93.9,342,403,84.9,60,114,52.6,0,0.4,0.6,-0.4,7,69,11,5,88,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,1330,1614,82.4,28130,10765,344,405,84.9,804,877,91.7,171,289,59.2,0,0.1,0.3,-0.1,3,49,3,0,71,Matches
4,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,903,1068,84.6,15602,3725,419,466,89.9,365,405,90.1,90,143,62.9,0,1.6,0.8,-1.6,22,92,5,2,97,Matches
5,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,0.4,6,17,35.3,45,8,5,7,71.4,0,4,0.0,0,2,0.0,0,0.0,0.0,0.0,1,0,1,0,1,Matches
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,514,671,76.6,10872,4118,142,172,82.6,284,332,85.5,83,136,61.0,0,0.4,0.5,-0.4,5,56,6,2,80,Matches
7,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,319,372,85.8,5012,1108,154,174,88.5,129,137,94.2,18,26,69.2,0,0.1,0.1,-0.1,2,14,0,0,19,Matches
8,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1560,1800,86.7,30496,11601,547,598,91.5,765,828,92.4,216,313,69.0,1,1.0,0.6,0.0,10,111,7,1,135,Matches
9,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,580,738,78.6,8818,2290,319,355,89.9,218,266,82.0,30,62,48.4,0,0.8,0.8,-0.8,11,66,12,3,91,Matches
10,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,424,530,80.0,6109,2131,227,272,83.5,146,173,84.4,22,35,62.9,2,1.0,0.8,+1.0,5,53,5,0,64,Matches
11,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,13,24,54.2,389,295,3,3,100.0,3,3,100.0,7,18,38.9,0,0.0,0.0,0.0,0,0,0,0,0,Matches
12,Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,227,320,70.9,4254,1386,105,117,89.7,86,123,69.9,30,63,47.6,2,1.5,0.9,+0.5,13,5,11,10,11,Matches
13,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,837,973,86.0,17115,6832,237,258,91.9,476,518,91.9,109,168,64.9,0,0.1,0.2,-0.1,5,53,3,0,63,Matches
14,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,1998,3.0,74,101,73.3,1068,286,41,52,78.8,25,30,83.3,3,4,75.0,0,0.1,0.0,-0.1,2,1,2,0,4,Matches
15,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,2.4,111,151,73.5,1783,526,54,69,78.3,45,59,76.3,9,16,56.3,0,0.8,0.9,-0.8,6,17,2,1,17,Matches
16,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,77,117,65.8,1301,457,45,54,83.3,23,35,65.7,7,19,36.8,0,0.1,0.1,-0.1,3,5,1,1,8,Matches
17,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,146,238,61.3,1751,325,90,139,64.7,38,66,57.6,3,7,42.9,0,0.7,0.8,-0.7,8,9,4,1,15,Matches
18,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,957,1197,79.9,15766,5283,506,557,90.8,343,422,81.3,76,144,52.8,3,2.4,2.9,+0.6,16,60,23,11,90,Matches
19,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,653,964,67.7,10341,4920,340,413,82.3,246,343,71.7,47,137,34.3,0,0.5,0.9,-0.5,8,54,14,6,89,Matches
20,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,465,604,77.0,9427,4171,153,167,91.6,223,264,84.5,80,148,54.1,0,0.1,0.1,-0.1,2,39,3,2,32,Matches
