,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot_Creating_Action,Shot_Creating_Action_per90,Pass_Live_Shot,Pass_Dead_Shot,Take_Ons_Shot,Shot-Shot,Fouls_drawn_Shot,Defensive_Shot,Goal_Creating_Action,Goal_Creating_Action_90,Pass_Live_Goal,Pass_Dead_Goal,Take_Ons_Goal,Shot_Goal,Fouls_Drawn_Goal,Defensive_Goal,Matches
1767,Neymar,br BRA,"MF,FW",Paris S-G,fr Ligue 1,26,1992,16.0,103,6.44,59,15,15,6,8,0,24,1.50,15,0,4,3,2,0,Matches
1768,Yeni Ngbakoto,cd COD,"MF,FW",Guingamp,fr Ligue 1,26,1992,6.3,19,3.02,8,9,1,0,1,0,1,0.16,1,0,0,0,0,0,Matches
1769,Moussa Niakhate,sn SEN,DF,Mainz 05,de Bundesliga,22,1996,31.0,30,0.97,27,0,1,1,0,1,4,0.13,3,0,0,0,0,1,Matches
1770,M'Baye Niang,sn SEN,"FW,MF",Rennes,fr Ligue 1,23,1994,19.9,40,2.01,28,0,3,1,7,1,8,0.40,4,0,0,1,3,0,Matches
1771,Oumar Niasse,sn SEN,FW,Cardiff City,eng Premier League,28,1990,10.3,21,2.03,12,0,5,2,2,0,0,0.00,0,0,0,0,0,0,Matches
1772,Oumar Niasse,sn SEN,FW,Everton,eng Premier League,28,1990,0.7,1,1.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1773,Hans Nicolussi Caviglia,it ITA,MF,Juventus,it Serie A,18,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1774,Florian Niederlechner,de GER,"FW,MF",Freiburg,de Bundesliga,27,1990,10.8,24,2.23,16,0,2,3,2,1,4,0.37,2,0,0,0,1,1,Matches
1775,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,es La Liga,23,1994,32.5,46,1.42,32,0,5,5,4,0,7,0.22,6,0,0,1,0,0,Matches
1776,Dimitris Nikolaou,gr GRE,DF,Empoli,it Serie A,19,1998,3.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1777,Casimir Ninga,td CHA,"FW,MF",Caen,fr Ligue 1,25,1993,27.4,54,1.97,36,0,9,2,7,0,3,0.11,3,0,0,0,0,0,Matches
1778,Eddie Nketiah,eng ENG,"MF,FW",Arsenal,eng Premier League,19,1999,0.7,5,6.72,2,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1779,Nicolas Nkoulou,cm CMR,DF,Torino,it Serie A,28,1990,35.7,13,0.36,12,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1780,Christopher Nkunku,fr FRA,"MF,FW",Paris S-G,fr Ligue 1,20,1997,12.8,37,2.88,32,0,0,0,3,2,6,0.47,4,0,0,0,1,1,Matches
1781,Mark Noble,eng ENG,MF,West Ham,eng Premier League,31,1987,25.5,64,2.51,55,2,1,1,3,2,12,0.47,10,0,1,0,0,1,Matches
1782,Peru Nolaskoain,es ESP,DF,Athletic Club,es La Liga,19,1998,5.2,4,0.77,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1783,Nolito,es ESP,"FW,DF",Sevilla,es La Liga,31,1986,0.8,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1784,Arnaud Nordin,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,1998,11.7,31,2.66,19,1,5,4,2,0,4,0.34,3,0,0,1,0,0,Matches
1785,Håvard Nordtveit,no NOR,DF,Fulham,eng Premier League,28,1990,4.0,5,1.24,5,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
1786,Håvard Nordtveit,no NOR,"MF,DF",Hoffenheim,de Bundesliga,28,1990,5.2,9,1.72,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1787,Will Norris,eng ENG,GK,Wolves,eng Premier League,24,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1788,Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,21,1996,17.6,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1789,Kasim Nuhu,gh GHA,DF,Hoffenheim,de Bundesliga,23,1995,10.0,7,0.70,5,0,0,1,1,0,2,0.20,2,0,0,0,0,0,Matches
1790,Unai Núñez,es ESP,DF,Athletic Club,es La Liga,21,1997,11.8,5,0.42,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1791,Hans Nunoo Sarpei,gh GHA,"FW,MF",Stuttgart,de Bundesliga,19,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1792,Bram Nuytinck,nl NED,DF,Udinese,it Serie A,28,1990,23.6,18,0.76,15,1,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
1793,Gerzino Nyamsi,fr FRA,DF,Rennes,fr Ligue 1,21,1997,6.0,2,0.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1794,Allan Nyom,cm CMR,"DF,FW",Leganés,es La Liga,30,1988,19.0,33,1.74,30,0,2,1,0,0,2,0.11,2,0,0,0,0,0,Matches
1795,Steven Nzonzi,fr FRA,MF,Roma,it Serie A,29,1988,29.1,58,1.99,51,1,1,3,0,2,2,0.07,2,0,0,0,0,0,Matches
1796,Christian Nørgaard,dk DEN,MF,Fiorentina,it Serie A,24,1994,3.6,4,1.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1797,Michael Obafemi,ie IRL,FW,Southampton,eng Premier League,18,2000,1.5,7,4.60,4,0,1,1,1,0,1,0.66,1,0,0,0,0,0,Matches
1798,Dimitri Oberlin,ch SUI,FW,Empoli,it Serie A,20,1997,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1799,Joel Obi,ng NGA,MF,Chievo,it Serie A,27,1991,7.3,17,2.32,15,0,0,1,1,0,2,0.27,2,0,0,0,0,0,Matches
1800,Pedro Obiang,gq EQG,MF,West Ham,eng Premier League,26,1992,12.5,18,1.44,17,0,0,1,0,0,3,0.24,2,0,0,1,0,0,Matches
1801,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,25,1993,37.0,3,0.08,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1802,Lucas Ocampos,ar ARG,"FW,MF",Marseille,fr Ligue 1,24,1994,30.1,68,2.26,44,2,5,4,11,2,10,0.33,7,0,1,1,1,0,Matches
1803,Bastian Oczipka,de GER,"DF,FW",Schalke 04,de Bundesliga,29,1989,20.8,71,3.41,31,33,2,2,3,0,7,0.34,3,3,1,0,0,0,Matches
1804,Jens Odgaard,dk DEN,FW,Sassuolo,it Serie A,19,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1805,Denis Odoi,gh GHA,DF,Fulham,eng Premier League,30,1988,28.8,31,1.08,25,2,0,0,1,3,1,0.03,1,0,0,0,0,0,Matches
1806,Álvaro Odriozola,es ESP,DF,Real Madrid,es La Liga,22,1995,13.1,35,2.67,27,0,2,0,6,0,5,0.38,3,0,0,0,2,0,Matches
1807,Angelo Ogbonna,it ITA,DF,West Ham,eng Premier League,30,1988,20.8,16,0.77,9,0,0,4,1,2,2,0.10,0,0,0,2,0,0,Matches
1808,Dani Ojeda,es ESP,"MF,DF",Leganés,es La Liga,23,1994,2.1,5,2.33,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
1809,Sheyi Ojo,eng ENG,"FW,MF",Reims,fr Ligue 1,21,1997,5.2,14,2.69,5,1,1,3,4,0,3,0.58,1,0,0,1,1,0,Matches
1810,Stefano Okaka,it ITA,"FW,MF",Watford,eng Premier League,28,1989,0.3,2,7.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1811,Stefano Okaka,it ITA,FW,Udinese,it Serie A,28,1989,10.8,38,3.53,26,0,6,3,3,0,6,0.56,3,0,3,0,0,0,Matches
1812,Shinji Okazaki,jp JPN,"MF,FW",Leicester City,eng Premier League,32,1986,3.2,11,3.44,10,0,0,1,0,0,1,0.31,1,0,0,0,0,0,Matches
1813,Chima Okoroji,ng NGA,"DF,MF",Freiburg,de Bundesliga,21,1997,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1814,Orji Okwonkwo,ng NGA,FW,Bologna,it Serie A,20,1998,2.9,7,2.45,4,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
1815,Lucas Olaza,uy URU,DF,Celta Vigo,es La Liga,24,1994,10.0,14,1.40,12,0,1,0,0,1,2,0.20,2,0,0,0,0,0,Matches
1816,Oier Olazábal,es ESP,GK,Levante,es La Liga,28,1989,21.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1817,Kiko Olivas,es ESP,DF,Valladolid,es La Liga,29,1988,34.4,13,0.38,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1818,Paulo Oliveira,pt POR,DF,Eibar,es La Liga,26,1992,24.9,5,0.20,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1819,Mathías Olivera,uy URU,"DF,MF",Getafe,es La Liga,20,1997,11.2,20,1.79,13,0,2,1,4,0,2,0.18,1,0,0,0,1,0,Matches
1820,Alexandre Olliero,fr FRA,GK,Nantes,fr Ligue 1,22,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1821,Robin Olsen,se SWE,GK,Roma,it Serie A,28,1990,27.0,5,0.19,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1822,Stephane Omeonga,be BEL,MF,Genoa,it Serie A,22,1996,0.6,2,3.16,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1823,Kenneth Omeruo,ng NGA,DF,Leganés,es La Liga,24,1993,27.0,12,0.44,11,0,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
1824,Prince Oniangué,cg CGO,MF,Caen,fr Ligue 1,29,1988,26.0,26,1.00,23,0,0,2,1,0,1,0.04,1,0,0,0,0,0,Matches
1825,Karim Onisiwo,at AUT,"FW,MF",Mainz 05,de Bundesliga,26,1992,12.9,44,3.41,29,0,4,4,5,2,7,0.54,4,0,1,1,0,1,Matches
1826,Nicholas Opoku,gh GHA,DF,Udinese,it Serie A,20,1997,10.1,6,0.59,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1827,Willi Orban,hu HUN,DF,RB Leipzig,de Bundesliga,25,1992,22.8,15,0.66,11,0,0,3,0,1,2,0.09,0,0,0,1,0,1,Matches
1828,Fabián Orellana,cl CHI,"MF,FW",Eibar,es La Liga,32,1986,30.4,151,4.97,86,12,22,10,17,4,13,0.43,8,1,1,0,1,2,Matches
1829,Divock Origi,be BEL,FW,Liverpool,eng Premier League,23,1995,4.1,11,2.67,7,0,1,2,1,0,1,0.24,1,0,0,0,0,0,Matches
1830,Riccardo Orsolini,it ITA,"FW,MF",Bologna,it Serie A,21,1997,21.8,70,3.21,34,12,5,7,11,1,8,0.37,5,3,0,0,0,0,Matches
