,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,120,92,28,3,0,2,11,25,0,0,0,0,73,0,8,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1971,1603,364,46,5,7,42,316,2,0,1,1,1564,4,33,Matches
2,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,925,817,107,14,0,4,26,93,0,0,0,0,763,1,19,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,1614,1543,63,62,0,31,0,1,0,0,0,0,1330,8,19,Matches
4,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,1068,1028,35,17,4,12,24,5,10,1,6,0,903,5,13,Matches
5,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,0.4,17,17,0,0,0,0,0,0,0,0,0,0,6,0,3,Matches
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,671,646,22,20,0,13,8,2,0,0,0,0,514,3,12,Matches
7,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,372,368,4,1,0,0,2,2,0,0,0,0,319,0,9,Matches
8,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1800,1735,61,46,0,15,6,15,0,0,0,0,1560,4,11,Matches
9,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,738,723,11,3,2,4,34,8,0,0,0,0,580,4,28,Matches
10,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,530,511,18,15,4,3,2,3,0,0,0,0,424,1,12,Matches
11,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,24,13,11,0,0,0,0,0,0,0,0,0,13,0,0,Matches
12,Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,320,247,71,13,0,6,50,49,9,3,1,0,227,2,6,Matches
13,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,973,938,32,31,0,5,0,1,0,0,0,0,837,3,5,Matches
14,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,1998,3.0,101,75,24,1,0,1,5,23,0,0,0,0,74,2,5,Matches
15,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,2.4,151,145,5,1,1,2,9,2,2,2,0,0,111,1,3,Matches
16,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,117,89,26,4,0,1,14,16,6,0,6,0,77,2,6,Matches
17,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,238,229,9,0,0,0,6,1,0,0,0,0,146,0,5,Matches
18,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1197,977,217,16,1,34,54,201,0,0,0,0,957,3,34,Matches
19,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,964,752,208,9,0,6,42,197,0,0,0,0,653,4,35,Matches
20,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,604,561,40,18,0,8,3,22,0,0,0,0,465,3,8,Matches
21,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,796,740,52,1,6,1,13,8,1,0,0,0,661,4,27,Matches
22,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,28.1,1640,1334,297,15,0,7,115,281,1,0,0,0,1315,9,51,Matches
23,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,189,180,6,6,0,4,2,0,0,0,0,0,166,3,0,Matches
24,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,35,32,2,2,0,1,2,0,0,0,0,0,27,1,3,Matches
25,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,549,537,12,9,4,8,5,2,0,0,0,0,463,0,8,Matches
26,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,35,27,8,0,0,0,6,8,0,0,0,0,13,0,3,Matches
27,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,24.0,1178,919,257,18,2,7,63,238,1,0,0,0,861,2,44,Matches
28,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,656,643,11,5,3,7,4,6,0,0,0,0,572,2,11,Matches
29,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,737,712,23,21,3,11,2,2,0,0,0,0,633,2,8,Matches
30,Rayan Aït-Nouri,dz ALG,"DF,MF",Angers,fr Ligue 1,17,2001,0.6,35,33,2,0,0,0,0,2,0,0,0,0,30,0,0,Matches
31,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,24,1994,17.0,459,431,26,1,1,5,5,0,0,0,0,0,339,2,11,Matches
32,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1855,1799,54,38,0,27,2,16,0,0,0,0,1722,2,9,Matches
33,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,443,351,89,3,1,5,7,86,0,0,0,0,332,3,13,Matches
34,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,1733,1646,85,56,1,6,6,29,0,0,0,0,1491,2,14,Matches
35,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,84,73,9,0,0,0,8,9,0,0,0,0,64,2,2,Matches
36,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,161,161,0,0,0,0,8,0,0,0,0,0,119,0,7,Matches
37,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,269,255,14,8,0,0,0,6,0,0,0,0,228,0,5,Matches
38,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,171,164,7,5,0,1,0,2,0,0,0,0,135,0,6,Matches
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,2153,1843,300,30,1,9,115,265,5,0,5,0,1769,10,52,Matches
40,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,1096,838,254,5,2,2,40,249,0,0,0,0,832,4,32,Matches
41,Lucas Alario,ar ARG,"FW,MF",Leverkusen,de Bundesliga,25,1992,14.1,412,386,24,1,0,2,5,1,0,0,0,0,307,2,18,Matches
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2695,2356,332,55,9,16,52,276,1,0,0,0,2279,7,44,Matches
43,Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,1487,1236,241,52,12,18,171,27,136,46,69,0,1115,10,39,Matches
44,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1131,1095,35,35,2,18,3,0,0,0,0,0,1009,1,8,Matches
45,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,966,756,203,13,0,3,57,188,2,0,2,0,715,7,31,Matches
46,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,776,732,33,5,9,9,125,19,8,3,3,1,448,11,54,Matches
47,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,290,255,32,0,8,0,3,2,0,0,0,0,213,3,3,Matches
48,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,869,823,44,43,0,19,3,1,0,0,0,0,686,2,8,Matches
49,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2587,2437,146,75,3,49,69,7,62,47,2,1,2325,4,20,Matches
50,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,1757,1645,106,92,2,54,39,0,14,8,3,1,1438,6,29,Matches
51,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2382,2289,83,75,6,32,6,8,0,0,0,0,2097,10,10,Matches
52,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,32,30,2,0,0,0,0,0,0,0,0,0,22,0,3,Matches
53,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
54,Iván Alejo,es ESP,MF,Getafe,es La Liga,23,1995,1.6,43,36,6,3,0,1,7,3,0,0,0,0,18,1,2,Matches
55,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,587,572,12,3,3,2,3,8,1,1,0,0,536,3,9,Matches
56,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,871,573,295,82,0,0,0,0,0,0,0,0,623,3,5,Matches
57,Alexander,ar ARG,FW,Leganés,es La Liga,29,1988,0.1,8,6,2,1,0,0,3,0,1,0,1,0,4,0,0,Matches
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,2236,1774,449,51,3,40,201,324,74,28,31,3,1644,13,51,Matches
59,Alfonso,mz MOZ,MF,Hoffenheim,de Bundesliga,18,1999,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
60,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,383,363,18,0,1,3,19,5,0,0,0,0,266,2,5,Matches
61,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1290,984,304,88,0,3,0,0,0,0,0,0,1075,2,2,Matches
62,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,458,281,177,52,0,0,0,0,0,0,0,0,292,0,0,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,2231,2107,110,70,7,13,14,18,0,0,0,0,1979,14,32,Matches
64,Allan,br BRA,MF,Eint Frankfurt,de Bundesliga,21,1997,2.0,64,63,1,1,0,1,3,0,0,0,0,0,42,0,2,Matches
65,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,1996,20.3,1056,1005,43,13,18,4,10,10,3,0,0,0,836,8,33,Matches
66,Miguel Almirón,py PAR,MF,Newcastle Utd,eng Premier League,24,1994,8.4,263,261,2,0,1,2,21,1,1,0,1,0,188,0,12,Matches
67,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,1993,6.0,319,278,39,4,0,3,12,35,0,0,0,0,233,2,8,Matches
68,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2255,1950,302,30,2,17,98,272,0,0,0,0,1862,3,52,Matches
69,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,301,238,63,7,0,1,22,56,0,0,0,0,185,0,10,Matches
70,Sergio Álvarez,es ESP,"DF,MF",Eibar,es La Liga,26,1992,11.9,500,491,7,7,0,3,0,0,0,0,0,0,395,2,8,Matches
71,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,463,304,154,26,0,1,0,0,0,0,0,0,302,5,0,Matches
72,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1294,1233,57,55,0,12,4,2,0,0,0,0,1031,4,11,Matches
73,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,1245,1155,77,74,1,22,17,0,0,0,0,0,962,13,7,Matches
74,Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,1983,18.0,1581,1489,84,18,21,12,61,60,6,0,4,0,1316,8,37,Matches
75,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,1993,8.5,361,355,3,3,0,3,6,0,0,0,0,0,302,3,9,Matches
76,Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,1989,28.0,1083,1055,20,8,3,24,25,12,0,0,0,0,835,8,20,Matches
