,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked
1175,1404,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,22.0,2001.0,30.4,1200.0,1110.0,86.0,17.0,6.0,30.0,99,22.0,45.0,27.0,12.0,0.0,965.0,4.0,22.0
1176,1405,Giorgi Kvernadze,ge GEO,"FW,DF",Frosinone,it Serie A,20.0,2003.0,0.7,36.0,32.0,4.0,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,31.0,0.0,2.0
1177,1406,Moritz-Broni Kwarteng,gh GHA,FW,Bochum,de Bundesliga,25.0,1998.0,3.1,94.0,91.0,3.0,0.0,0.0,0.0,5,1.0,2.0,0.0,1.0,0.0,67.0,0.0,1.0
1178,1407,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,27.0,1995.0,11.4,265.0,235.0,27.0,0.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,198.0,3.0,8.0
1179,1408,Giorgos Kyriakopoulos,gr GRE,DF,Monza,it Serie A,27.0,1996.0,19.0,1080.0,908.0,170.0,17.0,0.0,0.0,84,136.0,17.0,1.0,16.0,0.0,891.0,2.0,30.0
1180,1409,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,25.0,1998.0,21.7,764.0,756.0,4.0,2.0,1.0,0.0,17,0.0,0.0,0.0,0.0,0.0,620.0,4.0,36.0
1181,1410,Gaëtan Laborde,fr FRA,"FW,MF",Nice,fr Ligue 1,29.0,1994.0,21.2,558.0,540.0,16.0,3.0,0.0,2.0,62,4.0,6.0,5.0,1.0,0.0,366.0,2.0,21.0
1182,1411,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,32.0,1991.0,25.5,561.0,514.0,42.0,1.0,8.0,6.0,10,2.0,0.0,0.0,0.0,0.0,397.0,5.0,18.0
1183,1412,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,23.0,2000.0,26.2,1449.0,1353.0,91.0,65.0,0.0,12.0,5,2.0,0.0,0.0,0.0,0.0,1228.0,5.0,9.0
1184,1414,Yoel Lago,es ESP,DF,Celta Vigo,es La Liga,19.0,2004.0,1.0,86.0,83.0,3.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
1185,1415,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,26.0,1996.0,11.9,512.0,491.0,19.0,5.0,2.0,1.0,22,3.0,1.0,0.0,0.0,0.0,404.0,2.0,11.0
1186,1416,Konrad Laimer,at AUT,"DF,MF",Bayern Munich,de Bundesliga,26.0,1997.0,19.7,1457.0,1339.0,113.0,24.0,4.0,5.0,31,83.0,4.0,0.0,0.0,0.0,1294.0,5.0,29.0
1187,1417,Stefan Lainer,at AUT,"DF,MF",Gladbach,de Bundesliga,30.0,1992.0,8.3,483.0,415.0,67.0,4.0,1.0,0.0,19,62.0,1.0,0.0,0.0,0.0,375.0,1.0,11.0
1188,1418,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,31.0,1991.0,33.0,2195.0,1784.0,404.0,85.0,0.0,20.0,143,310.0,9.0,3.0,6.0,0.0,1713.0,7.0,62.0
1189,1419,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35.0,1988.0,9.4,509.0,491.0,15.0,5.0,3.0,0.0,7,0.0,4.0,0.0,0.0,0.0,451.0,3.0,9.0
