,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received
0,0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,1841.0,160.0,721.0,703.0,440.0,23.0,1841.0,68.0,34.0,50.0,34.0,50.0,953.0,6454.0,3377.0,78.0,47.0,12.0,38.0,23.0,1030.0,85.0
1,1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1919.0,212.0,1017.0,843.0,84.0,24.0,1919.0,18.0,14.0,77.8,4.0,22.2,1194.0,6451.0,3558.0,23.0,19.0,0.0,28.0,13.0,1202.0,14.0
2,2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1948.0,39.0,557.0,1146.0,261.0,16.0,1948.0,41.0,26.0,63.4,15.0,36.6,1386.0,6570.0,2687.0,24.0,23.0,3.0,42.0,30.0,1481.0,47.0
3,3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,2032.0,24.0,404.0,1298.0,357.0,13.0,2032.0,61.0,39.0,63.9,22.0,36.1,1311.0,5629.0,2353.0,30.0,39.0,3.0,52.0,40.0,1410.0,73.0
4,4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,12.0,0.0,0.0,5.0,8.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,1.0,0.0,0.0,0.0,3.0,0.0,9.0,4.0
5,5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,246.0,6.0,24.0,108.0,115.0,23.0,246.0,20.0,7.0,35.0,13.0,65.0,131.0,629.0,266.0,14.0,5.0,6.0,29.0,10.0,160.0,38.0
6,6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,20.0,1.0,1.0,6.0,13.0,3.0,20.0,6.0,3.0,50.0,3.0,50.0,11.0,55.0,17.0,1.0,1.0,0.0,1.0,3.0,12.0,6.0
7,7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,1064.0,32.0,73.0,508.0,495.0,173.0,1061.0,77.0,38.0,49.4,39.0,50.6,494.0,2592.0,1129.0,41.0,31.0,22.0,86.0,41.0,736.0,199.0
8,8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,286.0,45.0,178.0,106.0,5.0,4.0,286.0,0.0,0.0,0.0,0.0,0.0,149.0,760.0,487.0,1.0,0.0,0.0,0.0,0.0,180.0,1.0
9,9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2295.0,268.0,1102.0,1143.0,59.0,22.0,2295.0,6.0,4.0,66.7,2.0,33.3,1364.0,6893.0,4301.0,31.0,19.0,0.0,13.0,4.0,1641.0,10.0
10,10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,1998,2.9,117.0,1.0,7.0,46.0,65.0,17.0,117.0,11.0,6.0,54.5,5.0,45.5,72.0,450.0,176.0,8.0,5.0,3.0,16.0,9.0,97.0,29.0
11,11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,9.0,0.0,2.0,5.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
12,12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,2184.0,54.0,637.0,959.0,618.0,19.0,2184.0,66.0,44.0,66.7,22.0,33.3,1256.0,6253.0,3799.0,73.0,58.0,2.0,38.0,27.0,1467.0,153.0
13,13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,712.0,22.0,81.0,293.0,344.0,94.0,712.0,35.0,20.0,57.1,15.0,42.9,394.0,1804.0,651.0,19.0,13.0,13.0,59.0,34.0,537.0,153.0
14,14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,1062.0,28.0,184.0,739.0,150.0,10.0,1062.0,23.0,13.0,56.5,10.0,43.5,607.0,2825.0,1319.0,20.0,21.0,3.0,20.0,9.0,750.0,23.0
15,15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,1993,3.7,149.0,2.0,17.0,72.0,63.0,9.0,149.0,12.0,6.0,50.0,6.0,50.0,89.0,547.0,224.0,9.0,3.0,0.0,12.0,5.0,95.0,26.0
16,16,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,2003,3.9,193.0,8.0,42.0,91.0,64.0,7.0,193.0,9.0,6.0,66.7,3.0,33.3,108.0,528.0,247.0,5.0,5.0,1.0,8.0,6.0,101.0,13.0
17,17,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,2000,14.0,729.0,9.0,116.0,347.0,282.0,57.0,729.0,37.0,21.0,56.8,16.0,43.2,456.0,2836.0,1731.0,51.0,29.0,15.0,47.0,18.0,531.0,105.0
18,18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,1531.0,16.0,266.0,793.0,491.0,45.0,1531.0,80.0,46.0,57.5,34.0,42.5,996.0,5781.0,2665.0,66.0,50.0,17.0,59.0,47.0,1050.0,99.0
19,19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,292.0,12.0,68.0,171.0,56.0,8.0,292.0,4.0,1.0,25.0,3.0,75.0,143.0,635.0,297.0,2.0,2.0,2.0,9.0,5.0,196.0,9.0
20,20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,2003,7.4,278.0,0.0,17.0,91.0,175.0,39.0,278.0,20.0,5.0,25.0,15.0,75.0,193.0,1367.0,519.0,19.0,16.0,9.0,42.0,21.0,212.0,77.0
21,21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,966.0,43.0,298.0,448.0,227.0,12.0,966.0,19.0,14.0,73.7,5.0,26.3,429.0,1647.0,869.0,15.0,19.0,1.0,22.0,8.0,465.0,40.0
22,23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,1210.0,55.0,354.0,666.0,206.0,30.0,1210.0,32.0,22.0,68.8,10.0,31.3,705.0,3509.0,1564.0,16.0,19.0,6.0,19.0,17.0,741.0,28.0
23,24,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,583.0,10.0,72.0,266.0,262.0,32.0,583.0,51.0,28.0,54.9,23.0,45.1,323.0,2163.0,1155.0,41.0,35.0,15.0,40.0,37.0,374.0,56.0
24,25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,2469.0,221.0,1143.0,1274.0,59.0,34.0,2469.0,6.0,5.0,83.3,1.0,16.7,1611.0,7937.0,4516.0,11.0,7.0,0.0,7.0,4.0,1849.0,1.0
25,26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,57.0,0.0,1.0,26.0,31.0,15.0,57.0,2.0,1.0,50.0,1.0,50.0,34.0,172.0,85.0,4.0,2.0,2.0,4.0,1.0,53.0,13.0
