,Player,Nationality,Position,Squad,Competition,Age,Year_of_Birth,Matches_Played,Minutes,Minutes_Per_Match_Played,Percentage_of_Squad_Minutes_Played,90s_Played,Starts,Minutes_Per_Match_Started,Complete_Matches_Played,Games_Played_as_Sub,Minutes_Per_Substitution,Games_as_Unused_Sub,Points_per_Match,Goals_Scored_(on_pitch),Goals_Allowed_(on_pitch),Plus/Minus,Plus/Minus_per_90,On-Off,xG_(on_pitch),xGA_(on_pitch),xG_Plus/Minus,xG_Plus/Minus_per_90,xG_On-Off,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,11,6,0.3,0.1,0,,0,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.2,-0.2,-1.75,-1.81,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,"1,777",81,52.0,19.7,20,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,17.1,30.9,-13.8,-0.70,-0.13,Matches
2,Basit Abdallah,gh GHA,MF,Benevento,it Serie A,20,1999,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,"2,889",88,84.5,32.1,33,88,32,0,,0,1.18,37,39,-2,-0.06,+0.95,29.1,45.4,-16.2,-0.51,+1.20,Matches
4,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,60,20,1.8,0.7,0,,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.4,-0.4,-0.65,-0.51,Matches
5,Eris Abedini,xk KVX,MF,Granada,es La Liga,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,"1,320",73,38.6,14.7,15,83,10,3,23,1,0.94,13,23,-10,-0.68,-0.77,16.2,22.8,-6.6,-0.45,-0.54,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,"2,963",78,86.6,32.9,32,85,22,6,40,0,1.11,42,53,-11,-0.33,+1.04,41.8,43.0,-1.2,-0.04,+0.52,Matches
8,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.5,16.1,-0.6,-0.06,-0.03,Matches
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,2,2,0.1,0.0,0,,0,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.4,0.0,+0.4,+17.75,+17.50,Matches
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,"1,260",90,36.8,14.0,14,90,14,0,,1,1.64,21,18,+3,+0.21,+0.84,20.0,19.6,+0.4,+0.03,+0.10,Matches
11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,21,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
12,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,"1,222",87,39.9,13.6,14,87,12,0,,0,1.64,25,17,+8,+0.59,+0.20,24.9,15.8,+9.1,+0.67,+0.55,Matches
13,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,"1,040",47,30.4,11.6,12,74,7,10,15,8,1.77,23,12,+11,+0.95,+0.54,20.0,8.2,+11.8,+1.02,+0.25,Matches
14,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,5,60,12,2.0,0.7,0,,0,5,12,7,2.40,1,1,0,0.00,0.00,1.0,1.3,-0.3,-0.44,-0.24,Matches
15,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,14,441,32,12.9,4.9,2,90,1,12,22,9,0.86,8,12,-4,-0.82,-0.33,6.1,9.3,-3.2,-0.64,-0.18,Matches
16,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,"2,813",88,82.3,31.3,32,88,30,0,,0,1.88,51,44,+7,+0.22,+0.37,48.6,39.2,+9.3,+0.30,+0.08,Matches
17,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,7,100,14,3.3,1.1,0,,0,7,14,3,2.29,4,1,+3,+2.70,+2.30,1.9,2.2,-0.2,-0.22,-0.58,Matches
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,"2,330",78,68.1,25.9,26,83,22,4,46,1,1.97,37,28,+9,+0.35,-0.56,41.1,23.8,+17.3,+0.67,+0.48,Matches
19,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,"2,667",74,78.0,29.6,30,84,16,6,25,0,1.11,39,51,-12,-0.40,+0.67,32.1,37.4,-5.3,-0.18,+0.60,Matches
20,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,27,"1,850",69,60.5,20.6,21,83,13,6,20,1,2.11,35,19,+16,+0.78,-0.11,37.0,18.7,+18.2,+0.89,-0.36,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,18,479,27,15.7,5.3,3,77,1,15,16,6,1.50,13,6,+7,+1.32,+1.63,11.1,10.4,+0.7,+0.13,+0.20,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,"2,953",89,86.3,32.8,33,89,32,0,,1,0.85,24,41,-17,-0.52,+1.22,35.8,46.2,-10.4,-0.32,+0.01,Matches
23,Enzo Adeagbo,ch SUI,DF,Lazio,it Serie A,18,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
24,Bobby Adekanye,nl NED,"FW,MF",Lazio,it Serie A,21,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
25,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,3,36,12,1.1,0.4,0,,0,3,12,6,2.33,0,0,0,0.00,+0.59,0.9,0.5,+0.4,+0.91,+1.47,Matches
26,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,"2,418",69,70.7,26.9,25,84,16,10,32,0,1.17,28,47,-19,-0.71,-1.16,30.4,40.4,-9.9,-0.37,-0.24,Matches
27,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,10,10,0.3,0.1,0,,0,1,10,5,0.00,0,1,-1,-9.00,-7.87,0.0,0.9,-0.8,-7.55,-7.08,Matches
28,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,270,90,7.9,3.0,3,90,3,0,,27,1.33,6,9,-3,-1.00,-1.83,7.1,4.6,+2.4,+0.81,+0.17,Matches
29,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,26,"1,558",60,45.6,17.3,16,83,11,10,24,12,1.12,19,31,-12,-0.69,-0.26,16.7,26.0,-9.3,-0.54,-0.63,Matches
30,Giuseppe Agostino,it ITA,GK,Genoa,it Serie A,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
31,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,800,67,23.4,8.9,9,84,6,3,13,22,1.08,14,14,0,0.00,+0.69,12.6,16.1,-3.5,-0.39,+0.13,Matches
32,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,15,701,47,22.9,7.8,8,76,5,7,13,16,1.00,12,15,-3,-0.39,+0.30,8.7,14.8,-6.1,-0.78,-0.24,Matches
33,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,"1,356",47,39.6,15.1,14,72,4,15,23,8,1.03,26,26,0,0.00,+0.87,19.7,22.7,-3.0,-0.20,+0.48,Matches
