,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assits,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
531,Coke,es ESP,DF,Levante,es La Liga,33,1987,9.3,363,457,79.4,6263,2309,178,209,85.2,138,164,84.1,41,64,64.1,0,0.6,0.5,-0.6,5,26,11,2,39,Matches
532,Séamus Coleman,ie IRL,"DF,MF",Everton,eng Premier League,31,1988,17.9,620,765,81.0,9779,3467,350,385,90.9,205,254,80.7,48,84,57.1,3,1.8,1.6,+1.2,19,32,14,3,49,Matches
533,Ebrima Colley,gm GAM,"MF,FW",Hellas Verona,it Serie A,20,2000,8.2,183,255,71.8,2449,447,119,144,82.6,47,71,66.2,7,12,58.3,0,0.7,0.8,-0.7,7,16,6,0,22,Matches
534,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,27,1992,28.8,1098,1360,80.7,22524,8809,323,376,85.9,596,662,90.0,160,286,55.9,0,0.1,0.2,-0.1,2,91,0,0,87,Matches
535,Simone Colombi,it ITA,GK,Parma,it Serie A,29,1991,2.0,38,52,73.1,1288,1156,10,10,100.0,8,9,88.9,19,32,59.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
536,Lorenzo Colombo,it ITA,FW,Milan,it Serie A,18,2002,1.0,7,13,53.8,73,25,4,6,66.7,2,3,66.7,0,0,,0,0.0,0.1,0.0,0,0,2,1,1,Matches
537,Racine Coly,sn SEN,MF,Nice,fr Ligue 1,24,1995,0.2,19,21,90.5,242,50,12,12,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
538,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,24,1996,19.5,662,844,78.4,10231,1779,358,409,87.5,220,280,78.6,52,80,65.0,10,6.4,7.2,+3.6,45,19,43,21,76,Matches
539,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,35,1985,36.6,1314,1521,86.4,26567,11032,426,472,90.3,685,753,91.0,191,267,71.5,0,0.2,0.9,-0.2,4,86,2,0,101,Matches
540,Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,20,2000,8.8,72,94,76.6,844,176,51,65,78.5,14,16,87.5,0,1,0.0,1,0.2,0.1,+0.8,6,3,1,0,4,Matches
541,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37.0,1102,1358,81.1,24274,16006,418,421,99.3,397,410,96.8,274,510,53.7,0,0.0,0.0,0.0,0,18,0,0,1,Matches
542,Andrea Conti,it ITA,DF,Milan,it Serie A,26,1994,0.3,21,24,87.5,406,122,7,7,100.0,13,16,81.3,1,1,100.0,0,0.1,0.1,-0.1,1,1,1,0,3,Matches
543,Andrea Conti,it ITA,DF,Parma,it Serie A,26,1994,9.0,373,461,80.9,6512,2536,160,180,88.9,176,213,82.6,30,48,62.5,0,0.5,0.5,-0.5,7,29,10,6,42,Matches
544,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,28,1991,24.3,1415,1662,85.1,28083,9127,404,441,91.6,862,921,93.6,133,248,53.6,0,0.0,0.7,0.0,0,63,3,0,88,Matches
545,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,29,1991,8.2,447,506,88.3,6728,1479,252,276,91.3,150,161,93.2,26,31,83.9,0,0.6,0.5,-0.6,4,28,3,0,31,Matches
546,Theo Corbeanu,ca CAN,FW,Wolves,eng Premier League,18,2002,0.1,3,3,100.0,52,23,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0,Matches
547,Sébastien Corchia,fr FRA,DF,Nantes,fr Ligue 1,29,1990,23.0,648,986,65.7,10568,5291,324,385,84.2,251,364,69.0,45,154,29.2,1,2.8,1.8,-1.8,27,45,9,5,68,Matches
548,Alex Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36.0,1045,1441,72.5,27128,20701,263,266,98.9,447,467,95.7,330,699,47.2,0,0.0,0.0,0.0,1,14,0,0,1,Matches
549,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,es La Liga,23,1997,1.1,15,33,45.5,165,68,10,17,58.8,4,10,40.0,0,3,0.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
550,Iñigo Córdoba,es ESP,MF,Alavés,es La Liga,23,1997,2.4,46,80,57.5,744,339,22,30,73.3,15,22,68.2,6,16,37.5,0,0.1,0.3,-0.1,3,2,3,1,7,Matches
551,Jhon Córdoba,co COL,FW,Hertha BSC,de Bundesliga,27,1993,17.1,226,304,74.3,3265,352,126,152,82.9,60,81,74.1,19,22,86.4,1,1.6,1.2,-0.6,24,14,5,2,16,Matches
552,Sergio Córdova,ve VEN,"FW,MF",Arminia,de Bundesliga,22,1997,12.1,161,251,64.1,2181,625,105,135,77.8,32,57,56.1,12,20,60.0,1,0.9,1.0,+0.1,12,25,2,0,21,Matches
553,Jack Cork,eng ENG,MF,Burnley,eng Premier League,31,1989,15.0,424,511,83.0,5856,1296,229,258,88.8,133,155,85.8,23,36,63.9,0,0.6,0.6,-0.6,8,43,4,1,37,Matches
554,Andreas Cornelius,dk DEN,FW,Parma,it Serie A,27,1993,21.1,397,591,67.2,5646,961,232,323,71.8,119,162,73.5,20,32,62.5,4,3.5,1.7,+0.5,24,36,9,1,45,Matches
555,Maxwel Cornet,ci CIV,"DF,FW",Lyon,fr Ligue 1,23,1996,27.2,1331,1715,77.6,20069,7736,772,883,87.4,438,580,75.5,83,161,51.6,5,3.5,3.0,+1.5,25,84,19,12,128,Matches
556,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,25,1995,26.6,690,898,76.8,8438,1861,407,480,84.8,168,222,75.7,28,56,50.0,8,5.7,4.8,+2.3,38,46,32,2,84,Matches
557,Joaquín Correa,ar ARG,FW,Lazio,it Serie A,25,1994,21.5,579,718,80.6,8706,1673,309,349,88.5,192,223,86.1,43,58,74.1,3,2.2,2.2,+0.8,29,42,22,0,69,Matches
558,Rober Correa,es ESP,DF,Eibar,es La Liga,27,1992,12.6,436,636,68.6,7653,2858,209,253,82.6,172,257,66.9,47,101,46.5,2,1.9,1.8,+0.1,11,36,12,10,41,Matches
559,Félix Correia,pt POR,MF,Juventus,it Serie A,19,2001,0.1,7,8,87.5,93,28,4,5,80.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,3,Matches
560,Thierry Correia,pt POR,DF,Valencia,es La Liga,21,1999,23.7,892,1217,73.3,15177,4935,425,505,84.2,359,467,76.9,83,164,50.6,1,1.2,1.3,-0.2,18,43,21,13,46,Matches
561,Danny da Costa,de GER,"DF,FW",Mainz 05,de Bundesliga,27,1993,13.4,312,531,58.8,6220,3169,109,152,71.7,157,249,63.1,42,100,42.0,1,2.3,2.0,-1.3,13,38,18,9,48,Matches
562,Danny da Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27,1993,1.2,34,49,69.4,497,215,20,24,83.3,10,14,71.4,3,6,50.0,0,0.0,0.1,0.0,0,2,3,1,5,Matches
563,David Pereira da Costa,pt POR,"MF,FW",Lens,fr Ligue 1,19,2001,1.8,36,46,78.3,593,165,16,18,88.9,13,15,86.7,5,9,55.6,1,0.1,0.2,+0.9,2,4,2,1,4,Matches
564,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,31,1988,2.3,57,74,77.0,716,71,37,45,82.2,10,13,76.9,4,4,100.0,0,0.5,0.4,-0.5,4,1,6,0,6,Matches
565,Douglas Costa,br BRA,"MF,FW",Juventus,it Serie A,29,1990,0.5,19,25,76.0,257,65,12,13,92.3,5,8,62.5,1,2,50.0,0,0.1,0.0,-0.1,1,0,0,0,1,Matches
566,Douglas Costa,br BRA,"FW,MF",Bayern Munich,de Bundesliga,29,1990,3.6,127,185,68.6,2276,622,62,74,83.8,43,59,72.9,19,32,59.4,1,0.8,1.0,+0.2,6,13,6,1,17,Matches
567,Hélder Costa,ao ANG,"MF,FW",Leeds United,eng Premier League,26,1994,12.8,242,331,73.1,3063,741,152,178,85.4,68,88,77.3,5,21,23.8,3,0.6,0.6,+2.4,8,4,10,2,28,Matches
568,Jaume Costa,es ESP,"DF,MF",Villarreal,es La Liga,32,1988,3.9,202,244,82.8,3067,1046,117,128,91.4,69,86,80.2,12,22,54.5,1,0.2,0.2,+0.8,5,9,6,1,13,Matches
569,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,36,1983,6.0,248,283,87.6,5919,3779,59,59,100.0,132,132,100.0,56,91,61.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
570,Charles Costes,fr FRA,MF,Dijon,fr Ligue 1,17,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
571,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38.0,937,1328,70.6,29221,23421,125,125,100.0,411,420,97.9,399,779,51.2,0,0.0,0.1,0.0,0,20,1,0,3,Matches
572,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,27,1992,33.9,1196,1746,68.5,18589,9100,654,749,87.3,414,619,66.9,93,236,39.4,7,5.5,3.9,+1.5,45,90,37,23,128,Matches
573,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,28,1991,10.9,155,269,57.6,1850,497,102,158,64.6,36,67,53.7,4,6,66.7,1,1.1,0.9,-0.1,10,14,2,0,20,Matches
574,Lassana Coulibaly,ml MLI,MF,Angers,fr Ligue 1,24,1996,18.7,547,671,81.5,9647,2433,238,270,88.1,244,284,85.9,51,72,70.8,1,0.6,0.6,+0.4,7,57,4,1,65,Matches
575,Mamadou Coulibaly,sn SEN,MF,Udinese,it Serie A,21,1999,2.0,59,80,73.8,943,252,28,37,75.7,19,23,82.6,7,8,87.5,0,0.1,0.2,-0.1,2,9,3,1,12,Matches
576,Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,25,1994,21.5,815,1025,79.5,16826,6947,234,263,89.0,466,530,87.9,110,201,54.7,0,0.2,0.1,-0.2,1,37,0,0,47,Matches
577,Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,de Bundesliga,19,2001,16.7,340,471,72.2,4667,1049,207,259,79.9,94,126,74.6,15,27,55.6,1,2.6,1.9,-1.6,15,17,9,3,29,Matches
578,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,28,1992,38.0,1087,1323,82.2,27107,16751,175,175,100.0,665,675,98.5,245,468,52.4,0,0.0,0.0,0.0,0,12,1,0,0,Matches
579,Philippe Coutinho,br BRA,"MF,FW",Barcelona,es La Liga,28,1992,7.3,444,519,85.5,5834,1273,276,298,92.6,116,133,87.2,18,37,48.6,2,0.7,1.1,+1.3,6,35,16,2,58,Matches
580,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,21,1999,15.2,475,603,78.8,8566,3905,198,217,91.2,219,264,83.0,49,86,57.0,0,0.4,0.2,-0.4,6,32,6,2,42,Matches
581,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,26,1994,34.0,671,964,69.6,18986,15706,175,176,99.4,227,233,97.4,259,541,47.9,0,0.0,0.0,0.0,0,8,0,0,0,Matches
582,Gian Crespi,it ITA,GK,Crotone,it Serie A,19,2001,1.0,35,40,87.5,815,686,11,11,100.0,14,14,100.0,9,14,64.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
583,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,30,1989,35.2,1586,2141,74.1,28632,13845,754,847,89.0,606,755,80.3,198,429,46.2,8,6.5,5.0,+1.5,58,174,26,18,162,Matches
584,Domenico Criscito,it ITA,DF,Genoa,it Serie A,33,1986,19.2,872,1086,80.3,16300,6632,353,390,90.5,395,454,87.0,106,199,53.3,0,0.4,0.8,-0.4,6,89,12,4,83,Matches
585,Bryan Cristante,it ITA,"DF,MF",Roma,it Serie A,25,1995,23.9,1224,1481,82.6,25163,9483,394,445,88.5,630,679,92.8,186,304,61.2,3,1.3,1.6,+1.7,16,112,21,3,142,Matches
586,Giovanni Crociata,it ITA,DF,Crotone,it Serie A,22,1997,0.3,11,15,73.3,163,62,7,8,87.5,4,7,57.1,0,0,,0,0.1,0.0,-0.1,1,2,1,0,4,Matches
587,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,28,1992,21.8,592,872,67.9,10021,5152,286,338,84.6,240,344,69.8,50,131,38.2,0,0.5,0.6,-0.5,11,49,11,8,58,Matches
588,Juan Cuadrado,co COL,"DF,MF",Juventus,it Serie A,32,1988,24.2,1466,1788,82.0,26948,7280,621,685,90.7,661,743,89.0,168,290,57.9,10,8.2,5.8,+1.8,60,94,35,8,132,Matches
589,Andrés Cubas,py PAR,MF,Nîmes,fr Ligue 1,24,1996,24.9,845,1018,83.0,15409,4847,334,383,87.2,381,429,88.8,94,146,64.4,0,0.6,0.6,-0.6,9,59,4,0,76,Matches
590,Sergio Cubero Ezcurra,es ESP,MF,Eibar,es La Liga,20,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
591,Cucho,co COL,"FW,MF",Getafe,es La Liga,21,1999,16.3,337,515,65.4,4784,1206,203,268,75.7,84,128,65.6,26,47,55.3,3,1.3,1.3,+1.7,20,21,17,4,40,Matches
592,Marc Cucurella,es ESP,MF,Getafe,es La Liga,22,1998,36.0,923,1351,68.3,13451,4428,544,667,81.6,266,388,68.6,59,143,41.3,2,3.6,3.2,-1.6,39,64,36,16,103,Matches
593,Mickaël Cuisance,fr FRA,MF,Marseille,fr Ligue 1,20,1999,11.4,415,500,83.0,6255,1257,244,268,91.0,116,136,85.3,35,51,68.6,1,0.5,0.7,+0.5,9,49,11,0,45,Matches
594,Mickaël Cuisance,fr FRA,FW,Bayern Munich,de Bundesliga,20,1999,0.2,9,10,90.0,130,4,4,4,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
595,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,21,1999,23.9,492,758,64.9,9271,3084,220,289,76.1,159,224,71.0,91,168,54.2,4,4.5,3.9,-0.5,49,65,23,2,85,Matches
596,Giuseppe Cuomo,it ITA,DF,Crotone,it Serie A,22,1998,8.9,412,516,79.8,7409,2875,155,175,88.6,224,249,90.0,28,71,39.4,0,0.0,0.1,0.0,0,15,1,0,44,Matches
597,Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,22,1998,0.3,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
598,Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,22,1998,2.2,39,53,73.6,433,49,26,32,81.3,10,13,76.9,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
599,Patrick Cutrone,it ITA,FW,Valencia,es La Liga,22,1998,1.2,16,23,69.6,292,46,8,12,66.7,5,6,83.3,2,3,66.7,0,0.3,0.1,-0.3,1,1,2,0,3,Matches
600,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,25,1995,4.6,248,299,82.9,4730,1033,94,105,89.5,119,130,91.5,30,52,57.7,0,0.2,0.3,-0.2,4,18,3,1,20,Matches
601,Rafael Czichos,de GER,DF,Köln,de Bundesliga,30,1990,25.1,1103,1348,81.8,23181,9992,316,365,86.6,604,667,90.6,172,283,60.8,0,0.1,0.7,-0.1,3,76,7,2,103,Matches
602,Lennart-Marten Czyborra,de GER,DF,Genoa,it Serie A,21,1999,13.0,416,574,72.5,5970,2030,246,282,87.2,137,200,68.5,17,54,31.5,0,0.3,0.6,-0.3,4,18,11,6,26,Matches
603,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,31,1988,7.8,431,476,90.5,7052,2371,180,191,94.2,200,210,95.2,27,37,73.0,0,0.2,0.2,-0.2,3,35,1,1,35,Matches
604,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,32,1988,29.6,1784,2037,87.6,37006,13770,534,573,93.2,1006,1078,93.3,235,355,66.2,0,0.3,0.6,-0.3,5,142,5,1,145,Matches
605,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,de Bundesliga,28,1992,11.1,231,324,71.3,3253,955,130,167,77.8,74,88,84.1,10,21,47.6,0,0.6,1.3,-0.6,13,24,8,3,35,Matches
606,Bryan Dabo,bf BFA,MF,Benevento,it Serie A,28,1992,12.4,437,570,76.7,7007,1927,229,277,82.7,158,197,80.2,33,53,62.3,0,0.3,0.5,-0.3,7,45,8,2,60,Matches
607,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,21,1998,15.1,832,944,88.1,10754,2589,524,565,92.7,247,276,89.5,14,28,50.0,2,1.0,1.2,+1.0,12,37,12,5,44,Matches
608,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3.0,68,86,79.1,1428,737,22,22,100.0,34,35,97.1,11,28,39.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
609,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,24,1996,14.0,792,926,85.5,14444,3340,317,345,91.9,350,391,89.5,94,129,72.9,1,1.4,1.6,-0.4,11,82,14,0,93,Matches
610,Leon Dajaku,de GER,FW,Union Berlin,de Bundesliga,19,2001,0.4,13,16,81.3,177,38,6,7,85.7,5,5,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
611,Stuart Dallas,nir NIR,"MF,DF",Leeds United,eng Premier League,29,1991,37.9,1830,2235,81.9,27976,8737,1011,1113,90.8,654,783,83.5,109,206,52.9,2,1.8,2.2,+0.2,26,154,38,8,233,Matches
612,Diogo Dalot,pt POR,DF,Milan,it Serie A,21,1999,12.1,467,620,75.3,8777,3113,195,224,87.1,208,270,77.0,61,102,59.8,1,0.9,1.0,+0.1,9,44,14,8,39,Matches
613,Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,it Serie A,20,2000,19.7,512,750,68.3,7508,2431,300,377,79.6,153,221,69.2,33,81,40.7,4,2.4,2.3,+1.6,25,56,22,3,80,Matches
614,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,19,2001,16.4,981,1117,87.8,17809,6646,402,433,92.8,497,535,92.9,76,127,59.8,0,0.4,0.5,-0.4,3,88,4,1,102,Matches
615,Danilo,br BRA,"DF,MF",Juventus,it Serie A,29,1991,32.4,2184,2479,88.1,39579,12379,873,937,93.2,1094,1196,91.5,191,271,70.5,4,3.2,3.0,+0.8,25,220,35,14,240,Matches
616,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,33,1987,15.0,521,644,80.9,9263,4633,226,248,91.1,238,267,89.1,46,104,44.2,0,0.0,0.2,0.0,1,25,0,0,34,Matches
617,Tiago Dantas,pt POR,MF,Bayern Munich,de Bundesliga,19,2000,0.8,26,34,76.5,541,106,9,12,75.0,11,13,84.6,6,7,85.7,0,0.1,0.3,-0.1,1,2,2,0,3,Matches
618,Dante,br BRA,DF,Nice,fr Ligue 1,36,1983,8.6,628,696,90.2,11994,4901,221,233,94.8,331,349,94.8,73,105,69.5,1,0.2,0.3,+0.8,2,24,2,0,27,Matches
619,Andrea Danzi,it ITA,DF,Hellas Verona,it Serie A,21,1999,1.2,3,5,60.0,43,26,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
620,Ebrima Darboe,gm GAM,MF,Roma,it Serie A,19,2001,3.6,248,264,93.9,4397,1416,102,107,95.3,119,123,96.7,24,27,88.9,0,0.0,0.1,0.0,2,26,0,0,23,Matches
621,Márton Dárdai,de GER,"DF,MF",Hertha BSC,de Bundesliga,18,2002,9.1,407,515,79.0,9860,3454,81,93,87.1,242,265,91.3,84,148,56.8,1,0.3,0.6,+0.7,4,36,5,1,41,Matches
622,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,29,1990,21.1,735,1029,71.4,14051,3664,280,337,83.1,302,384,78.6,118,208,56.7,6,5.2,4.1,+0.8,34,70,28,6,101,Matches
623,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,1990,25.0,376,728,51.6,14566,12022,24,25,96.0,134,136,98.5,217,558,38.9,0,0.0,0.0,0.0,0,11,0,0,0,Matches
624,Matteo Darmian,it ITA,DF,Parma,it Serie A,30,1989,2.3,77,104,74.0,1219,368,41,47,87.2,32,37,86.5,4,13,30.8,0,0.0,0.0,0.0,1,2,0,0,6,Matches
625,Matteo Darmian,it ITA,DF,Inter,it Serie A,30,1989,12.9,418,515,81.2,6743,2233,225,247,91.1,158,186,84.9,27,50,54.0,3,0.9,1.1,+2.1,10,13,14,8,25,Matches
626,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,20,2000,26.2,444,577,76.9,5348,916,260,321,81.0,121,149,81.2,6,11,54.5,2,2.6,2.1,-0.6,35,33,16,1,47,Matches
627,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,19,2000,19.6,1322,1492,88.6,19267,5346,747,809,92.3,481,520,92.5,46,69,66.7,2,1.9,2.2,+0.1,21,107,19,6,123,Matches
628,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,27,1993,15.0,627,817,76.7,10059,4000,317,356,89.0,252,302,83.4,41,110,37.3,1,0.6,0.6,+0.4,8,46,8,4,51,Matches
629,Tom Davies,eng ENG,MF,Everton,eng Premier League,22,1998,15.8,572,706,81.0,9594,2599,276,321,86.0,237,269,88.1,46,68,67.6,1,0.9,1.0,+0.1,6,42,5,1,49,Matches
630,Keinan Davis,eng ENG,"FW,MF",Aston Villa,eng Premier League,22,1998,3.1,55,77,71.4,689,133,38,41,92.7,11,20,55.0,2,5,40.0,1,0.6,0.4,+0.4,6,2,3,0,6,Matches
631,Leif Davis,eng ENG,DF,Leeds United,eng Premier League,20,2000,0.4,17,19,89.5,336,162,6,6,100.0,9,10,90.0,2,3,66.7,0,0.0,0.0,0.0,0,0,1,0,1,Matches
632,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25,1995,20.7,741,901,82.2,12832,4243,326,368,88.6,344,399,86.2,61,102,59.8,0,1.0,0.8,-1.0,5,35,4,0,48,Matches
633,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,30,1990,21.4,611,767,79.7,12760,4408,171,193,88.6,336,368,91.3,96,185,51.9,0,0.1,0.1,-0.1,2,37,0,0,39,Matches
634,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,29,1991,22.2,1078,1429,75.4,18890,5626,509,593,85.8,402,498,80.7,131,222,59.0,12,8.0,6.2,+4.0,77,125,76,10,213,Matches
635,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,33,1987,9.5,310,368,84.2,5849,2117,106,117,90.6,166,183,90.7,31,54,57.4,0,0.0,0.2,0.0,0,6,1,0,17,Matches
636,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,26,1994,35.6,1549,2134,72.6,30867,10628,597,707,84.4,639,817,78.2,267,475,56.2,9,11.2,10.3,-2.2,82,210,86,24,308,Matches
637,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,27,1992,0.3,9,12,75.0,126,12,5,6,83.3,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
638,Mattia De Sciglio,it ITA,DF,Lyon,fr Ligue 1,27,1992,16.3,811,980,82.8,13250,4970,409,448,91.3,318,379,83.9,60,99,60.6,1,1.0,1.3,0.0,9,62,18,6,79,Matches
639,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,32,1988,23.8,954,1283,74.4,16287,7523,441,507,87.0,406,534,76.0,87,180,48.3,0,0.7,1.0,-0.7,13,94,18,9,104,Matches
640,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,22,1998,5.5,279,364,76.6,4469,1565,144,167,86.2,121,147,82.3,12,32,37.5,0,0.2,0.1,-0.2,4,23,2,0,29,Matches
641,Lucas Deaux,fr FRA,"MF,DF",Nîmes,fr Ligue 1,31,1988,19.5,795,1013,78.5,15477,4726,318,374,85.0,329,382,86.1,123,194,63.4,2,1.5,1.3,+0.5,19,63,9,5,76,Matches
642,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35,1985,23.4,909,1267,71.7,14644,6942,509,588,86.6,292,404,72.3,86,197,43.7,1,1.5,1.0,-0.5,18,71,28,17,80,Matches
643,Grégoire Defrel,mq MTQ,"MF,FW",Sassuolo,it Serie A,29,1991,14.8,360,413,87.2,4719,942,222,240,92.5,90,102,88.2,13,18,72.2,3,1.0,1.1,+2.0,19,22,11,0,51,Matches
644,Alessandro Deiola,it ITA,MF,Spezia,it Serie A,24,1995,4.0,117,156,75.0,2153,449,51,57,89.5,45,55,81.8,16,29,55.2,0,0.3,0.3,-0.3,8,7,0,0,12,Matches
645,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,24,1995,6.8,197,241,81.7,3340,872,104,121,86.0,67,77,87.0,23,32,71.9,0,0.8,0.2,-0.8,6,16,3,3,14,Matches
646,Romain Del Castillo,fr FRA,"MF,FW",Rennes,fr Ligue 1,24,1996,7.2,267,374,71.4,4225,1157,137,171,80.1,102,132,77.3,19,41,46.3,5,2.7,2.5,+2.3,19,19,12,6,41,Matches
647,Lorenzo Del Pinto,it ITA,MF,Benevento,it Serie A,30,1990,0.1,5,8,62.5,65,29,2,3,66.7,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
648,Thomas Delaine,fr FRA,"DF,FW",Metz,fr Ligue 1,28,1992,19.8,601,830,72.4,9277,2904,329,367,89.6,222,313,70.9,33,93,35.5,2,1.1,1.8,+0.9,12,25,17,13,43,Matches
649,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,28,1991,14.3,684,828,82.6,11683,2983,328,368,89.1,255,289,88.2,69,113,61.1,1,0.2,0.4,+0.8,5,58,6,0,58,Matches
650,Liam Delap,eng ENG,FW,Manchester City,eng Premier League,17,2003,0.4,5,6,83.3,42,0,4,4,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
651,Jonathan Delaplace,fr FRA,DF,Lorient,fr Ligue 1,34,1986,10.1,380,517,73.5,5715,2176,217,250,86.8,126,179,70.4,23,58,39.7,1,1.8,1.2,-0.8,12,25,13,9,30,Matches
652,Sacha Delaye,fr FRA,MF,Montpellier,fr Ligue 1,18,2002,0.1,2,3,66.7,27,23,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
653,Cristian Dell'Orco,it ITA,DF,Spezia,it Serie A,26,1994,2.9,112,143,78.3,2023,655,50,55,90.9,50,58,86.2,11,24,45.8,0,0.0,0.0,0.0,0,4,0,0,6,Matches
654,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,28,1991,27.6,530,905,58.6,8561,2293,281,402,69.9,162,295,54.9,58,104,55.8,9,6.3,6.0,+2.7,54,39,39,24,70,Matches
655,Fabian Delph,eng ENG,"MF,DF",Everton,eng Premier League,30,1989,3.0,204,233,87.6,2997,716,112,114,98.2,72,79,91.1,11,23,47.8,0,0.1,0.1,-0.1,2,13,1,0,11,Matches
656,Moussa Dembélé,fr FRA,FW,Atlético Madrid,es La Liga,24,1996,1.1,20,32,62.5,221,15,14,15,93.3,5,11,45.5,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
