,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
1878,Rúben Neves,pt POR,MF,Wolves,eng Premier League,23,1997,29.7,2378,85,523,1536,337,21,2375,15,10,66.7,5,33.3,1384,5582,2584,22,34,2,26,16,1636,25,Matches
1879,Neymar,br BRA,"MF,FW",Paris S-G,fr Ligue 1,28,1992,15.7,1306,1,52,558,722,113,1300,155,87,56.1,68,43.9,907,7048,3705,103,98,31,73,48,1083,163,Matches
1880,Yvan Neyou,cm CMR,MF,Saint-Étienne,fr Ligue 1,23,1997,27.1,1556,35,366,1020,197,23,1556,74,61,82.4,13,17.6,947,5454,2799,45,31,3,29,16,1075,35,Matches
1881,Jessic Ngankam,de GER,FW,Hertha BSC,de Bundesliga,20,2000,3.3,99,2,12,52,37,12,99,10,4,40.0,6,60.0,48,249,98,3,1,3,13,9,70,12,Matches
1882,Muzinga Ngonda,cd COD,DF,Dijon,fr Ligue 1,25,1994,25.6,2010,106,683,987,361,11,2010,56,36,64.3,20,35.7,997,4479,2310,40,45,0,41,17,1107,96,Matches
1883,Ahmad Ngouyamsa,cm CMR,DF,Dijon,fr Ligue 1,19,2000,1.7,123,10,61,50,12,0,123,1,1,100.0,0,0.0,61,212,100,2,2,0,4,0,53,0,Matches
1884,Opa Nguette,sn SEN,"FW,MF",Metz,fr Ligue 1,26,1994,12.6,462,4,47,186,237,44,461,57,28,49.1,29,50.9,295,2001,877,33,20,19,55,43,355,85,Matches
1885,Moussa Niakhate,sn SEN,DF,Mainz 05,de Bundesliga,24,1996,31.8,1854,175,842,812,211,20,1853,24,12,50.0,12,50.0,938,5560,3196,47,28,4,25,7,977,18,Matches
1886,Ibrahima Niane,sn SEN,FW,Metz,fr Ligue 1,21,1999,7.4,243,9,12,109,123,32,242,13,6,46.2,7,53.8,134,699,231,9,8,3,37,9,193,44,Matches
1887,M'Baye Niang,sn SEN,FW,Rennes,fr Ligue 1,25,1994,4.7,134,2,7,58,70,23,134,7,1,14.3,6,85.7,78,266,71,3,2,1,19,6,106,30,Matches
1888,Mamor Niang,sn SEN,"MF,FW",Getafe,es La Liga,18,2002,0.2,12,0,0,8,4,1,12,1,1,100.0,0,0.0,8,19,3,0,1,0,4,1,9,2,Matches
1889,Tanguy Nianzou,fr FRA,"DF,FW",Bayern Munich,de Bundesliga,18,2002,1.3,100,5,34,61,5,0,100,2,2,100.0,0,0.0,69,388,295,3,1,0,1,0,75,0,Matches
1890,Florian Niederlechner,de GER,FW,Augsburg,de Bundesliga,29,1990,19.3,508,24,64,258,192,70,508,24,16,66.7,8,33.3,279,1216,529,18,19,10,34,19,333,87,Matches
1891,Nieto,es ESP,"FW,DF",Cádiz,es La Liga,22,1998,0.2,6,0,2,1,4,1,6,0,0,,0,,2,6,0,0,0,0,0,0,2,0,Matches
1892,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,es La Liga,25,1994,22.6,1433,44,276,793,371,56,1433,20,16,80.0,4,20.0,675,2770,1177,19,19,4,34,13,982,93,Matches
1893,Joakim Nilsson,se SWE,DF,Arminia,de Bundesliga,26,1994,24.0,1331,179,809,499,30,15,1331,4,3,75.0,1,25.0,698,2873,1653,5,0,0,7,1,763,5,Matches
1894,Casimir Ninga,td CHA,FW,Angers,fr Ligue 1,27,1993,0.3,14,2,3,6,5,0,14,1,1,100.0,0,0.0,7,41,26,0,0,0,2,0,9,3,Matches
1895,Nino,es ESP,"FW,MF",Elche,es La Liga,40,1980,3.2,135,1,12,86,38,8,135,4,2,50.0,2,50.0,100,473,183,7,2,1,5,6,123,15,Matches
1896,Fernando Niño,es ESP,FW,Villarreal,es La Liga,19,2000,6.6,187,2,11,86,94,28,187,11,8,72.7,3,27.3,114,615,192,9,6,5,19,11,143,43,Matches
1897,Eddie Nketiah,eng ENG,FW,Arsenal,eng Premier League,21,1999,4.7,153,5,16,64,74,28,153,12,7,58.3,5,41.7,82,418,172,6,1,3,13,5,114,29,Matches
1898,Nicolas Nkoulou,cm CMR,DF,Torino,it Serie A,30,1990,15.1,886,173,532,357,6,4,886,5,4,80.0,1,20.0,475,2121,969,2,0,0,5,0,536,0,Matches
