,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,1762,1697,60,60,0,11,0,0,0,0,0,0,1506,5,10,Matches
3,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,14,14,0,0,0,1,1,0,0,0,0,0,7,0,1,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,718,662,52,33,0,9,40,5,14,7,7,0,605,4,7,Matches
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,1564,1521,38,31,1,11,26,7,0,0,0,0,1288,5,34,Matches
6,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,202,192,10,0,0,1,3,0,0,0,0,0,128,0,10,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,681,653,27,25,0,18,1,2,0,0,0,0,521,1,2,Matches
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,678,616,59,17,0,10,13,42,0,0,0,0,558,3,7,Matches
10,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9,Matches
11,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,0.7,23,23,0,0,0,0,0,0,0,0,0,0,18,0,1,Matches
12,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,223,216,5,4,0,6,7,0,1,0,0,0,185,2,1,Matches
13,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11,Matches
14,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,32,32,0,0,0,0,1,0,0,0,0,0,19,0,2,Matches
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1767,1487,277,46,0,21,119,206,25,2,20,0,1415,3,30,Matches
16,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19,Matches
17,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,1375,1273,100,22,0,2,19,78,0,0,0,0,1173,2,17,Matches
18,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,5.3,156,151,5,0,0,2,10,3,0,0,0,0,103,0,10,Matches
19,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11,Matches
20,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,10,10,0,0,0,0,2,0,0,0,0,0,7,0,0,Matches
21,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,1631,1559,65,40,6,25,53,6,18,7,8,0,1327,7,22,Matches
22,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
23,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,100,70,29,7,0,0,0,0,0,0,0,0,78,1,0,Matches
24,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,751,563,183,16,0,9,32,165,2,0,0,0,534,5,17,Matches
25,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,487,472,12,11,1,5,1,1,0,0,0,0,434,3,2,Matches
26,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,299,231,68,0,0,1,12,68,0,0,0,0,210,0,9,Matches
27,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,328,310,16,0,1,1,11,2,2,0,0,0,228,2,25,Matches
28,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,2712,2631,80,79,0,30,1,1,0,0,0,0,2449,1,7,Matches
29,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,173,163,10,0,0,0,1,1,0,0,0,0,140,0,7,Matches
30,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,24.7,1568,1341,221,32,1,14,118,167,22,8,11,0,1265,6,24,Matches
31,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,125,122,3,3,0,0,0,0,0,0,0,0,110,0,4,Matches
32,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,322,316,5,5,0,0,6,0,0,0,0,0,258,1,10,Matches
33,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,851,835,15,13,1,6,8,1,1,0,1,0,701,1,10,Matches
34,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
35,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,629,608,16,15,0,2,1,1,0,0,0,0,511,5,8,Matches
36,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,Matches
37,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,15.6,805,675,129,6,0,3,61,116,7,1,6,0,662,1,20,Matches
38,Rayan Aït-Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,147,126,21,1,0,1,4,20,0,0,0,0,132,0,1,Matches
39,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,999,931,61,13,0,10,7,48,0,0,0,0,719,7,7,Matches
40,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,33.0,927,875,52,0,0,25,27,4,0,0,0,0,620,0,30,Matches
41,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2137,2076,56,44,1,25,2,12,0,0,0,0,1961,5,8,Matches
42,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,356,245,109,7,0,0,18,102,0,0,0,0,229,2,6,Matches
43,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,31,28,2,0,0,0,2,0,0,0,0,0,22,1,1,Matches
44,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,763,741,22,11,0,0,1,11,0,0,0,0,709,0,5,Matches
45,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,187,186,1,1,0,1,2,0,0,0,0,0,170,0,0,Matches
46,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,361,340,20,5,0,2,4,12,0,0,0,0,293,1,11,Matches
47,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,735,684,50,20,0,3,8,30,0,0,0,0,600,1,7,Matches
48,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,1992,29.7,2290,2181,99,55,0,16,37,41,2,0,1,0,1929,10,28,Matches
49,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,913,719,191,14,0,3,19,176,0,0,0,0,718,3,26,Matches
50,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
51,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,308,294,12,1,0,1,0,0,0,0,0,0,226,2,8,Matches
52,Jordi Alba,es ESP,"DF,FW",Barcelona,es La Liga,31,1989,33.6,2929,2647,276,38,0,14,119,235,3,0,0,0,2479,6,45,Matches
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,1946,1664,266,71,9,14,150,22,119,63,38,1,1493,16,43,Matches
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,2065,1994,68,62,0,19,6,5,0,0,0,0,1829,3,14,Matches
55,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,30,1989,19.4,933,830,97,8,1,9,118,60,29,6,15,0,627,6,53,Matches
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,270,229,37,0,1,0,3,1,0,0,0,0,193,4,7,Matches
57,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,282,266,14,14,0,5,0,0,0,0,0,0,205,2,4,Matches
58,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,1735,1686,44,30,3,19,7,3,0,0,0,0,1545,5,12,Matches
59,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,1131,1076,48,43,0,39,10,5,0,0,0,0,930,7,14,Matches
60,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,916,878,32,31,0,5,2,1,0,0,0,0,732,6,4,Matches
61,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,1453,1377,74,61,2,16,1,13,0,0,0,0,1199,2,9,Matches
62,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,25,1995,9.2,229,217,12,1,0,0,63,7,3,1,2,0,127,0,20,Matches
63,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,39,39,0,0,0,0,0,0,0,0,0,0,36,0,0,Matches
64,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,22,1998,15.2,591,510,74,37,1,7,60,4,32,16,10,0,390,7,16,Matches
65,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,11,8,3,2,0,0,0,0,0,0,0,0,7,0,0,Matches
66,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,3015,2516,488,56,6,55,297,326,106,16,61,2,2245,11,52,Matches
