,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
0,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,9,0,0,2,0,6.8,0.38,-2.2,-0.72,11,28,39.3,77,19,31.2,31.3,22,18.2,21.1,35,0,0.0,6,2.00,17.0,Matches
1,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0,0,0,0,0.1,0.05,+0.1,+0.50,0,3,0.0,10,2,30.0,28.2,1,0.0,15.0,3,0,0.0,0,0.00,,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,32,4,1,4,0,35.0,0.27,+3.0,+0.09,74,194,38.1,980,165,14.9,25.7,173,27.7,30.4,341,20,5.9,87,2.64,18.6,Matches
3,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,30,1,1,2,1,20.3,0.28,-8.7,-0.72,66,187,35.3,297,70,40.7,35.2,105,62.9,45.2,166,5,3.0,17,1.42,16.2,Matches
4,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,5,0,0,0,0,3.7,0.62,-1.3,-0.64,7,13,53.8,31,6,25.8,29.4,9,55.6,43.1,23,0,0.0,0,0.00,11.0,Matches
5,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1.0,2,1,0,1,0,3.1,0.13,+1.1,+1.15,9,24,37.5,14,0,71.4,43.7,17,82.4,54.8,20,0,0.0,0,0.00,7.7,Matches
6,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,48,6,0,2,1,50.5,0.28,+3.5,+0.10,144,389,37.0,760,173,32.8,30.0,251,55.8,39.8,501,26,5.2,31,0.86,13.0,Matches
7,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,8,1,0,0,0,8.0,0.31,0.0,0.00,21,53,39.6,200,41,18.5,27.3,46,34.8,31.1,68,3,4.4,1,0.15,9.6,Matches
8,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,40,7,0,3,2,36.0,0.24,-2.0,-0.06,157,406,38.7,1022,190,26.3,30.2,283,48.4,40.4,564,27,4.8,32,0.89,13.9,Matches
9,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,54,7,1,6,1,51.9,0.25,-1.1,-0.03,213,543,39.2,986,180,38.2,35.0,259,64.1,45.3,563,12,2.1,34,0.92,14.8,Matches
