,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot_Creating_Action,Shot_Creating_Action_per90,Pass_Live_Shot,Pass_Dead_Shot,Take_Ons_Shot,Shot-Shot,Fouls_drawn_Shot,Defensive_Shot,Goal_Creating_Action,Goal_Creating_Action_90,Pass_Live_Goal,Pass_Dead_Goal,Take_Ons_Goal,Shot_Goal,Fouls_Drawn_Goal,Defensive_Goal,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,30,1.52,27,2,1,0,0,0,3,0.15,2,1,0,0,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,17,0.53,15,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,31,2.11,18,5,3,1,2,2,1,0.07,1,0,0,0,0,0,Matches
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,59,1.79,45,0,3,6,4,1,9,0.27,6,0,1,1,1,0,Matches
6,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,14,1.38,11,0,2,0,1,0,3,0.30,2,0,1,0,0,0,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,9,0.64,5,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,5,0.37,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
10,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,Matches
11,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,8,1.63,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
13,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,31,0.99,26,1,0,2,0,2,5,0.16,5,0,0,0,0,0,Matches
14,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,68,2.63,47,12,6,2,0,1,8,0.31,5,2,0,1,0,0,Matches
16,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,68,2.29,50,0,2,7,9,0,7,0.24,6,0,0,0,1,0,Matches
17,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,37,1.80,31,0,0,0,3,3,3,0.15,2,0,0,0,0,1,Matches
18,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,5.3,22,4.12,15,1,2,2,2,0,6,1.12,4,0,0,2,0,0,Matches
19,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,18,0.55,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
20,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,104,3.87,78,10,8,2,3,3,10,0.37,7,1,0,1,1,0,Matches
22,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,28,1.62,16,9,0,0,3,0,3,0.17,2,1,0,0,0,0,Matches
25,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,7,0.79,7,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
26,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,8,1.03,4,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
27,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,38,2.52,19,1,3,8,4,3,7,0.46,5,1,0,1,0,0,Matches
28,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,20,0.57,17,0,0,3,0,0,1,0.03,1,0,0,0,0,0,Matches
29,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,18,2.90,13,0,3,1,0,1,3,0.48,2,0,1,0,0,0,Matches
30,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,24.7,78,3.15,56,10,2,1,7,2,7,0.28,4,1,1,0,1,0,Matches
31,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,2,0.71,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,12,1.20,9,0,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches
33,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,33,1.38,25,0,1,2,3,2,4,0.17,2,0,0,1,0,1,Matches
34,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
