,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PK_Attempted,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90
426,501,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,25,1996,30,19,1564,17.4,0,4,4,0,0,0,8,0,0.9,0.9,2.1,3.0,60.0,204.0,60.0,0.0,0.23,0.23,0.0,0.23,0.05,0.12,0.17,0.05,0.17
427,502,Pietro Ceccaroni,it ITA,DF,Lecce,it Serie A,26,1995,2,0,43,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.33,0.58,0.24,0.58
428,503,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,30,1992,22,18,1417,15.7,2,0,2,2,0,0,9,1,0.8,0.8,0.2,1.0,25.0,53.0,20.0,0.13,0.0,0.13,0.13,0.13,0.05,0.01,0.06,0.05,0.06
429,504,Assan Ceesay,gm GAM,FW,Lecce,it Serie A,28,1994,34,20,1812,20.1,6,0,6,5,1,1,2,0,5.1,4.3,0.8,5.1,21.0,16.0,111.0,0.3,0.0,0.3,0.25,0.25,0.25,0.04,0.29,0.21,0.25
430,505,Emil Ceide,no NOR,FW,Sassuolo,it Serie A,20,2001,19,5,515,5.7,0,1,1,0,0,0,0,0,0.8,0.8,1.3,2.1,37.0,19.0,47.0,0.0,0.17,0.17,0.0,0.17,0.15,0.23,0.38,0.15,0.38
431,506,Zeki Çelik,tr TUR,DF,Roma,it Serie A,25,1997,24,16,1504,16.7,0,1,1,0,0,0,7,1,0.3,0.3,1.6,1.9,34.0,67.0,76.0,0.0,0.06,0.06,0.0,0.06,0.02,0.09,0.12,0.02,0.12
432,507,Álex Centelles,es ESP,DF,Almería,es La Liga,24,1997,15,11,1123,12.5,1,2,3,1,0,0,0,1,0.4,0.4,1.3,1.7,17.0,35.0,48.0,0.08,0.16,0.24,0.08,0.24,0.03,0.11,0.14,0.03,0.14
433,508,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,26,1996,23,19,1689,18.8,0,0,0,0,0,0,4,0,0.7,0.7,0.9,1.6,42.0,102.0,125.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09
434,510,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,es La Liga,28,1994,36,21,1894,21.0,0,4,4,0,0,0,2,1,2.3,2.3,2.7,5.1,45.0,69.0,113.0,0.0,0.19,0.19,0.0,0.19,0.11,0.13,0.24,0.11,0.24
435,511,Julio César Enciso,py PAR,"FW,MF",Brighton,eng Premier League,18,2004,20,7,806,9.0,4,2,6,4,0,0,1,0,4.0,4.0,1.7,5.7,39.0,31.0,74.0,0.45,0.22,0.67,0.45,0.67,0.45,0.19,0.64,0.45,0.64
436,513,Julian Chabot,de GER,DF,Köln,de Bundesliga,24,1998,21,21,1803,20.0,0,2,2,0,0,0,3,0,1.6,1.6,2.0,3.6,5.0,52.0,2.0,0.0,0.1,0.1,0.0,0.1,0.08,0.1,0.18,0.08,0.18
437,514,Florian Chabrolle,fr FRA,MF,Ajaccio,fr Ligue 1,24,1998,7,3,329,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
438,515,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,17,2005,13,6,583,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
439,516,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,fr Ligue 1,19,2002,36,24,2340,26.0,5,5,10,5,0,0,2,0,5.9,5.9,4.9,10.9,71.0,101.0,212.0,0.19,0.19,0.38,0.19,0.38,0.23,0.19,0.42,0.23,0.42
440,517,Nathaniel Chalobah,eng ENG,MF,Fulham,eng Premier League,27,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71
441,518,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,23,1999,25,18,1608,17.9,0,0,0,0,0,0,4,0,0.9,0.9,0.3,1.2,17.0,71.0,27.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06
442,519,Calum Chambers,eng ENG,"DF,MF",Aston Villa,eng Premier League,27,1995,14,2,353,3.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,6.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1
443,520,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,32,1990,6,0,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
444,521,Gaëtan Charbonnier,fr FRA,"FW,MF",Auxerre,fr Ligue 1,33,1988,6,3,254,2.8,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.7,2.0,11.0,18.0,0.35,0.0,0.35,0.35,0.35,0.21,0.05,0.26,0.21,0.26
445,522,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,27,1994,30,27,2491,27.7,0,0,0,0,0,0,6,0,1.2,1.2,0.4,1.6,9.0,80.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
446,523,Shea Charles,nir NIR,DF,Manchester City,eng Premier League,18,2003,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,524,Xavier Chavalerin,fr FRA,MF,Troyes,fr Ligue 1,31,1991,34,25,2426,27.0,4,2,6,4,0,0,3,0,1.5,1.5,2.3,3.8,18.0,95.0,49.0,0.15,0.07,0.22,0.15,0.22,0.06,0.08,0.14,0.06,0.14
448,525,Pep Chavarría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,24,1998,16,2,366,4.1,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.8,13.0,19.0,25.0,0.0,0.49,0.49,0.0,0.49,0.02,0.17,0.19,0.02,0.19
449,526,Ivane Chegra,fr FRA,"MF,FW",Ajaccio,fr Ligue 1,18,2004,6,1,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06
450,527,Pape Cheikh Diop,sn SEN,MF,Elche,es La Liga,24,1997,2,0,37,0.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,528,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,18,2003,34,21,1872,20.8,4,6,10,4,0,0,3,0,4.9,4.9,7.2,12.1,133.0,144.0,260.0,0.19,0.29,0.48,0.19,0.48,0.24,0.34,0.58,0.24,0.58
452,529,Ilyes Cheti,dz ALG,DF,Angers,fr Ligue 1,27,1995,6,2,207,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
453,531,Fabio Chiarodia,it ITA,DF,Werder Bremen,de Bundesliga,17,2005,3,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,532,Federico Chiesa,it ITA,"DF,MF",Juventus,it Serie A,24,1997,21,6,852,9.5,2,5,7,2,0,0,2,0,1.5,1.5,2.6,4.1,46.0,34.0,88.0,0.21,0.53,0.74,0.21,0.74,0.15,0.27,0.43,0.15,0.43
455,533,Ben Chilwell,eng ENG,"DF,MF",Chelsea,eng Premier League,25,1996,23,15,1408,15.6,2,2,4,2,0,0,3,0,1.4,1.4,2.2,3.7,43.0,41.0,131.0,0.13,0.13,0.26,0.13,0.26,0.09,0.14,0.23,0.09,0.23
456,534,Vlad Chiricheș,ro ROU,DF,Cremonese,it Serie A,32,1989,16,14,983,10.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,535,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,25,1997,26,25,2028,22.5,0,1,1,0,0,0,1,0,0.8,0.8,1.7,2.5,15.0,172.0,22.0,0.0,0.04,0.04,0.0,0.04,0.04,0.07,0.11,0.04,0.11
458,536,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,20,2001,35,26,2461,27.3,0,6,6,0,0,0,4,0,0.6,0.6,3.5,4.1,8.0,105.0,28.0,0.0,0.22,0.22,0.0,0.22,0.02,0.13,0.15,0.02,0.15
459,537,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,26,1996,23,22,1760,19.6,1,1,2,1,0,0,2,0,1.0,1.0,0.5,1.5,18.0,91.0,5.0,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08
460,539,Ryan Christie,sct SCO,"MF,FW",Bournemouth,eng Premier League,27,1995,32,22,1834,20.4,1,1,2,1,0,0,2,0,2.8,2.8,2.4,5.1,39.0,71.0,71.0,0.05,0.05,0.1,0.05,0.1,0.14,0.12,0.25,0.14,0.25
461,540,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,eng Premier League,18,2003,14,2,354,3.9,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,21.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.25,0.09,0.25
462,541,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,es La Liga,23,1999,37,27,2339,26.0,6,5,11,6,0,0,1,0,6.5,6.5,4.3,10.8,133.0,85.0,261.0,0.23,0.19,0.42,0.23,0.42,0.25,0.16,0.42,0.25,0.42
463,542,Darko Churlinov,mk MKD,FW,Stuttgart,de Bundesliga,22,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,543,Víctor Chust,es ESP,DF,Cádiz,es La Liga,22,2000,14,10,965,10.7,1,0,1,1,0,0,3,0,0.9,0.9,0.0,1.0,4.0,22.0,2.0,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09
465,544,Tolga Ciğerci,tr TUR,MF,Hertha BSC,de Bundesliga,30,1992,11,10,672,7.5,0,1,1,0,0,0,2,0,0.2,0.2,0.3,0.5,3.0,32.0,2.0,0.0,0.13,0.13,0.0,0.13,0.03,0.04,0.07,0.03,0.07
466,545,Yanis Cimignani,fr FRA,"MF,DF",Ajaccio,fr Ligue 1,20,2002,8,3,279,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09
467,546,Daniel Ciofani,it ITA,FW,Cremonese,it Serie A,37,1985,32,10,1060,11.8,8,0,8,5,3,4,1,0,5.5,2.3,0.7,2.9,5.0,10.0,36.0,0.68,0.0,0.68,0.42,0.42,0.47,0.06,0.53,0.19,0.25
468,547,Tio Cipot,si SVN,"FW,MF",Spezia,it Serie A,19,2003,8,0,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,5.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.11,0.02,0.11
469,548,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,28,1994,32,12,1282,14.2,1,0,1,1,0,0,4,0,2.6,2.6,0.3,2.9,10.0,65.0,5.0,0.07,0.0,0.07,0.07,0.07,0.18,0.02,0.2,0.18,0.2
470,549,Souleymane Cissé,fr FRA,DF,Clermont Foot,fr Ligue 1,19,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
471,550,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,27,1995,36,31,2753,30.6,6,5,11,6,0,0,4,0,4.8,4.8,5.5,10.2,67.0,91.0,168.0,0.2,0.16,0.36,0.2,0.36,0.16,0.18,0.34,0.16,0.34
472,551,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,554,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,29,1992,34,32,2590,28.8,2,9,11,2,0,0,1,0,4.2,4.2,8.4,12.6,83.0,121.0,240.0,0.07,0.31,0.38,0.07,0.38,0.15,0.29,0.44,0.15,0.44
474,555,Carlos Clerc,es ESP,"DF,MF",Elche,es La Liga,30,1992,32,31,2639,29.3,0,1,1,0,0,0,5,0,0.6,0.6,2.1,2.7,51.0,107.0,91.0,0.0,0.03,0.03,0.0,0.03,0.02,0.07,0.09,0.02,0.09
475,556,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,31,1991,22,19,1640,18.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,14.0,52.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
476,557,Conor Coady,eng ENG,DF,Everton,eng Premier League,29,1993,24,23,2096,23.3,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.2,4.0,43.0,1.0,0.04,0.04,0.09,0.04,0.09,0.04,0.01,0.05,0.04,0.05
477,558,Nicolò Cocetta,it ITA,DF,Udinese,it Serie A,18,2003,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,559,Marcus Coco,fr FRA,"FW,MF",Nantes,fr Ligue 1,26,1996,26,6,641,7.1,1,0,1,1,0,0,2,0,1.1,1.1,1.1,2.2,23.0,26.0,56.0,0.14,0.0,0.14,0.14,0.14,0.16,0.15,0.31,0.16,0.31
479,560,Alexandre Coeff,fr FRA,DF,Auxerre,fr Ligue 1,30,1992,7,6,586,6.5,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,3.0,26.0,9.0,0.0,0.15,0.15,0.0,0.15,0.01,0.05,0.06,0.01,0.06
480,561,Jack Colback,eng ENG,MF,Nott'ham Forest,eng Premier League,32,1989,11,4,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
481,562,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,33,1988,23,20,1656,18.4,1,0,1,1,0,0,1,0,0.4,0.4,0.9,1.2,13.0,61.0,37.0,0.05,0.0,0.05,0.05,0.05,0.02,0.05,0.07,0.02,0.07
482,563,David Čolina,hr CRO,"DF,FW",Augsburg,de Bundesliga,22,2000,7,0,166,1.8,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.6,2.0,6.0,7.0,0.54,0.0,0.54,0.54,0.54,0.24,0.07,0.31,0.24,0.31
483,564,Álex Collado,es ESP,MF,Elche,es La Liga,23,1999,16,8,729,8.1,1,1,2,1,0,0,1,0,0.6,0.6,1.6,2.2,24.0,34.0,43.0,0.12,0.12,0.25,0.12,0.25,0.08,0.2,0.28,0.08,0.28
484,565,Diego Collado,es ESP,FW,Villarreal,es La Liga,21,2001,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,566,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,29,1992,16,15,1384,15.4,1,0,1,1,0,0,5,0,1.2,1.2,0.0,1.2,3.0,33.0,2.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08
486,567,Nathan Collins,ie IRL,DF,Wolves,eng Premier League,21,2001,26,19,1814,20.2,0,0,0,0,0,0,2,1,0.2,0.2,0.1,0.3,11.0,64.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02
487,568,Lorenzo Colombo,it ITA,FW,Lecce,it Serie A,20,2002,33,18,1515,16.8,5,2,7,4,1,2,4,0,6.2,4.6,1.4,6.1,14.0,21.0,119.0,0.3,0.12,0.42,0.24,0.36,0.37,0.09,0.45,0.27,0.36
488,569,Andrea Colpani,it ITA,MF,Monza,it Serie A,23,1999,27,10,948,10.5,4,1,5,4,0,0,1,0,2.1,2.1,1.9,4.1,31.0,51.0,69.0,0.38,0.09,0.47,0.38,0.47,0.2,0.18,0.39,0.2,0.39
489,570,Levi Colwill,eng ENG,DF,Brighton,eng Premier League,19,2003,17,13,1220,13.6,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,16.0,70.0,3.0,0.0,0.15,0.15,0.0,0.15,0.1,0.04,0.14,0.1,0.14
490,571,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,26,1996,24,16,1409,15.7,8,5,13,8,0,0,2,1,4.6,4.6,5.5,10.1,98.0,70.0,296.0,0.51,0.32,0.83,0.51,0.83,0.29,0.35,0.65,0.29,0.65
491,572,Eray Cömert,ch SUI,DF,Valencia,es La Liga,24,1998,23,19,1672,18.6,1,0,1,1,0,0,5,1,0.5,0.5,0.1,0.6,6.0,54.0,1.0,0.05,0.0,0.05,0.05,0.05,0.03,0.0,0.03,0.03,0.03
492,573,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,25,1996,35,29,2451,27.2,3,2,5,3,0,0,6,0,2.5,2.5,2.2,4.7,40.0,150.0,58.0,0.11,0.07,0.18,0.11,0.18,0.09,0.08,0.17,0.09,0.17
493,575,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,24,1998,19,15,1315,14.6,1,2,3,1,0,0,0,0,0.6,0.6,2.0,2.6,32.0,56.0,91.0,0.07,0.14,0.21,0.07,0.21,0.04,0.14,0.18,0.04,0.18
494,576,Andrea Conti,it ITA,DF,Sampdoria,it Serie A,28,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,577,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,25,1997,28,18,1720,19.1,0,2,2,0,0,0,4,0,0.2,0.2,2.5,2.8,9.0,63.0,10.0,0.0,0.1,0.1,0.0,0.1,0.01,0.13,0.14,0.01,0.14
496,578,Steve Cook,eng ENG,DF,Nott'ham Forest,eng Premier League,31,1991,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07
497,579,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,30,1991,18,16,1426,15.8,1,0,1,1,0,0,5,0,1.0,1.0,0.7,1.7,3.0,47.0,2.0,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11
498,580,Copete,es ESP,DF,Mallorca,es La Liga,22,1999,28,27,2206,24.5,1,0,1,1,0,0,7,1,1.0,0.5,0.2,0.7,14.0,58.0,3.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.02,0.03
499,581,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,18,2003,19,11,1177,13.1,0,0,0,0,0,0,5,0,0.3,0.3,0.0,0.3,9.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
500,582,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,31,1991,16,9,748,8.3,1,0,1,1,0,0,2,0,1.0,1.0,1.0,2.0,11.0,29.0,27.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.24,0.12,0.24
501,583,Sébastien Corchia,fr FRA,DF,Nantes,fr Ligue 1,31,1990,22,6,786,8.7,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,21.0,29.0,65.0,0.0,0.11,0.11,0.0,0.11,0.02,0.04,0.05,0.02,0.05
502,585,Maxwel Cornet,ci CIV,FW,West Ham,eng Premier League,25,1996,14,2,245,2.7,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.3,9.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.47,0.02,0.49,0.47,0.49
503,586,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,29,1993,4,1,111,1.2,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,3.0,3.0,9.0,0.81,0.0,0.81,0.81,0.81,0.37,0.2,0.57,0.37,0.57
504,587,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,27,1995,35,13,1455,16.2,9,1,10,9,0,0,3,1,7.2,7.2,3.5,10.7,44.0,58.0,142.0,0.56,0.06,0.62,0.56,0.62,0.44,0.22,0.66,0.44,0.66
505,588,Joaquín Correa,ar ARG,FW,Inter,it Serie A,27,1994,26,12,950,10.6,3,1,4,3,0,0,1,0,3.4,3.4,1.3,4.7,19.0,29.0,61.0,0.28,0.09,0.38,0.28,0.38,0.33,0.12,0.45,0.33,0.45
506,589,Thierry Correia,pt POR,DF,Valencia,es La Liga,23,1999,27,24,2009,22.3,0,0,0,0,0,0,5,0,0.3,0.3,1.1,1.4,60.0,104.0,122.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
507,590,Alessandro Cortinovis,it ITA,MF,Hellas Verona,it Serie A,21,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,591,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,29,1993,23,14,1236,13.7,0,2,2,0,0,0,0,0,0.5,0.5,1.0,1.5,32.0,62.0,74.0,0.0,0.15,0.15,0.0,0.15,0.04,0.07,0.11,0.04,0.11
509,592,David Pereira da Costa,pt POR,"MF,FW",Lens,fr Ligue 1,21,2001,31,16,1407,15.6,1,3,4,1,0,0,2,0,2.8,2.8,4.1,6.9,61.0,117.0,133.0,0.06,0.19,0.26,0.06,0.26,0.18,0.26,0.44,0.18,0.44
510,593,Diego Costa,es ESP,FW,Wolves,eng Premier League,33,1988,23,16,1241,13.8,1,0,1,1,0,0,5,1,3.2,3.2,0.7,3.9,19.0,13.0,60.0,0.07,0.0,0.07,0.07,0.07,0.23,0.05,0.28,0.23,0.28
511,594,Jaume Costa,es ESP,DF,Mallorca,es La Liga,34,1988,32,30,2599,28.9,0,1,1,0,0,0,10,0,1.0,1.0,2.5,3.5,60.0,74.0,123.0,0.0,0.03,0.03,0.0,0.03,0.04,0.09,0.12,0.04,0.12
512,595,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,21,2001,6,4,415,4.6,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.17,0.13,0.17
513,596,Nuno da Costa,cv CPV,"FW,MF",Auxerre,fr Ligue 1,31,1991,33,23,2003,22.3,5,4,9,5,0,0,5,1,4.5,4.5,3.7,8.2,30.0,32.0,130.0,0.22,0.18,0.4,0.22,0.4,0.2,0.16,0.37,0.2,0.37
514,597,Samu Costa,pt POR,MF,Almería,es La Liga,21,2000,32,22,1989,22.1,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,9.0,91.0,24.0,0.05,0.09,0.14,0.05,0.14,0.08,0.04,0.12,0.08,0.12
515,599,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,29,1992,27,24,2136,23.7,0,1,1,0,0,0,5,0,0.3,0.3,2.5,2.7,53.0,82.0,109.0,0.0,0.04,0.04,0.0,0.04,0.01,0.1,0.11,0.01,0.11
516,600,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,26,1996,35,34,2892,32.1,3,3,6,3,0,0,12,0,0.8,0.8,1.8,2.6,52.0,120.0,59.0,0.09,0.09,0.19,0.09,0.19,0.03,0.06,0.08,0.03,0.08
517,601,Soumaïla Coulibaly,fr FRA,DF,Dortmund,de Bundesliga,18,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,602,Tanguy Coulibaly,fr FRA,"FW,DF",Stuttgart,de Bundesliga,21,2001,14,0,326,3.6,4,0,4,3,1,1,3,0,2.3,1.5,0.5,2.0,14.0,12.0,38.0,1.1,0.0,1.1,0.83,0.83,0.63,0.13,0.75,0.41,0.54
519,604,Mathieu Coutadeur,fr FRA,MF,Ajaccio,fr Ligue 1,36,1986,27,22,1947,21.6,0,0,0,0,0,0,2,0,0.1,0.1,1.0,1.1,20.0,110.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
520,605,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,eng Premier League,30,1992,20,7,788,8.8,1,0,1,1,0,0,3,0,1.4,1.4,0.5,1.8,18.0,48.0,68.0,0.11,0.0,0.11,0.11,0.11,0.16,0.05,0.21,0.16,0.21
521,606,Yan Couto,br BRA,"DF,MF",Girona,es La Liga,20,2002,25,12,1158,12.9,1,2,3,1,0,0,3,0,0.5,0.5,2.4,2.9,56.0,55.0,89.0,0.08,0.16,0.23,0.08,0.23,0.04,0.19,0.23,0.04,0.23
522,607,Conor Coventry,ie IRL,"MF,FW",West Ham,eng Premier League,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,611,Matthew Craig,sct SCO,MF,Tottenham,eng Premier League,19,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,612,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,32,1989,28,24,2235,24.8,0,1,1,0,0,0,3,0,0.3,0.3,3.7,4.0,35.0,145.0,82.0,0.0,0.04,0.04,0.0,0.04,0.01,0.15,0.16,0.01,0.16
525,613,Bryan Cristante,it ITA,"MF,DF",Roma,it Serie A,27,1995,36,34,2938,32.6,1,1,2,1,0,1,8,1,2.6,1.9,1.4,3.3,16.0,142.0,27.0,0.03,0.03,0.06,0.03,0.06,0.08,0.04,0.12,0.06,0.1
526,614,Domen Črnigoj,si SVN,MF,Salernitana,it Serie A,26,1995,7,4,296,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.13,0.16,0.03,0.16
