,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
0,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,4,0,0,0,0,2.4,0.20,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3,Matches
1,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7,Matches
2,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,30.0,53,5,0,3,3,52.1,0.24,+2.1,+0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9,Matches
3,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,0.0,1,1,0,0,0,1.0,0.00,0.0,-1.21,0,1,0.0,1,0,100.0,64.0,0,,,3,0,0.0,0,0.00,,Matches
4,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,13.3,9,0,0,0,1,10.0,0.28,+2.0,+0.15,34,92,37.0,386,57,19.2,27.0,70,25.7,30.6,157,6,3.8,10,0.75,14.7,Matches
5,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34.0,58,3,1,5,1,50.0,0.30,-7.0,-0.21,193,568,34.0,1148,160,35.4,34.2,241,67.2,50.7,485,31,6.4,30,0.88,13.6,Matches
6,Emil Audero,it ITA,GK,Inter,it Serie A,26,1997,3.7,3,0,0,0,0,3.1,0.28,+0.1,+0.02,6,24,25.0,177,28,11.9,24.6,18,16.7,27.2,54,6,11.1,2,0.53,10.2,Matches
7,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,19,2004,0.1,0,0,0,0,0,0.0,0.02,0.0,+0.36,1,2,50.0,1,0,100.0,47.0,2,50.0,53.0,0,0,,0,0.00,,Matches
8,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17.0,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,275,23,8.4,18,1.06,14.2,Matches
9,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,32,1991,4.0,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.50,11.3,Matches
10,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,1990,34.0,66,2,3,9,1,68.6,0.31,+3.6,+0.11,208,529,39.3,1159,165,33.7,32.7,249,55.4,44.9,545,31,5.7,73,2.15,16.7,Matches
11,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15.0,26,3,0,1,1,19.8,0.25,-5.2,-0.35,56,183,30.6,440,57,36.4,34.4,61,37.7,36.0,203,19,9.4,21,1.40,13.4,Matches
12,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,33,48.5,36.9,50,0,0.0,3,0.70,13.3,Matches
13,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14.0,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4,Matches
14,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25,1998,4.0,11,0,0,1,0,10.9,0.32,-0.1,-0.02,18,61,29.5,118,26,42.4,38.0,23,47.8,42.5,56,3,5.4,0,0.00,9.6,Matches
15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32,1991,32.0,34,2,0,4,0,36.2,0.27,+2.2,+0.07,232,482,48.1,908,134,39.3,35.1,188,66.5,47.3,382,18,4.7,41,1.28,15.7,Matches
16,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,28,1995,1.3,2,0,0,0,0,1.3,0.21,-0.7,-0.55,5,12,41.7,41,6,26.8,28.4,10,10.0,27.0,24,4,16.7,1,0.74,10.4,Matches
17,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32,1991,21.0,30,4,0,7,0,25.3,0.28,-4.7,-0.22,57,155,36.8,822,89,14.7,25.7,134,25.4,30.7,251,16,6.4,37,1.76,17.6,Matches
18,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32,1991,1.0,2,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,9,0,0.0,0,0.00,,Matches
19,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40,1983,7.0,5,0,0,0,1,5.5,0.27,+1.5,+0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4.0,6,0.86,12.6,Matches
20,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28,1995,4.0,3,0,0,1,0,5.0,0.23,+2.0,+0.49,22,61,36.1,168,15,31.5,31.0,11,72.7,51.7,55,1,1.8,5,1.25,16.6,Matches
21,Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28,1995,3.0,10,0,0,2,0,6.3,0.37,-3.7,-1.25,33,72,45.8,129,13,41.1,36.0,21,90.5,59.6,51,3,5.9,9,3.00,19.1,Matches
22,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23,1999,34.0,29,5,0,1,1,30.7,0.22,+2.7,+0.08,74,189,39.2,1086,158,14.4,23.9,147,22.4,25.5,376,32,8.5,21,0.62,12.2,Matches
23,Elia Caprile,it ITA,GK,Empoli,it Serie A,21,2001,23.0,27,4,0,5,0,27.6,0.22,+0.6,+0.02,117,350,33.4,657,137,40.3,36.8,159,53.5,45.1,391,31,7.9,20,0.87,13.3,Matches
24,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,26,1997,1.0,1,0,0,0,0,0.9,0.93,-0.1,-0.07,2,15,13.3,36,5,36.1,36.3,4,50.0,53.5,5,0,0.0,2,2.00,17.0,Matches
25,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23,2000,26.9,30,4,0,2,0,29.3,0.22,-0.7,-0.03,121,338,35.8,680,142,30.6,33.8,193,67.4,51.7,332,20,6.0,39,1.45,14.7,Matches
26,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31,1992,25.0,39,2,0,2,2,36.4,0.30,-0.6,-0.03,161,390,41.3,786,118,36.3,35.0,161,65.2,48.4,335,25,7.5,38,1.52,15.7,Matches
