,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
434,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,25,1998,22.4,693,852,81.3,10625,2324,346,414,83.6,270,317,85.2,38,59,64.4,3,3.1,2.4,-0.1,32,63,18,10,81,Matches
435,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23,2000,11.5,707,769,91.9,12236,3295,310,331,93.7,298,315,94.6,75,85,88.2,2,0.6,0.9,+1.4,14,79,9,1,76,Matches
436,Francesco Camarda,it ITA,FW,Milan,it Serie A,15,2008,0.2,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
437,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,20,2002,20.2,1205,1328,90.7,19473,4856,593,629,94.3,505,540,93.5,75,102,73.5,2,1.4,1.8,+0.6,20,100,14,3,106,Matches
438,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,it Serie A,22,2000,28.4,483,694,69.6,7640,1560,255,301,84.7,173,240,72.1,34,78,43.6,1,2.8,2.7,-1.8,31,22,25,15,63,Matches
439,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,23,2000,26.4,1007,1207,83.4,16173,3526,516,565,91.3,387,450,86.0,73,104,70.2,3,3.9,3.8,-0.9,38,40,24,11,71,Matches
440,Axel Camblan,fr FRA,FW,Brest,fr Ligue 1,19,2003,1.0,18,22,81.8,294,39,4,4,100.0,10,13,76.9,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,1,Matches
441,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22,2001,18.5,273,380,71.8,3658,839,163,207,78.7,75,104,72.1,13,24,54.2,1,1.3,1.3,-0.3,20,22,12,0,41,Matches
442,José Campaña,es ESP,MF,Las Palmas,es La Liga,30,1993,1.9,135,162,83.3,1965,715,75,83,90.4,48,51,94.1,6,14,42.9,0,0.0,0.1,0.0,0,7,2,0,15,Matches
443,Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,29,1994,21.7,1286,1471,87.4,22739,7316,545,603,90.4,603,656,91.9,114,157,72.6,2,1.5,1.3,+0.5,20,110,8,0,110,Matches
444,Matteo Cancellieri,it ITA,"FW,MF",Empoli,it Serie A,21,2002,19.9,222,379,58.6,3245,789,128,172,74.4,72,117,61.5,12,42,28.6,3,2.9,2.1,+0.1,17,13,9,3,26,Matches
445,João Cancelo,pt POR,DF,Barcelona,es La Liga,29,1994,27.8,1533,1852,82.8,24552,6589,854,924,92.4,537,648,82.9,114,183,62.3,4,6.1,6.7,-2.1,35,123,37,11,141,Matches
446,Fali Candé,gw GNB,DF,Metz,fr Ligue 1,25,1998,20.5,628,799,78.6,14351,5183,141,170,82.9,373,422,88.4,113,192,58.9,1,0.5,0.2,+0.5,6,38,2,0,38,Matches
447,Antonio Candreva,it ITA,"MF,FW",Salernitana,it Serie A,36,1987,30.6,1019,1407,72.4,17916,5994,496,546,90.8,343,486,70.6,130,268,48.5,6,5.0,4.1,+1.0,60,110,56,21,149,Matches
448,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
449,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,26,1997,13.7,260,405,64.2,4015,1421,131,174,75.3,96,127,75.6,20,53,37.7,2,2.4,2.1,-0.4,12,29,17,4,52,Matches
450,Luigi Canotto,it ITA,FW,Frosinone,it Serie A,29,1994,0.2,2,3,66.7,21,9,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
451,Gino Caoki,fr FRA,MF,Lorient,fr Ligue 1,19,2004,0.1,2,4,50.0,26,14,2,2,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
452,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,35,1988,16.2,699,813,86.0,11506,3135,361,392,92.1,274,314,87.3,53,76,69.7,1,0.6,1.0,+0.4,9,73,11,1,80,Matches
453,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,30,1993,3.2,98,124,79.0,1784,475,49,53,92.5,31,38,81.6,17,24,70.8,0,0.7,0.7,-0.7,11,10,7,0,15,Matches
454,Elia Caprile,it ITA,GK,Empoli,it Serie A,21,2001,23.0,555,820,67.7,16234,12618,69,71,97.2,296,304,97.4,190,441,43.1,0,0.3,0.0,-0.3,2,13,0,0,0,Matches
455,Francesco Caputo,it ITA,FW,Empoli,it Serie A,35,1987,14.1,164,216,75.9,2140,396,93,118,78.8,42,47,89.4,9,14,64.3,0,0.7,0.8,-0.7,10,9,3,0,18,Matches
456,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23,2000,33.6,1661,2009,82.7,27376,10233,790,894,88.4,670,774,86.6,134,211,63.5,3,6.0,7.2,-3.0,57,205,62,7,286,Matches
457,Andrea Carboni,it ITA,DF,Monza,it Serie A,22,2001,16.5,833,976,85.3,14698,4909,352,384,91.7,411,447,91.9,65,122,53.3,0,0.5,0.4,-0.5,9,59,5,4,46,Matches
458,Valentin Carboni,ar ARG,"MF,FW",Monza,it Serie A,18,2005,13.0,436,523,83.4,6962,1487,225,260,86.5,175,193,90.7,28,38,73.7,3,1.7,1.4,+1.3,23,30,8,1,57,Matches
459,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30,1993,29.0,851,1163,73.2,14161,5158,418,485,86.2,346,448,77.2,63,163,38.7,0,1.0,1.3,-1.0,17,54,16,9,75,Matches
460,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,26,1997,1.0,26,40,65.0,566,402,7,7,100.0,16,16,100.0,3,17,17.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
461,Irvin Cardona,fr FRA,"MF,DF",Augsburg,de Bundesliga,25,1997,0.6,8,15,53.3,132,70,4,4,100.0,4,9,44.4,0,1,0.0,0,0.0,0.1,0.0,0,1,0,0,2,Matches
462,Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28,1995,8.0,170,227,74.9,1972,280,122,153,79.7,34,43,79.1,3,11,27.3,1,1.1,0.6,-0.1,8,9,6,1,13,Matches
463,Sergi Cardona,es ESP,DF,Las Palmas,es La Liga,24,1999,31.3,1727,2150,80.3,25147,9822,1011,1134,89.2,581,704,82.5,81,171,47.4,2,2.8,3.7,-0.8,39,108,39,15,160,Matches
464,Johnny Cardoso,us USA,MF,Betis,es La Liga,21,2001,14.8,539,640,84.2,8416,2177,288,325,88.6,201,228,88.2,31,46,67.4,2,0.5,1.0,+1.5,8,41,8,1,45,Matches
465,Igor Carioca,br BRA,"DF,MF",Lorient,fr Ligue 1,26,1996,2.9,115,162,71.0,1807,594,63,77,81.8,38,52,73.1,10,18,55.6,0,0.3,0.5,-0.3,2,5,3,2,8,Matches
466,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,30,1993,20.2,1184,1340,88.4,23313,9315,357,378,94.4,714,749,95.3,107,199,53.8,0,0.1,0.4,-0.1,3,72,4,0,59,Matches
467,Carmona,es ESP,"DF,MF",Getafe,es La Liga,21,2002,14.6,419,570,73.5,6803,2258,225,259,86.9,144,199,72.4,40,77,51.9,1,1.0,1.4,0.0,10,29,12,5,39,Matches
468,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23,2000,26.9,619,879,70.4,18321,13014,73,75,97.3,320,330,97.0,225,467,48.2,0,0.0,0.0,0.0,0,11,0,0,0,Matches
469,Yannick Carrasco,be BEL,DF,Atlético Madrid,es La Liga,29,1993,2.5,65,88,73.9,1021,236,42,49,85.7,13,20,65.0,8,12,66.7,1,0.2,0.2,+0.8,4,2,3,1,6,Matches
470,Álvaro Carreras,es ESP,"MF,FW",Granada,es La Liga,20,2003,5.3,169,222,76.1,2599,843,100,120,83.3,50,64,78.1,14,23,60.9,0,0.4,0.4,-0.4,7,10,8,3,14,Matches
471,Rasmus Carstensen,dk DEN,"DF,FW",Köln,de Bundesliga,22,2000,18.4,594,827,71.8,8927,3429,330,386,85.5,231,302,76.5,23,69,33.3,0,2.6,3.3,-2.6,16,27,20,9,52,Matches
472,Antonin Cartillier,fr FRA,DF,Monaco,fr Ligue 1,19,2004,0.1,1,3,33.3,10,7,1,1,100.0,0,0,,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
473,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31,1992,24.1,1265,1475,85.8,19955,4535,679,744,91.3,486,552,88.0,76,111,68.5,3,2.7,3.1,+0.3,21,52,26,5,82,Matches
474,Fabio Carvalho,pt POR,MF,RB Leipzig,de Bundesliga,20,2002,1.8,72,92,78.3,855,219,54,60,90.0,14,21,66.7,2,5,40.0,0,0.2,0.2,-0.2,2,6,6,1,9,Matches
475,William Carvalho,pt POR,MF,Betis,es La Liga,31,1992,7.6,560,634,88.3,8469,2540,319,343,93.0,182,204,89.2,36,50,72.0,3,0.7,0.7,+2.3,10,67,8,0,58,Matches
476,Cesare Casadei,it ITA,"FW,MF",Chelsea,eng Premier League,20,2003,0.9,53,65,81.5,792,155,29,34,85.3,17,22,77.3,4,4,100.0,0,0.1,0.1,-0.1,2,2,0,0,3,Matches
477,Marc Casado,es ESP,MF,Barcelona,es La Liga,19,2003,0.2,6,6,100.0,97,33,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
478,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25,1998,17.3,940,1024,91.8,17305,5880,360,383,94.0,489,519,94.2,81,102,79.4,0,0.0,0.2,0.0,2,66,1,0,49,Matches
479,Casemiro,br BRA,"MF,DF",Manchester Utd,eng Premier League,31,1992,22.0,1165,1425,81.8,20136,7677,536,596,89.9,489,568,86.1,105,187,56.1,2,1.0,1.2,+1.0,16,124,18,3,112,Matches
480,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,18,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
481,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,25,1997,23.8,985,1225,80.4,16094,4888,490,545,89.9,415,501,82.8,63,131,48.1,2,2.3,2.5,-0.3,13,69,19,8,88,Matches
482,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,21,2001,22.4,572,781,73.2,8814,2672,287,363,79.1,224,290,77.2,33,75,44.0,5,4.3,3.0,+0.7,31,34,19,5,62,Matches
483,Giuseppe Caso,it ITA,"FW,MF",Frosinone,it Serie A,24,1998,4.6,95,112,84.8,1144,413,67,74,90.5,17,23,73.9,3,4,75.0,0,0.2,0.2,-0.2,3,5,8,0,20,Matches
484,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,23,2000,21.6,837,1030,81.3,14686,3969,366,424,86.3,376,432,87.0,79,128,61.7,3,1.7,2.0,+1.3,15,65,5,2,87,Matches
485,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,27,1995,29.3,1350,1662,81.2,21238,7361,705,794,88.8,514,595,86.4,91,162,56.2,3,1.9,1.8,+1.1,18,74,17,8,77,Matches
486,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31,1992,25.0,688,949,72.5,20991,15027,104,105,99.0,300,305,98.4,283,535,52.9,0,0.2,0.1,-0.2,1,29,0,0,1,Matches
487,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,24,1998,18.7,272,452,60.2,3651,962,162,237,68.4,74,124,59.7,16,25,64.0,3,1.7,1.1,+1.3,19,27,15,1,47,Matches
488,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,28,1995,27.4,1147,1340,85.6,20580,7724,429,470,91.3,590,661,89.3,93,161,57.8,0,0.8,1.2,-0.8,10,85,10,3,100,Matches
489,Samu Castillejo,es ESP,"FW,MF",Sassuolo,it Serie A,28,1995,6.0,213,283,75.3,3239,693,109,120,90.8,86,107,80.4,10,37,27.0,0,1.0,0.9,-1.0,15,14,6,4,26,Matches
490,Jonny Castro,es ESP,MF,Wolves,eng Premier League,29,1994,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
491,Santiago Castro,ar ARG,FW,Bologna,it Serie A,18,2004,2.7,43,52,82.7,675,64,30,35,85.7,7,8,87.5,5,6,83.3,1,0.5,0.0,+0.5,1,2,0,0,1,Matches
492,Gaetano Castrovilli,it ITA,"FW,MF",Fiorentina,it Serie A,26,1997,4.1,75,116,64.7,1164,320,41,51,80.4,26,41,63.4,6,10,60.0,2,0.6,0.1,+1.4,7,6,3,2,12,Matches
493,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,28,1994,15.1,800,932,85.8,12545,3512,421,452,93.1,309,347,89.0,48,94,51.1,0,0.8,0.9,-0.8,11,79,8,2,69,Matches
494,Catena,es ESP,DF,Osasuna,es La Liga,28,1994,28.2,1095,1341,81.7,25279,10188,255,284,89.8,621,679,91.5,210,355,59.2,3,1.0,1.0,+2.0,6,89,3,0,77,Matches
495,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26,1997,18.4,780,892,87.4,13811,4348,328,360,91.1,347,384,90.4,82,109,75.2,1,0.2,0.3,+0.8,9,48,5,2,61,Matches
496,Ivan Cavaleiro,pt POR,FW,Lille,fr Ligue 1,29,1993,8.6,207,282,73.4,2965,777,131,154,85.1,57,80,71.3,11,26,42.3,1,1.2,1.7,-0.2,12,7,10,2,23,Matches
497,Dani Ceballos,es ESP,"MF,FW",Real Madrid,es La Liga,26,1996,6.6,486,542,89.7,7205,1731,301,317,95.0,136,153,88.9,34,45,75.6,2,1.5,1.0,+0.5,11,48,6,0,47,Matches
498,Emil Ceide,no NOR,"FW,MF",Sassuolo,it Serie A,21,2001,2.0,40,59,67.8,521,189,27,33,81.8,10,14,71.4,1,2,50.0,0,0.2,0.2,-0.2,4,2,2,0,3,Matches
499,Zeki Çelik,tr TUR,DF,Roma,it Serie A,26,1997,7.5,284,341,83.3,4660,1360,139,158,88.0,116,137,84.7,18,31,58.1,0,0.6,0.4,-0.6,9,8,9,3,26,Matches
500,Álex Centelles,es ESP,DF,Almería,es La Liga,25,1997,10.9,400,544,73.5,6993,2843,193,214,90.2,162,199,81.4,39,96,40.6,1,1.6,1.0,-0.6,11,35,12,9,31,Matches
501,Fabien Centonze,fr FRA,DF,Hellas Verona,it Serie A,27,1996,7.5,213,317,67.2,3365,1617,110,138,79.7,87,119,73.1,13,40,32.5,1,1.0,0.8,0.0,6,14,8,7,14,Matches
502,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,27,1996,1.0,37,51,72.5,640,242,15,20,75.0,16,21,76.2,5,8,62.5,0,0.0,0.2,0.0,0,1,3,3,1,Matches
503,Václav Černý,cz CZE,"FW,MF",Wolfsburg,de Bundesliga,25,1997,10.2,255,364,70.1,3926,1237,145,173,83.8,71,109,65.1,24,45,53.3,1,0.9,2.5,+0.1,14,21,21,2,37,Matches
504,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,24,1999,7.5,124,209,59.3,3261,2471,23,23,100.0,66,67,98.5,34,117,29.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
505,Alberto Cerri,it ITA,FW,Empoli,it Serie A,27,1996,6.1,68,136,50.0,877,149,50,82,61.0,16,33,48.5,2,4,50.0,0,0.2,0.3,-0.2,4,2,1,0,9,Matches
506,Leonardo Cerri,it ITA,DF,Juventus,it Serie A,20,2003,0.1,0,2,0.0,0,0,0,2,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
507,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,es La Liga,29,1994,6.1,225,284,79.2,3302,1239,137,151,90.7,74,90,82.2,9,18,50.0,1,2.0,1.2,-1.0,10,16,4,0,24,Matches
508,Julian Chabot,de GER,DF,Köln,de Bundesliga,25,1998,30.0,1361,1616,84.2,25807,10115,498,548,90.9,725,798,90.9,127,245,51.8,0,0.4,1.5,-0.4,9,81,5,1,71,Matches
509,El Chadaille Bitshiabu,fr FRA,"DF,MF",RB Leipzig,de Bundesliga,18,2005,0.4,48,59,81.4,829,270,24,26,92.3,17,22,77.3,7,9,77.8,0,0.0,0.0,0.0,0,2,0,0,1,Matches
510,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,fr Ligue 1,20,2002,0.6,28,40,70.0,472,135,12,14,85.7,10,14,71.4,3,8,37.5,1,0.2,0.2,+0.8,2,3,2,0,5,Matches
511,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,20,2002,21.2,592,922,64.2,10022,3251,303,382,79.3,191,285,67.0,73,180,40.6,4,6.8,6.1,-2.8,51,57,39,10,86,Matches
512,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,24,1999,10.6,700,783,89.4,12088,3518,278,302,92.1,377,397,95.0,35,70,50.0,0,0.1,0.4,-0.1,2,30,2,0,31,Matches
513,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,fr Ligue 1,22,2000,28.4,1055,1327,79.5,17640,4627,491,544,90.3,409,498,82.1,107,192,55.7,4,3.1,4.0,+0.9,49,99,34,1,161,Matches
514,Calum Chambers,eng ENG,"MF,DF",Aston Villa,eng Premier League,28,1995,1.7,100,113,88.5,1705,512,47,50,94.0,45,47,95.7,6,10,60.0,1,0.1,0.0,+0.9,1,2,0,0,5,Matches
515,Timothy Chandler,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,33,1990,0.2,18,26,69.2,323,145,7,8,87.5,9,12,75.0,2,4,50.0,1,0.1,0.1,+0.9,2,2,1,0,5,Matches
516,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,28,1994,33.0,1511,1824,82.8,32477,10685,401,441,90.9,849,918,92.5,238,421,56.5,1,1.6,1.3,-0.6,10,110,8,2,115,Matches
517,Charlys,br BRA,MF,Hellas Verona,it Serie A,19,2004,0.3,5,6,83.3,64,23,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,2,0,1,0,1,Matches
518,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,es La Liga,25,1998,13.0,618,812,76.1,10023,3436,309,352,87.8,260,328,79.3,36,89,40.4,1,0.7,1.2,+0.3,13,48,27,13,74,Matches
519,Jhoanner Chávez,ec ECU,DF,Lens,fr Ligue 1,21,2002,5.3,173,222,77.9,2816,1043,91,109,83.5,60,72,83.3,15,26,57.7,0,0.5,0.6,-0.5,4,13,6,2,15,Matches
520,Walid Cheddira,ma MAR,FW,Frosinone,it Serie A,25,1998,23.6,262,385,68.1,3458,610,160,207,77.3,67,96,69.8,13,13,100.0,1,1.4,0.7,-0.4,16,17,4,0,22,Matches
521,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,19,2003,19.1,830,1069,77.6,14766,4022,364,451,80.7,336,400,84.0,98,152,64.5,6,4.2,5.5,+1.8,42,85,43,6,138,Matches
522,Youssef Chermiti,pt POR,FW,Everton,eng Premier League,19,2004,2.3,35,58,60.3,486,108,19,32,59.4,12,19,63.2,1,1,100.0,0,0.8,0.3,-0.8,4,1,4,0,5,Matches
523,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21,2001,33.0,914,1186,77.1,21421,14432,260,262,99.2,431,434,99.3,215,478,45.0,0,0.1,0.1,-0.1,2,9,2,0,2,Matches
524,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,18,2005,1.7,78,87,89.7,1232,439,43,46,93.5,33,35,94.3,2,6,33.3,0,0.1,0.2,-0.1,1,3,1,1,4,Matches
525,Federico Chiesa,it ITA,FW,Juventus,it Serie A,25,1997,24.4,498,712,69.9,7884,2466,270,329,82.1,161,224,71.9,48,93,51.6,2,6.2,5.6,-4.2,54,42,45,18,70,Matches
526,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,26,1996,8.4,373,495,75.4,5230,1552,230,259,88.8,112,143,78.3,18,48,37.5,1,2.2,1.8,-1.2,14,29,2,2,25,Matches
527,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,eng Premier League,19,2003,1.6,46,58,79.3,664,151,29,31,93.5,14,18,77.8,2,3,66.7,0,0.0,0.1,0.0,1,3,3,2,7,Matches
528,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,26,1997,28.8,1494,1743,85.7,25864,7906,653,701,93.2,631,692,91.2,146,254,57.5,1,1.1,2.8,-0.1,19,168,22,7,192,Matches
529,Leon Chiwome,eng ENG,FW,Wolves,eng Premier League,17,2006,1.9,19,22,86.4,244,59,12,13,92.3,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
530,Tahith Chong,nl NED,"MF,FW",Luton Town,eng Premier League,23,1999,22.0,428,550,77.8,6679,1643,227,257,88.3,149,189,78.8,32,54,59.3,0,0.5,1.4,-0.5,10,35,20,8,72,Matches
531,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,21,2001,28.7,961,1179,81.5,18558,6343,366,425,86.1,419,489,85.7,142,195,72.8,3,1.9,2.5,+1.1,14,111,15,5,111,Matches
532,Andreas Christensen,dk DEN,"DF,MF",Barcelona,es La Liga,27,1996,22.0,1480,1569,94.3,25124,8496,669,699,95.7,700,724,96.7,87,108,80.6,2,1.1,0.8,+0.9,7,116,1,0,117,Matches
533,Jacob Christensen,dk DEN,MF,Köln,de Bundesliga,22,2001,2.4,66,85,77.6,1160,453,28,32,87.5,31,38,81.6,6,13,46.2,0,0.1,0.1,-0.1,2,8,1,0,12,Matches
534,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,24,1999,4.0,146,190,76.8,3678,2601,33,33,100.0,68,71,95.8,43,83,51.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches
535,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,28,1995,32.3,988,1300,76.0,18802,5120,399,467,85.4,425,510,83.3,143,253,56.5,5,5.4,5.4,-0.4,55,118,42,7,167,Matches
536,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,eng Premier League,19,2003,2.5,115,134,85.8,1476,266,82,88,93.2,26,31,83.9,4,5,80.0,1,0.3,0.3,+0.7,4,4,6,0,12,Matches
537,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,24,1999,11.3,330,421,78.4,5423,1275,163,197,82.7,140,170,82.4,19,32,59.4,3,2.3,2.7,+0.7,20,22,23,1,51,Matches
538,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23,2000,20.7,831,1040,79.9,16808,7302,288,317,90.9,416,459,90.6,118,230,51.3,1,0.3,0.2,+0.7,6,62,4,0,80,Matches
539,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,29,1994,18.5,738,890,82.9,13455,3975,315,362,87.0,339,383,88.5,69,101,68.3,0,0.5,0.7,-0.5,11,73,6,1,84,Matches
540,Alphadjo Cissè,it ITA,FW,Hellas Verona,it Serie A,16,2006,0.1,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
541,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,19,2004,0.0,5,5,100.0,75,0,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
542,Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,fr Ligue 1,20,2003,2.7,89,116,76.7,1398,357,50,57,87.7,27,39,69.2,7,10,70.0,1,0.4,0.7,+0.6,6,7,9,7,12,Matches
543,Giorgio Cittadini,it ITA,DF,Monza,it Serie A,21,2002,0.2,5,6,83.3,94,39,1,2,50.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
544,Giorgio Cittadini,it ITA,DF,Genoa,it Serie A,21,2002,1.2,19,31,61.3,392,117,6,11,54.5,9,14,64.3,4,5,80.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
545,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,28,1995,17.8,662,847,78.2,10671,3258,335,377,88.9,271,348,77.9,41,72,56.9,1,2.6,2.1,-1.6,30,46,28,10,68,Matches
546,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18,2005,1.0,38,49,77.6,465,64,23,29,79.3,11,12,91.7,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
547,Jordan Clark,eng ENG,MF,Luton Town,eng Premier League,29,1993,14.5,369,513,71.9,6108,1636,180,231,77.9,136,173,78.6,33,63,52.4,1,1.3,1.2,-0.3,12,19,18,4,51,Matches
548,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,25,1998,5.6,202,253,79.8,2857,570,120,132,90.9,56,75,74.7,12,22,54.5,0,0.3,0.6,-0.3,7,15,6,3,21,Matches
549,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,30,1992,23.0,1153,1526,75.6,19885,6946,545,642,84.9,480,598,80.3,103,214,48.1,4,4.6,5.3,-0.6,46,99,50,18,137,Matches
550,Silvi Clúa,es ESP,MF,Girona,es La Liga,18,2005,0.0,5,5,100.0,85,41,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
551,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,32,1991,14.9,495,600,82.5,7555,3021,266,288,92.4,191,224,85.3,28,54,51.9,0,0.2,0.2,-0.2,3,33,4,2,33,Matches
552,Marcus Coco,fr FRA,"DF,FW",Nantes,fr Ligue 1,27,1996,16.5,473,641,73.8,7533,2758,224,265,84.5,199,249,79.9,27,86,31.4,0,1.0,1.1,-1.0,12,40,18,8,55,Matches
553,Saúl Coco,gq EQG,DF,Las Palmas,es La Liga,24,1999,25.5,1257,1422,88.4,20911,8245,587,620,94.7,598,646,92.6,53,116,45.7,0,0.0,0.2,0.0,1,52,0,0,69,Matches
554,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34,1988,7.4,207,306,67.6,3381,1481,111,132,84.1,76,103,73.8,16,51,31.4,0,1.0,0.7,-1.0,3,15,4,2,22,Matches
555,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,31,1991,20.4,660,925,71.4,11318,5363,307,381,80.6,285,372,76.6,52,122,42.6,0,0.4,0.6,-0.4,4,60,7,5,67,Matches
556,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,22,2001,29.5,1261,1552,81.3,23470,8772,462,528,87.5,660,757,87.2,116,214,54.2,1,2.2,1.1,-1.2,11,78,6,0,97,Matches
557,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,19,2004,1.0,61,75,81.3,1011,387,23,26,88.5,35,39,89.7,2,7,28.6,0,0.0,0.1,0.0,0,8,0,0,13,Matches
558,Lorenzo Colombo,it ITA,FW,Monza,it Serie A,21,2002,15.1,185,263,70.3,2711,593,104,139,74.8,48,66,72.7,16,22,72.7,1,0.6,0.5,+0.4,8,10,3,0,24,Matches
559,Andrea Colpani,it ITA,"MF,FW",Monza,it Serie A,24,1999,29.5,752,981,76.7,14005,3225,333,379,87.9,296,370,80.0,102,176,58.0,4,5.0,4.6,-1.0,56,55,41,9,120,Matches
