,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
56,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,0.3,26,2,10,14,3,0,26,0,0,,0,,11,42,8,0,0,0,0,0,15,0,Matches
57,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,3.4,231,16,52,142,37,1,231,4,3,75.0,0,0.0,168,633,179,0,4,0,4,1,149,2,Matches
58,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,7.8,348,22,111,187,58,5,348,10,3,30.0,3,30.0,189,1226,591,11,9,1,13,7,215,12,Matches
59,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,0.6,17,0,2,6,10,1,17,5,2,40.0,3,60.0,12,109,61,3,1,1,2,0,10,2,Matches
60,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,861,72,360,449,59,5,861,13,9,69.2,4,30.8,483,2251,1054,10,11,2,10,1,564,9,Matches
61,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,12.8,1004,127,474,457,80,11,1004,0,0,,0,,699,3567,2011,9,11,0,5,1,730,13,Matches
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,25.7,1904,23,231,1004,690,61,1904,45,25,55.6,16,35.6,1018,5303,3192,83,62,10,33,24,1383,124,Matches
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,22.6,1476,244,853,605,26,14,1476,0,0,,0,,811,4596,2552,8,1,0,10,3,1019,0,Matches
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,0.1,10,0,4,5,1,0,10,0,0,,0,,9,33,15,0,0,0,0,0,9,0,Matches
65,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,4.2,221,7,22,133,69,12,221,9,3,33.3,5,55.6,141,766,310,6,13,1,8,4,162,9,Matches
66,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,34.8,1970,91,470,1193,328,28,1968,23,10,43.5,11,47.8,997,4688,1909,27,27,3,28,27,1135,37,Matches
67,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,24.4,1316,132,591,667,73,32,1316,13,9,69.2,3,23.1,655,4060,2701,23,13,0,8,5,684,9,Matches
68,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,18.8,701,27,139,241,335,21,701,61,24,39.3,31,50.8,401,2974,1399,48,41,1,54,28,418,104,Matches
69,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,11.3,546,14,74,251,223,22,546,28,6,21.4,20,71.4,308,1315,402,12,14,5,25,18,366,45,Matches
70,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,23.9,2296,75,523,1217,582,34,2296,52,28,53.8,21,40.4,1250,5701,2724,45,48,7,27,6,1492,97,Matches
71,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,56,1,4,19,35,7,56,3,1,33.3,2,66.7,41,312,79,3,1,1,4,2,36,12,Matches
72,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,2.8,106,0,10,47,53,9,106,20,7,35.0,9,45.0,69,590,363,16,11,4,10,2,68,19,Matches
73,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,9.6,371,3,41,145,194,36,371,38,16,42.1,19,50.0,288,2206,1236,48,29,15,19,16,282,77,Matches
74,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,2001,14.2,522,14,77,210,243,51,522,70,24,34.3,38,54.3,312,2561,1191,51,23,18,39,27,344,95,Matches
75,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,11.2,485,6,50,224,221,33,485,38,15,39.5,21,55.3,340,1958,846,22,20,7,23,17,328,72,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,1196,754,1145,52,0,0,1196,0,0,,0,,850,3713,2361,0,0,0,4,0,764,0,Matches
77,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,3.7,143,3,19,66,60,11,143,8,3,37.5,4,50.0,85,558,223,9,4,1,8,8,101,25,Matches
78,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,20.7,1008,48,223,443,360,67,1008,67,28,41.8,35,52.2,726,5623,2680,87,55,13,54,26,676,120,Matches
79,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,10.7,514,12,72,245,203,16,514,29,13,44.8,12,41.4,292,1847,861,24,27,6,20,17,367,33,Matches
80,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,21.5,1030,25,137,431,475,86,1030,51,23,45.1,22,43.1,653,4490,2276,78,43,22,30,27,742,162,Matches
81,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,23.4,779,11,105,332,360,80,779,93,37,39.8,43,46.2,505,4048,1930,72,47,35,59,39,558,137,Matches
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,2.8,246,7,59,100,89,7,246,6,3,50.0,2,33.3,141,766,388,11,10,2,2,3,157,33,Matches
83,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,8.6,552,38,200,278,82,2,552,16,11,68.8,4,25.0,257,1338,644,10,6,0,7,5,329,15,Matches
84,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,6.3,391,22,93,236,64,6,391,11,6,54.5,5,45.5,224,1089,465,10,4,0,8,9,278,8,Matches
85,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,26.4,1599,150,565,854,201,16,1599,42,27,64.3,14,33.3,890,5147,2227,20,27,1,38,30,948,26,Matches
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,28.2,1325,125,508,648,178,22,1325,21,9,42.9,11,52.4,558,2517,1283,11,12,0,27,10,624,40,Matches
87,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,8.5,536,16,96,188,263,32,536,29,16,55.2,11,37.9,320,1875,1108,36,15,16,15,13,359,80,Matches
88,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,29.4,1554,20,107,473,988,149,1552,42,20,47.6,22,52.4,914,4459,2092,64,59,28,56,36,1103,180,Matches
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,12.8,810,52,344,440,31,7,810,3,2,66.7,1,33.3,428,2689,1856,13,9,1,8,0,485,2,Matches
90,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,4.7,242,8,43,143,58,6,242,7,4,57.1,2,28.6,182,869,321,3,4,0,8,7,171,13,Matches
91,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,1.4,100,4,26,54,21,6,100,2,2,100.0,0,0.0,61,369,172,1,3,0,2,1,62,6,Matches
92,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19,2004,9.9,405,18,97,177,146,24,405,43,16,37.2,25,58.1,259,1839,806,25,18,5,28,9,236,65,Matches
93,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,26,1996,6.7,293,7,48,133,117,16,293,42,18,42.9,15,35.7,172,954,358,7,13,2,29,15,191,36,Matches
94,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,4.4,198,6,32,79,90,21,198,25,8,32.0,15,60.0,119,830,478,19,8,9,22,8,130,30,Matches
95,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,0.2,26,0,1,15,10,1,26,0,0,,0,,13,52,17,1,0,0,0,0,17,1,Matches
96,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,1994,1.0,67,4,18,42,8,0,67,2,1,50.0,1,50.0,43,290,75,0,1,0,1,1,35,1,Matches
97,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,2000,21.7,789,24,94,379,337,68,788,88,29,33.0,47,53.4,468,3229,1654,63,30,20,67,32,513,93,Matches
98,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,1998,8.9,430,34,130,193,107,4,430,7,3,42.9,4,57.1,242,1402,609,12,10,0,11,7,232,21,Matches
99,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,6.4,344,22,176,157,15,7,344,2,1,50.0,1,50.0,190,918,402,2,3,0,8,1,188,2,Matches
100,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,1996,11.1,703,44,184,359,169,17,703,19,12,63.2,7,36.8,486,2223,805,6,11,3,9,8,448,52,Matches
101,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,1996,14.6,984,29,149,504,346,15,983,55,25,45.5,24,43.6,470,2454,1094,16,25,5,22,19,524,22,Matches
102,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,26,1996,1.0,116,2,9,62,48,2,116,6,1,16.7,4,66.7,57,313,187,5,4,1,2,0,96,6,Matches
103,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18,2005,0.0,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches
104,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,26,1996,10.4,770,48,218,439,120,1,770,10,6,60.0,2,20.0,490,2365,947,6,8,0,9,11,546,10,Matches
105,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27,1996,37.9,2609,337,1320,1160,140,44,2609,23,14,60.9,6,26.1,1367,7243,4207,21,11,0,11,6,1604,10,Matches
106,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,20,2002,11.4,639,23,109,277,267,46,639,42,20,47.6,18,42.9,363,2269,1213,37,23,4,27,21,415,70,Matches
107,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,30,1993,30.8,1756,43,252,792,742,93,1756,107,43,40.2,54,50.5,897,5493,2896,108,62,26,65,32,1304,226,Matches
108,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32,1990,28.6,2242,103,496,1461,293,32,2242,23,10,43.5,13,56.5,1701,8056,3343,19,40,1,29,22,1612,37,Matches
109,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28,1995,1.9,83,2,3,44,36,3,83,5,2,40.0,3,60.0,59,272,42,0,4,1,8,6,66,24,Matches
110,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,1994,18.8,1638,53,319,1049,281,16,1638,12,7,58.3,4,33.3,885,4005,1978,20,34,1,13,7,1235,14,Matches
111,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25,1998,17.3,975,128,567,381,30,17,975,7,5,71.4,1,14.3,491,2583,1586,7,5,0,10,2,559,1,Matches
112,Angeliño,es ESP,DF,Roma,it Serie A,26,1997,12.7,830,60,284,351,199,7,830,13,6,46.2,6,46.2,414,1902,864,12,13,0,9,6,502,55,Matches
113,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29,1994,1.8,121,7,34,52,37,1,121,4,2,50.0,1,25.0,59,237,92,2,2,0,1,0,62,6,Matches
114,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,23,1999,1.7,69,2,15,27,27,4,69,6,2,33.3,3,50.0,36,160,77,2,2,0,5,2,40,9,Matches
115,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27,1996,32.1,2977,296,1245,1612,138,34,2977,22,15,68.2,7,31.8,1847,10429,5711,38,19,5,28,12,2110,15,Matches
116,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33,1990,18.8,527,7,49,226,259,59,527,62,29,46.8,26,41.9,345,2320,1084,48,17,19,69,39,398,104,Matches
117,Antony,br BRA,FW,Manchester Utd,eng Premier League,23,2000,14.7,815,17,106,304,428,58,815,71,26,36.6,33,46.5,549,3723,1953,53,37,23,26,19,571,149,Matches
118,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,1994,13.5,614,10,74,170,378,51,614,35,7,20.0,24,68.6,318,2169,1071,50,22,17,31,24,380,138,Matches
119,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,1998,8.4,440,3,49,238,157,27,440,21,11,52.4,7,33.3,278,1418,622,17,15,7,16,15,319,59,Matches
120,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,2004,0.9,42,1,7,20,15,3,42,6,4,66.7,2,33.3,27,188,92,3,1,1,4,1,26,2,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,1995,3.8,188,9,30,115,44,6,188,6,2,33.3,4,66.7,110,548,214,2,6,0,5,5,104,6,Matches
122,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21,2002,6.0,392,22,92,214,91,3,392,7,2,28.6,4,57.1,171,726,347,6,10,0,6,6,207,25,Matches
123,Asaf Arania,il ISR,MF,Darmstadt 98,de Bundesliga,17,2005,0.1,5,0,0,2,3,0,5,0,0,,0,,2,16,9,0,1,0,0,0,4,2,Matches
124,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,2001,16.2,1012,78,306,535,178,14,1012,20,12,60.0,6,30.0,489,1908,926,23,16,3,29,2,557,47,Matches
125,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24,1999,22.2,1811,157,732,1000,92,34,1811,11,8,72.7,2,18.2,1177,6282,3750,24,14,2,14,4,1350,11,Matches
126,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19,2004,10.5,551,31,135,331,93,4,551,25,17,68.0,6,24.0,277,1489,634,13,12,3,13,8,313,4,Matches
127,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22,2001,20.4,563,13,63,205,307,69,563,61,30,49.2,29,47.5,345,2186,984,33,29,22,61,45,386,113,Matches
128,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22,2001,0.1,7,0,1,4,2,0,7,0,0,,0,,5,39,28,1,1,0,1,0,7,0,Matches
129,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,30.0,976,835,969,7,0,0,976,1,1,100.0,0,0.0,498,3168,1945,0,1,0,0,0,345,0,Matches
130,Adu Ares,es ESP,FW,Athletic Club,es La Liga,21,2001,2.9,147,1,21,63,70,6,147,24,15,62.5,7,29.2,103,881,361,13,3,5,8,4,110,39,Matches
131,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24,1999,29.6,1669,85,367,682,643,23,1669,82,44,53.7,34,41.5,742,4479,2388,78,60,8,52,25,895,180,Matches
132,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,0.0,2,2,2,0,0,0,2,0,0,,0,,1,11,11,0,0,0,0,0,0,0,Matches
133,Matias Arezo,uy URU,FW,Granada,es La Liga,20,2002,4.1,126,5,14,70,45,11,126,1,1,100.0,0,0.0,56,312,182,6,3,4,6,4,78,17,Matches
134,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,18,2005,0.2,8,0,4,3,1,0,8,0,0,,0,,1,3,0,0,0,0,1,0,1,0,Matches
135,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25,1998,2.6,148,5,26,72,50,1,148,3,1,33.3,1,33.3,105,601,358,6,5,0,2,0,104,25,Matches
136,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,1995,10.3,449,3,37,158,256,30,449,29,11,37.9,15,51.7,259,1677,747,23,20,7,27,24,299,85,Matches
137,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20,2003,14.3,664,9,81,353,240,38,664,36,15,41.7,17,47.2,552,3212,1338,25,27,9,27,15,528,90,Matches
138,Marko Arnautović,at AUT,FW,Inter,it Serie A,34,1989,8.9,358,8,25,169,165,41,358,6,1,16.7,5,83.3,208,819,272,12,8,4,22,10,281,77,Matches
