,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,Matches
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7,Matches
3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,1,0,0,1,0,0,1,0,0,,0,,1,3,0,0,0,0,0,0,1,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,Matches
6,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,87,4,37,49,1,1,87,0,0,,0,,47,326,183,0,0,0,1,1,54,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,2164,105,553,1288,349,10,2164,65,44,67.7,18,27.7,1649,8707,3892,38,49,3,32,30,1502,51,Matches
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,Matches
9,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,Matches
10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,23,13,8,22,12,229,75,Matches
11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,69,4,4,31,34,9,69,6,2,33.3,4,66.7,37,208,111,6,2,2,9,2,53,15,Matches
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24,Matches
14,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,6,5,5,0,1,0,6,0,0,,0,,1,18,12,0,0,0,0,0,0,0,Matches
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,984,33,270,476,253,10,984,21,10,47.6,8,38.1,473,2266,1224,23,20,4,20,16,546,42,Matches
16,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,20,2002,4.3,112,2,19,49,48,9,112,22,5,22.7,15,68.2,72,462,174,7,5,3,10,7,69,14,Matches
17,Bénie Adama Traore,ci CIV,"FW,MF",Nantes,fr Ligue 1,20,2002,5.6,212,4,19,91,110,23,212,25,13,52.0,11,44.0,152,1195,585,23,15,7,19,9,140,45,Matches
18,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,638,17,61,266,323,118,638,44,14,31.8,26,59.1,442,2673,1004,40,23,22,68,30,472,127,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,91,3,23,54,14,4,91,3,2,66.7,0,0.0,44,193,116,4,1,2,3,0,52,1,Matches
20,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,54,2,7,32,18,6,54,3,0,0.0,2,66.7,29,141,48,1,1,0,5,5,33,5,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,312,8,30,151,136,52,312,18,7,38.9,10,55.6,162,814,344,15,9,5,27,17,183,42,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,1390,181,713,631,48,29,1390,3,1,33.3,0,0.0,817,4560,2661,10,12,1,4,4,1009,5,Matches
23,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110,Matches
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,458,10,69,170,227,63,458,60,18,30.0,32,53.3,310,2413,1171,52,22,27,29,25,318,96,Matches
25,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,1159,36,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278,Matches
26,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,811,94,374,397,46,10,811,5,4,80.0,1,20.0,554,3506,1609,10,12,0,12,5,511,4,Matches
27,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10.0,575,7,52,231,299,66,575,27,13,48.1,10,37.0,339,1768,1021,32,25,16,17,10,460,131,Matches
28,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,1439,38,262,913,281,8,1439,32,22,68.8,8,25.0,873,4728,2144,30,27,3,18,10,1053,26,Matches
29,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,9,2,9,0,0,0,9,0,0,,0,,5,22,9,0,0,0,0,0,5,0,Matches
30,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,2.6,163,0,18,81,68,10,163,8,5,62.5,3,37.5,137,934,451,18,9,4,4,4,127,19,Matches
31,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,1694,51,405,1032,270,23,1694,25,14,56.0,9,36.0,1040,4507,2248,26,23,3,27,19,1308,55,Matches
32,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,2198,237,820,1233,165,32,2198,31,15,48.4,16,51.6,1582,10223,5460,42,26,2,24,23,1405,19,Matches
33,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,104,84,104,0,0,0,104,0,0,,0,,58,348,192,0,0,0,0,0,42,0,Matches
34,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,6,0,1,4,1,0,6,1,0,0.0,1,100.0,2,7,5,0,1,0,0,0,4,0,Matches
35,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,430,17,108,245,83,12,430,8,7,87.5,1,12.5,221,1218,590,7,3,2,4,4,273,9,Matches
36,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,23,1999,17.9,886,61,302,363,229,24,886,35,14,40.0,17,48.6,460,2297,1223,32,16,7,32,10,495,90,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,20.6,1373,187,709,618,50,21,1373,5,3,60.0,2,40.0,861,4211,2388,10,8,0,10,2,912,3,Matches
38,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,21.4,1533,64,326,699,518,38,1533,20,6,30.0,12,60.0,1039,5334,2333,36,37,2,31,10,970,162,Matches
39,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,0.1,11,1,3,4,4,0,11,0,0,,0,,4,16,12,0,1,0,0,0,6,1,Matches
40,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,3.9,240,6,46,123,75,8,240,13,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20,Matches
41,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,29.4,1331,228,730,508,104,33,1331,21,11,52.4,9,42.9,603,3497,1946,15,15,3,14,11,693,21,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,4.5,240,34,132,107,6,2,240,2,2,100.0,0,0.0,133,630,322,2,0,0,1,2,137,0,Matches
43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,18.8,1019,62,340,462,228,13,1019,45,27,60.0,14,31.1,494,3139,1830,53,29,11,24,10,539,38,Matches
44,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,25.9,1522,56,406,698,446,49,1522,115,62,53.9,39,33.9,868,4904,2435,67,48,8,51,56,1007,99,Matches
45,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,291,10,54,120,123,21,291,26,12,46.2,13,50.0,227,1660,686,17,10,6,18,13,218,52,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,20.4,1042,112,430,457,158,58,1042,12,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31,Matches
47,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,15.1,603,12,53,314,238,85,601,11,2,18.2,8,72.7,260,904,291,5,6,1,42,10,450,88,Matches
48,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,27.9,2544,163,779,1385,392,27,2544,4,2,50.0,2,50.0,1639,8282,4923,46,51,3,14,9,1983,36,Matches
49,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,2001,0.1,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,22.7,2026,105,634,1116,281,38,2026,10,5,50.0,3,30.0,1280,6039,3501,24,43,1,8,2,1507,18,Matches
51,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,16.8,745,12,89,271,403,70,745,128,57,44.5,59,46.1,491,3523,2006,68,47,27,49,36,551,160,Matches
52,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,1997,18.6,959,54,338,420,216,20,959,40,21,52.5,18,45.0,498,2520,1141,27,23,2,15,16,525,72,Matches
53,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,9.1,443,36,135,195,119,11,443,18,8,44.4,9,50.0,259,1562,742,20,12,3,12,8,239,34,Matches
54,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,0.2,9,0,3,6,1,0,9,0,0,,0,,9,83,11,0,1,0,1,1,10,0,Matches
55,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,17.9,1055,10,101,457,513,79,1055,52,27,51.9,22,42.3,815,4602,1866,46,45,14,41,40,756,135,Matches
