,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,Matches
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0,Matches
3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17,Matches
6,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25,Matches
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,Matches
9,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Matches
10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,Matches
