,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1,Matches
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5,Matches
14,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,Matches
16,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,20,2002,4.3,71,65,5,0,2,0,3,0,0,0,0,0,55,1,4,Matches
17,Bénie Adama Traore,ci CIV,"FW,MF",Nantes,fr Ligue 1,20,2002,5.6,148,129,18,3,4,0,20,2,6,2,3,0,99,1,11,Matches
18,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,Matches
20,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,Matches
23,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5,Matches
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16,Matches
25,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,Matches
26,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5,Matches
27,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10,Matches
28,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14,Matches
29,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
30,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,Matches
31,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,1503,1447,53,34,3,5,12,13,6,3,0,0,1370,3,17,Matches
32,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,1838,1728,106,50,5,11,6,48,0,0,0,0,1599,4,11,Matches
33,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,Matches
34,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
35,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6,Matches
36,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,23,1999,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,Matches
38,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,21.4,1282,1094,185,17,3,1,75,168,0,0,0,0,1044,3,35,Matches
39,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
40,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8,Matches
41,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,29.4,988,950,36,11,1,2,6,25,0,0,0,0,745,2,20,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0,Matches
43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,18.8,802,649,150,12,2,2,28,138,0,0,0,0,603,3,17,Matches
44,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24,Matches
45,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,203,193,7,0,0,0,8,1,0,0,0,0,154,3,4,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11,Matches
47,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6,Matches
48,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10,Matches
49,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14,Matches
51,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,Matches
52,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,1997,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,Matches
53,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,9.1,350,287,61,3,0,0,21,57,0,0,0,0,277,2,8,Matches
54,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
55,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,17.9,833,773,54,12,8,2,54,3,37,14,8,0,645,6,24,Matches
56,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
57,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,3.4,185,183,2,2,0,0,0,0,0,0,0,0,158,0,2,Matches
58,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,7.8,263,260,3,1,1,1,1,0,0,0,0,0,220,0,11,Matches
59,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,0.6,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
60,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6,Matches
61,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,Matches
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28,Matches
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,Matches
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
65,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,4.2,165,155,10,7,2,1,1,2,1,0,0,0,143,0,3,Matches
66,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17,Matches
67,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,Matches
68,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32,Matches
69,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12,Matches
70,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23,Matches
71,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,34,34,0,0,0,0,6,0,0,0,0,0,22,0,1,Matches
72,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,Matches
73,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,9.6,268,245,22,6,1,0,44,0,16,8,7,0,193,1,8,Matches
74,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,2001,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17,Matches
75,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,11.2,358,289,66,17,6,1,54,1,36,23,13,0,228,3,14,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3,Matches
77,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,3.7,98,97,1,0,1,1,10,0,0,0,0,0,60,0,6,Matches
78,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,20.7,743,675,65,2,1,0,47,57,1,0,0,0,589,3,17,Matches
79,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,Matches
80,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,21.5,802,789,10,2,5,0,24,7,1,0,0,0,669,3,16,Matches
81,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,23.4,478,472,6,2,1,0,21,3,1,1,0,0,351,0,19,Matches
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,2.8,214,171,43,10,0,3,15,27,6,2,2,0,180,0,5,Matches
83,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,Matches
84,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,Matches
85,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14,Matches
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,28.2,1017,878,138,35,0,10,25,101,0,0,0,0,754,1,17,Matches
87,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,8.5,455,379,73,8,4,1,22,58,7,1,5,1,380,3,10,Matches
88,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27,Matches
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,Matches
90,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,4.7,193,190,2,2,1,1,2,0,0,0,0,0,159,1,2,Matches
91,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,1.4,76,75,1,1,0,1,0,0,0,0,0,0,59,0,2,Matches
92,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19,2004,9.9,257,255,2,1,2,0,14,1,0,0,0,0,167,0,7,Matches
93,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,26,1996,6.7,164,162,2,0,2,0,4,0,0,0,0,0,120,0,5,Matches
94,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,4.4,113,110,2,1,2,0,7,1,0,0,0,0,76,1,4,Matches
95,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,0.2,25,25,0,0,0,1,0,0,0,0,0,0,22,0,2,Matches
96,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,1994,1.0,54,43,11,3,0,0,1,8,0,0,0,0,47,0,1,Matches
97,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19,Matches
98,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,1998,8.9,350,266,84,8,1,0,14,76,0,0,0,0,268,0,15,Matches
99,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,6.4,273,267,6,4,0,1,1,2,0,0,0,0,217,0,3,Matches
100,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,1996,11.1,602,517,84,13,0,1,16,71,0,0,0,0,492,1,10,Matches
101,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,1996,14.6,798,612,181,80,2,3,126,9,88,32,44,0,567,5,11,Matches
102,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,26,1996,1.0,100,98,2,1,0,0,1,0,1,0,0,0,92,0,2,Matches
103,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,26,1996,10.4,664,642,21,10,0,8,7,11,0,0,0,0,578,1,10,Matches
105,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27,1996,37.9,2209,2073,121,110,7,31,31,8,0,0,0,0,1731,15,22,Matches
106,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,20,2002,11.4,461,432,29,3,4,1,19,25,1,0,0,0,371,0,9,Matches
107,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,30,1993,30.8,1336,1299,29,5,5,6,57,18,6,1,4,0,1012,8,63,Matches
108,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32,1990,28.6,1919,1855,58,57,5,19,19,1,0,0,0,0,1598,6,34,Matches
109,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28,1995,1.9,59,54,5,0,0,0,1,0,0,0,0,0,45,0,0,Matches
110,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,1994,18.8,1494,1458,34,32,5,4,14,2,0,0,0,0,1346,2,10,Matches
111,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25,1998,17.3,775,745,29,24,1,4,0,1,0,0,0,0,622,1,11,Matches
112,Angeliño,es ESP,DF,Roma,it Serie A,26,1997,12.7,715,610,101,12,0,4,53,87,2,1,0,0,546,4,11,Matches
113,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29,1994,1.8,103,96,7,1,0,2,8,6,0,0,0,0,68,0,5,Matches
114,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,23,1999,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3,Matches
115,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27,1996,32.1,2624,2511,109,51,6,9,14,29,0,0,0,0,2330,4,16,Matches
116,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33,1990,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22,Matches
117,Antony,br BRA,FW,Manchester Utd,eng Premier League,23,2000,14.7,595,570,22,7,3,1,16,15,0,0,0,0,468,3,23,Matches
118,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,1994,13.5,454,343,108,1,1,1,55,106,0,0,0,0,274,3,21,Matches
119,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,1998,8.4,359,344,15,4,0,0,10,3,8,5,2,0,300,0,8,Matches
120,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,2004,0.9,23,23,0,0,0,0,2,0,0,0,0,0,14,0,2,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,1995,3.8,142,138,4,2,0,2,6,1,1,1,0,0,114,0,2,Matches
122,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21,2002,6.0,321,256,62,7,0,0,7,55,0,0,0,0,254,3,7,Matches
123,Asaf Arania,il ISR,MF,Darmstadt 98,de Bundesliga,17,2005,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0,Matches
124,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,2001,16.2,831,694,135,19,0,2,23,116,0,0,0,0,680,2,14,Matches
125,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24,1999,22.2,1641,1540,93,45,3,14,8,37,0,0,0,0,1458,8,6,Matches
126,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19,2004,10.5,438,406,29,13,0,2,7,0,6,3,0,0,349,3,8,Matches
127,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22,2001,20.4,332,310,22,0,2,1,5,0,0,0,0,0,266,0,15,Matches
128,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22,2001,0.1,6,6,0,0,1,0,0,0,0,0,0,0,5,0,0,Matches
129,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,30.0,867,555,307,88,0,2,0,0,0,0,0,0,562,5,0,Matches
130,Adu Ares,es ESP,FW,Athletic Club,es La Liga,21,2001,2.9,104,103,1,0,0,1,11,0,1,1,0,0,79,0,5,Matches
131,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24,1999,29.6,1368,1033,332,20,1,6,110,311,0,0,0,0,1021,3,48,Matches
132,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Matias Arezo,uy URU,FW,Granada,es La Liga,20,2002,4.1,82,75,7,0,1,0,4,1,0,0,0,0,52,0,0,Matches
134,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,18,2005,0.2,4,3,1,0,0,0,0,1,0,0,0,0,1,0,1,Matches
135,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25,1998,2.6,131,114,17,1,0,0,14,16,0,0,0,0,97,0,3,Matches
136,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,1995,10.3,318,260,58,18,0,3,46,3,25,13,8,0,233,0,8,Matches
137,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20,2003,14.3,549,525,21,6,3,4,7,4,2,1,0,0,451,3,13,Matches
138,Marko Arnautović,at AUT,FW,Inter,it Serie A,34,1989,8.9,271,264,5,0,3,1,7,0,0,0,0,0,203,2,9,Matches
139,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29,1994,27.8,1582,1404,171,87,4,17,110,1,58,39,13,2,1285,7,19,Matches
140,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
141,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,21,2001,22.7,751,661,86,32,4,4,60,7,28,13,9,0,588,4,20,Matches
142,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,13.3,456,374,82,12,0,1,0,0,0,0,0,0,386,0,1,Matches
143,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20,2003,2.0,109,96,13,0,0,0,7,12,1,0,0,0,88,0,3,Matches
144,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28,1994,22.1,397,383,12,1,1,0,37,2,1,0,0,0,262,2,26,Matches
145,Marco Asensio,es ESP,"MF,FW",Paris S-G,fr Ligue 1,27,1996,12.4,656,598,55,10,6,6,52,8,31,11,10,0,545,3,13,Matches
146,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21,2002,8.7,744,685,56,23,2,4,35,1,32,12,10,0,662,3,6,Matches
147,Joel Asoro,se SWE,"FW,MF",Metz,fr Ligue 1,24,1999,9.4,147,136,10,4,0,0,19,1,2,2,0,0,94,1,10,Matches
148,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,de Bundesliga,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35,1987,30.1,1305,1112,190,51,20,15,149,8,94,39,35,0,949,3,30,Matches
150,Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23,2000,13.7,485,378,104,3,0,0,29,101,0,0,0,0,352,3,19,Matches
151,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23,2000,11.2,600,491,109,13,0,1,22,96,0,0,0,0,516,0,12,Matches
152,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27,1996,4.0,238,215,22,6,2,0,6,16,0,0,0,0,214,1,1,Matches
153,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17,2005,6.2,179,171,7,1,0,0,5,6,0,0,0,0,155,1,3,Matches
154,Arthur Atta,fr FRA,"MF,FW",Metz,fr Ligue 1,20,2003,10.3,401,378,20,10,1,4,10,6,1,1,0,0,301,3,11,Matches
155,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34.0,1392,1060,329,88,0,4,0,0,0,0,0,0,982,3,1,Matches
156,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34,1989,29.1,660,608,48,1,3,0,42,4,0,0,0,0,444,4,27,Matches
157,Emil Audero,it ITA,GK,Inter,it Serie A,26,1997,3.7,197,174,21,3,0,0,0,0,0,0,0,0,166,2,1,Matches
158,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,28,1994,26.9,1329,1008,317,42,1,2,153,241,34,7,25,0,919,4,42,Matches
159,Carlos Augusto,br BRA,DF,Inter,it Serie A,24,1999,19.2,1099,977,112,14,0,3,40,92,0,0,0,0,921,10,25,Matches
160,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,22,2000,10.0,641,614,27,20,1,2,5,7,0,0,0,0,590,0,9,Matches
161,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,30,1992,9.3,448,407,41,6,1,0,22,35,0,0,0,0,348,0,8,Matches
162,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29,1994,9.6,371,312,56,13,4,6,79,10,32,17,12,0,232,3,9,Matches
163,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,29,1994,3.3,91,89,2,1,0,3,12,1,0,0,0,0,55,0,6,Matches
164,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25,1997,11.6,175,169,4,0,2,1,1,0,0,0,0,0,127,2,3,Matches
165,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,33,1989,12.3,266,244,19,0,0,0,4,1,0,0,0,0,197,3,10,Matches
166,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31,1991,28.3,920,876,42,8,4,5,97,10,22,6,8,0,681,2,43,Matches
167,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22,2001,17.4,670,660,9,8,2,0,7,1,0,0,0,0,576,1,6,Matches
168,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,28,1995,6.5,156,152,4,1,1,1,2,1,0,0,0,0,108,0,8,Matches
169,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,33,1989,15.8,1035,899,130,19,1,2,11,111,0,0,0,0,867,6,8,Matches
170,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29,1994,10.6,487,394,91,6,0,1,48,84,1,0,0,0,322,2,13,Matches
171,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22,2001,6.1,390,383,7,6,0,2,2,0,1,1,0,0,352,0,2,Matches
172,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,18,2004,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
173,Iddrisu Baba,gh GHA,MF,Almería,es La Liga,27,1996,15.9,654,636,15,15,2,2,4,0,0,0,0,0,543,3,10,Matches
174,Srđan Babić,rs SRB,DF,Almería,es La Liga,27,1996,1.0,62,60,2,2,0,1,0,0,0,0,0,0,58,0,0,Matches
