,Player,Nation,Position,Squad,Competition,Age,Born,90s,Goals,Shots_total,Shots_on_target,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Matches
0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,0,2,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,+0.6,+0.4,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,0,5,0,0.0,0.30,0.00,0.00,,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
6,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,+0.9,+0.9,Matches
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,+1.2,+1.2,Matches
9,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,0,4,0,0.0,0.26,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,+0.2,0.0,Matches
11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.00,0.00,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,1,4,2,50.0,1.49,0.74,0.25,0.50,11.9,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,3,15,6,40.0,0.57,0.23,0.20,0.50,12.0,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Matches
14,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
16,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,20,2002,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
17,Bénie Adama Traore,ci CIV,"FW,MF",Nantes,fr Ligue 1,20,2002,5.6,0,7,4,57.1,1.25,0.71,0.00,0.00,18.7,1,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
18,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,8,79,32,40.5,3.16,1.28,0.10,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
20,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,0,2,1,50.0,1.71,0.86,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,2,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
23,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1,Matches
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,3,23,10,43.5,2.27,0.99,0.13,0.30,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,Matches
25,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,+1.7,+1.7,Matches
26,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,0,4,0,0.0,0.29,0.00,0.00,,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
27,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10.0,4,27,15,55.6,2.71,1.50,0.15,0.27,13.7,0,0,0,3.3,3.3,0.12,+0.7,+0.7,Matches
28,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,1,4,1,25.0,0.26,0.06,0.25,1.00,19.8,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
29,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,2.6,0,5,0,0.0,1.89,0.00,0.00,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
31,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,0,18,5,27.8,0.73,0.20,0.00,0.00,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
32,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,1,32,5,15.6,1.11,0.17,0.03,0.20,15.1,0,0,0,2.4,2.4,0.07,-1.4,-1.4,Matches
33,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
34,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,13.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches
36,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,23,1999,17.9,0,11,0,0.0,0.61,0.00,0.00,,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
38,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,16.1,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
39,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,3.9,0,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
41,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,29.4,2,19,5,26.3,0.65,0.17,0.11,0.40,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,Matches
