,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Matches
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,36,28,"2,372",26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31,Matches
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,8,6,15,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,Matches
2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,37,"3,330",37.0,1,2,3,1,0,0,6,0,2.4,2.4,1.0,3.4,40,215,10,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09,Matches
5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,24,"2,137",23.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58,151,111,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,33,"2,894",32.2,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33,165,44,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,28,"2,342",26.0,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13,143,14,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07,0.02,0.07,Matches
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2,15,8,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
9,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,19,8,806,9.0,2,1,3,1,1,2,1,0,3.6,2.0,0.7,2.7,14,8,49,0.22,0.11,0.33,0.11,0.22,0.40,0.08,0.47,0.22,0.30,Matches
10,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Matches
11,Abner,br BRA,DF,Betis,es La Liga,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27,Matches
12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,37,28,"2,473",27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100,72,276,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,38,24,"2,189",24.3,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35,54,141,0.33,0.12,0.45,0.33,0.45,0.45,0.15,0.60,0.45,0.60,Matches
14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,31,25,"2,425",26.9,0,2,2,0,0,0,4,0,1.0,1.0,1.1,2.1,39,100,32,0.00,0.07,0.07,0.00,0.07,0.04,0.04,0.08,0.04,0.08,Matches
16,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.39,0.30,0.39,Matches
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,30,21,"1,912",21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49,102,94,0.14,0.09,0.24,0.14,0.24,0.05,0.20,0.26,0.05,0.26,Matches
19,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,28,23,"1,992",22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115,0.23,0.14,0.36,0.23,0.36,0.30,0.13,0.42,0.30,0.42,Matches
20,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,24,"2,156",24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12,24,58,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,25,23,"2,085",23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,95,3,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,Matches
23,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,24,20,"1,386",15.4,6,5,11,6,0,1,9,0,5.0,4.3,3.7,8.0,49,47,131,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52,Matches
25,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,22,2000,26,16,"1,435",15.9,5,3,8,5,0,0,2,2,5.0,5.0,1.7,6.7,46,49,137,0.31,0.19,0.50,0.31,0.50,0.31,0.11,0.42,0.31,0.42,Matches
26,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.22,0.05,0.22,Matches
27,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,32,18,"1,542",17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14,46,85,0.06,0.00,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12,Matches
28,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,23,7,817,9.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,22,8,54,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.22,0.21,0.22,Matches
29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,29,27,"2,388",26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15,131,8,0.00,0.11,0.11,0.00,0.11,0.06,0.09,0.15,0.06,0.15,Matches
30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,15,14,"1,094",12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9,93,10,0.00,0.08,0.08,0.00,0.08,0.07,0.09,0.16,0.07,0.16,Matches
32,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.22,0.07,0.22,Matches
33,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,34,18,"1,888",21.0,1,2,3,1,0,0,4,0,1.0,1.0,2.2,3.2,29,139,50,0.05,0.10,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15,Matches
34,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,34,23,"2,131",23.7,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81,110,100,0.00,0.04,0.04,0.00,0.04,0.06,0.13,0.19,0.06,0.19,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,18,17,"1,595",17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4,0.11,0.00,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15,Matches
36,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,20,14,"1,172",13.0,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,29,102,78,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
37,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches
38,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,17,17,"1,398",15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,Matches
39,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,30,16,"1,300",14.4,3,1,4,3,0,0,4,1,1.2,1.2,0.9,2.1,25,50,37,0.21,0.07,0.28,0.21,0.28,0.08,0.07,0.15,0.08,0.15,Matches
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,35,35,"3,119",34.7,3,0,3,3,0,0,6,1,1.0,1.0,0.1,1.1,15,95,2,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03,Matches
42,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,35,43,43,0.10,0.10,0.21,0.10,0.21,0.08,0.21,0.29,0.08,0.29,Matches
43,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,21,9,"1,076",12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.08,0.00,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,Matches
44,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,23,17,"1,653",18.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19,46,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
46,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,3.4,2.6,0.9,3.5,2,13,55,0.12,0.00,0.12,0.00,0.00,0.39,0.10,0.50,0.30,0.40,Matches
47,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,17,15,"1,211",13.5,6,1,7,6,0,0,5,0,4.6,4.6,1.7,6.4,5,31,85,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47,Matches
48,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,29,24,"2,287",25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07,Matches
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,26,22,"1,873",20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,0.05,0.00,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,Matches
50,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,29,27,"2,297",25.5,1,0,1,1,0,0,5,0,1.5,1.5,2.0,3.5,60,58,84,0.04,0.00,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,Matches
51,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9,9,16,42,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21,Matches
53,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,10,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
54,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,24,16,"1,356",15.1,1,1,2,1,0,0,9,2,1.5,1.5,1.0,2.4,19,39,37,0.07,0.07,0.13,0.07,0.13,0.10,0.06,0.16,0.10,0.16,Matches
55,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,28,21,"1,950",21.7,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,85,23,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
56,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,23,21,"1,838",20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.05,0.15,0.20,0.05,0.20,0.04,0.05,0.09,0.04,0.09,Matches
57,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
58,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
59,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0.0,1.5,2,8,17,0.27,0.00,0.27,0.27,0.27,0.39,0.01,0.40,0.39,0.40,Matches
60,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,24,14,"1,419",15.8,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7.0,42,141,157,0.13,0.19,0.32,0.13,0.32,0.05,0.40,0.44,0.05,0.44,Matches
61,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,35,27,"2,442",27.1,6,7,13,5,1,2,4,0,4.4,2.7,7.0,9.7,73,248,94,0.22,0.26,0.48,0.18,0.44,0.16,0.26,0.42,0.10,0.36,Matches
62,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,25,24,"2,119",23.5,0,0,0,0,0,0,6,0,0.1,0.1,0.0,0.1,12,100,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
63,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,18,14,"1,254",13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
