,Player,Nationality,Position,Squad,Competition,Age,Year_of_Birth,Matches_Played,Minutes,Minutes_Per_Match_Played,Percentage_of_Squad_Minutes_Played,90s_Played,Starts,Minutes_Per_Match_Started,Complete_Matches_Played,Games_Played_as_Sub,Minutes_Per_Substitution,Games_as_Unused_Sub,Points_per_Match,Goals_Scored_(on_pitch),Goals_Allowed_(on_pitch),Plus/Minus,Plus/Minus_per_90,On-Off,xG_(on_pitch),xGA_(on_pitch),xG_Plus/Minus,xG_Plus/Minus_per_90,xG_On-Off,Matches
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,36,"2,372",66,69.4,26.4,28,78,8,8,22,2,0.86,35,58,-23,-0.87,-0.27,33.3,49.8,-16.5,-0.63,-0.35,Matches
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,7,173,25,5.7,1.9,0,,0,7,25,6,1.14,4,0,+4,+2.08,+2.02,5.4,1.4,+4.0,+2.06,+1.92,Matches
2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,63,32,1.8,0.7,1,58,0,1,5,33,0.00,0,0,0,0.00,+0.03,0.4,0.7,-0.3,-0.37,-0.25,Matches
3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,1,1,1,0.0,0.0,0,,0,1,1,1,3.00,1,0,+1,+90.00,+89.84,0.3,0.0,+0.3,+28.39,+28.20,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,"3,330",90,97.4,37.0,37,90,37,0,,0,1.38,45,42,+3,+0.08,+3.08,60.5,50.1,+10.4,+0.28,+1.79,Matches
5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,"2,137",71,62.5,23.7,24,83,14,6,23,6,0.33,21,49,-28,-1.18,+0.22,23.8,40.7,-17.0,-0.72,-0.45,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,"2,894",88,84.6,32.2,33,88,30,0,,0,2.24,59,22,+37,+1.15,+0.81,57.9,35.7,+22.2,+0.69,+0.45,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,"2,342",81,68.5,26.0,28,83,19,1,26,0,1.72,38,35,+3,+0.12,+0.45,31.6,39.7,-8.1,-0.31,+0.16,Matches
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,592,46,17.3,6.6,6,80,5,7,16,5,1.08,2,11,-9,-1.37,-0.76,4.9,9.3,-4.4,-0.67,-0.36,Matches
9,Terry Ablade,fi FIN,FW,Fulham,eng Premier League,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,19,806,42,23.6,9.0,8,73,1,11,20,1,1.11,7,14,-7,-0.78,-0.06,11.7,13.3,-1.6,-0.18,+0.32,Matches
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,11,107,10,3.1,1.2,0,,0,11,10,4,2.27,5,0,+5,+4.21,+3.53,2.9,1.3,+1.6,+1.36,+0.93,Matches
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,13,607,47,17.7,6.7,7,74,3,6,15,8,1.08,7,10,-3,-0.44,-0.70,10.3,10.9,-0.6,-0.09,-0.16,Matches
