,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
98,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,31,1990,32,32,"2,816",31.3,39,1.25,131,94,75.6,16,4,12,7,21.9,7,7,0,0,0.0,Matches
99,Diego López,es ESP,GK,Rayo Vallecano,es La Liga,40,1981,2,1,96,1.1,4,3.75,5,1,20.0,0,0,1,0,0.0,0,0,0,0,,Matches
100,Pau López,es ESP,GK,Marseille,fr Ligue 1,27,1994,33,32,"2,925",32.5,34,1.05,123,90,76.4,21,4,7,10,31.3,5,5,0,0,0.0,Matches
101,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,23,1999,7,7,630,7.0,7,1.00,18,12,61.1,4,1,2,3,42.9,0,0,0,0,,Matches
102,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,30,1991,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
103,Mike Maignan,fr FRA,GK,Milan,it Serie A,27,1995,22,22,"1,978",22.0,21,0.96,62,40,69.4,11,7,4,8,36.4,3,2,1,0,33.3,Matches
104,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,21,2000,38,38,"3,420",38.0,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0,Matches
105,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,37,1985,34,34,"3,014",33.5,31,0.93,110,79,73.6,19,5,10,12,35.3,3,2,1,0,33.3,Matches
106,Vito Mannone,it ITA,GK,Lorient,fr Ligue 1,34,1988,18,17,"1,608",17.9,24,1.34,84,60,72.6,4,6,7,5,29.4,1,1,0,0,0.0,Matches
107,Agustín Marchesín,ar ARG,GK,Celta Vigo,es La Liga,34,1988,19,19,"1,710",19.0,29,1.53,72,42,62.5,5,5,9,6,31.6,4,2,2,0,50.0,Matches
108,Federico Marchetti,it ITA,GK,Spezia,it Serie A,39,1983,1,0,66,0.7,2,2.73,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches
109,Diego Mariño,es ESP,GK,Almería,es La Liga,32,1990,1,0,45,0.5,2,4.00,5,3,60.0,0,0,0,0,,0,0,0,0,,Matches
