,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
0,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,0.1,0.04,+0.1,+0.90,1,2,50.0,7,3,28.6,25.7,1,0.0,24.0,1,0,0.0,2,13.85,33.0,Matches
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,6,0,0,0,0,5.5,0.30,-0.5,-0.06,37,101,36.6,179,33,29.6,30.5,62,77.4,55.4,96,11,11.5,10,1.33,15.4,Matches
2,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,8,1,0,2,0,6.5,0.29,-1.5,-0.32,23,67,34.3,109,14,38.5,33.0,35,71.4,51.4,75,5,6.7,5,1.11,14.8,Matches
3,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,43,2,0,0,2,51.1,0.33,+10.1,+0.27,116,283,41.0,1256,210,18.4,26.9,193,26.9,31.3,397,23,5.8,89,2.41,19.8,Matches
4,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,3.4,7,2,0,1,0,7.3,0.33,+0.3,+0.09,14,37,37.8,61,14,39.3,33.4,30,43.3,33.0,47,2,4.3,1,0.29,10.3,Matches
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,28.5,33,1,1,4,3,35.0,0.29,+5.0,+0.18,68,213,31.9,864,151,17.1,26.3,182,35.7,31.5,332,15,4.5,52,1.82,16.9,Matches
6,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10.0,21,1,1,0,0,16.8,0.31,-4.2,-0.42,58,162,35.8,260,46,38.8,35.8,92,66.3,51.2,166,5,3.0,17,1.70,16.1,Matches
7,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25.0,39,5,0,4,2,32.3,0.21,-4.7,-0.19,159,441,36.1,714,104,45.8,39.1,200,57.0,44.2,356,24,6.7,23,0.92,13.9,Matches
8,Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36.0,63,7,0,4,2,69.5,0.31,+8.5,+0.24,191,422,45.3,772,166,33.8,34.2,296,54.4,41.7,574,21,3.7,20,0.56,12.7,Matches
9,Francesco Bardi,it ITA,GK,Bologna,it Serie A,30,1992,1.0,0,0,0,0,0,0.6,0.16,+0.6,+0.56,5,9,55.6,13,5,38.5,35.6,9,44.4,33.4,10,0,0.0,0,0.00,,Matches
10,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32,1990,34.0,57,2,1,11,1,50.4,0.31,-5.6,-0.16,206,525,39.2,1164,168,35.3,33.6,249,45.8,39.3,529,43,8.1,43,1.26,13.4,Matches
11,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,20,2002,32.0,56,1,1,7,4,35.4,0.28,-16.6,-0.52,212,629,33.7,935,144,50.2,38.1,237,67.5,50.0,456,36,7.9,48,1.50,15.1,Matches
12,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35,1987,1.0,0,0,0,0,0,0.5,0.12,+0.5,+0.49,4,13,30.8,22,5,36.4,34.9,8,62.5,46.8,23,1,4.3,0,0.00,5.0,Matches
13,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,29,1993,2.0,3,0,0,0,0,3.9,0.30,+0.9,+0.44,10,29,34.5,57,14,38.6,32.9,23,30.4,32.2,37,5,13.5,1,0.50,8.3,Matches
14,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25,1997,27.0,62,8,1,6,3,51.4,0.31,-7.6,-0.28,94,291,32.3,479,124,39.5,34.6,185,55.1,42.6,357,21,5.9,18,0.67,11.4,Matches
15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,31,1991,37.0,54,7,1,11,2,54.9,0.26,+2.9,+0.08,198,477,41.5,806,163,38.2,35.5,289,58.5,43.9,520,30,5.8,25,0.68,11.6,Matches
16,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,27,1995,5.5,6,0,0,1,2,3.9,0.20,-0.1,-0.02,11,47,23.4,165,31,20.6,27.4,41,31.7,32.1,73,3,4.1,7,1.27,17.9,Matches
17,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31,1991,26.0,29,6,0,2,0,26.9,0.27,-2.1,-0.08,59,189,31.2,985,126,14.9,25.3,156,26.9,30.0,288,20,6.9,39,1.50,17.0,Matches
18,Joaquín Blázquez,ar ARG,GK,Brest,fr Ligue 1,21,2001,1.0,0,0,0,0,0,0.2,0.06,+0.2,+0.17,8,13,61.5,18,3,61.1,45.7,11,18.2,26.3,11,2,18.2,0,0.00,3.5,Matches
19,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,31,1991,23.9,41,2,1,3,2,37.3,0.34,-1.7,-0.07,115,303,38.0,785,92,27.9,30.9,162,51.9,42.1,308,20,6.5,39,1.63,17.4,Matches
20,Claudio Bravo,cl CHI,GK,Betis,es La Liga,39,1983,12.0,9,1,0,1,0,11.0,0.24,+2.0,+0.17,75,225,33.3,288,42,51.7,39.6,101,75.2,52.5,213,4,1.9,6,0.50,12.1,Matches
21,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,27,1995,15.0,23,5,0,3,1,20.1,0.26,-1.9,-0.13,55,129,42.6,503,86,20.3,27.6,91,29.7,33.5,203,12,5.9,15,1.00,15.2,Matches
22,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,22,1999,2.0,2,0,0,0,0,3.1,0.52,+1.1,+0.56,8,20,40.0,49,11,20.4,28.1,18,55.6,44.2,26,2,7.7,3,1.50,13.8,Matches
23,Juan Carlos,es ESP,GK,Girona,es La Liga,34,1988,10.0,18,2,2,1,0,16.7,0.35,-1.3,-0.13,23,64,35.9,278,51,17.6,28.7,62,24.2,30.3,120,6,5.0,21,2.10,16.9,Matches
24,Marco Carnesecchi,it ITA,GK,Cremonese,it Serie A,22,2000,27.0,47,2,3,7,1,44.2,0.28,-1.8,-0.07,157,523,30.0,745,135,52.2,41.4,203,66.0,53.1,402,29,7.2,29,1.07,14.1,Matches
25,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,23,1999,1.5,3,0,0,0,0,1.9,0.24,-1.1,-0.70,14,43,32.6,38,4,78.9,49.4,14,92.9,61.4,38,2,5.3,0,0.00,8.3,Matches
26,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,30,1992,34.0,48,4,0,5,3,43.9,0.27,-1.1,-0.03,257,588,43.7,1326,183,33.3,33.7,258,57.0,47.5,489,29,5.9,51,1.50,16.5,Matches
27,Michele Cerofolini,it ITA,GK,Fiorentina,it Serie A,23,1999,5.0,3,1,0,0,0,3.4,0.22,+0.4,+0.09,24,70,34.3,167,27,34.7,33.3,28,42.9,38.1,29,1,3.4,3,0.60,13.8,Matches
28,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,27,1995,6.0,13,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,20,2001,32.0,31,2,2,1,3,30.5,0.27,+2.5,+0.08,76,282,27.0,903,121,26.2,29.4,105,42.9,37.2,318,22,6.9,25,0.78,13.5,Matches
30,Oliver Christensen,dk DEN,GK,Hertha BSC,de Bundesliga,23,1999,33.0,68,5,4,8,0,57.9,0.33,-10.1,-0.31,204,586,34.8,977,166,42.5,35.9,235,72.8,54.3,486,33,6.8,70,2.12,18.8,Matches
31,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,35,1987,35.0,55,3,0,5,2,38.5,0.31,-14.5,-0.41,176,436,40.4,1140,187,30.4,33.3,285,31.2,32.5,467,28,6.0,28,0.80,14.2,Matches
32,Alex Cordaz,it ITA,GK,Inter,it Serie A,39,1983,0.3,0,0,0,0,0,0.5,0.26,+0.5,+1.77,1,7,14.3,15,3,26.7,33.5,5,60.0,52.0,7,0,0.0,0,0.00,,Matches
33,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35,1987,19.0,41,3,0,3,0,34.0,0.33,-7.0,-0.37,132,292,45.2,454,72,41.9,36.8,137,74.5,51.7,285,3,1.1,11,0.58,13.1,Matches
34,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30,1992,31.0,29,4,0,1,0,29.7,0.22,+0.7,+0.02,83,214,38.8,982,194,18.4,27.7,152,21.7,29.5,366,32,8.7,40,1.29,15.4,Matches
35,Alessio Cragno,it ITA,GK,Monza,it Serie A,28,1994,1.0,3,0,0,0,0,1.7,0.35,-1.3,-1.33,2,4,50.0,25,4,12.0,22.6,6,16.7,33.3,7,0,0.0,2,2.00,25.7,Matches
36,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,24,1998,8.0,16,1,0,3,0,13.5,0.25,-2.5,-0.32,48,139,34.5,226,38,42.9,36.6,54,77.8,54.5,158,17,10.8,8,1.00,13.8,Matches
37,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26,1996,1.0,1,0,0,0,0,1.5,0.25,+0.5,+0.48,5,9,55.6,20,9,25.0,33.2,6,66.7,46.5,11,1,9.1,0,0.00,7.0,Matches
38,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25,1997,37.0,49,3,1,4,1,48.7,0.28,+0.7,+0.02,166,476,34.9,1265,236,30.4,32.2,247,37.2,34.9,541,14,2.6,32,0.86,13.4,Matches
39,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29,1993,37.0,47,8,0,5,0,55.4,0.28,+8.4,+0.23,235,601,39.1,1209,173,40.0,37.0,255,45.9,40.4,464,34,7.3,25,0.68,11.5,Matches
40,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,28,1993,36.9,49,4,0,9,4,44.2,0.30,-0.8,-0.02,152,537,28.3,816,199,45.0,38.6,299,56.9,46.7,500,24,4.8,52,1.41,16.1,Matches
41,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,22,1999,31.0,31,1,2,2,1,37.0,0.27,+7.0,+0.22,136,308,44.2,874,191,28.3,31.8,185,33.0,34.3,430,40,9.3,35,1.13,12.7,Matches
42,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,24,1998,1.0,2,0,0,0,0,1.0,0.34,-1.0,-0.97,3,17,17.6,30,4,40.0,33.6,10,50.0,31.7,14,1,7.1,5,5.00,21.3,Matches
43,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,30,1992,14.1,13,0,0,2,1,12.2,0.23,+0.2,+0.02,103,326,31.6,372,44,58.1,44.0,131,84.0,62.4,216,12,5.6,10,0.71,12.2,Matches
44,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,23,1999,37.9,40,2,1,3,1,43.3,0.26,+4.3,+0.11,54,148,36.5,728,167,15.0,23.9,207,18.8,24.1,436,33,7.6,27,0.71,12.1,Matches
45,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,24,1997,32.7,54,4,1,7,3,46.1,0.25,-4.9,-0.15,151,482,31.3,975,159,37.6,34.6,196,58.7,46.5,472,13,2.8,32,0.98,14.1,Matches
46,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,33,1989,1.7,1,0,0,0,1,1.9,0.21,+1.9,+1.07,6,10,60.0,39,14,10.3,20.7,15,40.0,35.3,30,1,3.3,0,0.00,12.4,Matches
47,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,29,1993,38.0,57,4,2,8,3,54.2,0.28,+0.2,+0.01,136,363,37.5,1006,176,24.4,29.5,264,44.7,37.2,517,30,5.8,21,0.55,10.1,Matches
48,Ederson,br BRA,GK,Manchester City,eng Premier League,28,1993,35.0,32,3,1,4,1,26.2,0.30,-4.8,-0.14,117,263,44.5,1104,147,19.6,28.0,152,30.9,32.3,286,19,6.6,33,0.94,15.7,Matches
49,Tjark Ernst,de GER,GK,Hertha BSC,de Bundesliga,19,2003,1.0,1,0,0,0,0,2.5,0.36,+1.5,+1.52,5,13,38.5,22,6,27.3,31.2,13,53.8,43.1,18,0,0.0,0,0.00,3.5,Matches
50,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37,1985,34.6,48,2,0,3,1,45.9,0.28,-1.1,-0.03,198,516,38.4,677,153,54.2,39.3,249,59.8,44.8,512,29,5.7,25,0.72,13.0,Matches
