,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,592,797,74.3,7577,2182,346,423,81.8,150,195,76.9,25,65,38.5,3,4.2,2.6,-1.2,46,47,16,4,86,Matches
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,51,71,71.8,659,109,36,38,94.7,14,23,60.9,1,6,16.7,0,0.0,0.1,0.0,1,3,0,0,6,Matches
2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,23,29,79.3,375,79,14,15,93.3,6,8,75.0,2,5,40.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,1679,2031,82.7,32967,13407,490,571,85.8,1006,1117,90.1,155,279,55.6,2,1.0,0.9,+1.0,13,155,5,0,215,Matches
5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,1043,1257,83.0,18273,4649,465,536,86.8,421,494,85.2,122,169,72.2,2,2.9,2.5,-0.9,36,124,26,8,151,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,1819,1981,91.8,28679,7020,897,964,93.0,769,811,94.8,92,117,78.6,1,1.6,2.3,-0.6,17,182,17,3,165,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,1308,1483,88.2,22287,7579,593,640,92.7,562,617,91.1,111,160,69.4,1,1.3,1.1,-0.3,14,144,11,0,143,Matches
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,115,195,59.0,1943,930,58,85,68.2,41,71,57.7,13,27,48.1,0,0.4,0.3,-0.4,6,17,3,2,15,Matches
9,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,69,105,65.7,1187,235,24,36,66.7,35,44,79.5,5,11,45.5,1,0.7,0.3,+0.3,5,7,3,1,8,Matches
10,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,7,15,46.7,129,30,3,6,50.0,3,4,75.0,1,1,100.0,0,0.3,0.2,-0.3,2,1,1,0,2,Matches
11,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,252,351,71.8,3886,1578,130,149,87.2,94,134,70.1,16,42,38.1,0,0.1,0.5,-0.1,2,18,3,1,16,Matches
12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,576,777,74.1,7539,1994,373,448,83.3,158,208,76.0,12,29,41.4,5,3.3,2.8,+1.7,22,30,22,4,72,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,342,513,66.7,4964,1248,198,260,76.2,102,163,62.6,24,36,66.7,3,3.6,2.8,-0.6,33,18,17,2,54,Matches
14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,9,9,100.0,129,4,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,1455,1644,88.5,27034,8090,545,594,91.8,737,802,91.9,149,202,73.8,2,1.1,1.2,+0.9,16,86,14,3,100,Matches
16,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,7,8,87.5,151,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,18,21,85.7,274,76,7,7,100.0,10,12,83.3,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,3,Matches
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,970,1307,74.2,18018,6997,446,499,89.4,380,491,77.4,128,260,49.2,2,4.3,5.7,-2.3,38,71,38,19,102,Matches
19,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,330,498,66.3,4651,1042,205,278,73.7,78,118,66.1,26,37,70.3,3,2.8,2.2,+0.2,24,21,11,2,34,Matches
20,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,-1.4,24,110,13,0,136,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,123,179,68.7,2000,527,61,76,80.3,48,64,75.0,10,16,62.5,2,0.8,1.4,+1.2,8,7,11,2,24,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,1066,1300,82.0,22623,8478,265,307,86.3,653,735,88.8,136,223,61.0,0,0.4,0.5,-0.4,6,96,7,0,95,Matches
23,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,29,41,70.7,390,93,12,18,66.7,11,14,78.6,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,3,Matches
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,335,457,73.3,4409,1278,197,243,81.1,97,125,77.6,13,27,48.1,5,3.7,3.7,+1.3,28,17,25,0,47,Matches
25,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,427,565,75.6,5845,1373,240,296,81.1,138,166,83.1,18,34,52.9,3,1.7,1.9,+1.3,20,26,10,0,49,Matches
26,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,49,76,64.5,931,308,21,28,75.0,17,24,70.8,9,16,56.3,0,0.3,0.2,-0.3,2,6,2,0,10,Matches
27,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,557,674,82.6,8050,2143,312,343,91.0,189,223,84.8,27,51,52.9,0,0.6,0.5,-0.6,15,37,7,1,46,Matches
28,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,146,193,75.6,1855,194,99,115,86.1,34,46,73.9,4,7,57.1,0,0.1,0.2,-0.1,3,3,0,0,8,Matches
29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,1281,1493,85.8,27077,9413,360,413,87.2,705,764,92.3,202,284,71.1,3,2.4,1.7,+0.6,13,112,15,1,131,Matches
30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,171,241,71.0,4890,3600,29,29,100.0,91,94,96.8,51,118,43.2,0,0.0,0.0,0.0,0,2,0,0,0,Matches
