,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net
0,0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,1777,19.7,0.0,0.05,0.0,0.05,0.07,0.11,0.07,0.11,22.0,10.0,45.5,12.0,54.5,68.68,3.1,21.32,31.07,16.7,1.88,68.68,1.12,0.51,0.61,36.95,172.89,82.34,1.93,1.47,0.46,1.22,0.3,40.61,4.42,1.52,0.15,906.0,1164.0,77.8,13287.0,5990.0,545.0,613.0,88.9,284.0,361.0,78.7,51.0,105.0,48.6,0.05,0.04,0.09,0.02,0.56,3.6,1.02,0.2,5.23,0.91,0.25,0.0,0.0,0.08,-1.4,-1.4
2,2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,1998,2,0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,80.0,0.0,25.0,20.0,35.0,5.0,80.0,5.0,5.0,0.0,55.0,250.0,185.0,5.0,5.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,12.0,15.0,80.0,178.0,44.0,7.0,9.0,77.8,5.0,5.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,2889,32.1,0.09,0.09,0.09,0.09,0.06,0.07,0.06,0.07,16.0,7.0,43.8,9.0,56.3,65.51,7.17,36.14,28.66,1.18,0.72,65.51,0.5,0.22,0.28,39.1,194.39,112.71,0.56,0.16,0.03,0.44,0.37,42.18,0.09,0.53,0.0,1506.0,1762.0,85.5,30174.0,12190.0,427.0,483.0,88.4,909.0,999.0,91.0,154.0,238.0,64.7,0.0,0.01,0.01,-0.01,0.12,2.37,0.03,0.0,3.08,0.47,0.16,0.2,0.6,0.13,1.1,1.1
4,4,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,50.0,27.14,0.0,2.86,15.71,8.57,0.0,27.14,2.86,1.43,1.43,15.71,30.0,15.71,0.0,1.43,0.0,1.43,0.0,14.29,2.86,0.0,0.0,7.0,14.0,50.0,140.0,10.0,2.0,5.0,40.0,4.0,4.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,1320,14.7,0.0,0.0,0.0,0.0,0.07,0.12,0.07,0.12,27.0,19.0,70.4,8.0,29.6,57.96,1.56,12.52,36.8,10.14,0.68,57.96,1.84,1.29,0.54,36.19,194.9,91.97,2.18,1.56,0.2,1.56,0.68,38.16,1.09,2.11,0.07,605.0,718.0,84.3,10646.0,2928.0,279.0,298.0,93.6,239.0,266.0,89.8,70.0,116.0,60.3,0.0,0.05,0.05,-0.05,0.82,4.35,0.48,0.27,4.42,1.36,0.0,0.0,0.0,0.05,-1.0,-1.0
6,6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,2963,32.9,0.09,0.12,0.09,0.12,0.05,0.1,0.05,0.1,37.0,29.0,78.4,8.0,21.6,58.97,0.94,14.77,36.78,8.51,0.36,58.97,1.12,0.88,0.24,32.67,143.01,65.05,0.97,0.97,0.12,1.61,1.34,39.15,1.06,1.79,0.27,1288.0,1564.0,82.4,22633.0,6551.0,591.0,661.0,89.4,524.0,596.0,87.9,145.0,224.0,64.7,0.03,0.05,0.04,-0.02,0.61,3.5,0.4,0.12,4.19,0.88,0.3,0.1,0.3,0.05,1.5,1.5
7,7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1,0.3,0.49,0.3,0.49,0.21,0.24,0.21,0.24,24.0,12.0,50.0,12.0,50.0,31.68,0.89,3.76,13.66,14.46,3.56,31.68,2.38,1.19,1.19,16.44,104.55,41.98,1.29,1.49,0.2,3.27,1.98,23.96,4.75,1.38,0.3,128.0,202.0,63.4,1703.0,317.0,81.0,111.0,73.0,27.0,44.0,61.4,9.0,17.0,52.9,0.2,0.03,0.03,0.17,0.59,1.09,0.59,0.0,2.08,1.87,0.39,0.16,0.75,0.11,0.9,0.9
8,8,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,inf,,,,inf,,inf,inf,inf,,inf,,,,,,,,inf,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,14,1260,14.0,0.0,0.0,0.0,0.0,0.1,0.11,0.1,0.11,4.0,2.0,50.0,2.0,50.0,61.29,8.21,36.0,23.93,1.57,1.14,61.29,0.29,0.14,0.14,31.43,168.36,93.36,0.14,0.14,0.07,0.64,0.0,33.07,0.07,0.64,0.0,521.0,681.0,76.5,11246.0,4984.0,159.0,187.0,85.0,262.0,307.0,85.3,93.0,169.0,55.0,0.0,0.01,0.01,-0.01,0.21,2.21,0.07,0.0,2.21,0.93,0.21,0.0,0.0,0.11,-1.4,-1.4
10,10,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,14,1222,13.6,0.07,0.07,0.07,0.07,0.04,0.07,0.04,0.07,5.0,4.0,80.0,1.0,20.0,58.24,3.68,21.54,31.25,6.1,0.59,58.24,0.37,0.29,0.07,26.99,130.59,75.74,0.88,0.59,0.07,0.51,0.07,32.43,1.54,0.37,0.0,558.0,678.0,82.3,10633.0,3990.0,214.0,239.0,89.5,280.0,325.0,86.2,60.0,95.0,63.2,0.0,0.03,0.04,-0.03,0.15,3.68,0.22,0.07,4.04,0.74,0.15,0.1,0.5,0.06,0.4,0.4
11,11,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,12,1040,11.6,0.52,0.61,0.52,0.61,0.51,0.57,0.51,0.57,18.0,6.0,33.3,12.0,66.7,30.86,1.72,3.02,14.74,13.28,5.26,30.86,1.55,0.52,1.03,13.28,59.83,22.93,1.03,0.43,0.69,2.84,0.6,20.6,5.69,1.47,0.17,149.0,211.0,70.6,1714.0,297.0,85.0,111.0,76.6,33.0,46.0,71.7,4.0,8.0,50.0,0.09,0.06,0.02,0.03,0.78,1.21,0.09,0.0,0.95,2.77,1.13,0.19,0.46,0.18,0.1,0.1
12,12,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,5,0,60,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,4.29,17.14,20.0,5.71,0.0,42.86,0.0,0.0,0.0,25.71,145.71,67.14,1.43,2.86,1.43,1.43,1.43,22.86,1.43,0.0,0.0,18.0,23.0,78.3,258.0,20.0,11.0,14.0,78.6,4.0,5.0,80.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,14,2,441,4.9,0.0,0.0,0.0,0.0,0.06,0.07,0.06,0.07,16.0,10.0,62.5,6.0,37.5,57.55,1.63,7.96,30.0,20.82,0.82,57.55,3.27,2.04,1.22,38.16,243.06,90.61,3.06,2.86,0.2,2.45,2.45,42.04,3.88,1.63,0.0,185.0,223.0,83.0,3437.0,574.0,79.0,86.0,91.9,83.0,100.0,83.0,19.0,27.0,70.4,0.0,0.0,0.04,0.0,0.2,4.08,0.41,0.0,5.71,1.84,0.0,0.0,0.0,0.03,-0.3,-0.3
14,14,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,32,2813,31.3,0.0,0.03,0.0,0.03,0.03,0.07,0.03,0.07,8.0,6.0,75.0,2.0,25.0,77.64,9.87,35.85,36.29,6.1,0.7,77.64,0.26,0.19,0.06,45.05,276.33,157.76,1.31,1.34,0.06,0.67,0.32,50.0,1.47,0.99,0.16,1854.0,2097.0,88.4,35641.0,11589.0,703.0,767.0,91.7,880.0,930.0,94.6,248.0,352.0,70.5,0.03,0.03,0.04,0.0,0.32,3.51,0.67,0.32,4.5,0.29,0.0,0.0,0.0,0.12,-1.1,-1.1
15,15,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,7,0,100,1.1,0.9,0.9,0.9,0.9,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,48.18,0.91,1.82,24.55,22.73,9.09,48.18,0.0,0.0,0.0,15.45,99.09,30.91,2.73,3.64,0.91,6.36,1.82,32.73,10.91,0.0,0.0,19.0,32.0,59.4,222.0,43.0,12.0,17.0,70.6,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,2.73,1.8,0.9,0.5,1.0,0.07,0.9,0.9
16,16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,2330,25.9,0.04,0.12,0.04,0.12,0.04,0.14,0.04,0.14,61.0,41.0,67.2,20.0,32.8,77.95,2.36,25.52,33.9,19.38,1.16,77.95,2.36,1.58,0.77,42.59,220.89,125.17,2.51,1.93,0.46,1.54,1.12,51.35,5.14,2.63,0.31,1415.0,1767.0,80.1,24839.0,9704.0,675.0,730.0,92.5,542.0,639.0,84.8,159.0,310.0,51.3,0.08,0.1,0.11,-0.02,1.24,4.02,1.35,0.73,4.4,0.7,0.08,0.06,0.5,0.05,0.0,0.0
17,17,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,30,2667,29.6,0.3,0.47,0.3,0.47,0.33,0.5,0.33,0.5,50.0,28.0,56.0,22.0,44.0,31.28,0.81,3.31,13.61,14.83,3.28,31.28,1.69,0.95,0.74,17.43,78.92,30.41,1.08,0.95,0.44,2.97,1.49,24.09,5.03,2.29,0.24,431.0,622.0,69.3,6240.0,1416.0,228.0,308.0,74.0,125.0,162.0,77.2,34.0,49.0,69.4,0.17,0.17,0.1,0.0,1.25,1.18,0.78,0.03,1.93,1.86,1.05,0.16,0.29,0.18,-0.8,-0.8
18,18,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,27,21,1850,20.6,0.05,0.1,0.05,0.1,0.07,0.11,0.07,0.11,26.0,15.0,57.7,11.0,42.3,77.23,2.28,15.87,46.8,15.19,0.92,77.23,1.26,0.73,0.53,43.74,208.35,94.22,1.31,1.5,0.15,1.8,0.68,51.26,3.4,1.8,0.15,1173.0,1375.0,85.3,17415.0,5037.0,670.0,730.0,91.8,394.0,456.0,86.4,65.0,108.0,60.2,0.05,0.04,0.07,0.0,0.68,4.71,1.17,0.15,5.49,0.34,0.19,0.14,0.25,0.19,-0.3,-0.3
19,19,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,18,3,479,5.3,0.38,0.94,0.38,0.94,0.4,0.84,0.4,0.84,7.0,3.0,42.9,4.0,57.1,42.64,0.38,3.77,11.89,27.55,7.17,42.64,1.32,0.57,0.75,28.49,207.36,96.98,3.77,3.02,0.57,2.64,1.13,33.21,10.94,4.12,1.12,103.0,156.0,66.0,1445.0,379.0,61.0,80.0,76.3,29.0,41.0,70.7,7.0,11.0,63.6,0.57,0.43,0.17,0.13,2.08,0.94,1.32,0.38,3.21,4.32,1.32,0.09,0.29,0.1,-0.1,-0.1
20,20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,33,2953,32.8,0.0,0.0,0.0,0.0,0.03,0.04,0.03,0.04,14.0,11.0,78.6,3.0,21.4,69.27,12.13,39.94,27.44,2.04,1.07,69.27,0.43,0.34,0.09,40.76,178.17,95.49,0.15,0.15,0.0,0.37,0.15,46.4,0.09,0.55,0.03,1647.0,1918.0,85.9,33255.0,12650.0,484.0,551.0,87.8,949.0,1008.0,94.1,196.0,318.0,61.6,0.0,0.01,0.01,-0.01,0.15,2.16,0.15,0.0,2.29,0.55,0.15,0.0,0.0,0.06,-1.1,-1.1
21,21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,3,0,36,0.4,0.0,0.0,0.0,0.0,0.85,0.85,0.85,0.85,1.0,1.0,100.0,0.0,0.0,45.0,2.5,5.0,12.5,27.5,7.5,45.0,2.5,2.5,0.0,32.5,257.5,170.0,10.0,7.5,0.0,7.5,0.0,27.5,10.0,0.0,0.0,7.0,10.0,70.0,99.0,0.0,5.0,5.0,100.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.34,-0.3,-0.3
22,22,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,25,2418,26.9,0.07,0.26,0.07,0.26,0.07,0.23,0.07,0.23,79.0,50.0,63.3,29.0,36.7,71.38,1.49,12.94,45.24,14.5,0.93,71.38,2.94,1.86,1.08,43.83,222.6,116.02,2.01,1.86,0.37,1.56,1.52,52.86,1.78,3.87,0.37,1327.0,1631.0,81.4,24310.0,6907.0,569.0,643.0,88.5,548.0,642.0,85.4,167.0,251.0,66.5,0.19,0.16,0.11,0.02,1.97,5.87,0.74,0.07,6.99,0.89,0.33,0.08,0.22,0.08,0.1,0.1
23,23,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,90.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,1.0,1.0,100.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,26,16,1558,17.3,0.0,0.06,0.0,0.06,0.01,0.05,0.01,0.05,6.0,2.0,33.3,4.0,66.7,51.33,2.37,18.15,24.16,9.48,0.52,51.33,0.35,0.12,0.23,21.97,82.43,39.94,0.64,0.64,0.12,0.81,0.23,24.51,2.08,1.62,0.17,534.0,751.0,71.1,8856.0,4049.0,268.0,318.0,84.3,204.0,283.0,72.1,48.0,106.0,45.3,0.06,0.04,0.04,0.02,0.69,2.25,0.87,0.58,2.25,0.12,0.0,0.0,0.0,0.07,-0.1,-0.1
25,26,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,9,800,8.9,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,8.0,6.0,75.0,2.0,25.0,63.26,2.92,18.54,37.98,7.64,0.11,63.26,0.9,0.67,0.22,34.61,156.29,63.93,0.67,0.67,0.11,1.01,0.9,41.35,0.79,0.79,0.23,434.0,487.0,89.1,7835.0,1942.0,191.0,205.0,93.2,187.0,205.0,91.2,47.0,59.0,79.7,0.0,0.01,0.03,-0.01,0.22,4.38,0.34,0.11,5.17,0.23,0.0,0.0,0.0,0.04,-0.1,-0.1
26,27,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,15,8,701,7.8,0.13,0.13,0.13,0.13,0.08,0.14,0.08,0.14,11.0,5.0,45.5,6.0,54.5,52.44,2.69,19.49,23.08,10.26,0.9,52.44,1.41,0.64,0.77,20.51,107.82,44.23,0.9,0.51,0.13,2.69,0.9,24.49,4.23,1.03,0.0,210.0,299.0,70.2,3068.0,1068.0,125.0,150.0,83.3,66.0,101.0,65.3,11.0,24.0,45.8,0.0,0.06,0.05,-0.06,0.38,1.28,0.38,0.26,1.15,0.51,0.13,0.25,1.0,0.15,0.4,0.4
27,28,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,14,1356,15.1,0.07,0.2,0.07,0.2,0.1,0.19,0.1,0.19,76.0,44.0,57.9,32.0,42.1,36.03,0.13,3.84,15.43,17.95,3.71,36.03,5.03,2.91,2.12,21.52,183.05,94.3,3.31,2.32,1.59,2.32,1.66,23.64,5.43,2.52,0.46,228.0,328.0,69.5,3824.0,848.0,114.0,141.0,80.9,86.0,110.0,78.2,22.0,36.0,61.1,0.13,0.09,0.05,0.05,0.79,1.79,0.66,0.0,2.85,1.26,0.27,0.05,0.25,0.08,-0.5,-0.5
28,29,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,35,3147,35.0,0.09,0.11,0.09,0.11,0.09,0.11,0.09,0.11,11.0,9.0,81.8,2.0,18.2,86.17,6.89,36.6,47.97,2.14,1.09,86.17,0.31,0.26,0.06,53.86,226.4,129.94,0.4,0.46,0.03,0.31,0.29,64.49,0.06,0.57,0.03,2449.0,2712.0,90.3,45688.0,18953.0,976.0,1021.0,95.6,1198.0,1282.0,93.4,251.0,365.0,68.8,0.03,0.02,0.02,0.01,0.14,3.6,0.03,0.0,3.89,0.8,0.17,0.11,0.5,0.12,-0.2,-0.2
29,30,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,12,7,559,6.2,0.64,0.81,0.48,0.64,0.56,0.75,0.31,0.5,13.0,8.0,61.5,5.0,38.5,37.74,0.0,0.81,15.97,21.13,7.26,37.42,2.1,1.29,0.81,25.0,124.03,53.23,1.94,1.61,0.48,2.42,1.77,30.81,6.29,2.9,0.48,140.0,173.0,80.9,1625.0,219.0,86.0,99.0,86.9,34.0,38.0,89.5,2.0,2.0,100.0,0.16,0.19,0.15,-0.03,1.13,1.94,0.81,0.16,1.94,2.74,1.61,0.18,0.3,0.11,0.5,1.1
30,31,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,33,27,2225,24.7,0.04,0.16,0.04,0.16,0.03,0.23,0.03,0.23,29.0,12.0,41.4,17.0,58.6,75.95,2.15,15.02,36.03,25.63,2.35,75.95,1.17,0.49,0.69,38.22,206.48,110.0,3.0,2.11,0.16,1.62,0.57,47.41,9.35,3.15,0.28,1265.0,1568.0,80.7,19271.0,5384.0,721.0,779.0,92.6,420.0,535.0,78.5,87.0,166.0,52.4,0.12,0.19,0.23,-0.07,1.66,3.12,1.58,0.85,4.09,0.32,0.12,0.13,0.33,0.11,0.1,0.1
31,32,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,3,252,2.8,0.0,0.0,0.0,0.0,0.08,0.09,0.08,0.09,12.0,11.0,91.7,1.0,8.3,55.0,1.43,11.43,37.14,7.86,0.71,55.0,4.29,3.93,0.36,38.57,271.43,122.86,2.86,0.71,0.71,2.14,1.79,41.79,1.07,0.71,0.0,110.0,125.0,88.0,1600.0,377.0,61.0,68.0,89.7,36.0,37.0,97.3,5.0,7.0,71.4,0.0,0.0,0.04,0.0,0.36,4.29,0.0,0.0,3.93,1.79,0.36,0.0,0.0,0.04,-0.2,-0.2
32,33,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,10,899,10.0,0.2,0.2,0.2,0.2,0.14,0.16,0.14,0.16,29.0,19.0,65.5,10.0,34.5,45.0,1.3,9.5,28.6,8.0,1.2,45.0,2.9,1.9,1.0,30.3,204.0,116.6,3.1,1.4,0.3,2.6,1.6,30.2,1.7,1.2,0.0,258.0,322.0,80.1,4276.0,822.0,121.0,131.0,92.4,116.0,144.0,80.6,15.0,25.0,60.0,0.0,0.02,0.01,-0.02,0.5,1.2,0.2,0.0,2.5,1.2,0.7,0.17,0.29,0.11,0.6,0.6
33,36,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,14,1289,14.3,0.0,0.0,0.0,0.0,0.06,0.08,0.06,0.08,3.0,2.0,66.7,1.0,33.3,57.06,8.46,34.83,21.26,1.54,0.84,57.06,0.21,0.14,0.07,32.87,159.86,91.68,0.77,0.21,0.07,0.7,0.21,32.38,0.07,0.7,0.14,511.0,629.0,81.2,10079.0,3604.0,164.0,183.0,89.6,285.0,324.0,88.0,56.0,95.0,58.9,0.0,0.02,0.01,-0.02,0.14,1.89,0.14,0.0,3.01,0.63,0.0,0.0,0.0,0.09,-0.8,-0.8
34,37,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,31,2664,29.6,0.07,0.1,0.07,0.1,0.04,0.09,0.04,0.09,33.0,21.0,63.6,12.0,36.4,69.32,3.55,26.39,32.33,11.15,0.57,69.32,1.11,0.71,0.41,36.15,189.02,102.16,2.13,1.35,0.17,0.91,0.34,42.36,1.69,0.91,0.14,1352.0,1769.0,76.4,22797.0,9159.0,642.0,717.0,89.5,565.0,704.0,80.3,112.0,257.0,43.6,0.03,0.05,0.04,-0.02,0.51,3.11,0.51,0.3,3.58,0.47,0.14,0.14,0.5,0.09,0.8,0.8
35,40,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,33,31,2780,30.9,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.08,18.0,10.0,55.6,8.0,44.4,42.88,7.22,22.36,18.09,2.78,1.39,42.88,0.58,0.32,0.26,17.35,100.26,49.74,0.42,0.32,0.06,0.78,0.16,21.1,0.23,0.45,0.06,719.0,999.0,72.0,13941.0,6401.0,264.0,316.0,83.5,374.0,460.0,81.3,76.0,188.0,40.4,0.0,0.02,0.01,-0.02,0.23,2.2,0.13,0.0,2.36,0.42,0.13,0.15,0.5,0.15,0.1,0.1
36,41,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,35,34,2967,33.0,0.49,0.61,0.36,0.49,0.48,0.6,0.36,0.48,23.0,10.0,43.5,13.0,56.5,37.91,1.88,3.7,18.09,16.33,4.82,37.76,0.7,0.3,0.39,18.52,72.85,28.88,1.0,0.76,0.45,2.24,0.94,28.48,6.79,2.34,0.24,620.0,927.0,66.9,9736.0,1641.0,350.0,484.0,72.3,192.0,262.0,73.3,51.0,78.0,65.4,0.12,0.12,0.12,0.0,1.09,1.3,0.58,0.09,1.85,2.0,0.91,0.18,0.4,0.18,0.3,0.2
37,42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,28,26,2350,26.1,0.08,0.08,0.08,0.08,0.06,0.08,0.06,0.08,10.0,9.0,90.0,1.0,10.0,90.34,7.24,36.13,51.0,3.68,1.11,90.34,0.38,0.34,0.04,59.12,325.48,193.18,1.0,0.57,0.08,0.34,0.34,69.12,0.27,0.84,0.08,1961.0,2137.0,91.8,37492.0,12871.0,698.0,744.0,93.8,1018.0,1067.0,95.4,216.0,273.0,79.1,0.0,0.01,0.03,-0.01,0.11,5.79,0.23,0.0,6.09,0.73,0.15,0.11,0.5,0.09,0.3,0.3
38,43,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,13,10,865,9.6,0.1,0.1,0.1,0.1,0.03,0.05,0.03,0.05,10.0,6.0,60.0,4.0,40.0,48.75,4.38,21.98,19.79,7.4,0.31,48.75,1.04,0.62,0.42,16.88,102.08,55.94,1.25,0.83,0.21,1.15,0.31,15.52,1.56,0.73,0.0,229.0,356.0,64.3,3877.0,1740.0,100.0,126.0,79.4,104.0,156.0,66.7,17.0,54.0,31.5,0.0,0.02,0.03,-0.02,0.21,1.46,0.42,0.31,1.56,0.21,0.1,0.5,1.0,0.17,0.7,0.7
39,44,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,9,0,146,1.6,0.0,0.0,0.0,0.0,0.64,0.64,0.64,0.64,8.0,4.0,50.0,4.0,50.0,35.0,1.25,5.0,15.0,15.62,4.38,35.0,5.0,2.5,2.5,21.88,161.25,61.25,2.5,1.25,0.0,2.5,3.12,26.88,7.5,1.23,0.0,22.0,31.0,71.0,290.0,108.0,15.0,16.0,93.8,6.0,7.0,85.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.62,0.0,3.12,2.47,0.0,0.0,0.0,0.26,-1.0,-1.0
40,45,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,10,9,797,8.9,0.11,0.11,0.11,0.11,0.03,0.03,0.03,0.03,1.0,0.0,0.0,1.0,100.0,92.02,4.49,20.45,64.04,7.53,0.67,92.02,0.11,0.0,0.11,63.93,308.76,188.54,1.35,2.47,0.0,0.22,0.11,73.93,0.67,0.56,0.11,709.0,763.0,92.9,11178.0,3225.0,348.0,363.0,95.9,319.0,336.0,94.9,26.0,35.0,74.3,0.0,0.0,0.02,0.0,0.11,6.18,0.22,0.0,5.84,0.34,0.11,0.33,1.0,0.09,0.7,0.7
41,46,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,10,4,378,4.2,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,4.0,3.0,75.0,1.0,25.0,55.0,2.38,13.57,37.14,4.52,0.0,55.0,0.95,0.71,0.24,29.05,170.48,80.48,0.95,0.95,0.0,0.71,0.48,34.05,0.24,1.43,0.24,170.0,187.0,90.9,3040.0,728.0,72.0,79.0,91.1,77.0,80.0,96.3,17.0,23.0,73.9,0.0,0.14,0.05,-0.14,0.48,5.0,0.24,0.24,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
