,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net
1006,1172,Mauro Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,27,1993,20,11,1079,12.0,0.58,0.83,0.5,0.75,0.72,0.94,0.65,0.87,5.0,3.0,60.0,2.0,40.0,21.92,0.58,1.25,9.25,11.42,5.5,21.83,0.42,0.25,0.17,9.67,34.25,15.0,0.25,0.25,0.08,1.08,0.58,14.83,3.83,2.0,0.5,142.0,182.0,78.0,1713.0,385.0,93.0,111.0,83.8,27.0,37.0,73.0,5.0,6.0,83.3,0.25,0.22,0.18,0.02,1.25,0.58,0.25,0.0,1.0,3.17,1.08,0.16,0.46,0.21,-1.6,-1.8
1007,1173,Oussama Idrissi,ma MAR,"FW,MF",Sevilla,es La Liga,24,1996,3,0,27,0.3,0.0,0.0,0.0,0.0,1.41,1.41,1.41,1.41,0.0,0.0,0.0,0.0,0.0,63.33,3.33,13.33,6.67,43.33,16.67,63.33,0.0,0.0,0.0,36.67,266.67,206.67,13.33,0.0,6.67,6.67,6.67,33.33,13.33,0.0,0.0,9.0,11.0,81.8,259.0,25.0,3.0,3.0,100.0,2.0,2.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,3.33,3.33,0.0,0.0,0.42,-0.4,-0.4
1008,1174,Blendi Idrizi,xk KVX,MF,Schalke 04,de Bundesliga,22,1998,3,3,238,2.6,0.38,0.38,0.38,0.38,0.08,0.21,0.08,0.21,6.0,4.0,66.7,2.0,33.3,40.0,1.15,13.85,17.69,9.62,0.38,40.0,2.31,1.54,0.77,18.85,106.92,48.08,2.31,0.77,0.0,2.69,1.54,19.62,0.77,0.38,0.0,50.0,72.0,69.4,741.0,307.0,32.0,40.0,80.0,8.0,13.0,61.5,6.0,7.0,85.7,0.0,0.12,0.08,-0.12,0.38,1.54,0.77,0.0,1.92,1.51,0.38,0.25,1.0,0.05,0.8,0.8
1009,1175,Odion Ighalo,ng NGA,FW,Manchester Utd,eng Premier League,31,1989,1,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,20.0,20.0,0.0,40.0,0.0,0.0,0.0,30.0,120.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,10.0,0.0,0.0,2.0,2.0,100.0,16.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010,1176,Iglesias,es ESP,"DF,MF",Getafe,es La Liga,22,1998,10,7,605,6.7,0.0,0.0,0.0,0.0,0.02,0.07,0.02,0.07,10.0,5.0,50.0,5.0,50.0,47.31,2.54,14.33,20.0,12.99,0.75,47.31,1.49,0.75,0.75,18.81,92.54,35.67,0.75,1.19,0.15,1.04,0.75,18.36,2.09,1.19,0.0,111.0,216.0,51.4,2028.0,966.0,51.0,70.0,72.9,38.0,74.0,51.4,17.0,55.0,30.9,0.0,0.06,0.04,-0.06,0.6,1.64,0.75,0.45,1.94,0.6,0.15,0.0,0.0,0.04,-0.1,-0.1
1011,1177,Borja Iglesias,es ESP,FW,Betis,es La Liga,27,1993,28,15,1411,15.7,0.7,0.7,0.38,0.38,0.53,0.58,0.28,0.33,21.0,10.0,47.6,11.0,52.4,26.88,0.83,1.85,12.48,12.8,4.59,26.56,1.34,0.64,0.7,14.14,55.35,14.08,0.45,0.51,0.45,3.18,1.15,19.81,4.59,1.66,0.45,193.0,276.0,69.9,2628.0,382.0,112.0,146.0,76.7,42.0,59.0,71.2,17.0,21.0,81.0,0.0,0.04,0.05,-0.04,0.38,0.57,0.32,0.13,0.76,2.1,0.64,0.18,0.6,0.14,2.6,1.6
1012,1178,Igor,br BRA,DF,Fiorentina,it Serie A,22,1998,21,13,1168,13.0,0.0,0.0,0.0,0.0,0.02,0.03,0.02,0.03,8.0,7.0,87.5,1.0,12.5,71.08,4.69,23.62,42.46,5.62,0.31,71.08,0.62,0.54,0.08,45.77,267.0,182.38,2.08,1.0,0.0,0.46,0.46,49.62,0.92,1.0,0.0,722.0,814.0,88.7,13697.0,4698.0,248.0,272.0,91.2,398.0,431.0,92.3,68.0,92.0,73.9,0.0,0.01,0.02,-0.01,0.23,3.69,0.31,0.08,6.0,0.08,0.08,0.0,0.0,0.26,-0.3,-0.3
1013,1179,Kelechi Iheanacho,ng NGA,FW,Leicester City,eng Premier League,23,1996,25,16,1459,16.2,0.74,0.86,0.74,0.86,0.51,0.74,0.46,0.69,44.0,32.0,72.7,12.0,27.3,44.38,0.06,2.28,18.09,24.57,4.88,44.32,2.72,1.98,0.74,27.9,140.49,56.79,1.91,1.54,0.62,3.52,2.1,35.8,7.65,3.21,0.19,407.0,521.0,78.1,5159.0,839.0,245.0,283.0,86.6,94.0,115.0,81.7,21.0,39.0,53.8,0.12,0.23,0.2,-0.1,1.73,1.36,1.23,0.25,2.53,3.58,1.48,0.21,0.5,0.13,3.8,4.6
1014,1180,Jonathan Ikone,fr FRA,"MF,FW",Lille,fr Ligue 1,22,1998,37,26,2177,24.2,0.17,0.37,0.12,0.33,0.18,0.3,0.14,0.26,87.0,53.0,60.9,34.0,39.1,41.82,0.58,3.39,20.91,18.51,2.27,41.78,3.6,2.19,1.4,29.42,185.74,95.95,2.69,2.23,0.99,2.52,2.31,32.89,4.83,2.6,0.41,608.0,760.0,80.0,9085.0,2004.0,327.0,389.0,84.1,197.0,233.0,84.5,38.0,57.0,66.7,0.21,0.12,0.09,0.09,0.99,2.23,0.91,0.0,3.02,1.9,0.45,0.07,0.27,0.08,-0.3,-0.5
1015,1181,Yun Il-lok,kr KOR,"MF,FW",Montpellier,fr Ligue 1,28,1992,12,3,312,3.5,0.0,0.0,0.0,0.0,0.16,0.31,0.16,0.31,7.0,4.0,57.1,3.0,42.9,39.71,0.29,4.57,21.71,13.71,1.43,39.71,2.0,1.14,0.86,19.14,132.57,61.71,2.29,0.86,0.57,1.43,1.14,25.14,3.14,3.16,0.58,76.0,106.0,71.7,1115.0,285.0,39.0,47.0,83.0,31.0,41.0,75.6,2.0,6.0,33.3,0.0,0.14,0.06,-0.14,1.14,2.0,0.29,0.29,1.71,1.73,0.0,0.0,0.0,0.09,-0.6,-0.6
