,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga
615,724,Mouhamadou Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,18,2004,29,18,1626,18.1,0.17,0.28,0.17,0.28,0.1,0.22,0.1,0.22,62.0,25.0,40.3,25.0,40.3,47.9,0.66,7.29,22.82,18.56,2.27,47.9,3.43,1.38,1.38,35.86,235.91,118.51,3.76,2.43,0.99,2.04,1.16,31.71,4.92,3.27,0.39,2.32,0.0,0.39,0.22,0.33,0.0,0.22,0.0,0.06,0.0,0.11,0.0,506.0,660.0,76.7,8400.0,1973.0,215.0,258.0,83.3,217.0,264.0,82.2,42.0,79.0,53.2,0.11,0.12,0.17,-0.01,1.33,2.32,1.16,0.55,2.87,36.46,34.7,1.77,0.17,0.17,0.17,2.65,1.1,0.06,0.0,0.0,0.0,27.96,0.0,0.72,1.27,0.5,0.13,0.33,0.08,1.2,1.2,32.4,0.22,0.0,0.0,1.27,1.22,0.0,0.61,0.88,0.06,0.0,5.47,0.66,1.38,1,0,0,0,1,0
616,725,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,21,2000,23,12,1225,13.6,0.0,0.07,0.0,0.07,0.01,0.06,0.01,0.06,24.0,9.0,37.5,13.0,54.2,58.01,4.12,21.76,25.29,11.25,0.59,58.01,1.76,0.66,0.96,40.15,234.41,108.82,1.54,1.62,0.07,1.69,0.37,35.96,3.16,1.17,0.22,1.1,0.0,0.0,0.0,0.07,0.0,0.22,0.0,0.0,0.0,0.0,0.0,537.0,646.0,83.1,8760.0,3452.0,252.0,291.0,86.6,235.0,265.0,88.7,32.0,51.0,62.7,0.07,0.05,0.04,0.02,0.59,2.21,0.81,0.29,3.68,47.5,40.59,6.54,1.54,0.0,0.37,0.96,5.0,0.0,0.0,0.0,0.0,39.49,0.37,1.1,0.07,0.0,0.0,0.0,0.16,-0.2,-0.2,55.2,0.0,0.0,0.0,1.4,1.25,0.07,1.4,0.66,0.0,0.07,5.07,1.18,0.96,1,0,0,0,1,0
617,726,Stéphane Diarra,fr FRA,"FW,MF",Lorient,fr Ligue 1,23,1998,28,14,1066,11.8,0.17,0.17,0.17,0.17,0.19,0.33,0.19,0.33,78.0,24.0,30.8,45.0,57.7,44.49,1.61,10.42,17.29,18.47,3.39,44.49,6.61,2.03,3.81,32.29,245.76,128.47,3.39,2.12,1.69,2.71,1.19,25.93,7.2,2.95,0.42,1.69,0.17,0.42,0.17,0.42,0.08,0.08,0.0,0.17,0.0,0.08,0.08,240.0,328.0,73.2,3312.0,1087.0,138.0,180.0,76.7,82.0,107.0,76.6,9.0,15.0,60.0,0.0,0.14,0.07,-0.14,0.93,0.68,1.02,0.08,2.8,27.8,26.53,1.27,0.08,0.0,0.0,1.27,0.85,0.34,0.17,0.0,0.0,20.34,0.0,1.27,1.69,0.68,0.1,0.25,0.11,-0.2,-0.2,38.5,0.08,0.0,0.0,0.59,1.78,0.34,1.86,1.44,0.0,0.0,7.97,0.42,0.68,1,0,0,0,1,0
620,729,Krépin Diatta,sn SEN,"MF,FW",Monaco,fr Ligue 1,23,1999,31,22,2072,23.0,0.17,0.26,0.17,0.26,0.2,0.35,0.2,0.35,61.0,32.0,52.5,18.0,29.5,43.96,0.57,4.04,15.96,24.35,3.83,43.96,2.65,1.39,0.78,32.39,197.04,88.48,3.48,2.22,1.22,1.96,0.87,31.3,9.96,2.95,0.3,1.91,0.04,0.35,0.3,0.22,0.13,0.09,0.0,0.0,0.04,0.13,0.04,581.0,771.0,75.4,8271.0,2607.0,336.0,404.0,83.2,189.0,258.0,73.3,25.0,48.0,52.1,0.09,0.15,0.17,-0.06,1.13,2.13,1.52,0.39,3.91,33.52,32.43,0.83,0.04,0.0,0.09,2.35,0.78,0.0,0.0,0.0,0.0,25.26,0.26,0.91,1.74,0.78,0.1,0.22,0.12,-0.6,-0.6,50.6,0.13,0.0,0.0,0.87,1.13,0.43,0.74,0.91,0.09,0.0,4.09,1.78,1.74,1,0,0,0,1,0
647,765,Dodô,br BRA,DF,Fiorentina,it Serie A,23,1998,33,28,2331,25.9,0.04,0.15,0.04,0.15,0.03,0.11,0.03,0.11,62.0,34.0,54.8,21.0,33.9,66.37,2.01,17.92,31.39,17.84,0.93,66.37,2.39,1.31,0.81,39.69,256.76,139.96,2.78,2.24,0.27,1.35,0.58,41.81,4.02,2.51,0.19,2.24,0.08,0.04,0.08,0.04,0.04,0.19,0.0,0.0,0.0,0.0,0.0,1222.0,1504.0,81.3,21567.0,6692.0,535.0,596.0,89.8,548.0,657.0,83.4,117.0,191.0,61.3,0.12,0.08,0.08,0.03,1.08,3.59,1.12,0.39,5.44,58.07,49.11,8.84,0.81,0.08,0.31,2.36,8.03,0.0,0.0,0.0,0.0,47.18,0.12,1.08,0.42,0.15,0.09,0.25,0.06,0.3,0.3,59.4,0.19,0.04,0.04,1.08,1.54,0.0,0.97,0.85,0.0,0.04,7.1,0.73,0.5,1,0,0,1,0,0
648,766,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24,1998,25,25,2216,24.6,0.2,0.24,0.2,0.24,0.08,0.09,0.08,0.09,7.0,3.0,42.9,1.0,14.3,49.15,4.72,22.89,22.48,4.02,1.1,49.15,0.28,0.12,0.04,26.02,121.67,59.76,0.61,0.37,0.04,0.33,0.12,28.58,0.85,0.85,0.12,0.77,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.04,0.0,756.0,955.0,79.2,13777.0,4912.0,306.0,353.0,86.7,373.0,433.0,86.1,65.0,128.0,50.8,0.04,0.02,0.03,0.02,0.28,2.8,0.16,0.0,2.97,38.82,37.89,0.93,0.61,0.0,0.16,0.41,0.08,0.0,0.0,0.0,0.0,30.73,0.0,0.53,0.69,0.37,0.29,0.56,0.11,3.1,3.1,55.5,0.0,0.0,0.0,0.81,0.57,0.0,1.18,0.93,0.04,0.04,4.19,2.48,1.99,1,0,0,0,0,1
649,769,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20,2002,22,15,1354,15.0,0.13,0.33,0.13,0.33,0.12,0.2,0.12,0.2,54.0,23.0,42.6,22.0,40.7,47.0,1.8,12.73,18.4,17.07,1.8,47.0,3.6,1.53,1.47,22.4,155.0,70.93,2.73,1.6,0.33,2.2,1.07,24.0,4.07,2.32,0.46,1.53,0.4,0.2,0.07,0.13,0.0,0.33,0.0,0.07,0.0,0.07,0.0,360.0,534.0,67.4,6111.0,2875.0,181.0,220.0,82.3,141.0,207.0,68.1,32.0,70.0,45.7,0.2,0.08,0.09,0.12,0.8,1.87,0.8,0.53,1.8,35.6,27.47,7.93,0.07,0.0,0.0,3.07,7.73,0.13,0.13,0.0,0.0,24.0,0.2,1.4,1.2,0.4,0.11,0.33,0.1,0.2,0.2,41.0,0.07,0.0,0.0,0.93,0.47,0.13,0.73,0.53,0.0,0.0,6.2,1.07,1.53,1,0,0,1,0,0
653,775,John Donald,es ESP,"MF,DF",Elche,es La Liga,21,2000,14,13,1092,12.1,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,7.0,5.0,71.4,2.0,28.6,44.79,4.05,19.5,22.56,2.73,0.58,44.79,0.58,0.41,0.17,25.87,121.24,50.33,0.25,0.17,0.0,1.16,0.25,26.28,0.17,0.49,0.08,0.5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,356.0,427.0,83.4,5839.0,1808.0,168.0,192.0,87.5,155.0,179.0,86.6,22.0,30.0,73.3,0.0,0.01,0.01,-0.01,0.17,1.9,0.0,0.0,1.9,35.29,34.63,0.41,0.33,0.0,0.17,0.0,0.08,0.0,0.0,0.0,0.0,29.42,0.25,0.58,0.16,0.0,0.0,0.0,0.05,-0.1,-0.1,62.2,0.25,0.08,0.0,1.9,0.66,0.0,1.16,0.91,0.0,0.0,4.3,2.31,1.4,1,0,1,0,0,0
664,787,Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,17,2005,26,11,1115,12.4,0.24,0.32,0.24,0.32,0.13,0.25,0.13,0.25,79.0,48.0,60.8,23.0,29.1,52.5,0.81,4.92,28.31,20.48,2.74,52.5,6.37,3.87,1.85,40.48,273.87,121.61,3.15,2.66,0.73,2.66,2.58,37.34,6.69,2.82,0.16,1.85,0.24,0.24,0.08,0.24,0.16,0.16,0.0,0.0,0.0,0.0,0.0,351.0,453.0,77.5,6004.0,1339.0,167.0,212.0,78.8,129.0,158.0,81.6,38.0,54.0,70.4,0.08,0.12,0.1,-0.04,1.21,3.31,1.05,0.08,4.6,36.53,35.24,1.21,0.08,0.24,0.08,2.42,0.08,0.97,0.48,0.24,0.0,28.31,0.08,0.32,1.7,0.48,0.14,0.5,0.07,1.4,1.4,43.5,0.4,0.0,0.0,2.98,2.26,0.32,1.05,1.45,0.0,0.0,5.16,0.81,1.05,1,0,0,0,1,0
666,789,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,19,2003,28,25,2297,25.5,0.04,0.08,0.04,0.08,0.01,0.03,0.01,0.03,45.0,29.0,64.4,12.0,26.7,52.55,3.33,18.31,30.75,4.24,0.12,52.55,1.76,1.14,0.47,37.37,224.98,105.22,1.06,0.98,0.08,0.82,0.78,32.55,0.78,0.78,0.08,0.67,0.0,0.04,0.04,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,910.0,1106.0,82.3,17110.0,6266.0,348.0,396.0,87.9,430.0,487.0,88.3,101.0,176.0,57.4,0.04,0.02,0.04,0.02,0.16,3.88,0.35,0.08,3.88,43.37,39.61,3.73,1.73,0.12,0.51,0.43,1.96,0.0,0.0,0.0,0.0,35.69,0.04,0.63,0.35,0.08,0.11,0.5,0.03,0.7,0.7,43.9,0.2,0.0,0.0,1.18,1.06,0.0,1.06,0.94,0.0,0.0,5.8,1.14,1.45,1,0,0,0,1,0
667,790,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,19,2003,26,13,1155,12.8,0.16,0.31,0.08,0.23,0.29,0.51,0.23,0.45,36.0,18.0,50.0,16.0,44.4,55.31,1.09,7.27,28.75,19.84,2.89,55.23,2.81,1.41,1.25,41.88,242.03,102.97,2.27,1.64,0.23,2.66,1.56,37.97,6.41,3.19,0.23,2.66,0.0,0.16,0.16,0.16,0.08,0.23,0.0,0.0,0.0,0.0,0.0,428.0,538.0,79.6,6994.0,2058.0,202.0,241.0,83.8,179.0,212.0,84.4,31.0,47.0,66.0,0.16,0.23,0.12,-0.07,1.41,5.16,1.09,0.08,6.64,42.03,40.86,0.7,0.23,0.39,0.08,0.7,0.31,0.08,0.0,0.0,0.0,33.44,0.47,1.09,1.95,0.7,0.04,0.11,0.12,-1.7,-1.9,24.1,0.0,0.0,0.0,1.17,0.7,0.0,1.02,1.25,0.0,0.0,6.48,0.55,1.72,1,0,0,0,1,0
672,796,Dion Drena Beljo,hr CRO,FW,Augsburg,de Bundesliga,20,2002,18,16,1128,12.5,0.24,0.4,0.24,0.4,0.12,0.26,0.12,0.26,15.0,7.0,46.7,6.0,40.0,29.68,1.44,3.6,15.2,11.2,2.32,29.68,1.2,0.56,0.48,14.72,76.08,23.28,1.12,0.56,0.32,2.64,1.84,22.0,3.36,1.99,0.4,1.6,0.0,0.0,0.24,0.08,0.08,0.24,0.0,0.0,0.16,0.0,0.0,159.0,250.0,63.6,2058.0,467.0,94.0,141.0,66.7,46.0,73.0,63.0,5.0,8.0,62.5,0.16,0.14,0.07,0.02,1.2,0.88,0.32,0.08,1.2,20.0,19.36,0.4,0.0,0.0,0.0,0.4,0.08,0.0,0.0,0.0,0.0,12.72,0.24,0.32,1.04,0.4,0.23,0.6,0.12,1.4,1.4,45.6,0.16,0.0,0.0,2.08,0.8,0.56,0.08,0.48,0.0,0.0,3.04,3.76,4.48,1,0,0,0,0,1
675,800,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,28,1994,34,34,2852,31.7,0.38,0.57,0.38,0.57,0.36,0.53,0.33,0.5,38.0,15.0,39.5,20.0,52.6,39.46,1.58,3.66,14.61,21.32,4.7,39.43,1.2,0.47,0.63,18.17,64.2,26.85,0.98,0.47,0.76,1.99,0.5,24.04,6.78,3.44,0.76,2.11,0.95,0.16,0.13,0.09,0.0,0.5,0.13,0.06,0.03,0.03,0.0,583.0,956.0,61.0,9974.0,2854.0,294.0,390.0,75.4,170.0,288.0,59.0,81.0,198.0,40.9,0.19,0.17,0.19,0.02,1.64,1.32,0.66,0.19,1.83,30.16,23.41,6.5,2.18,0.25,0.47,5.17,0.19,2.87,0.79,1.45,0.03,18.39,0.25,0.47,2.97,1.36,0.13,0.28,0.11,0.7,1.5,42.4,0.13,0.0,0.0,0.09,0.54,0.38,0.28,0.09,0.03,0.0,3.09,0.79,1.07,1,0,0,0,0,1
697,826,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,30,1992,25,10,967,10.7,0.09,0.19,0.09,0.19,0.1,0.16,0.1,0.16,5.0,4.0,80.0,1.0,20.0,57.38,2.43,16.26,34.49,7.01,0.28,57.38,0.47,0.37,0.09,33.08,137.94,65.98,0.75,0.75,0.0,0.65,0.37,40.47,0.65,2.33,0.19,2.06,0.0,0.0,0.09,0.09,0.09,0.19,0.0,0.0,0.0,0.0,0.0,458.0,543.0,84.3,7955.0,2756.0,223.0,247.0,90.3,172.0,193.0,89.1,51.0,73.0,69.9,0.09,0.06,0.11,0.04,1.03,4.67,0.84,0.19,5.7,50.75,48.97,1.4,1.03,0.47,0.47,0.28,0.09,0.19,0.0,0.0,0.0,42.8,0.37,0.65,0.74,0.28,0.13,0.33,0.13,0.0,0.0,37.5,0.56,0.0,0.0,0.65,0.75,0.0,0.56,0.75,0.0,0.0,6.26,0.28,0.47,1,0,1,0,0,0
706,837,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,19,2003,32,18,1613,17.9,0.06,0.17,0.06,0.17,0.12,0.32,0.12,0.32,42.0,19.0,45.2,15.0,35.7,66.7,0.78,8.21,31.62,27.43,2.79,66.7,2.35,1.06,0.84,42.4,222.4,108.55,3.02,2.23,0.56,1.45,1.28,48.44,7.21,4.19,0.56,3.46,0.06,0.28,0.28,0.06,0.06,0.56,0.0,0.0,0.0,0.0,0.0,809.0,1009.0,80.2,12346.0,3197.0,442.0,494.0,89.5,296.0,363.0,81.5,45.0,85.0,52.9,0.11,0.2,0.24,-0.09,1.45,3.8,2.29,0.34,7.93,56.37,53.74,2.18,0.0,0.45,0.22,1.9,0.56,0.11,0.06,0.0,0.0,45.2,0.45,1.34,2.01,0.67,0.03,0.08,0.06,-1.1,-1.1,20.0,0.11,0.0,0.0,0.78,1.4,0.11,0.84,1.01,0.0,0.0,6.82,0.22,0.89,1,1,0,0,0,0
711,842,Rodrigo Ely,br BRA,DF,Almería,es La Liga,28,1993,36,36,3155,35.1,0.0,0.03,0.0,0.03,0.03,0.05,0.03,0.05,7.0,5.0,71.4,1.0,14.3,52.91,10.71,33.16,18.4,1.54,0.85,52.91,0.2,0.14,0.03,27.46,108.52,55.78,0.17,0.23,0.03,0.46,0.06,30.88,0.11,0.6,0.06,0.4,0.03,0.03,0.14,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1197.0,1475.0,81.2,26201.0,10151.0,292.0,339.0,86.1,705.0,777.0,90.7,192.0,336.0,57.1,0.03,0.02,0.02,0.01,0.17,1.54,0.09,0.0,1.48,42.02,39.69,2.22,2.14,0.06,0.46,0.09,0.06,0.0,0.0,0.0,0.0,34.1,0.11,0.17,0.54,0.03,0.0,0.0,0.05,-1.0,-1.0,67.5,0.28,0.03,0.03,0.71,0.4,0.06,0.88,0.6,0.0,0.0,4.05,2.25,1.08,1,0,1,0,0,0
717,850,Arne Engels,be BEL,MF,Augsburg,de Bundesliga,18,2003,18,18,1440,16.0,0.0,0.19,0.0,0.19,0.04,0.17,0.04,0.17,9.0,4.0,44.4,4.0,44.4,46.19,1.31,9.88,23.75,12.81,0.31,46.19,0.56,0.25,0.25,20.12,87.69,47.62,0.56,0.44,0.0,0.44,0.5,24.94,1.56,2.94,0.5,1.38,1.06,0.06,0.12,0.25,0.06,0.31,0.06,0.06,0.0,0.0,0.06,397.0,619.0,64.1,7580.0,2725.0,170.0,217.0,78.3,157.0,207.0,75.8,62.0,149.0,41.6,0.19,0.14,0.12,0.05,1.5,2.81,0.56,0.19,3.56,38.69,31.69,6.75,2.44,0.12,0.5,6.31,0.31,4.0,1.81,2.06,0.06,24.81,0.25,1.5,1.06,0.12,0.0,0.0,0.03,-0.6,-0.6,40.0,0.31,0.0,0.0,1.62,1.25,0.0,0.94,0.56,0.0,0.0,4.62,0.62,0.94,1,0,0,0,0,1
722,858,Bernardo Espinosa,co COL,DF,Girona,es La Liga,33,1989,20,14,1225,13.6,0.07,0.15,0.07,0.15,0.09,0.09,0.09,0.09,4.0,3.0,75.0,1.0,25.0,76.99,12.06,38.97,36.47,2.13,1.25,76.99,0.29,0.22,0.07,46.76,246.62,138.6,0.59,0.22,0.07,0.29,0.29,52.94,0.22,0.66,0.15,0.44,0.0,0.0,0.22,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,812.0,913.0,88.9,15137.0,5671.0,274.0,299.0,91.6,482.0,512.0,94.1,52.0,92.0,56.5,0.07,0.0,0.01,0.07,0.07,2.21,0.0,0.0,2.65,67.13,64.78,2.21,1.91,0.0,0.37,0.0,0.15,0.0,0.0,0.0,0.0,59.71,0.15,0.15,0.81,0.37,0.09,0.2,0.11,-0.2,-0.2,65.4,0.37,0.0,0.0,0.88,0.74,0.0,0.88,0.15,0.0,0.07,4.85,3.9,2.06,1,0,1,0,0,0
723,859,Salvatore Esposito,it ITA,MF,Spezia,it Serie A,21,2000,15,10,971,10.8,0.09,0.09,0.09,0.09,0.06,0.21,0.06,0.21,14.0,6.0,42.9,4.0,28.6,68.24,1.94,16.2,37.87,14.44,0.65,68.24,1.3,0.56,0.37,32.78,120.0,54.07,0.37,0.28,0.09,0.93,0.37,43.15,1.02,2.6,0.0,1.2,1.02,0.0,0.09,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,653.0,76.6,8468.0,2456.0,254.0,281.0,90.4,187.0,225.0,83.1,44.0,108.0,40.7,0.0,0.14,0.12,-0.14,1.11,4.54,0.56,0.09,4.72,60.46,52.78,7.5,3.8,0.09,0.83,5.0,0.09,3.61,2.31,0.93,0.0,46.3,0.19,1.11,1.3,0.19,0.07,0.5,0.05,0.3,0.3,63.6,0.46,0.09,0.09,1.02,2.22,0.19,1.02,1.11,0.0,0.0,5.83,0.65,0.37,1,0,0,1,0,0
731,867,Abdessamad Ezzalzouli,ma MAR,"FW,MF",Osasuna,es La Liga,20,2001,28,19,1504,16.7,0.24,0.36,0.24,0.36,0.16,0.28,0.16,0.28,117.0,59.0,50.4,42.0,35.9,48.68,0.24,4.37,17.19,28.32,3.95,48.68,7.01,3.53,2.51,33.23,278.5,151.56,5.57,3.59,2.69,3.83,2.28,36.29,8.14,3.47,0.24,1.62,0.3,1.08,0.24,0.18,0.06,0.24,0.0,0.0,0.0,0.0,0.0,365.0,549.0,66.5,5242.0,1286.0,222.0,268.0,82.8,107.0,164.0,65.2,24.0,51.0,47.1,0.12,0.11,0.23,0.01,0.72,0.78,1.44,0.54,2.63,32.87,30.9,1.56,0.18,0.18,0.3,4.55,0.96,0.42,0.06,0.12,0.0,21.86,0.42,1.98,2.39,0.96,0.1,0.25,0.07,1.3,1.3,15.0,0.24,0.12,0.06,1.62,2.04,0.12,0.24,1.14,0.0,0.0,4.25,0.18,1.02,1,0,1,0,0,0
734,871,Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,22,1999,21,16,1308,14.5,0.07,0.07,0.07,0.07,0.05,0.06,0.05,0.06,40.0,18.0,45.0,21.0,52.5,54.48,2.69,15.03,27.79,12.07,1.31,54.48,2.76,1.24,1.45,33.66,221.52,121.03,2.97,2.07,0.55,1.59,0.41,29.17,2.48,1.03,0.14,0.55,0.0,0.21,0.0,0.21,0.07,0.07,0.0,0.07,0.0,0.0,0.0,499.0,625.0,79.8,7725.0,2860.0,241.0,283.0,85.2,219.0,251.0,87.3,20.0,52.0,38.5,0.0,0.01,0.04,-0.01,0.14,2.69,0.69,0.21,4.34,43.1,34.76,8.28,0.55,0.0,0.07,0.69,7.72,0.0,0.0,0.0,0.0,34.41,0.07,0.97,0.76,0.21,0.09,0.33,0.07,0.3,0.3,50.0,0.14,0.0,0.0,1.52,1.24,0.07,1.79,1.45,0.07,0.07,5.52,0.55,0.55,1,0,0,0,1,0
735,874,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,21,2001,26,17,1520,16.9,0.18,0.36,0.18,0.36,0.09,0.17,0.09,0.17,19.0,8.0,42.1,8.0,42.1,44.32,1.01,7.34,24.32,13.08,0.89,44.32,1.12,0.47,0.47,27.87,131.66,54.5,1.6,1.12,0.3,1.95,1.66,31.72,3.31,2.31,0.41,1.48,0.24,0.06,0.24,0.3,0.0,0.24,0.06,0.0,0.0,0.12,0.0,505.0,607.0,83.2,8123.0,1759.0,278.0,307.0,90.6,173.0,201.0,86.1,44.0,73.0,60.3,0.18,0.08,0.07,0.1,0.89,2.9,1.07,0.18,3.31,35.92,33.96,1.89,0.65,0.3,0.59,1.36,0.71,0.53,0.12,0.24,0.0,29.88,0.06,0.83,0.77,0.47,0.23,0.38,0.12,1.5,1.5,12.5,0.18,0.0,0.0,1.18,1.36,0.06,0.47,1.12,0.06,0.0,6.04,0.06,0.41,1,0,0,1,0,0
741,884,Ansu Fati,es ESP,FW,Barcelona,es La Liga,19,2002,36,12,1393,15.5,0.45,0.65,0.45,0.65,0.59,0.69,0.59,0.69,47.0,23.0,48.9,21.0,44.7,51.94,0.65,4.13,17.94,30.26,8.26,51.94,3.03,1.48,1.35,35.87,192.45,90.26,3.03,1.81,2.0,2.26,1.94,41.23,11.48,3.23,0.45,2.26,0.06,0.52,0.32,0.0,0.06,0.26,0.0,0.06,0.13,0.0,0.0,509.0,609.0,83.6,6451.0,1024.0,359.0,398.0,90.2,114.0,136.0,83.8,18.0,23.0,78.3,0.19,0.11,0.15,0.08,1.03,1.48,1.23,0.06,3.1,39.29,38.06,0.9,0.19,0.06,0.19,0.58,0.19,0.32,0.06,0.0,0.0,32.84,0.32,1.35,3.94,1.16,0.11,0.39,0.16,-2.1,-2.1,33.3,0.19,0.0,0.0,1.16,0.84,0.65,0.32,0.58,0.0,0.0,4.19,0.45,0.9,1,0,1,0,0,0
751,898,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,17,2004,19,10,950,10.6,0.57,0.76,0.57,0.76,0.51,0.57,0.51,0.57,14.0,8.0,57.1,5.0,35.7,32.45,0.94,2.55,15.57,14.62,3.68,32.45,1.32,0.75,0.47,19.15,83.4,29.15,1.04,0.38,0.75,2.74,1.89,24.15,5.47,2.08,0.19,1.42,0.0,0.09,0.57,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,180.0,225.0,80.0,2299.0,340.0,131.0,153.0,85.6,42.0,52.0,80.8,4.0,7.0,57.1,0.19,0.07,0.05,0.12,1.04,0.38,0.57,0.0,1.32,21.23,19.15,1.98,0.0,0.09,0.0,0.19,0.0,0.0,0.0,0.0,0.0,16.98,0.09,0.28,3.41,1.61,0.17,0.35,0.15,0.7,0.7,39.1,0.09,0.0,0.0,0.85,1.04,0.47,0.19,0.28,0.0,0.0,2.36,0.85,1.32,1,1,0,0,0,0
752,899,Lewis Ferguson,sct SCO,"MF,FW",Bologna,it Serie A,22,1999,32,27,2314,25.7,0.27,0.27,0.27,0.27,0.18,0.22,0.18,0.22,25.0,9.0,36.0,12.0,48.0,57.28,1.71,10.58,30.89,16.15,2.68,57.28,0.97,0.35,0.47,32.3,135.72,56.81,1.21,1.44,0.27,1.28,0.62,43.93,4.44,2.41,0.19,1.75,0.04,0.04,0.31,0.23,0.04,0.16,0.0,0.0,0.04,0.0,0.0,1039.0,1218.0,85.3,14524.0,2797.0,632.0,690.0,91.6,332.0,376.0,88.3,37.0,68.0,54.4,0.0,0.04,0.05,-0.04,0.62,2.72,0.47,0.0,3.42,47.39,46.3,0.97,0.43,0.16,0.0,0.51,0.47,0.0,0.0,0.0,0.0,40.43,0.12,0.78,1.67,0.7,0.16,0.39,0.11,2.3,2.3,42.9,0.16,0.0,0.0,1.95,1.6,0.23,0.74,0.97,0.0,0.0,4.12,1.05,1.4,1,0,0,1,0,0
