,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga
385,463,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,24.0,2000.0,22,17,1380,15.3,0.0,0.13,0.0,0.13,0.06,0.15,0.06,0.15,10.0,5.0,50.0,5.0,50.0,56.21,3.07,12.94,34.51,9.35,1.24,56.21,0.65,0.33,0.33,36.99,179.22,85.03,0.85,0.72,0.0,1.05,0.46,34.25,2.35,1.76,0.2,1.31,0.13,0.0,0.13,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,549.0,674.0,81.5,9742.0,2631.0,243.0,285.0,85.3,243.0,275.0,88.4,57.0,83.0,68.7,0.13,0.08,0.1,0.05,0.59,2.75,0.33,0.13,4.05,44.05,41.31,2.61,1.7,0.2,0.33,0.65,0.26,0.26,0.0,0.07,0.0,35.88,0.13,1.05,0.78,0.13,0.0,0.0,0.08,-1.0,-1.0,50.0,0.07,0.0,0.0,1.83,1.63,0.0,1.37,1.76,0.0,0.07,6.01,0.98,0.98,3.46,1.5,1.63,0.33,1.5,2.88,1.37,1.63,0.2,4.84,1.7,0.07,52.3,1,0,0,0,1,0
413,497,Walid Cheddira,ma MAR,FW,Frosinone,it Serie A,26.0,1998.0,25,13,1209,13.4,0.22,0.3,0.15,0.22,0.33,0.42,0.27,0.36,19.0,6.0,31.6,12.0,63.2,26.27,0.6,1.27,12.99,12.16,3.43,26.19,1.42,0.45,0.9,15.07,64.78,22.31,0.9,0.3,0.52,3.28,1.49,19.63,4.78,1.41,0.37,0.97,0.0,0.0,0.22,0.22,0.0,0.22,0.0,0.0,0.07,0.07,0.0,148.0,219.0,67.6,1964.0,257.0,88.0,115.0,76.5,40.0,57.0,70.2,7.0,7.0,100.0,0.07,0.09,0.03,-0.01,0.67,0.52,0.07,0.0,0.52,16.34,14.1,2.01,0.0,0.07,0.15,0.22,0.07,0.0,0.0,0.0,0.0,11.04,0.22,1.27,2.01,0.89,0.07,0.17,0.14,-1.5,-1.7,34.5,0.0,0.0,0.0,0.9,1.64,0.75,0.15,0.3,0.07,0.0,1.64,1.49,2.84,0.6,0.07,0.3,0.22,0.15,0.22,0.07,0.22,0.07,0.75,0.52,0.0,66.7,1,0,0,1,0,0
417,502,Federico Chiesa,it ITA,FW,Juventus,it Serie A,26.0,1997.0,22,16,1442,16.0,0.44,0.5,0.37,0.44,0.29,0.53,0.24,0.48,65.0,24.0,36.9,32.0,49.2,40.75,0.31,3.12,12.69,25.75,5.38,40.69,4.06,1.5,2.0,26.12,200.88,117.81,4.81,2.69,2.25,2.12,1.38,29.19,8.0,4.43,0.31,2.69,0.69,0.38,0.25,0.38,0.06,0.19,0.0,0.06,0.0,0.06,0.0,322.0,465.0,69.2,5013.0,1591.0,172.0,213.0,80.8,108.0,145.0,74.5,27.0,58.0,46.6,0.06,0.24,0.23,-0.18,2.12,1.62,1.94,0.62,3.12,29.06,25.25,3.62,0.75,0.19,0.06,4.5,0.56,2.0,0.88,0.81,0.0,20.12,0.19,1.31,2.81,1.0,0.13,0.38,0.09,2.3,2.1,0.0,0.06,0.0,0.0,0.44,1.88,0.31,0.31,0.31,0.06,0.0,2.81,0.0,0.25,0.75,0.19,0.25,0.31,0.19,0.56,0.38,0.69,0.06,1.06,0.25,0.0,33.3,1,0,0,1,0,0
421,506,Tahith Chong,nl NED,MF,Luton Town,eng Premier League,24.0,1999.0,21,9,1028,11.4,0.18,0.18,0.18,0.18,0.14,0.17,0.14,0.17,34.0,10.0,29.4,18.0,52.9,38.95,1.32,7.02,16.23,16.58,3.07,38.95,2.98,0.88,1.58,24.47,169.74,83.16,2.81,2.46,0.61,2.63,2.11,26.58,5.18,2.8,0.26,1.75,0.0,0.18,0.18,0.53,0.18,0.09,0.0,0.0,0.18,0.0,0.0,232.0,294.0,78.9,3811.0,900.0,113.0,134.0,84.3,86.0,105.0,81.9,22.0,32.0,68.8,0.0,0.04,0.09,-0.04,0.61,1.58,0.96,0.53,3.95,25.79,24.39,1.14,0.09,0.26,0.44,1.67,0.0,0.0,0.0,0.0,0.0,20.35,0.26,0.61,1.84,0.44,0.1,0.4,0.08,0.4,0.4,29.4,0.26,0.0,0.0,0.88,3.07,0.26,0.35,0.79,0.0,0.0,5.53,0.44,1.05,1.84,1.23,0.44,0.18,0.7,1.49,0.79,1.32,0.26,2.19,0.18,0.0,47.1,1,1,0,0,0,0
439,527,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,27.0,1996.0,19,15,1134,12.6,0.08,0.08,0.08,0.08,0.04,0.11,0.04,0.11,25.0,10.0,40.0,11.0,44.0,51.59,3.25,13.81,24.68,13.81,0.79,51.59,1.98,0.79,0.87,33.25,194.44,80.95,1.51,2.06,0.08,1.67,0.63,29.92,4.05,1.51,0.08,1.35,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,375.0,500.0,75.0,6058.0,2257.0,178.0,207.0,86.0,156.0,198.0,78.8,24.0,69.0,34.8,0.0,0.07,0.06,-0.07,0.63,2.46,1.03,0.4,3.33,39.68,34.52,5.16,0.24,0.24,0.08,2.7,4.92,0.0,0.0,0.0,0.0,29.76,0.0,0.79,0.56,0.16,0.14,0.5,0.07,0.5,0.5,59.4,0.08,0.0,0.0,1.19,1.59,0.0,1.35,1.59,0.0,0.0,5.0,1.51,1.03,2.7,1.83,0.56,0.32,1.83,3.97,2.14,1.19,0.08,4.05,2.54,0.0,46.0,1,0,0,0,1,0
440,528,Saúl Coco,gq EQG,DF,Las Palmas,es La Liga,25.0,1999.0,21,17,1570,17.4,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.04,9.0,3.0,33.3,3.0,33.3,68.97,7.87,35.4,32.47,1.21,0.4,68.97,0.52,0.17,0.17,39.43,172.24,93.51,0.4,0.29,0.0,0.46,0.34,45.75,0.06,0.23,0.0,0.17,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,998.0,88.9,14874.0,6273.0,407.0,431.0,94.4,434.0,469.0,92.5,37.0,74.0,50.0,0.0,0.0,0.01,0.0,0.06,2.13,0.0,0.0,3.05,57.36,55.11,1.9,1.67,0.0,0.11,0.06,0.06,0.0,0.0,0.0,0.0,50.98,0.34,0.29,0.86,0.23,0.07,0.25,0.05,0.3,0.3,60.3,0.23,0.0,0.0,0.8,0.86,0.0,0.86,0.75,0.0,0.0,4.77,2.36,1.55,1.21,0.92,0.29,0.0,0.4,0.69,0.29,1.03,0.69,2.07,5.0,0.17,58.3,1,0,1,0,0,0
442,530,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,32.0,1991.0,14,14,1168,13.0,0.0,0.0,0.0,0.0,0.02,0.05,0.02,0.05,18.0,9.0,50.0,9.0,50.0,61.0,4.62,19.23,28.54,13.77,0.62,61.0,1.38,0.69,0.69,30.69,188.92,79.54,1.46,0.77,0.23,1.0,0.54,27.08,1.15,1.39,0.0,1.08,0.08,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,463.0,646.0,71.7,8035.0,3905.0,204.0,252.0,81.0,208.0,271.0,76.8,38.0,91.0,41.8,0.0,0.03,0.05,-0.03,0.31,3.54,0.54,0.38,3.62,49.69,36.69,12.77,1.08,0.0,0.08,2.23,11.69,0.0,0.0,0.0,0.0,35.62,0.23,1.54,0.31,0.0,0.0,0.0,0.07,-0.3,-0.3,62.5,0.23,0.0,0.0,0.54,0.23,0.0,0.92,1.23,0.0,0.0,4.69,1.15,0.69,2.23,1.31,0.46,0.46,0.92,1.69,0.77,1.15,0.31,3.15,3.85,0.0,54.5,1,0,0,0,1,0
470,560,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,22.0,2001.0,21,19,1750,19.4,0.05,0.1,0.05,0.1,0.03,0.06,0.03,0.06,5.0,3.0,60.0,2.0,40.0,70.57,10.41,32.68,34.23,3.97,0.93,70.57,0.26,0.15,0.1,49.23,263.97,136.19,0.67,0.82,0.1,0.41,0.05,45.82,0.36,0.62,0.1,0.62,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,983.0,1169.0,84.1,19016.0,7509.0,333.0,363.0,91.7,525.0,590.0,89.0,106.0,183.0,57.9,0.05,0.03,0.03,0.02,0.15,4.23,0.1,0.05,4.69,60.26,57.06,3.09,1.49,0.0,0.31,0.36,0.31,0.0,0.0,0.0,0.0,50.67,0.1,0.41,0.46,0.21,0.11,0.25,0.07,0.3,0.3,67.7,0.31,0.0,0.0,1.44,0.36,0.05,0.77,1.03,0.0,0.0,5.52,2.27,1.08,1.55,1.08,0.46,0.0,0.52,0.98,0.46,1.65,1.03,2.32,4.69,0.0,52.6,1,0,0,0,1,0
488,583,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,24.0,1999.0,20,15,1473,16.4,0.12,0.12,0.12,0.12,0.05,0.05,0.05,0.05,7.0,4.0,57.1,3.0,42.9,64.76,12.44,35.37,26.77,2.93,1.1,64.76,0.43,0.24,0.18,30.18,156.1,97.74,0.37,0.37,0.0,0.37,0.12,38.11,0.43,0.37,0.0,0.24,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,720.0,847.0,85.0,13161.0,4862.0,270.0,281.0,96.1,393.0,436.0,90.1,50.0,112.0,44.6,0.0,0.01,0.02,-0.01,0.06,2.5,0.3,0.18,3.17,51.65,46.22,5.3,2.07,0.0,0.67,0.3,1.22,0.0,0.0,0.0,0.0,43.9,0.12,0.37,0.92,0.37,0.13,0.33,0.05,1.2,1.2,64.3,0.3,0.0,0.0,1.22,0.61,0.0,1.04,1.4,0.0,0.0,3.6,3.29,1.83,1.83,1.22,0.49,0.12,0.91,1.34,0.43,1.4,0.79,2.87,6.22,0.0,68.2,1,0,1,0,0,0
489,584,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,27.0,1996.0,14,12,1078,12.0,0.0,0.08,0.0,0.08,0.01,0.07,0.01,0.07,9.0,2.0,22.2,3.0,33.3,66.83,3.08,16.25,39.42,11.92,0.58,66.83,0.75,0.17,0.25,39.0,140.5,60.83,0.67,0.58,0.17,0.33,0.67,46.33,0.75,2.42,0.17,2.17,0.17,0.0,0.0,0.08,0.0,0.17,0.0,0.0,0.0,0.0,0.0,609.0,712.0,85.5,9564.0,2171.0,328.0,353.0,92.9,242.0,268.0,90.3,26.0,57.0,45.6,0.08,0.06,0.08,0.02,0.75,3.92,0.83,0.08,4.75,59.33,57.0,2.17,2.0,0.17,0.08,0.42,0.0,0.17,0.0,0.08,0.0,50.75,0.17,0.83,0.5,0.08,0.0,0.0,0.03,-0.2,-0.2,33.3,0.42,0.0,0.0,1.17,2.42,0.0,0.58,1.08,0.0,0.0,6.17,0.67,1.33,1.67,0.75,0.75,0.17,1.0,1.75,0.75,1.67,0.92,2.25,1.33,0.0,57.1,1,1,0,0,0,0
494,589,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35.0,1988.0,19,15,1360,15.1,0.0,0.0,0.0,0.0,0.04,0.05,0.04,0.05,11.0,6.0,54.5,4.0,36.4,73.18,7.68,33.05,34.3,6.36,1.32,73.18,0.73,0.4,0.26,44.83,202.78,96.75,0.6,0.4,0.07,0.66,0.26,51.92,1.46,0.86,0.0,0.33,0.0,0.13,0.2,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.0,852.0,951.0,89.6,15161.0,4787.0,321.0,336.0,95.5,455.0,481.0,94.6,63.0,108.0,58.3,0.0,0.01,0.03,-0.01,0.26,3.44,0.26,0.07,3.51,62.98,58.87,4.04,1.99,0.07,0.13,0.4,1.79,0.0,0.0,0.0,0.0,56.42,0.07,0.46,0.79,0.2,0.0,0.0,0.05,-0.6,-0.6,56.4,0.33,0.07,0.07,0.99,0.86,0.07,0.73,2.05,0.0,0.07,4.57,1.46,1.13,3.38,2.05,1.13,0.2,1.72,2.52,0.79,1.26,0.79,4.11,1.99,0.0,68.4,1,0,0,1,0,0
497,595,Ameen Al-Dakhil,be BEL,DF,Burnley,eng Premier League,22.0,2002.0,13,12,1056,11.7,0.09,0.09,0.09,0.09,0.11,0.12,0.11,0.12,5.0,3.0,60.0,2.0,40.0,64.02,7.09,30.34,28.97,4.96,0.85,64.02,0.43,0.26,0.17,41.97,211.2,115.47,0.6,0.77,0.0,0.68,0.51,42.31,0.77,0.68,0.09,0.43,0.0,0.09,0.17,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,537.0,637.0,84.3,9642.0,2939.0,208.0,220.0,94.5,280.0,321.0,87.2,42.0,77.0,54.5,0.0,0.01,0.05,-0.01,0.17,1.11,0.17,0.0,2.99,54.44,50.43,3.85,0.94,0.17,0.17,0.26,2.91,0.0,0.0,0.0,0.0,45.9,0.17,0.51,0.68,0.26,0.13,0.33,0.16,-0.3,-0.3,37.8,0.09,0.0,0.0,0.51,0.34,0.0,1.03,0.43,0.0,0.09,4.27,1.2,1.97,1.03,0.34,0.6,0.09,0.09,0.85,0.77,1.11,0.51,2.05,3.25,0.17,10.0,1,1,0,0,0,0
508,606,Mohammed Daramy,dk DEN,FW,Reims,fr Ligue 1,22.0,2002.0,23,17,1486,16.5,0.24,0.55,0.18,0.48,0.27,0.42,0.23,0.37,91.0,51.0,56.0,35.0,38.5,39.15,0.42,3.58,13.82,22.36,4.91,39.09,5.52,3.09,2.12,32.0,246.0,119.94,4.0,2.42,1.76,2.61,1.09,30.36,9.03,3.33,0.42,2.42,0.0,0.55,0.12,0.24,0.0,0.36,0.0,0.06,0.0,0.0,0.0,355.0,468.0,75.9,5069.0,1344.0,201.0,251.0,80.1,119.0,147.0,81.0,13.0,24.0,54.2,0.3,0.15,0.17,0.16,1.33,1.03,1.64,0.18,3.7,28.36,26.85,1.45,0.0,0.36,0.12,0.79,0.61,0.06,0.0,0.0,0.0,21.52,0.06,1.21,1.64,0.48,0.11,0.38,0.14,-0.5,-0.7,31.3,0.0,0.0,0.0,0.42,1.58,0.48,0.24,0.55,0.0,0.0,3.94,0.3,0.67,0.61,0.24,0.24,0.12,0.36,0.97,0.61,0.24,0.06,0.85,0.24,0.0,37.5,1,0,0,0,1,0
533,633,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,23.0,2000.0,20,12,1148,12.8,0.08,0.16,0.08,0.16,0.07,0.12,0.07,0.12,12.0,8.0,66.7,3.0,25.0,58.44,3.67,19.77,26.41,13.05,1.88,58.44,0.94,0.62,0.23,28.52,130.08,67.58,1.64,0.86,0.47,1.33,0.47,32.34,3.75,1.88,0.08,1.48,0.16,0.16,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,451.0,605.0,74.5,7942.0,2584.0,205.0,238.0,86.1,186.0,236.0,78.8,52.0,93.0,55.9,0.08,0.05,0.07,0.02,0.86,2.19,0.94,0.47,2.81,47.27,39.53,7.58,0.39,0.0,0.39,2.73,6.95,0.23,0.08,0.08,0.0,35.23,0.16,1.72,1.02,0.24,0.08,0.33,0.07,0.1,0.1,48.1,0.39,0.0,0.0,1.88,0.7,0.0,0.7,1.02,0.0,0.08,5.47,1.02,1.09,1.95,1.48,0.31,0.16,1.25,2.5,1.25,1.72,0.62,2.66,2.42,0.0,50.0,1,0,0,0,0,1
537,637,Ermedin Demirović,ba BIH,"FW,MF",Augsburg,de Bundesliga,25.0,1998.0,24,24,2072,23.0,0.61,0.96,0.48,0.83,0.49,0.63,0.35,0.49,50.0,22.0,44.0,24.0,48.0,29.91,0.87,3.52,12.87,13.87,5.22,29.74,2.17,0.96,1.04,15.13,73.61,29.48,0.91,0.57,0.35,2.48,1.26,18.0,4.83,2.3,0.52,1.57,0.0,0.3,0.22,0.22,0.0,0.39,0.0,0.09,0.0,0.04,0.0,257.0,422.0,60.9,3428.0,861.0,144.0,213.0,67.6,84.0,113.0,74.3,8.0,13.0,61.5,0.35,0.14,0.13,0.21,1.17,1.26,0.48,0.04,1.74,18.35,17.09,1.0,0.13,0.09,0.04,0.35,0.17,0.0,0.0,0.0,0.0,11.17,0.26,1.22,2.35,1.13,0.2,0.42,0.15,2.8,2.9,37.3,0.17,0.0,0.0,1.65,1.09,0.35,0.3,0.52,0.04,0.0,3.43,1.65,2.78,0.87,0.22,0.57,0.09,0.48,1.3,0.83,0.87,0.04,1.17,0.87,0.0,36.7,1,0,0,0,0,1
539,639,Sepp van den Berg,nl NED,DF,Mainz 05,de Bundesliga,22.0,2001.0,23,21,1939,21.5,0.09,0.09,0.09,0.09,0.06,0.07,0.06,0.07,3.0,2.0,66.7,1.0,33.3,63.63,6.98,31.53,29.72,2.65,1.02,63.63,0.14,0.09,0.05,25.44,112.42,49.26,0.28,0.19,0.0,0.23,0.14,32.7,0.28,0.84,0.0,0.6,0.05,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,1098.0,81.3,16470.0,5527.0,311.0,360.0,86.4,491.0,572.0,85.8,77.0,129.0,59.7,0.0,0.01,0.01,-0.01,0.23,3.35,0.19,0.0,3.53,51.07,49.58,1.3,1.07,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,41.53,0.19,0.42,0.65,0.23,0.14,0.4,0.1,0.7,0.7,68.9,0.33,0.0,0.0,1.02,0.6,0.0,1.4,0.98,0.0,0.0,6.23,5.26,2.37,1.58,0.84,0.65,0.09,0.6,0.98,0.37,1.95,0.74,2.98,4.88,0.09,61.9,1,0,0,0,0,1
557,662,Assane Diao,es ESP,FW,Betis,es La Liga,18.0,2005.0,17,13,1025,11.4,0.18,0.18,0.18,0.18,0.21,0.26,0.21,0.26,55.0,18.0,32.7,28.0,50.9,40.7,0.88,4.65,16.32,21.14,3.95,40.7,4.82,1.58,2.46,26.05,214.3,80.7,2.89,2.19,1.23,5.18,2.89,29.12,8.33,1.84,0.0,1.4,0.0,0.0,0.35,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,190.0,253.0,75.1,2176.0,371.0,133.0,157.0,84.7,32.0,43.0,74.4,7.0,9.0,77.8,0.0,0.05,0.07,-0.05,0.79,0.35,0.44,0.09,1.58,22.19,22.02,0.09,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,16.67,0.09,1.05,1.67,0.26,0.11,0.67,0.12,-0.3,-0.3,38.9,0.35,0.0,0.0,1.05,1.93,0.09,0.61,0.96,0.0,0.0,3.95,1.23,1.93,1.67,0.44,0.7,0.53,0.44,1.4,0.96,1.93,0.35,2.28,0.61,0.0,31.3,1,0,1,0,0,0
572,682,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,23.0,2000.0,22,17,1375,15.3,0.2,0.33,0.2,0.33,0.19,0.35,0.19,0.35,68.0,33.0,48.5,33.0,48.5,59.15,2.48,11.37,29.87,18.69,3.86,59.15,4.44,2.16,2.16,32.94,178.04,86.86,2.68,1.63,1.05,3.14,1.44,38.95,6.08,2.03,0.13,1.5,0.0,0.26,0.2,0.0,0.07,0.13,0.0,0.0,0.0,0.0,0.0,512.0,668.0,76.6,8023.0,2155.0,270.0,319.0,84.6,195.0,245.0,79.6,31.0,49.0,63.3,0.13,0.16,0.12,-0.03,0.98,3.33,0.46,0.13,3.66,43.66,39.35,4.12,0.2,0.26,0.26,0.98,3.92,0.0,0.0,0.0,0.0,33.46,0.2,1.31,2.29,0.52,0.09,0.38,0.09,0.0,0.0,56.4,0.26,0.0,0.0,2.75,0.59,0.07,0.33,1.18,0.0,0.0,5.56,2.03,1.57,1.96,0.52,0.85,0.59,0.85,2.03,1.18,1.37,0.39,2.29,1.83,0.0,41.9,1,0,0,0,0,1
573,683,Eren Dinkçi,de GER,"FW,MF",Heidenheim,de Bundesliga,22.0,2001.0,23,23,1824,20.3,0.35,0.49,0.35,0.49,0.15,0.26,0.15,0.26,73.0,30.0,41.1,36.0,49.3,39.9,0.79,5.71,19.46,16.16,2.27,39.9,3.6,1.48,1.77,22.91,169.95,86.5,2.96,1.97,0.74,3.5,1.82,26.16,4.83,3.01,0.39,2.12,0.2,0.25,0.2,0.25,0.0,0.3,0.0,0.05,0.05,0.0,0.0,336.0,544.0,61.8,5300.0,1854.0,176.0,252.0,69.8,113.0,162.0,69.8,29.0,56.0,51.8,0.15,0.11,0.11,0.03,1.33,1.92,0.99,0.39,3.05,26.8,25.81,0.84,0.15,0.1,0.15,2.66,0.49,0.15,0.0,0.15,0.0,16.55,0.15,1.77,1.73,0.69,0.2,0.5,0.08,4.1,4.1,35.7,0.34,0.0,0.0,1.13,0.94,0.05,0.34,0.54,0.0,0.0,5.27,0.49,0.89,0.99,0.54,0.39,0.05,0.54,1.43,0.89,1.23,0.1,1.33,0.84,0.0,37.9,1,0,0,0,0,1
578,688,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20.0,2003.0,20,14,1113,12.4,0.08,0.08,0.08,0.08,0.1,0.16,0.1,0.16,49.0,27.0,55.1,20.0,40.8,60.81,0.97,7.58,32.26,22.18,1.61,60.81,3.95,2.18,1.61,45.81,326.13,173.47,4.27,3.15,0.56,1.53,2.1,42.66,3.31,3.4,0.16,2.1,0.65,0.32,0.16,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,503.0,618.0,81.4,7395.0,1796.0,262.0,302.0,86.8,194.0,226.0,85.8,20.0,37.0,54.1,0.0,0.06,0.12,-0.06,1.29,2.66,1.13,0.0,5.56,49.84,46.85,2.82,0.97,0.08,0.0,2.98,0.0,1.85,0.73,0.89,0.0,40.56,0.16,1.85,1.62,0.57,0.05,0.14,0.06,-0.3,-0.3,37.5,0.08,0.0,0.0,0.73,1.13,0.0,0.24,1.37,0.0,0.0,6.53,0.48,0.81,2.02,0.81,0.89,0.32,0.97,1.53,0.56,0.89,0.16,2.26,0.24,0.0,63.2,1,0,0,0,1,0
585,697,Ritsu Doan,jp JPN,"MF,DF",Freiburg,de Bundesliga,25.0,1998.0,20,16,1348,15.0,0.13,0.13,0.13,0.13,0.18,0.26,0.18,0.26,78.0,35.0,44.9,37.0,47.4,41.87,1.53,6.0,18.6,17.87,2.4,41.87,5.2,2.33,2.47,23.53,136.6,70.27,2.33,2.07,0.4,2.2,1.6,26.53,6.13,2.94,0.13,1.8,0.47,0.33,0.07,0.27,0.0,0.07,0.0,0.0,0.0,0.07,0.0,295.0,422.0,69.9,4318.0,1430.0,189.0,223.0,84.8,80.0,119.0,67.2,20.0,48.0,41.7,0.0,0.07,0.1,-0.07,1.2,2.0,0.53,0.13,2.87,28.13,26.2,1.73,0.47,0.07,0.2,2.53,0.27,1.0,0.67,0.33,0.0,19.67,0.2,1.2,1.34,0.67,0.1,0.2,0.14,-0.8,-0.8,50.0,0.0,0.0,0.0,1.07,1.47,0.13,0.27,1.07,0.07,0.0,4.0,1.0,1.0,2.13,0.87,0.73,0.53,0.87,1.67,0.8,1.13,0.13,2.4,1.2,0.0,52.0,1,0,0,0,0,1
590,706,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,23.0,2001.0,13,11,993,11.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,2.0,2.0,100.0,0.0,0.0,54.0,5.82,25.0,25.91,3.55,0.55,54.0,0.18,0.18,0.0,25.82,124.36,58.82,0.64,0.82,0.09,1.0,0.18,27.82,0.09,0.63,0.0,0.55,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,455.0,75.6,6253.0,2677.0,145.0,171.0,84.8,162.0,192.0,84.4,30.0,70.0,42.9,0.0,0.01,0.02,-0.01,0.27,3.73,0.18,0.0,2.91,41.36,39.27,2.0,1.82,0.0,0.55,0.09,0.18,0.0,0.0,0.0,0.0,31.27,0.09,0.64,0.27,0.0,0.0,0.0,0.04,-0.1,-0.1,56.3,0.09,0.0,0.0,0.91,0.36,0.0,1.82,1.09,0.0,0.0,4.09,2.45,1.91,2.0,0.82,0.82,0.36,1.36,2.0,0.64,1.36,0.55,3.82,4.73,0.0,68.2,1,0,1,0,0,0
