Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
16.0,Che Adams,sct SCO,FW,Southampton,eng Premier League,24.0,1996.0,36.0,30.0,2667,29.6,0.3,0.47,0.3,0.47,0.33,0.5,0.33,0.5,50.0,28.0,56.0,22.0,44.0,31.28,0.81,3.31,13.61,14.83,3.28,31.28,1.69,0.95,0.74,17.43,78.92,30.41,1.08,0.95,0.44,2.97,1.49,24.09,5.03,2.29,0.24,1.69,0.0,0.07,0.24,0.3,0.0,0.2,0.0,0.0,0.0,0.03,0.0,431.0,622.0,69.3,6240.0,1416.0,228.0,308.0,74.0,125.0,162.0,77.2,34.0,49.0,69.4,0.0,0.17,0.1,0.0,1.25,1.18,0.78,0.03,1.93,21.01,20.78,0.07,0.03,0.24,0.1,0.2,0.03,0.0,0.0,0.0,0.0,14.56,0.17,0.64,1.86,1.05,0.16,0.29,0.18,-0.8,-0.8,28.5,0.03,0.0,0.0,1.01,1.86,0.64,0.14,0.54,0.0,0.0,2.84,1.79,4.49,0.84,0.14,0.51,0.2,0.2,0.57,0.37,0.68,0.07,0.98,0.64,0.03,35.3
17.0,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21.0,1999.0,27.0,21.0,1850,20.6,0.05,0.1,0.05,0.1,0.07,0.11,0.07,0.11,26.0,15.0,57.7,11.0,42.3,77.23,2.28,15.87,46.8,15.19,0.92,77.23,1.26,0.73,0.53,43.74,208.35,94.22,1.31,1.5,0.15,1.8,0.68,51.26,3.4,1.8,0.15,1.5,0.0,0.0,0.0,0.15,0.15,0.1,0.0,0.0,0.0,0.0,0.05,1173.0,1375.0,85.3,17415.0,5037.0,670.0,730.0,91.8,394.0,456.0,86.4,65.0,108.0,60.2,0.0,0.04,0.07,0.0,0.68,4.71,1.17,0.15,5.49,66.75,61.8,4.85,1.07,0.0,0.1,0.92,3.79,0.0,0.0,0.0,0.0,56.94,0.1,0.83,0.34,0.19,0.14,0.25,0.19,-0.3,-0.3,61.8,0.15,0.0,0.0,1.41,1.41,0.1,1.41,1.17,0.0,0.0,8.2,1.02,0.63,1.7,0.58,0.73,0.39,0.83,1.5,0.68,1.07,0.24,3.11,1.46,0.0,54.8
19.0,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22.0,1997.0,33.0,33.0,2953,32.8,0.0,0.0,0.0,0.0,0.03,0.04,0.03,0.04,14.0,11.0,78.6,3.0,21.4,69.27,12.13,39.94,27.44,2.04,1.07,69.27,0.43,0.34,0.09,40.76,178.17,95.49,0.15,0.15,0.0,0.37,0.15,46.4,0.09,0.55,0.03,0.55,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1647.0,1918.0,85.9,33255.0,12650.0,484.0,551.0,87.8,949.0,1008.0,94.1,196.0,318.0,61.6,0.0,0.01,0.01,-0.01,0.15,2.16,0.15,0.0,2.29,58.48,57.07,1.28,1.07,0.0,0.24,0.06,0.21,0.0,0.0,0.0,0.0,50.21,0.12,0.34,0.55,0.15,0.0,0.0,0.06,-1.1,-1.1,68.3,0.03,0.0,0.0,0.49,0.18,0.06,1.28,0.58,0.0,0.03,4.36,2.5,1.16,1.13,0.91,0.18,0.03,0.58,1.22,0.64,0.79,0.61,2.41,6.01,0.06,47.5
21.0,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20.0,2000.0,35.0,25.0,2418,26.9,0.07,0.26,0.07,0.26,0.07,0.23,0.07,0.23,79.0,50.0,63.3,29.0,36.7,71.38,1.49,12.94,45.24,14.5,0.93,71.38,2.94,1.86,1.08,43.83,222.6,116.02,2.01,1.86,0.37,1.56,1.52,52.86,1.78,3.87,0.37,2.9,0.37,0.3,0.07,0.11,0.11,0.26,0.04,0.0,0.04,0.04,0.0,1327.0,1631.0,81.4,24310.0,6907.0,569.0,643.0,88.5,548.0,642.0,85.4,167.0,251.0,66.5,0.0,0.16,0.11,0.02,1.97,5.87,0.74,0.07,6.99,60.63,57.96,2.42,1.49,0.22,0.93,1.97,0.22,0.67,0.26,0.3,0.0,49.33,0.26,0.82,0.89,0.33,0.08,0.22,0.08,0.1,0.1,50.0,0.22,0.0,0.0,1.45,1.38,0.0,1.45,1.38,0.0,0.0,6.39,1.0,1.0,2.75,1.12,1.23,0.41,1.3,3.42,2.12,1.0,0.07,4.2,0.63,0.07,38.0
24.0,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24.0,1996.0,26.0,16.0,1558,17.3,0.0,0.06,0.0,0.06,0.01,0.05,0.01,0.05,6.0,2.0,33.3,4.0,66.7,51.33,2.37,18.15,24.16,9.48,0.52,51.33,0.35,0.12,0.23,21.97,82.43,39.94,0.64,0.64,0.12,0.81,0.23,24.51,2.08,1.62,0.17,0.92,0.52,0.0,0.0,0.17,0.0,0.12,0.06,0.0,0.0,0.0,0.0,534.0,751.0,71.1,8856.0,4049.0,268.0,318.0,84.3,204.0,283.0,72.1,48.0,106.0,45.3,0.0,0.04,0.04,0.02,0.69,2.25,0.87,0.58,2.25,43.41,32.54,10.58,0.92,0.0,0.52,1.85,9.54,0.12,0.0,0.0,0.0,30.87,0.29,0.98,0.12,0.0,0.0,0.0,0.07,-0.1,-0.1,46.3,0.06,0.0,0.0,1.33,1.33,0.06,1.56,1.04,0.0,0.0,4.68,1.1,1.27,1.85,0.98,0.69,0.17,0.98,1.91,0.92,0.52,0.17,3.41,2.08,0.0,51.5
27.0,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21.0,1998.0,29.0,14.0,1356,15.1,0.07,0.2,0.07,0.2,0.1,0.19,0.1,0.19,76.0,44.0,57.9,32.0,42.1,36.03,0.13,3.84,15.43,17.95,3.71,36.03,5.03,2.91,2.12,21.52,183.05,94.3,3.31,2.32,1.59,2.32,1.66,23.64,5.43,2.52,0.46,1.26,0.07,0.2,0.53,0.26,0.2,0.33,0.07,0.0,0.07,0.0,0.0,228.0,328.0,69.5,3824.0,848.0,114.0,141.0,80.9,86.0,110.0,78.2,22.0,36.0,61.1,0.0,0.09,0.05,0.05,0.79,1.79,0.66,0.0,2.85,21.72,20.53,1.06,0.0,0.07,0.07,0.73,0.13,0.13,0.0,0.0,0.0,15.1,0.13,1.66,1.26,0.27,0.05,0.25,0.08,-0.5,-0.5,32.0,0.26,0.0,0.0,1.32,2.12,0.13,0.66,1.85,0.0,0.0,3.97,1.06,2.25,2.58,0.6,0.99,0.99,0.79,2.25,1.46,1.99,0.0,3.25,0.13,0.0,35.3
28.0,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24.0,1996.0,35.0,35.0,3147,35.0,0.09,0.11,0.09,0.11,0.09,0.11,0.09,0.11,11.0,9.0,81.8,2.0,18.2,86.17,6.89,36.6,47.97,2.14,1.09,86.17,0.31,0.26,0.06,53.86,226.4,129.94,0.4,0.46,0.03,0.31,0.29,64.49,0.06,0.57,0.03,0.49,0.0,0.0,0.09,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2449.0,2712.0,90.3,45688.0,18953.0,976.0,1021.0,95.6,1198.0,1282.0,93.4,251.0,365.0,68.8,0.0,0.02,0.02,0.01,0.14,3.6,0.03,0.0,3.89,77.49,75.17,2.29,2.26,0.0,0.86,0.03,0.03,0.0,0.0,0.0,0.0,69.97,0.03,0.2,0.8,0.17,0.11,0.5,0.12,-0.2,-0.2,63.0,0.17,0.0,0.0,0.63,0.83,0.06,1.34,0.86,0.0,0.03,5.63,3.46,2.03,1.06,0.8,0.26,0.0,0.6,0.94,0.34,0.97,0.63,2.4,2.91,0.0,63.6
30.0,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27.0,1993.0,33.0,27.0,2225,24.7,0.04,0.16,0.04,0.16,0.03,0.23,0.03,0.23,29.0,12.0,41.4,17.0,58.6,75.95,2.15,15.02,36.03,25.63,2.35,75.95,1.17,0.49,0.69,38.22,206.48,110.0,3.0,2.11,0.16,1.62,0.57,47.41,9.35,3.15,0.28,2.27,0.4,0.08,0.04,0.28,0.08,0.16,0.04,0.04,0.0,0.04,0.0,1265.0,1568.0,80.7,19271.0,5384.0,721.0,779.0,92.6,420.0,535.0,78.5,87.0,166.0,52.4,0.0,0.19,0.23,-0.07,1.66,3.12,1.58,0.85,4.09,63.48,54.29,8.95,1.3,0.04,0.57,4.78,6.76,0.89,0.32,0.45,0.0,51.21,0.24,0.97,0.32,0.12,0.13,0.33,0.11,0.1,0.1,54.8,0.24,0.0,0.0,1.58,1.46,0.04,1.9,1.5,0.04,0.0,5.63,1.86,1.54,2.55,1.3,0.85,0.4,1.3,2.11,0.81,1.21,0.12,4.45,1.74,0.04,61.5
35.0,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24.0,1995.0,25.0,14.0,1289,14.3,0.0,0.0,0.0,0.0,0.06,0.08,0.06,0.08,3.0,2.0,66.7,1.0,33.3,57.06,8.46,34.83,21.26,1.54,0.84,57.06,0.21,0.14,0.07,32.87,159.86,91.68,0.77,0.21,0.07,0.7,0.21,32.38,0.07,0.7,0.14,0.49,0.0,0.07,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,511.0,629.0,81.2,10079.0,3604.0,164.0,183.0,89.6,285.0,324.0,88.0,56.0,95.0,58.9,0.0,0.02,0.01,-0.02,0.14,1.89,0.14,0.0,3.01,43.99,42.52,1.12,1.05,0.0,0.14,0.07,0.07,0.0,0.0,0.0,0.0,35.73,0.35,0.56,0.63,0.0,0.0,0.0,0.09,-0.8,-0.8,51.2,0.21,0.0,0.0,0.91,0.91,0.07,1.75,1.19,0.0,0.0,6.22,2.94,2.8,1.82,1.19,0.63,0.0,0.84,1.47,0.63,0.49,0.28,3.57,6.15,0.07,57.1
36.0,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23.0,1996.0,31.0,31.0,2664,29.6,0.07,0.1,0.07,0.1,0.04,0.09,0.04,0.09,33.0,21.0,63.6,12.0,36.4,69.32,3.55,26.39,32.33,11.15,0.57,69.32,1.11,0.71,0.41,36.15,189.02,102.16,2.13,1.35,0.17,0.91,0.34,42.36,1.69,0.91,0.14,0.78,0.1,0.0,0.0,0.03,0.0,0.14,0.0,0.0,0.0,0.0,0.0,1352.0,1769.0,76.4,22797.0,9159.0,642.0,717.0,89.5,565.0,704.0,80.3,112.0,257.0,43.6,0.0,0.05,0.04,-0.02,0.51,3.11,0.51,0.3,3.58,59.76,50.2,9.53,0.95,0.0,0.44,1.76,8.58,0.0,0.0,0.0,0.0,45.68,0.03,1.15,0.47,0.14,0.14,0.5,0.09,0.8,0.8,46.3,0.1,0.0,0.0,1.08,0.84,0.07,1.52,0.68,0.0,0.0,4.97,1.05,1.22,1.25,0.74,0.24,0.27,0.71,1.45,0.74,0.74,0.2,2.77,3.18,0.07,48.8
