Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,,2000.0,20,13,1237,13.7,0.0,0.07,0.0,0.07,0.0,0.06,0.0,0.06,34.0,14.0,41.2,12.0,35.3,51.9,3.14,18.39,22.12,12.04,0.8,51.9,2.48,1.02,0.88,26.57,158.69,81.82,1.61,0.88,0.51,0.95,0.58,27.08,1.9,1.68,0.15,1.17,0.29,0.0,0.0,0.22,0.0,0.15,0.0,0.0,0.0,0.0,0.0,450.0,581.0,77.5,7402.0,2789.0,220.0,248.0,88.7,188.0,235.0,80.0,34.0,63.0,54.0,0.07,0.06,0.07,0.01,0.51,1.82,0.95,0.15,3.14,42.41,33.07,9.27,0.8,0.15,0.22,0.95,8.47,0.0,0.0,0.0,0.0,32.85,0.07,1.68,0.15,0.0,0.0,0.0,0.02,0.0,0.0,31.3,0.07,0.0,0.0,0.88,1.9,0.15,0.58,1.39,0.0,0.07,5.47,0.36,0.8,2.12,1.46,0.51,0.15,1.46,2.48,1.02,0.66,0.36,2.7,1.97,0.0,58.8
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,,2000.0,30,14,1267,14.1,0.14,0.28,0.14,0.28,0.14,0.27,0.14,0.27,77.0,34.0,44.2,41.0,53.2,47.87,0.78,7.66,21.35,20.78,3.33,47.87,5.46,2.41,2.91,28.79,192.98,98.37,2.62,2.06,0.64,2.91,2.7,32.41,6.45,3.76,0.57,2.91,0.07,0.57,0.21,0.0,0.0,0.43,0.0,0.14,0.0,0.0,0.0,365.0,472.0,77.3,4890.0,1506.0,206.0,240.0,85.8,105.0,130.0,80.8,19.0,32.0,59.4,0.14,0.13,0.14,0.01,1.56,2.13,0.99,0.21,3.97,33.48,31.13,2.06,0.21,0.35,0.07,1.56,0.85,0.43,0.14,0.21,0.0,25.89,0.28,1.49,1.28,0.5,0.11,0.29,0.11,0.0,0.0,44.8,0.21,0.07,0.07,1.06,1.77,0.35,0.14,1.28,0.0,0.0,6.24,0.92,1.13,2.27,0.92,0.92,0.43,1.13,2.27,1.13,1.84,0.07,2.41,0.28,0.0,50.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,,1987.0,31,31,2781,30.9,0.13,0.13,0.1,0.1,0.11,0.12,0.09,0.09,15.0,8.0,53.3,7.0,46.7,70.71,9.48,31.59,36.21,3.69,1.13,70.68,0.49,0.26,0.23,48.74,280.36,159.26,1.17,0.61,0.0,0.74,0.13,45.4,0.29,0.78,0.03,0.61,0.03,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1552.0,1836.0,84.5,29618.0,9672.0,487.0,548.0,88.9,893.0,976.0,91.5,141.0,252.0,56.0,0.0,0.01,0.02,-0.01,0.26,4.17,0.1,0.0,4.43,59.42,53.4,5.76,2.43,0.06,0.42,0.1,0.94,0.0,0.0,0.0,0.0,50.23,0.26,0.65,0.68,0.23,0.14,0.43,0.13,0.6,0.4,62.2,0.16,0.0,0.0,0.84,0.39,0.0,1.26,1.13,0.0,0.0,4.82,1.97,1.2,2.07,1.17,0.74,0.16,0.84,1.46,0.61,1.65,1.04,3.33,3.53,0.06,57.8
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,,2000.0,27,17,1519,16.9,0.0,0.0,0.0,0.0,0.05,0.08,0.05,0.08,19.0,7.0,36.8,11.0,57.9,60.47,1.24,9.94,38.28,12.9,0.41,60.47,1.12,0.41,0.65,48.7,258.05,99.59,0.53,1.95,0.0,1.36,0.65,46.15,1.18,1.6,0.18,1.6,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,796.0,895.0,88.9,12470.0,3008.0,393.0,433.0,90.8,330.0,360.0,91.7,41.0,54.0,75.9,0.0,0.03,0.07,-0.03,0.36,5.15,0.3,0.12,4.62,52.96,51.78,1.07,1.01,0.0,0.06,0.18,0.06,0.0,0.0,0.0,0.0,47.1,0.12,1.01,0.3,0.0,0.0,0.0,0.17,-0.8,-0.8,22.2,0.12,0.0,0.0,2.01,0.95,0.0,0.71,0.83,0.0,0.18,5.27,0.12,0.41,1.24,0.47,0.59,0.18,0.47,1.07,0.59,0.71,0.06,1.95,1.07,0.0,44.4
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,,1993.0,33,32,2860,31.8,0.06,0.09,0.06,0.09,0.04,0.1,0.04,0.1,65.0,44.0,67.7,18.0,27.7,68.05,3.3,17.39,40.5,10.97,0.31,68.05,2.04,1.38,0.57,51.86,273.81,122.39,1.19,1.54,0.09,1.01,0.94,47.23,1.6,2.55,0.16,2.11,0.09,0.06,0.03,0.06,0.19,0.09,0.0,0.03,0.0,0.0,0.03,1551.0,1836.0,84.5,27382.0,8613.0,629.0,707.0,89.0,711.0,802.0,88.7,150.0,233.0,64.4,0.03,0.07,0.06,-0.04,0.94,5.91,0.72,0.09,6.1,57.74,54.81,2.77,2.14,0.19,0.41,1.07,0.44,0.0,0.0,0.0,0.0,48.77,0.16,0.79,0.82,0.35,0.08,0.18,0.04,0.9,0.9,51.7,0.13,0.0,0.0,1.13,1.13,0.03,1.92,1.64,0.0,0.0,7.11,0.47,0.44,2.67,1.35,1.07,0.25,1.19,3.02,1.82,0.91,0.19,4.59,1.92,0.09,39.6
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,,2003.0,22,12,1044,11.6,0.43,0.43,0.43,0.43,0.33,0.5,0.33,0.5,33.0,19.0,57.6,14.0,42.4,33.28,0.78,3.1,13.19,18.02,5.6,33.28,2.84,1.64,1.21,25.34,170.6,78.1,2.41,2.07,1.21,4.31,1.21,24.74,7.5,3.28,0.17,2.59,0.0,0.43,0.17,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.0,162.0,231.0,70.1,2410.0,448.0,91.0,128.0,71.1,52.0,68.0,76.5,9.0,11.0,81.8,0.0,0.17,0.08,-0.17,1.47,0.52,0.6,0.17,1.72,19.91,18.79,1.03,0.0,0.17,0.09,0.6,0.09,0.0,0.0,0.0,0.0,13.97,0.09,0.95,3.62,1.64,0.12,0.26,0.09,1.2,1.2,35.7,0.09,0.0,0.0,0.86,1.12,0.52,0.26,0.34,0.09,0.0,3.36,1.29,2.33,0.78,0.34,0.26,0.17,0.26,0.69,0.43,0.26,0.0,1.03,0.43,0.0,37.5
9,Abner,br BRA,DF,Betis,es La Liga,,2000.0,23,15,1400,15.6,0.0,0.06,0.0,0.06,0.01,0.07,0.01,0.07,13.0,7.0,53.8,5.0,38.5,61.92,4.62,22.05,25.96,14.49,1.79,61.92,0.83,0.45,0.32,28.65,115.51,60.83,0.9,0.64,0.32,1.15,0.71,32.18,3.72,0.9,0.0,0.83,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,797.0,77.2,9211.0,4552.0,351.0,394.0,89.1,203.0,265.0,76.6,37.0,79.0,46.8,0.06,0.06,0.06,0.0,0.51,1.28,0.45,0.13,2.12,51.09,40.26,10.58,0.45,0.0,0.19,1.67,10.13,0.0,0.0,0.0,0.0,39.42,0.26,1.47,0.26,0.0,0.0,0.0,0.03,-0.1,-0.1,58.3,0.19,0.0,0.0,1.03,0.13,0.13,0.96,1.22,0.0,0.06,5.06,0.9,0.64,1.6,0.96,0.58,0.06,1.09,2.18,1.09,1.47,0.32,2.56,3.97,0.0,50.0
11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,,1999.0,27,27,2312,25.7,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,5.0,3.0,60.0,1.0,20.0,40.16,7.43,22.18,16.42,1.63,0.82,40.16,0.19,0.12,0.04,19.14,95.72,55.18,0.27,0.23,0.0,0.58,0.04,19.42,0.04,0.47,0.0,0.35,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,762.0,72.6,12370.0,4872.0,141.0,164.0,86.0,302.0,339.0,89.1,99.0,225.0,44.0,0.0,0.01,0.01,-0.01,0.12,2.37,0.08,0.0,1.91,29.65,27.39,2.14,1.95,0.0,0.66,0.08,0.16,0.0,0.0,0.0,0.0,21.52,0.12,0.39,0.39,0.12,0.0,0.0,0.05,-0.5,-0.5,52.0,0.39,0.0,0.0,1.28,0.89,0.04,0.89,0.74,0.0,0.08,4.24,1.52,1.4,1.36,1.09,0.19,0.08,0.82,1.36,0.54,1.21,1.01,2.26,4.47,0.0,60.0
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,,1988.0,29,26,2388,26.5,0.11,0.15,0.11,0.15,0.06,0.13,0.06,0.13,3.0,2.0,66.7,1.0,33.3,74.6,8.26,35.51,35.7,3.7,0.94,74.6,0.11,0.08,0.04,45.7,218.08,116.26,0.79,0.42,0.0,0.15,0.04,54.57,0.91,0.83,0.04,0.72,0.0,0.0,0.11,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1615.0,1781.0,90.7,29326.0,9174.0,601.0,650.0,92.5,856.0,908.0,94.3,132.0,179.0,73.7,0.04,0.07,0.05,-0.03,0.26,2.19,0.19,0.08,3.28,67.21,64.87,2.26,1.62,0.0,0.42,0.34,0.3,0.0,0.0,0.0,0.0,60.94,0.08,0.19,0.57,0.23,0.2,0.5,0.11,1.4,1.4,65.4,0.04,0.0,0.0,0.72,0.91,0.11,1.21,0.49,0.0,0.0,3.85,2.64,1.4,0.83,0.6,0.23,0.0,0.42,0.53,0.11,0.75,0.49,2.04,2.91,0.04,78.6
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,,1991.0,21,18,1292,14.4,0.07,0.21,0.07,0.21,0.02,0.13,0.02,0.13,21.0,10.0,47.6,8.0,38.1,68.33,2.29,18.75,33.06,17.57,0.69,68.33,1.46,0.69,0.56,32.85,157.36,85.0,1.6,1.39,0.28,1.39,1.11,37.92,2.92,3.42,0.28,1.94,1.04,0.21,0.0,0.14,0.07,0.07,0.21,0.0,0.0,0.0,0.0,628.0,847.0,74.1,12126.0,4928.0,260.0,297.0,87.5,262.0,328.0,79.9,94.0,183.0,51.4,0.14,0.1,0.15,0.03,1.6,3.61,1.32,0.83,4.1,58.82,46.67,12.01,2.22,0.07,0.76,5.69,8.47,1.32,0.49,0.83,0.0,43.61,0.14,1.11,0.63,0.28,0.11,0.25,0.03,0.7,0.7,54.2,0.49,0.0,0.0,1.25,1.18,0.07,0.28,1.46,0.0,0.0,6.88,0.9,0.76,2.29,1.39,0.83,0.07,0.62,0.97,0.35,0.83,0.14,2.57,1.74,0.0,64.3
