,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
135,135,137,Stefan Ortega,de GER,GK,Arminia,de Bundesliga,28,1992,33,33,2970,33.0,53,1.61,176,125,73.9,4,13,16,6,18.2,7,7,0,0,0.0,1,6,2,55.8,0.28,4.8,0.15,412,902,45.7,1448,91,49.6,39.2,317,58.0,46.9,528,11,2.1,46,1.39,18.6,183,718,1245,1768,70.4,41924,32569,132,134,98.5,544,548,99.3,569,1081,52.6,,0.2,0.4,-0.2,5,89,6,0,3,0,16,0.48,0.0,1165,1795,59,1853,1102,977,35.3,54.39,1.79,56.15,33.39,29.61
136,136,138,David Ospina,co COL,GK,Napoli,it Serie A,32,1988,31,31,2790,31.0,25,0.81,106,82,77.4,19,6,6,13,41.9,1,1,0,0,0.0,0,3,1,27.6,0.26,3.6,0.12,73,193,37.8,842,124,20.7,28.6,135,14.1,22.5,353,18,5.1,31,1.0,17.0,19,174,816,979,83.4,19414,13796,198,200,99.0,401,407,98.5,211,361,58.4,,0.0,0.0,0.0,0,11,0,0,0,0,6,0.19,0.0,875,1022,14,1035,671,560,28.23,32.97,0.45,33.39,21.65,18.06
137,137,139,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,33,1988,21,21,1875,20.8,39,1.87,91,54,60.4,2,8,11,3,14.3,3,3,0,0,0.0,1,2,2,29.8,0.3,-7.2,-0.35,131,335,39.1,431,137,48.0,39.7,167,76.6,54.9,319,39,12.2,42,2.02,14.8,127,206,386,600,64.3,13291,10508,41,41,100.0,147,149,98.7,196,406,48.3,,0.0,0.1,0.0,0,9,1,0,0,0,0,0.0,0.0,557,651,7,657,328,152,26.78,31.3,0.34,31.59,15.77,7.31
139,139,141,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,29,1992,34,34,3053,33.9,60,1.77,148,85,62.8,8,5,21,5,14.7,8,5,3,0,37.5,0,9,0,51.8,0.31,-8.2,-0.24,331,693,47.8,721,85,64.2,44.5,308,74.7,50.6,545,24,4.4,43,1.27,15.7,230,462,649,1032,62.9,25444,21746,73,73,100.0,179,181,98.9,397,775,51.2,,0.3,0.1,-0.3,2,48,2,0,0,0,9,0.27,0.0,923,1109,5,1114,520,351,27.23,32.71,0.15,32.86,15.34,10.35
142,142,144,Rui Patrício,pt POR,GK,Roma,it Serie A,33,1988,38,38,3420,38.0,43,1.13,146,104,74.0,18,9,11,15,39.5,6,5,1,0,16.7,2,5,2,42.2,0.25,1.2,0.03,174,393,44.3,854,141,37.7,34.2,222,32.0,31.5,393,12,3.1,26,0.68,14.3,71,321,831,1081,76.9,23327,16301,156,157,99.4,379,384,98.7,293,531,55.2,,0.0,0.0,0.0,0,5,0,0,2,0,3,0.08,0.0,1008,1136,2,1138,606,493,26.53,29.89,0.05,29.95,15.95,12.97
148,148,150,Danijel Petković,me MNE,GK,Angers,fr Ligue 1,28,1993,15,15,1350,15.0,22,1.47,65,45,69.2,3,3,9,2,13.3,2,2,0,0,0.0,0,1,2,19.0,0.27,-1.0,-0.07,39,126,31.0,333,93,22.8,29.8,120,41.7,37.1,198,15,7.6,16,1.07,13.2,50,75,352,456,77.2,9169,5622,55,55,100.0,188,191,98.4,107,205,52.2,,0.0,0.0,0.0,0,0,0,0,0,0,1,0.07,0.0,460,496,0,496,261,185,30.67,33.07,0.0,33.07,17.4,12.33
149,149,151,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,27,1994,35,35,3150,35.0,58,1.66,170,116,66.5,10,6,19,7,20.0,1,1,0,0,0.0,2,10,4,51.7,0.31,-2.3,-0.07,272,782,34.8,873,119,64.6,46.4,267,81.6,60.5,518,23,4.4,35,1.0,14.9,217,563,608,1147,53.0,23302,19151,83,83,100.0,204,208,98.1,321,848,37.9,,0.1,0.2,-0.1,4,64,3,0,0,2,13,0.37,0.06,951,1189,41,1230,640,470,27.17,33.97,1.17,35.14,18.29,13.43
152,152,154,Nick Pope,eng ENG,GK,Burnley,eng Premier League,29,1992,36,36,3240,36.0,47,1.31,165,119,74.5,7,14,15,9,25.0,5,5,0,0,0.0,1,6,1,44.3,0.25,-1.7,-0.05,319,807,39.5,793,147,69.2,46.2,283,91.2,61.2,605,46,7.6,80,2.22,17.4,258,548,556,1088,51.1,24142,21499,35,40,87.5,129,135,95.6,392,901,43.5,,0.1,0.2,-0.1,2,49,3,0,0,0,8,0.22,0.0,882,1162,37,1194,565,323,24.5,32.28,1.03,33.17,15.69,8.97
153,153,155,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,22,1999,13,13,1170,13.0,29,2.23,61,32,55.7,3,5,5,2,15.4,4,2,2,0,50.0,0,5,2,20.4,0.27,-6.6,-0.51,75,198,37.9,373,55,36.5,33.1,111,55.9,41.0,191,10,5.2,40,3.08,17.6,62,136,346,484,71.5,9602,7196,67,71,94.4,153,154,99.4,124,257,48.2,,0.0,0.0,0.0,0,1,0,0,0,0,2,0.15,0.0,431,524,4,528,292,223,33.15,40.31,0.31,40.62,22.46,17.15
155,155,157,Ivan Provedel,it ITA,GK,Spezia,it Serie A,27,1994,31,31,2761,30.7,52,1.7,165,116,73.9,9,5,17,7,22.6,11,9,0,2,0.0,3,4,3,47.6,0.24,-1.4,-0.04,206,616,33.4,957,133,47.8,40.1,229,69.4,51.7,476,28,5.9,25,0.81,11.8,158,457,736,1199,61.4,23789,17852,95,96,99.0,291,301,96.7,349,788,44.3,,0.0,0.1,0.0,0,25,1,0,2,1,2,0.07,0.03,1031,1266,16,1281,716,568,33.58,41.24,0.52,41.73,23.32,18.5
158,158,160,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,25,1995,38,38,3420,38.0,44,1.16,161,116,75.8,11,13,14,11,28.9,7,5,1,1,16.7,2,8,0,42.9,0.24,-1.1,-0.03,151,479,31.5,975,217,35.5,34.7,285,46.7,38.8,645,37,5.7,53,1.39,14.8,133,346,898,1266,70.9,24556,16666,155,156,99.4,418,429,97.4,312,660,47.3,,0.0,0.3,0.0,1,24,2,0,1,0,8,0.21,0.0,1141,1352,12,1366,789,525,30.03,35.58,0.32,35.95,20.76,13.82
160,160,162,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998,34,34,3060,34.0,39,1.15,128,90,73.4,21,3,10,12,35.3,6,5,0,1,0.0,0,3,1,38.2,0.26,0.2,0.0,134,480,27.9,993,162,34.8,33.2,181,74.0,55.1,414,26,6.3,60,1.76,16.4,133,345,795,1178,67.5,20520,14378,196,199,98.5,394,404,97.5,203,566,35.9,,0.0,0.0,0.0,0,26,0,0,1,0,2,0.06,0.0,927,1245,15,1258,807,630,27.26,36.62,0.44,37.0,23.74,18.53
162,162,164,David Raya,es ESP,GK,Brentford,eng Premier League,25,1995,24,24,2160,24.0,27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,0.0,1,3,0,26.2,0.22,-0.8,-0.03,225,527,42.7,876,118,44.4,36.2,202,68.3,49.9,402,27,6.7,35,1.46,15.8,137,388,737,1085,67.9,22782,17533,137,138,99.3,302,310,97.4,296,625,47.4,,0.0,0.1,0.0,1,45,0,0,3,1,7,0.29,0.04,874,1106,33,1139,691,576,36.42,46.08,1.38,47.46,28.79,24.0
163,163,165,Manolo Reina,es ESP,GK,Mallorca,es La Liga,36,1985,21,21,1890,21.0,26,1.24,75,49,68.0,6,9,6,8,38.1,3,2,1,0,33.3,0,1,1,27.2,0.32,2.2,0.11,140,357,39.2,453,67,53.9,40.5,188,60.1,43.9,333,14,4.2,9,0.43,11.6,112,244,412,646,63.8,13217,10583,94,95,98.9,147,147,100.0,166,394,42.1,,0.0,0.0,0.0,0,13,1,0,0,0,6,0.29,0.0,576,683,1,684,311,216,27.43,32.52,0.05,32.57,14.81,10.29
164,164,166,Pepe Reina,es ESP,GK,Lazio,it Serie A,38,1982,15,15,1350,15.0,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,1,0.0,0,2,0,23.7,0.33,-5.3,-0.36,66,133,49.6,429,73,24.2,29.8,99,29.3,30.1,186,10,5.4,10,0.67,13.7,29,103,433,528,82.0,10958,8272,111,112,99.1,177,184,96.2,142,229,62.0,,0.4,0.0,0.6,1,5,0,0,0,1,2,0.13,0.07,483,552,2,554,334,287,32.2,36.8,0.13,36.93,22.27,19.13
165,165,167,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,26,1995,35,35,3150,35.0,32,0.91,112,79,75.0,15,11,9,19,54.3,5,4,1,0,20.0,1,5,0,31.4,0.24,-0.6,-0.02,195,466,41.8,1015,125,32.6,32.9,241,56.0,45.1,465,18,3.9,48,1.37,16.4,134,330,949,1259,75.4,26662,19222,178,180,98.9,440,449,98.0,331,627,52.8,,0.0,0.0,0.0,0,14,0,0,0,0,7,0.2,0.0,1198,1324,9,1333,711,633,34.23,37.83,0.26,38.09,20.31,18.09
166,166,170,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31,31,2790,31.0,45,1.45,155,112,72.9,10,6,15,7,22.6,6,3,2,1,40.0,1,3,4,41.4,0.27,2.4,0.08,464,1004,46.2,1353,99,62.0,43.6,243,67.9,48.5,411,27,6.6,71,2.37,19.5,164,838,1003,1605,62.5,37987,31175,80,82,97.6,280,289,96.9,643,1223,52.6,,0.3,0.4,0.7,5,83,5,0,6,2,24,0.8,0.07,1148,1607,72,1677,1053,848,37.03,51.84,2.32,54.1,33.97,27.35
168,168,172,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16,16,1440,16.0,33,2.06,105,74,74.3,3,4,9,3,18.8,6,6,0,0,0.0,0,1,2,30.8,0.25,-0.2,-0.01,90,236,38.1,443,100,38.6,34.6,142,45.8,38.8,265,14,5.3,11,0.69,11.8,65,170,415,586,70.8,11661,8294,78,80,97.5,191,199,96.0,145,305,47.5,,0.0,0.0,0.0,1,11,0,0,1,0,5,0.31,0.0,575,643,4,647,355,253,35.94,40.19,0.25,40.44,22.19,15.81
171,171,175,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,32,32,2880,32.0,28,0.87,100,72,75.0,14,9,9,14,43.8,4,3,1,0,25.0,0,2,1,28.2,0.25,1.2,0.04,131,333,39.3,1073,161,23.1,29.7,214,39.7,37.4,478,22,4.6,52,1.63,16.5,84,247,1051,1288,81.6,26543,16729,216,219,98.6,572,581,98.5,259,482,53.7,,0.0,0.1,0.0,0,15,2,0,2,1,6,0.19,0.03,1014,1352,9,1361,796,684,31.69,42.25,0.28,42.53,24.88,21.38
174,174,178,José Sá,pt POR,GK,Wolves,eng Premier League,28,1993,37,37,3285,36.5,40,1.1,160,121,80.6,15,5,17,11,29.7,10,9,0,1,0.0,1,1,1,46.3,0.24,7.3,0.2,121,412,29.4,844,216,35.4,34.7,261,43.3,36.9,549,43,7.8,40,1.1,13.3,113,298,770,1109,69.4,20016,12844,161,164,98.2,379,386,98.2,223,548,40.7,,0.9,0.0,0.1,3,14,1,0,2,1,4,0.11,0.03,1106,1198,8,1206,642,400,30.3,32.82,0.22,33.04,17.59,10.96
