,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot_Creating_Action,Shot_Creating_Action_per90,Pass_Live_Shot,Pass_Dead_Shot,Take_Ons_Shot,Shot-Shot,Fouls_drawn_Shot,Defensive_Shot,Goal_Creating_Action,Goal_Creating_Action_90,Pass_Live_Goal,Pass_Dead_Goal,Take_Ons_Goal,Shot_Goal,Fouls_Drawn_Goal,Defensive_Goal,Matches
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0,Matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,22,0.66,17,0,2,1,0,2,1,0.03,1,0,0,0,0,0,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,50,1.83,41,0,0,4,4,1,3,0.11,3,0,0,0,0,0,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,83,2.53,67,2,3,1,7,3,9,0.27,8,0,0,0,1,0,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0,Matches
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0,Matches
8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0,Matches
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,1998,2.9,8,2.78,4,0,1,2,1,0,1,0.35,0,0,0,1,0,0,Matches
11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,75,2.99,48,19,2,3,3,0,3,0.12,1,2,0,0,0,0,Matches
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1,Matches
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,26,1.73,23,1,1,1,0,0,4,0.27,4,0,0,0,0,0,Matches
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,1993,3.7,11,2.98,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,Matches
16,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,2003,3.9,10,2.56,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
17,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,21,2000,14.0,49,3.51,39,1,3,4,2,0,6,0.43,5,0,0,1,0,0,Matches
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,121,4.82,81,22,6,3,5,4,18,0.72,13,3,1,0,1,0,Matches
19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,10,2.05,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,2003,7.4,23,3.10,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,32,1.78,25,3,2,0,2,0,3,0.17,2,0,1,0,0,0,Matches
22,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,35,1.69,28,1,1,4,1,0,2,0.10,2,0,0,0,0,0,Matches
24,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,39,2.84,21,0,6,4,4,4,3,0.22,1,0,0,0,0,2,Matches
25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,15,0.49,10,0,0,4,1,0,4,0.13,3,0,0,0,1,0,Matches
26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,3,1.78,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,32,1.35,25,3,1,1,2,0,4,0.17,3,1,0,0,0,0,Matches
28,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,20,1.33,16,1,0,2,0,1,2,0.13,2,0,0,0,0,0,Matches
31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,23,2.06,19,0,1,1,1,1,3,0.27,3,0,0,0,0,0,Matches
32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,16,0.55,15,0,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches
33,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,37,2.32,29,2,3,0,3,0,1,0.06,1,0,0,0,0,0,Matches
