,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
0,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,5,0,0,0,0,5.0,0.27,0.0,0.00,13,31,41.9,56,12,33.9,33.1,26,46.2,36.0,48,1,2.1,6,1.50,17.5,Matches
1,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,13,1,0,1,0,12.3,0.29,-0.7,-0.06,54,147,36.7,321,54,27.4,30.3,70,84.3,54.9,146,8,5.5,24,2.00,19.1,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,24,0,0,3,1,24.4,0.25,+1.4,+0.04,114,258,44.2,1216,211,16.5,26.3,172,33.1,33.4,340,22,6.5,89,2.47,18.7,Matches
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,1,0,0,0,0,1.2,0.39,+0.2,+0.17,9,28,32.1,26,3,69.2,46.3,14,71.4,48.5,15,1,6.7,0,0.00,5.5,Matches
4,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,2,0,0,1,0,3.2,0.25,+1.2,+0.30,8,29,27.6,117,29,19.7,26.4,21,28.6,27.6,44,2,4.5,8,2.00,18.8,Matches
5,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,9,1,0,1,0,8.9,0.28,-0.1,-0.01,15,52,28.8,170,38,21.2,28.0,56,28.6,32.2,105,3,2.9,14,2.33,16.8,Matches
6,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,48,1,1,4,1,43.1,0.32,-3.9,-0.14,203,472,43.0,786,120,41.7,36.3,212,67.9,47.6,418,22,5.3,25,0.88,13.5,Matches
7,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12.0,28,3,1,3,2,23.2,0.30,-2.8,-0.23,71,207,34.3,275,47,53.8,40.9,87,67.8,47.8,187,7,3.7,12,1.00,16.1,Matches
8,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24.0,35,7,0,5,0,37.3,0.26,+2.3,+0.10,182,408,44.6,618,106,41.9,36.1,210,71.0,49.2,399,17,4.3,41,1.71,16.2,Matches
9,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0.0,0,0,0,0,0,0.2,0.19,+0.2,+5.78,0,4,0.0,3,0,100.0,61.0,1,100.0,60.0,3,0,0.0,0,0.00,,Matches
10,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,13,2,1,0,0,13.2,0.39,+0.2,+0.04,28,75,37.3,141,40,34.0,31.6,44,61.4,46.3,82,4,4.9,11,1.94,17.1,Matches
11,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2.0,2,0,0,0,0,2.7,0.30,+0.7,+0.37,5,19,26.3,35,6,40.0,33.0,13,38.5,32.1,24,2,8.3,0,0.00,5.5,Matches
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33.0,57,2,0,9,1,51.5,0.33,-4.5,-0.14,138,393,35.1,1302,185,26.1,29.0,216,24.5,28.8,420,27,6.4,65,1.97,16.7,Matches
13,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3.0,8,1,0,3,1,4.2,0.18,-2.8,-0.94,20,62,32.3,54,5,74.1,48.9,31,71.0,51.3,50,3,6.0,2,0.67,10.7,Matches
14,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,21.5,49,3,0,4,2,40.8,0.28,-6.2,-0.29,147,339,43.4,392,76,52.6,39.5,182,73.1,49.9,329,12,3.6,14,0.65,12.7,Matches
15,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37.0,35,4,1,1,0,42.6,0.27,+7.6,+0.21,145,378,38.4,774,169,30.2,30.5,260,55.4,43.0,503,31,6.2,33,0.89,13.6,Matches
16,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1.0,3,0,0,0,0,2.3,0.38,-0.7,-0.66,4,19,21.1,23,4,52.2,39.7,7,100.0,58.7,12,0,0.0,0,0.00,,Matches
17,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10.0,8,2,0,0,0,10.2,0.18,+2.2,+0.22,53,188,28.2,240,37,50.0,39.4,78,87.2,58.6,148,7,4.7,10,1.00,14.6,Matches
18,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13.0,19,3,2,6,0,15.9,0.28,-3.1,-0.24,46,111,41.4,241,86,27.0,31.8,98,46.9,39.0,192,21,10.9,14,1.08,12.5,Matches
19,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19.0,37,5,1,5,2,31.4,0.29,-3.6,-0.19,87,304,28.6,443,119,46.5,37.0,136,72.1,49.3,198,19,9.6,56,2.95,18.9,Matches
20,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,9.3,20,2,1,1,0,16.0,0.25,-4.0,-0.43,46,129,35.7,226,55,38.5,33.8,86,48.8,38.5,128,8,6.3,4,0.43,11.7,Matches
21,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38.0,57,4,0,8,2,51.0,0.28,-4.0,-0.10,290,624,46.5,877,205,43.1,37.4,328,75.0,53.1,541,16,3.0,34,0.89,14.1,Matches
22,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31.0,24,2,2,6,0,26.6,0.24,+2.6,+0.09,152,378,40.2,829,116,30.2,33.1,241,53.1,41.2,420,27,6.4,24,0.77,12.8,Matches
23,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,1983,16.2,19,1,0,1,2,18.6,0.31,+1.6,+0.10,109,272,40.1,405,53,51.9,39.9,99,62.6,47.9,251,6,2.4,9,0.56,11.0,Matches
24,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,26,1995,4.0,7,0,0,3,0,6.7,0.28,-0.3,-0.07,10,22,45.5,92,22,20.7,26.8,37,8.1,19.6,67,2,3.0,4,1.00,17.8,Matches
25,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,1989,14.0,28,3,1,4,2,23.0,0.28,-3.0,-0.22,120,326,36.8,441,49,52.2,41.1,115,83.5,55.9,224,8,3.6,24,1.71,17.2,Matches
26,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,30,1990,1.0,1,1,0,0,0,1.0,0.00,0.0,-0.01,0,7,0.0,20,3,30.0,28.1,3,33.3,34.3,5,0,0.0,5,5.00,27.3,Matches
27,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,28,1993,8.5,13,0,1,1,2,9.7,0.31,-1.3,-0.16,25,93,26.9,221,40,28.5,29.8,66,45.5,36.3,139,11,7.9,7,0.82,11.2,Matches
28,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,21,1999,1.0,1,0,0,0,0,1.7,0.35,+0.7,+0.73,1,3,33.3,17,6,11.8,19.2,7,14.3,24.9,14,1,7.1,1,1.00,22.5,Matches
29,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,39,1981,2.0,5,0,0,1,0,3.3,0.31,-1.7,-0.85,17,36,47.2,47,0,51.1,38.4,13,92.3,56.5,33,1,3.0,4,2.00,14.0,Matches
