,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
0,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,,Matches
1,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,"1,080",12.0,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,0,50.0,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,36,"3,240",36.0,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,,Matches
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
4,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,Matches
5,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,6,540,6.0,9,1.50,28,19,71.4,2,2,2,0,0.0,1,1,0,0,0.0,Matches
6,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,29,29,"2,560",28.4,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0,50.0,Matches
7,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,12,"1,080",12.0,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0,Matches
8,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,24,"2,160",24.0,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5,Matches
9,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,1,0,3,0.0,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
10,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,7,4,510,5.7,13,2.29,29,16,62.1,0,1,3,0,0.0,2,2,0,0,0.0,Matches
11,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,2,177,2.0,2,1.02,9,7,77.8,1,1,0,0,0.0,0,0,0,0,,Matches
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,33,"2,970",33.0,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3,Matches
13,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3,3,270,3.0,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0.0,Matches
14,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,23,21,"1,938",21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0,Matches
15,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37,37,"3,330",37.0,35,0.95,141,105,78.0,20,7,10,14,37.8,5,4,1,0,20.0,Matches
16,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Matches
17,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10,10,900,10.0,8,0.80,41,32,85.4,3,4,3,4,40.0,3,2,1,0,33.3,Matches
18,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13,13,"1,170",13.0,19,1.46,46,27,65.2,4,5,4,4,30.8,3,3,0,0,0.0,Matches
19,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19,19,"1,710",19.0,37,1.95,93,58,65.6,5,5,9,3,15.8,5,5,0,0,0.0,Matches
20,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,23,1998,11,9,833,9.3,20,2.16,57,37,68.4,2,3,4,2,22.2,2,2,0,0,0.0,Matches
21,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38,38,"3,420",38.0,57,1.50,170,115,68.8,13,9,16,7,18.4,4,4,0,0,0.0,Matches
22,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31,31,"2,790",31.0,24,0.77,100,75,78.0,14,13,4,13,41.9,4,2,1,1,33.3,Matches
23,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,1983,17,17,"1,456",16.2,19,1.17,56,39,67.9,8,4,5,5,29.4,1,1,0,0,0.0,Matches
24,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,26,1995,4,4,360,4.0,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,,Matches
25,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,1989,14,14,"1,260",14.0,28,2.00,72,46,65.3,2,4,8,3,21.4,3,3,0,0,0.0,Matches
26,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,30,1990,1,1,90,1.0,1,1.00,1,0,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
27,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,28,1993,9,8,765,8.5,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,100.0,Matches
28,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,21,1999,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches
29,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,39,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,Matches
30,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,1994,19,17,"1,542",17.1,30,1.75,87,57,67.8,4,5,8,5,29.4,2,2,0,0,0.0,Matches
31,Cárdenas,es ESP,GK,Levante,es La Liga,24,1997,24,24,"2,160",24.0,46,1.92,120,74,65.0,6,6,12,5,20.8,4,4,0,0,0.0,Matches
32,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14,14,"1,260",14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,,Matches
33,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28,28,"2,520",28.0,40,1.43,118,76,68.6,11,6,11,10,35.7,6,3,2,1,40.0,Matches
34,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,17,17,"1,457",16.2,29,1.79,77,49,68.8,4,8,5,3,17.6,6,5,1,0,16.7,Matches
35,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
36,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,37,37,"3,322",36.9,63,1.71,171,108,67.8,13,11,13,3,8.1,9,8,1,0,11.1,Matches
37,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25,25,"2,250",25.0,62,2.48,133,72,57.1,3,8,14,0,0.0,5,5,0,0,0.0,Matches
38,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36,36,"3,240",36.0,29,0.81,120,91,77.5,26,7,3,16,44.4,3,2,1,0,33.3,Matches
39,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35,35,"3,150",35.0,63,1.80,168,104,66.1,6,10,19,2,5.7,8,6,2,0,25.0,Matches
40,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2,2,180,2.0,3,1.50,5,2,60.0,1,1,0,0,0.0,1,1,0,0,0.0,Matches
41,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8,8,720,8.0,15,1.87,37,23,64.9,0,5,3,0,0.0,2,2,0,0,0.0,Matches
42,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,15,15,"1,304",14.5,33,2.28,66,34,54.5,3,5,7,3,20.0,3,3,0,0,0.0,Matches
43,Javier Díaz,es ESP,GK,Sevilla,es La Liga,24,1997,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
44,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,31,30,"2,772",30.8,37,1.20,126,88,76.2,11,8,11,9,30.0,9,7,2,0,22.2,Matches
45,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,38,"3,420",38.0,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0,Matches
46,Ouparine Djoco,gw GNB,GK,Clermont Foot,fr Ligue 1,23,1998,24,23,"2,116",23.5,36,1.53,99,65,65.7,6,4,13,5,21.7,2,2,0,0,0.0,Matches
47,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6,6,540,6.0,5,0.83,19,14,73.7,4,2,0,4,66.7,0,0,0,0,,Matches
48,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,4,3,343,3.8,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,,Matches
49,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,17,"1,530",17.0,17,1.00,61,45,73.8,13,2,2,5,29.4,1,1,0,0,0.0,Matches
50,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,7,7,556,6.2,8,1.29,26,17,73.1,3,0,4,2,28.6,2,1,1,0,50.0,Matches
51,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,16,"1,440",16.0,25,1.56,57,32,57.9,5,4,7,7,43.8,1,1,0,0,0.0,Matches
52,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,26,"2,340",26.0,35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,0.0,Matches
53,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37,37,"3,330",37.0,26,0.70,83,57,69.9,28,6,3,20,54.1,1,1,0,0,0.0,Matches
54,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,4,3,284,3.2,6,1.90,16,10,75.0,0,2,1,1,33.3,2,2,0,0,0.0,Matches
55,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3,3,270,3.0,7,2.33,21,14,76.2,2,0,1,0,0.0,2,2,0,0,0.0,Matches
56,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,37,"3,330",37.0,50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,1,60.0,Matches
