,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40,Matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,1660,1617,35,25,7,21,37,8,2,0,1,0,1342,8,49,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,137,129,6,0,2,0,3,0,0,0,0,0,84,2,6,Matches
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20,Matches
8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,226,216,9,5,0,0,0,2,0,0,0,0,191,1,4,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6,Matches
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,1998,2.9,64,61,2,0,0,1,6,2,0,0,0,0,37,1,4,Matches
11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1963,1624,333,63,3,30,178,230,40,0,31,0,1543,6,30,Matches
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,472,468,2,0,4,5,8,1,0,0,0,0,304,2,22,Matches
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,918,882,32,16,1,0,2,14,0,0,0,0,794,4,15,Matches
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,1993,3.7,101,95,5,0,0,0,5,5,0,0,0,0,73,1,3,Matches
16,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,2003,3.9,147,138,8,4,0,0,11,0,4,0,4,0,107,1,12,Matches
17,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,2000,14.0,516,494,17,1,6,0,21,11,1,0,0,0,376,5,27,Matches
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25,Matches
