,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
0,0,0,Alisson,br BRA,GK,Liverpool,eng Premier League,31-159,1992,21,21,1890,21.0,19,0.9,73,55,75.3,13,6,2,7,33.3,1,1,0,0,0.0,0,2,1,18.9,0.25,0.9,0.04,54,159,34.0,791,100,15.3,25.2,103,36.9,34.6,234,12,5.1,26,1.24,17.1,38,121,765.0,897.0,85.3,16907.0,10411.0,184.0,185.0,99.5,457.0,466.0,98.1,122.0,239.0,51.0,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,11.0,0.52,0.0,585.0,897.0,41.0,937.0,659.0,596.0,27.86,42.71,1.95,44.62,31.38,28.38
1,1,1,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-011,1993,24,24,2114,23.5,38,1.62,140,101,75.7,10,6,8,4,16.7,6,4,2,0,33.3,0,2,1,41.0,0.26,4.0,0.17,127,344,36.9,495,113,45.3,37.0,184,65.2,46.1,377,20,5.3,5,0.21,9.3,119,224,440.0,683.0,64.4,13881.0,10091.0,55.0,56.0,98.2,198.0,199.0,99.5,185.0,422.0,43.8,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,651.0,758.0,6.0,764.0,383.0,269.0,27.7,32.26,0.26,32.51,16.3,11.45
2,2,2,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,29-158,1994,12,12,1080,12.0,9,0.75,34,26,73.5,9,2,1,6,50.0,0,0,0,0,0.0,0,0,1,9.3,0.29,1.3,0.1,24,72,33.3,342,54,17.0,26.5,59,23.7,28.9,138,4,2.9,10,0.83,15.5,13,58,343.0,401.0,85.5,7789.0,5097.0,82.0,83.0,98.8,201.0,202.0,99.5,60.0,116.0,51.7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,413.0,3.0,416.0,281.0,268.0,30.0,34.42,0.25,34.67,23.42,22.33
3,3,3,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21-289,2002,24,24,2160,24.0,44,1.83,109,66,62.4,8,6,10,7,29.2,3,3,0,0,0.0,0,4,1,37.5,0.33,-5.5,-0.23,132,401,32.9,827,114,34.2,33.5,167,70.7,53.5,308,15,4.9,24,1.0,14.7,118,282,705.0,996.0,70.8,20132.0,14871.0,124.0,126.0,98.4,342.0,346.0,98.8,239.0,522.0,45.8,0,0.0,0.1,0.0,0.0,22.0,1.0,0.0,1.0,0.0,2.0,0.08,0.0,777.0,1023.0,16.0,1039.0,612.0,537.0,32.38,42.62,0.67,43.29,25.5,22.38
8,8,8,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33-281,1990,24,24,2160,24.0,44,1.83,141,95,70.2,9,6,9,1,4.2,5,2,3,0,60.0,2,5,1,47.8,0.31,4.8,0.2,140,361,38.8,796,121,32.3,32.3,184,56.5,45.2,386,23,6.0,51,2.13,16.9,103,257,741.0,984.0,75.3,20347.0,15204.0,152.0,153.0,99.3,353.0,357.0,98.9,229.0,463.0,49.5,1,0.2,0.1,0.8,2.0,19.0,2.0,0.0,1.0,1.0,3.0,0.12,0.04,848.0,1036.0,24.0,1059.0,557.0,500.0,35.33,43.17,1.0,44.12,23.21,20.83
11,11,11,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34-365,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4,45,139,339.0,494.0,68.6,8491.0,5766.0,73.0,73.0,100.0,184.0,188.0,97.9,81.0,228.0,35.5,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.14,0.0,456.0,530.0,2.0,532.0,314.0,245.0,32.57,37.86,0.14,38.0,22.43,17.5
12,12,12,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32-365,1991,22,22,1976,22.0,18,0.82,86,67,80.2,11,7,4,10,45.5,2,1,1,0,50.0,0,2,0,23.4,0.26,5.4,0.25,166,355,46.8,632,86,41.1,35.9,133,71.4,49.2,256,15,5.9,31,1.41,16.2,94,259,565.0,768.0,73.6,17833.0,13382.0,58.0,58.0,100.0,277.0,277.0,100.0,229.0,429.0,53.4,0,0.1,0.0,-0.1,2.0,11.0,0.0,0.0,1.0,0.0,3.0,0.14,0.0,686.0,819.0,5.0,824.0,590.0,444.0,31.18,37.23,0.23,37.45,26.82,20.18
14,14,14,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32-312,1991,20,20,1800,20.0,28,1.4,70,42,64.3,10,3,7,5,25.0,3,3,0,0,0.0,0,7,0,23.0,0.29,-5.0,-0.25,54,151,35.8,781,83,15.0,25.9,129,26.4,31.0,229,14,6.1,35,1.75,17.7,34,117,791.0,911.0,86.8,18182.0,9710.0,171.0,175.0,97.7,464.0,468.0,99.1,155.0,265.0,58.5,0,0.1,0.1,-0.1,1.0,10.0,0.0,0.0,3.0,0.0,3.0,0.15,0.0,569.0,872.0,74.0,944.0,614.0,583.0,28.45,43.6,3.7,47.2,30.7,29.15
19,19,19,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24-157,1999,25,25,2250,25.0,19,0.76,71,50,77.5,11,7,7,14,56.0,6,3,3,0,50.0,0,0,1,22.4,0.24,4.4,0.18,51,118,43.2,783,118,12.4,22.9,102,20.6,24.8,261,18,6.9,12,0.48,11.5,21,97,789.0,886.0,89.1,16151.0,9838.0,262.0,265.0,98.9,378.0,386.0,97.9,133.0,217.0,61.3,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,0.0,778.0,922.0,4.0,928.0,762.0,585.0,31.12,36.88,0.16,37.12,30.48,23.4
20,20,20,Elia Caprile,it ITA,GK,Empoli,it Serie A,22-197,2001,12,12,1080,12.0,14,1.17,52,37,76.9,3,4,5,3,25.0,3,2,1,0,33.3,0,3,0,14.6,0.23,0.6,0.05,58,160,36.3,338,60,37.0,35.0,78,44.9,41.0,205,10,4.9,15,1.25,16.3,35,125,302.0,417.0,72.4,8559.0,6508.0,43.0,44.0,97.7,153.0,155.0,98.7,106.0,217.0,48.8,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.33,0.0,362.0,451.0,4.0,454.0,247.0,220.0,30.17,37.58,0.33,37.83,20.58,18.33
