,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
166,166.0,172.0,Frederik Rønnow,dk DEN,GK,Schalke 04,de Bundesliga,27.0,1992.0,11.0,10.0,945.0,10.5,24.0,2.29,67.0,45.0,70.1,0.0,4.0,6.0,1.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,21.6,0.27,-0.4,-0.04,44.0,117.0,37.6,280.0,67.0,26.1,29.9,95.0,46.3,38.7,132.0,8.0,6.1,13.0,1.24,14.2,43.0,73.0,287.0,380.0,75.5,7393.0,4984.0,64.0,64.0,100.0,145.0,147.0,98.6,75.0,161.0,46.6,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,24.0,0.8,0.07,382.0,424.0,1.0,425.0,208.0,172.0,36.38,40.38,0.1,40.48,19.81,16.38
167,167.0,173.0,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,36.0,1984.0,15.0,15.0,1350.0,15.0,14.0,0.93,54.0,40.0,74.1,9.0,4.0,2.0,5.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.9,0.25,-1.1,-0.08,76.0,198.0,38.4,425.0,71.0,29.2,30.6,122.0,60.7,47.9,169.0,3.0,1.8,39.0,2.6,20.8,74.0,124.0,405.0,547.0,74.0,11081.0,8528.0,69.0,69.0,100.0,210.0,212.0,99.1,124.0,264.0,47.0,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,426.0,563.0,7.0,569.0,317.0,243.0,28.4,37.53,0.47,37.93,21.13,16.2
168,168.0,174.0,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,22.0,1997.0,27.0,27.0,2430.0,27.0,27.0,1.0,91.0,65.0,72.5,7.0,10.0,10.0,10.0,37.0,3.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,23.3,0.24,-2.7,-0.1,151.0,411.0,36.7,925.0,118.0,34.7,33.6,177.0,50.8,41.1,340.0,22.0,6.5,29.0,1.07,14.5,89.0,320.0,812.0,1106.0,73.4,21987.0,13945.0,154.0,156.0,98.7,413.0,420.0,98.3,243.0,523.0,46.5,,0.0,0.0,0.0,1.0,21.0,0.0,0.0,1.0,0.0,5.0,0.31,0.0,893.0,1148.0,12.0,1162.0,711.0,680.0,33.07,42.52,0.44,43.04,26.33,25.19
169,169.0,175.0,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,33.0,1986.0,38.0,38.0,3420.0,38.0,50.0,1.32,136.0,88.0,66.2,20.0,6.0,12.0,11.0,28.9,4.0,4.0,0.0,0.0,0.0,0.0,9.0,2.0,42.2,0.29,-5.8,-0.15,159.0,425.0,37.4,1038.0,181.0,32.1,33.2,210.0,43.8,37.9,484.0,20.0,4.1,19.0,0.5,13.6,91.0,333.0,927.0,1251.0,74.1,25302.0,16109.0,139.0,141.0,98.6,468.0,477.0,98.1,318.0,628.0,50.6,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,1307.0,7.0,1314.0,684.0,627.0,29.05,34.39,0.18,34.58,18.0,16.5
170,170.0,176.0,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,28.0,1992.0,26.0,26.0,2340.0,26.0,39.0,1.5,108.0,69.0,69.4,6.0,10.0,10.0,8.0,30.8,6.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,38.9,0.31,-0.1,0.0,126.0,288.0,43.8,696.0,128.0,25.3,31.2,220.0,50.9,42.9,373.0,10.0,2.7,19.0,0.73,14.5,111.0,176.0,729.0,923.0,79.0,20632.0,13974.0,89.0,89.0,100.0,389.0,393.0,99.0,249.0,432.0,57.6,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,828.0,973.0,3.0,976.0,525.0,468.0,31.85,37.42,0.12,37.54,20.19,18.0
173,173.0,179.0,Luigi Sepe,it ITA,GK,Parma,it Serie A,29.0,1991.0,36.0,36.0,3240.0,36.0,76.0,2.11,181.0,108.0,59.1,3.0,11.0,22.0,5.0,13.9,2.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,56.8,0.31,-16.2,-0.45,298.0,554.0,53.8,1165.0,182.0,38.1,34.4,274.0,40.1,36.5,619.0,16.0,2.6,24.0,0.67,13.9,109.0,443.0,1147.0,1445.0,79.4,34233.0,26869.0,214.0,218.0,98.2,468.0,474.0,98.7,457.0,739.0,61.8,,0.0,0.1,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1291.0,1497.0,12.0,1508.0,845.0,718.0,35.86,41.58,0.33,41.89,23.47,19.94
174,174.0,180.0,Rui Silva,pt POR,GK,Granada,es La Liga,26.0,1994.0,32.0,32.0,2880.0,32.0,55.0,1.72,137.0,79.0,63.5,12.0,6.0,14.0,8.0,25.0,10.0,5.0,4.0,1.0,44.4,2.0,3.0,1.0,48.6,0.29,-5.4,-0.17,264.0,713.0,37.0,806.0,66.0,61.7,43.9,265.0,81.5,55.7,461.0,10.0,2.2,51.0,1.59,18.8,215.0,497.0,596.0,1079.0,55.2,22063.0,18534.0,78.0,79.0,98.7,201.0,206.0,97.6,313.0,781.0,40.1,,0.0,0.1,0.0,1.0,41.0,0.0,0.0,0.0,1.0,4.0,0.11,0.03,935.0,1135.0,6.0,1141.0,520.0,399.0,29.22,35.47,0.19,35.66,16.25,12.47
175,175.0,181.0,Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,29.0,1991.0,34.0,34.0,3060.0,34.0,42.0,1.24,131.0,91.0,72.5,11.0,9.0,14.0,7.0,20.6,7.0,6.0,0.0,1.0,0.0,1.0,6.0,2.0,36.6,0.24,-3.4,-0.1,191.0,679.0,28.1,694.0,77.0,63.5,43.1,266.0,89.5,58.0,444.0,9.0,2.0,20.0,0.61,12.4,238.0,440.0,440.0,963.0,45.7,16170.0,14614.0,60.0,60.0,100.0,141.0,144.0,97.9,239.0,753.0,31.7,,0.0,0.1,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,1043.0,2.0,1045.0,482.0,382.0,26.44,30.68,0.06,30.74,14.18,11.24
176,176.0,182.0,Unai Simón,es ESP,GK,Athletic Club,es La Liga,23.0,1997.0,37.0,37.0,3330.0,37.0,40.0,1.08,108.0,68.0,67.6,11.0,13.0,13.0,9.0,24.3,6.0,5.0,1.0,0.0,16.7,1.0,6.0,1.0,36.0,0.28,-3.0,-0.08,205.0,489.0,41.9,799.0,204.0,37.0,35.2,263.0,73.4,52.8,539.0,24.0,4.5,34.0,0.92,15.1,193.0,295.0,743.0,1062.0,70.0,23605.0,18692.0,114.0,115.0,99.1,326.0,333.0,97.9,303.0,614.0,49.3,,0.0,0.0,0.0,1.0,21.0,1.0,0.0,2.0,0.0,5.0,0.14,0.0,942.0,1104.0,8.0,1111.0,553.0,419.0,25.46,29.84,0.22,30.03,14.95,11.32
178,178.0,184.0,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,33.0,1987.0,32.0,32.0,2880.0,32.0,62.0,1.94,134.0,72.0,59.7,5.0,13.0,14.0,7.0,21.9,9.0,8.0,0.0,1.0,0.0,1.0,6.0,0.0,50.4,0.32,-11.6,-0.36,168.0,418.0,40.2,734.0,108.0,38.3,33.6,271.0,50.6,37.9,486.0,11.0,2.3,21.0,0.66,14.6,137.0,281.0,711.0,1006.0,70.7,19538.0,14210.0,174.0,175.0,99.4,273.0,283.0,96.5,256.0,537.0,47.7,,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,7.0,0.19,0.08,884.0,1066.0,8.0,1073.0,515.0,420.0,27.62,33.31,0.25,33.53,16.09,13.12
