,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga,Goal_Creating_Action_per90
10,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,33-326,1990.0,116.0,116.0,10369.0,115.2,107.0,0.93,375.0,266.0,71.0,67.0,25.0,24.0,42.0,36.0,16.0,10.0,6.0,0.0,38.0,2.0,16.0,4.0,106.0,0.28,3.0,0.03,444.0,959.0,46.0,2911.0,503.0,26.0,31.05,629.0,31.0,33.85,1663.0,66.0,4.0,97.0,0.84,55.3,196.0,761.0,2931.0,3266.0,83.0,78077.0,52118.0,527.0,527.0,100.0,1470.0,1488.0,99.0,929.0,1511.0,61.0,,0.1,0.1,0.9,5.0,28.0,1.0,0.0,1.0,0.0,18.0,0.16,,3131.0,3728.0,29.0,3757.0,2259.0,1971.0,27.18,32.36,0.25,32.61,19.61,17.11,4,0,0,4,0,0,0.0
11,Gianluigi Donnarumma,it ITA,GK,Paris S-G+Milan,fr Ligue 1+it Serie A,25-013,1999.0,113.0,113.0,10078.0,112.0,111.0,0.99,430.0,319.0,74.0,78.0,18.0,17.0,41.0,36.0,13.0,7.0,3.0,3.0,23.0,3.0,14.0,3.0,121.39999999999999,0.28,13.399999999999999,0.12,256.0,629.0,41.0,2660.0,517.0,18.0,24.68,615.0,24.0,25.02,1398.0,86.0,6.0,126.0,1.12,59.099999999999994,147.0,476.0,2797.0,2692.0,85.0,61163.0,40341.0,828.0,832.0,100.0,1397.0,1423.0,98.0,550.0,995.0,55.00000000000001,,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.01,,2982.0,3518.0,20.0,3535.0,2295.0,1730.0,26.62,31.41,0.18,31.56,20.49,15.45,4,0,0,1,3,0,0.0
12,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,25-046,1999.0,131.0,131.0,11765.0,130.7,181.0,1.38,579.0,400.0,69.0,36.0,39.0,56.0,29.0,22.0,33.0,28.0,4.0,1.0,12.0,3.0,20.0,6.0,182.8,0.32,7.8,0.06,670.0,2011.0,33.0,3175.0,550.0,42.0,36.93,903.0,74.0,51.62,1729.0,112.0,6.0,153.0,1.17,56.0,667.0,1340.0,2642.0,3617.0,65.0,81365.0,63667.0,404.0,408.0,99.0,1191.0,1214.0,98.0,1039.0,2445.0,42.0,,0.1,0.30000000000000004,-0.1,1.0,67.0,2.0,0.0,3.0,1.0,16.0,0.12,,3743.0,4468.0,24.0,4491.0,2589.0,1847.0,28.64,34.19,0.18,34.36,19.81,14.13,4,0,0,0,4,0,0.01
13,Mike Maignan,fr FRA,GK,Milan+Lille,it Serie A+fr Ligue 1,28-250,1995.0,116.0,116.0,10437.0,116.0,95.0,0.82,367.0,273.0,74.0,72.0,30.0,14.0,54.0,47.0,14.0,12.0,2.0,0.0,14.000000000000002,3.0,15.0,3.0,99.6,0.27,7.6,0.07,459.0,1201.0,38.0,3433.0,628.0,27.0,30.72,597.0,46.0,39.52,1336.0,97.0,7.000000000000001,153.0,1.32,67.4,274.0,924.0,3213.0,3988.0,79.0,83425.0,57321.0,656.0,659.0,100.0,1595.0,1609.0,99.0,937.0,1733.0,54.0,,0.7999999999999999,0.2,2.1999999999999997,6.0,77.0,5.0,0.0,6.0,4.0,25.0,0.22,,3278.0,4198.0,55.0,4251.0,2747.0,2259.0,28.26,36.19,0.47,36.65,23.68,19.47,4,0,0,3,1,0,0.03
14,Robert Sánchez,es ESP,GK,Chelsea+Brighton,eng Premier League,26-112,1997.0,103.0,103.0,9262.0,102.9,124.0,1.21,384.0,262.0,68.0,35.0,34.0,34.0,30.0,28.999999999999996,16.0,12.0,2.0,2.0,12.0,1.0,17.0,4.0,112.6,0.29,-7.4,-0.07,430.0,1324.0,32.0,3371.0,494.0,28.999999999999996,30.9,633.0,51.0,39.7,1288.0,118.0,9.0,105.0,1.02,55.5,324.0,994.0,2998.0,3524.0,75.0,75543.0,47458.0,692.0,696.0,99.0,1547.0,1581.0,98.0,743.0,1703.0,44.0,,0.4,0.2,-0.4,4.0,66.0,0.0,0.0,3.0,0.0,14.0,0.14,,3331.0,4205.0,42.0,4249.0,2614.0,2451.0,32.37,40.86,0.41,41.29,25.4,23.82,4,4,0,0,0,0,0.0
15,Ederson,br BRA,GK,Manchester City,eng Premier League,30-205,1993.0,134.0,134.0,11977.0,133.1,110.0,0.83,323.0,215.0,67.0,97.0,20.0,17.0,58.0,43.0,14.0,13.0,1.0,0.0,7.000000000000001,1.0,9.0,3.0,103.1,0.32,-3.9,-0.03,414.0,923.0,45.0,3969.0,585.0,19.0,27.45,536.0,33.0,34.05,1095.0,79.0,7.000000000000001,170.0,1.28,69.2,175.0,745.0,3905.0,4391.0,87.0,93451.0,61648.0,909.0,913.0,100.0,2064.0,2096.0,98.0,916.0,1472.0,62.0,,0.6000000000000001,0.5,1.4,3.0,51.0,4.0,0.0,8.0,2.0,10.0,0.08,,3665.0,4644.0,43.0,4685.0,3116.0,2897.0,27.54,34.89,0.32,35.2,23.41,21.77,4,4,0,0,0,0,0.02
16,Juan Musso,ar ARG,GK,Atalanta+Udinese,it Serie A,29-308,1994.0,102.0,102.0,9056.0,100.7,132.0,1.31,388.0,262.0,68.0,43.0,23.0,36.0,28.0,27.0,21.0,20.0,0.0,1.0,0.0,2.0,9.0,6.0,119.10000000000001,0.31,-6.9,-0.07,459.0,1114.0,41.0,2332.0,557.0,31.0,31.45,679.0,56.99999999999999,45.8,1143.0,78.0,7.000000000000001,97.0,0.96,62.2,386.0,723.0,2256.0,2349.0,75.0,62924.0,44406.0,410.0,410.0,100.0,1067.0,1084.0,98.0,758.0,1491.0,51.0,,0.1,0.0,-0.1,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.05,,2745.0,3200.0,25.0,3223.0,1861.0,1348.0,27.26,31.78,0.25,32.01,18.48,13.39,4,0,0,4,0,0,0.0
17,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,29-133,1994.0,109.0,109.0,9810.0,109.0,162.0,1.49,456.0,295.0,65.0,32.0,31.0,46.0,25.0,23.0,18.0,14.0,2.0,2.0,11.0,3.0,10.0,3.0,149.0,0.33,-10.0,-0.09,526.0,1619.0,32.0,2829.0,614.0,42.0,36.6,793.0,55.00000000000001,45.35,1464.0,130.0,9.0,187.0,1.72,66.4,439.0,1175.0,1891.0,2471.0,66.0,56563.0,42167.0,326.0,331.0,98.0,843.0,865.0,97.0,718.0,1647.0,44.0,,0.2,0.4,-0.2,3.0,53.0,1.0,0.0,7.0,2.0,18.0,0.17,,2493.0,3010.0,45.0,3065.0,1714.0,1236.0,22.87,27.61,0.41,28.12,15.72,11.34,4,0,0,0,0,4,0.02
18,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,37-042,1987.0,134.0,134.0,12052.0,133.9,223.0,1.67,594.0,374.0,63.0,46.0,34.0,54.0,20.0,15.0,24.0,20.0,3.0,1.0,12.0,1.0,23.0,6.0,186.1,0.31,-30.9,-0.23,594.0,1537.0,39.0,4202.0,644.0,30.0,31.95,947.0,30.0,30.28,1861.0,92.0,5.0,110.0,0.82,55.4,287.0,1246.0,4039.0,4708.0,78.0,103522.0,68821.0,1009.0,1016.0,99.0,1669.0,1700.0,98.0,1326.0,2398.0,55.00000000000001,,0.0,0.1,0.0,1.0,51.0,2.0,0.0,2.0,2.0,20.0,0.15,,4252.0,5440.0,54.0,5495.0,3178.0,2698.0,31.76,40.63,0.4,41.04,23.73,20.15,4,0,0,4,0,0,0.01
19,Vicente Guaita,es ESP,GK,Celta Vigo+Crystal Palace,es La Liga+eng Premier League,37-059,1987.0,112.0,111.0,10008.0,111.2,155.0,1.39,473.0,319.0,67.0,31.0,34.0,46.0,30.0,27.0,13.0,12.0,1.0,0.0,8.0,2.0,25.0,2.0,138.7,0.29,-14.3,-0.13,547.0,1521.0,36.0,2556.0,559.0,38.0,34.47,853.0,62.0,44.38,1710.0,82.0,5.0,106.0,0.95,56.2,533.0,981.0,2320.0,2855.0,68.0,64907.0,45792.0,527.0,532.0,99.0,959.0,976.0,98.0,799.0,1864.0,43.0,,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,7.0,0.06,,3168.0,3627.0,8.0,3635.0,1958.0,1463.0,28.49,32.62,0.07,32.69,17.61,13.16,4,3,1,0,0,0,0.01
20,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,33-160,1990.0,125.0,125.0,11108.0,123.4,159.0,1.29,520.0,365.0,70.0,60.0,28.0,37.0,33.0,26.0,22.0,18.0,3.0,1.0,14.000000000000002,5.0,21.0,7.0,151.6,0.29,-0.39999999999999947,-0.0,471.0,1183.0,40.0,3239.0,580.0,28.000000000000004,31.28,786.0,33.0,33.28,1556.0,65.0,4.0,133.0,1.08,60.3,259.0,923.0,3215.0,3539.0,80.0,83829.0,58503.0,596.0,599.0,99.0,1679.0,1691.0,99.0,929.0,1720.0,54.0,,0.3,0.30000000000000004,-0.3,1.0,32.0,2.0,0.0,10.0,5.0,13.0,0.11,,3574.0,4261.0,56.0,4316.0,2675.0,2040.0,28.96,34.53,0.45,34.98,21.68,16.53,4,0,0,0,4,0,0.04
21,Predrag Rajković,rs SRB,GK,Mallorca+Reims,es La Liga+fr Ligue 1,28-130,1995.0,139.0,139.0,12465.0,138.5,168.0,1.21,565.0,393.0,70.0,38.0,48.0,53.0,40.0,28.999999999999996,26.0,19.0,5.0,2.0,19.0,3.0,22.0,1.0,168.2,0.3,1.1999999999999997,0.01,929.0,2539.0,37.0,3695.0,573.0,49.0,40.6,1178.0,63.0,48.38,2244.0,109.0,5.0,131.0,0.95,54.6,738.0,1797.0,3140.0,4400.0,64.0,102572.0,77267.0,423.0,425.0,100.0,1317.0,1343.0,98.0,1378.0,3081.0,45.0,,0.6,0.6,-0.6,9.0,141.0,6.0,0.0,4.0,3.0,33.0,0.24,,4189.0,5160.0,68.0,5228.0,2784.0,2095.0,30.25,37.26,0.49,37.75,20.1,15.13,4,0,2,0,2,0,0.02
22,Alisson,br BRA,GK,Liverpool,eng Premier League,31-159,1992.0,127.0,127.0,11430.0,127.0,118.0,0.93,434.0,318.0,73.0,77.0,30.0,20.0,51.0,40.0,13.0,7.0,2.0,4.0,15.0,1.0,9.0,4.0,129.4,0.3,15.4,0.12,358.0,894.0,40.0,4243.0,686.0,16.0,26.02,641.0,30.0,32.43,1312.0,77.0,6.0,291.0,2.29,74.2,192.0,698.0,4220.0,4635.0,86.0,96989.0,61416.0,989.0,995.0,99.0,2378.0,2421.0,98.0,835.0,1447.0,57.99999999999999,,0.5,0.0,1.5,3.0,42.0,2.0,0.0,7.0,4.0,18.0,0.14,,3682.0,5071.0,113.0,5181.0,3226.0,3002.0,28.99,39.93,0.89,40.8,25.4,23.64,4,4,0,0,0,0,0.03
