,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
63,63,63,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,30-350,1993,19,19,1706,19.0,26,1.37,65,40,63.1,5,5,9,6,31.6,2,2,0,0,0.0,0,4,1,19.6,0.27,-5.4,-0.29,108,324,33.3,417,60,53.5,40.7,133,75.9,53.4,316,23,7.3,10,0.53,10.8,100,223,321.0,555.0,57.8,10870.0,8212.0,41.0,42.0,97.6,135.0,139.0,97.1,145.0,369.0,39.3,0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,2.0,0.11,0.05,501.0,593.0,3.0,596.0,322.0,262.0,26.37,31.21,0.16,31.37,16.95,13.79
64,64,64,Filip Jørgensen,dk DEN,GK,Villarreal,es La Liga,21-328,2002,26,26,2340,26.0,48,1.85,150,103,70.7,7,8,11,3,11.5,4,4,0,0,0.0,1,7,1,45.0,0.28,-2.0,-0.08,108,274,39.4,753,130,25.9,30.3,176,44.9,38.9,484,24,5.0,25,0.96,13.5,79,195,736.0,932.0,79.0,18714.0,13731.0,169.0,169.0,100.0,393.0,395.0,99.5,171.0,361.0,47.4,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,0.08,0.04,901.0,1008.0,1.0,1009.0,573.0,470.0,34.65,38.77,0.04,38.81,22.04,18.08
65,65,65,Thomas Kaminski,be BEL,GK,Luton Town,eng Premier League,31-138,1992,26,26,2340,26.0,54,2.08,154,101,66.2,5,5,16,2,7.7,2,2,0,0,0.0,0,7,1,54.7,0.36,1.7,0.06,174,551,31.6,748,106,52.4,39.8,232,68.5,48.5,394,15,3.8,50,1.92,18.6,158,391,567.0,984.0,57.6,18137.0,14690.0,103.0,104.0,99.0,222.0,233.0,95.3,238.0,639.0,37.2,0,0.0,0.1,0.0,0.0,34.0,1.0,0.0,1.0,0.0,1.0,0.04,0.0,759.0,1044.0,20.0,1063.0,537.0,439.0,29.19,40.15,0.77,40.88,20.65,16.88
69,69,69,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,25-342,1998,22,22,1980,22.0,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7,1,6,1,32.0,0.27,1.0,0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,282,22,7.8,19,0.86,11.3,75,174,479.0,667.0,71.8,13030.0,9307.0,81.0,81.0,100.0,238.0,240.0,99.2,159.0,344.0,46.2,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.14,0.0,602.0,704.0,2.0,706.0,493.0,303.0,27.36,32.0,0.09,32.09,22.41,13.77
78,78,78,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,25-027,1999,15,15,1350,15.0,9,0.6,42,33,81.0,11,4,0,7,46.7,1,1,0,0,0.0,0,0,0,14.6,0.33,5.6,0.37,19,54,35.2,374,72,11.0,24.0,78,16.7,27.2,192,21,10.9,18,1.2,13.3,13,41,403.0,453.0,89.0,8593.0,5218.0,101.0,101.0,100.0,237.0,241.0,98.3,62.0,106.0,58.5,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,483.0,2.0,485.0,275.0,262.0,28.0,32.2,0.13,32.33,18.33,17.47
87,87,87,Josep Martinez,es ESP,GK,Genoa,it Serie A,25-287,1998,26,26,2339,26.0,31,1.19,95,64,69.5,8,9,9,6,23.1,3,2,1,0,33.3,1,2,1,28.8,0.29,-1.2,-0.05,154,403,38.2,895,80,36.0,35.6,119,68.1,50.0,410,32,7.8,29,1.12,12.3,81,322,725.0,1016.0,71.4,21751.0,16046.0,96.0,98.0,98.0,360.0,370.0,97.3,267.0,540.0,49.4,0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,790.0,1060.0,11.0,1072.0,708.0,567.0,30.38,40.77,0.42,41.23,27.23,21.81
89,89,89,Luís Maximiano,pt POR,GK,Almería,es La Liga,25-064,1999,24,24,2160,24.0,46,1.92,123,76,65.9,0,9,15,4,16.7,7,4,1,2,20.0,0,6,0,45.1,0.33,-0.9,-0.04,115,408,28.2,703,112,40.0,35.9,200,63.5,47.0,411,22,5.4,27,1.13,14.2,127,281,581.0,907.0,64.1,16061.0,11981.0,99.0,99.0,100.0,297.0,306.0,97.1,185.0,498.0,37.1,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,0.04,0.04,775.0,952.0,14.0,966.0,503.0,393.0,32.29,39.67,0.58,40.25,20.96,16.38
95,95,95,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,32-360,1991,24,24,2160,24.0,42,1.75,128,88,72.7,7,7,10,5,20.8,10,7,1,2,12.5,0,5,3,38.5,0.25,-0.5,-0.02,192,452,42.5,822,104,38.3,37.0,213,64.3,47.9,366,19,5.2,15,0.63,13.6,136,314,759.0,1036.0,73.3,24788.0,17297.0,47.0,48.0,97.9,382.0,384.0,99.5,330.0,603.0,54.7,0,0.0,0.1,0.0,1.0,21.0,0.0,0.0,0.0,0.0,4.0,0.17,0.0,871.0,1100.0,8.0,1108.0,621.0,502.0,36.29,45.83,0.33,46.17,25.88,20.92
102,102,102,Moritz Nicolas,de GER,GK,M'Gladbach,de Bundesliga,26-140,1997,22,22,1980,22.0,39,1.77,130,91,73.1,6,7,9,3,13.6,4,4,0,0,0.0,0,5,0,38.8,0.27,-0.2,-0.01,90,249,36.1,718,108,26.5,29.9,121,48.8,41.7,368,19,5.2,15,0.68,12.5,59,190,659.0,845.0,78.0,16757.0,10624.0,118.0,118.0,100.0,367.0,375.0,97.9,172.0,344.0,50.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.41,0.0,751.0,895.0,4.0,899.0,586.0,469.0,34.14,40.68,0.18,40.86,26.64,21.32
104,104,104,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,33-181,1990,13,13,1170,13.0,13,1.0,50,38,78.0,4,7,2,3,23.1,2,2,0,0,0.0,1,1,1,13.1,0.22,1.1,0.08,84,246,34.1,305,62,52.8,40.8,104,81.7,58.7,193,11,5.7,11,0.85,13.8,84,161,243.0,412.0,59.0,8180.0,6893.0,42.0,42.0,100.0,90.0,91.0,98.9,108.0,273.0,39.6,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.23,0.0,354.0,436.0,1.0,437.0,236.0,153.0,27.23,33.54,0.08,33.62,18.15,11.77
