,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
1,1,1,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,1080,12.0,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,0,50.0,0,1,0,12.3,0.29,-0.7,-0.06,54,147,36.7,321,54,27.4,30.3,70,84.3,54.9,146,8,5.5,24,2.0,19.1,59,87,287.0,391.0,73.4,7942.0,5718.0,48.0,48.0,100.0,149.0,151.0,98.7,89.0,191.0,46.6,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.08,0.08,334.0,415.0,4.0,419.0,272.0,209.0,27.83,34.58,0.33,34.92,22.67,17.42
2,2,2,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,36,3240,36.0,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,0.0,0,3,1,24.4,0.25,1.4,0.04,114,258,44.2,1216,211,16.5,26.3,172,33.1,33.4,340,22,6.5,89,2.47,18.7,56,200,1214.0,1388.0,87.5,28439.0,18286.0,275.0,276.0,99.6,686.0,699.0,98.1,249.0,409.0,60.9,,0.2,0.0,0.8,1.0,16.0,1.0,0.0,1.0,1.0,2.0,0.06,0.03,1042.0,1452.0,17.0,1469.0,873.0,836.0,28.94,40.33,0.47,40.81,24.25,23.22
6,6,6,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,29,29,2560,28.4,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0,50.0,1,4,1,43.1,0.32,-3.9,-0.14,203,472,43.0,786,120,41.7,36.3,212,67.9,47.6,418,22,5.3,25,0.88,13.5,143,327,706.0,1005.0,70.2,22466.0,16952.0,105.0,105.0,100.0,288.0,297.0,97.0,311.0,593.0,52.4,,0.5,0.1,-0.5,2.0,20.0,1.0,0.0,0.0,0.0,5.0,0.18,0.0,953.0,1074.0,2.0,1076.0,593.0,501.0,33.56,37.82,0.07,37.89,20.88,17.64
7,7,7,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,12,1080,12.0,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0,1,3,2,23.2,0.3,-2.8,-0.23,71,207,34.3,275,47,53.8,40.9,87,67.8,47.8,187,7,3.7,12,1.0,16.1,58,147,216.0,364.0,59.3,7080.0,5483.0,19.0,19.0,100.0,104.0,109.0,95.4,93.0,234.0,39.7,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,399.0,2.0,401.0,214.0,148.0,27.08,33.25,0.17,33.42,17.83,12.33
8,8,8,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,24,2160,24.0,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5,0,5,0,37.3,0.26,2.3,0.1,182,408,44.6,618,106,41.9,36.1,210,71.0,49.2,399,17,4.3,41,1.71,16.2,149,258,565.0,830.0,68.1,18595.0,14474.0,77.0,78.0,98.7,229.0,233.0,98.3,257.0,514.0,50.0,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,900.0,4.0,904.0,425.0,310.0,33.29,37.5,0.17,37.67,17.71,12.92
12,12,12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,33,2970,33.0,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3,0,9,1,51.5,0.33,-4.5,-0.14,138,393,35.1,1302,185,26.1,29.0,216,24.5,28.8,420,27,6.4,65,1.97,16.7,52,339,1225.0,1523.0,80.4,28367.0,18814.0,366.0,367.0,99.7,589.0,595.0,99.0,258.0,541.0,47.7,,0.0,0.1,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.06,0.0,1277.0,1592.0,23.0,1609.0,1005.0,895.0,38.7,48.24,0.7,48.76,30.45,27.12
14,14,14,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0,0,4,2,40.8,0.28,-6.2,-0.29,147,339,43.4,392,76,52.6,39.5,182,73.1,49.9,329,12,3.6,14,0.65,12.7,133,206,367.0,575.0,63.8,13133.0,11059.0,48.0,48.0,100.0,130.0,134.0,97.0,187.0,389.0,48.1,,0.0,0.1,0.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,0.05,0.0,562.0,628.0,1.0,629.0,308.0,180.0,26.14,29.21,0.05,29.26,14.33,8.37
15,15,15,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37,37,3330,37.0,35,0.95,141,105,78.0,20,7,10,14,37.8,5,4,1,0,20.0,1,1,0,42.6,0.27,7.6,0.21,145,378,38.4,774,169,30.2,30.5,260,55.4,43.0,503,31,6.2,33,0.89,13.6,144,233,777.0,1036.0,75.0,20536.0,15856.0,213.0,213.0,100.0,330.0,337.0,97.9,232.0,481.0,48.2,,0.0,0.1,0.0,0.0,6.0,1.0,0.0,0.0,1.0,3.0,0.08,0.03,920.0,1100.0,3.0,1103.0,651.0,427.0,24.86,29.73,0.08,29.81,17.59,11.54
17,17,17,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10,10,900,10.0,8,0.8,41,32,85.4,3,4,3,4,40.0,3,2,1,0,33.3,0,0,0,10.2,0.18,2.2,0.22,53,188,28.2,240,37,50.0,39.4,78,87.2,58.6,148,7,4.7,10,1.0,14.6,68,120,176.0,319.0,55.2,5860.0,4579.0,23.0,24.0,95.8,79.0,79.0,100.0,74.0,215.0,34.4,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,344.0,1.0,345.0,183.0,118.0,28.9,34.4,0.1,34.5,18.3,11.8
19,19,21,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38,38,3420,38.0,57,1.5,170,115,68.8,13,9,16,7,18.4,4,4,0,0,0.0,0,8,2,51.0,0.28,-4.0,-0.1,290,624,46.5,877,205,43.1,37.4,328,75.0,53.1,541,16,3.0,34,0.89,14.1,246,377,851.0,1207.0,70.5,29158.0,23011.0,86.0,86.0,100.0,371.0,376.0,98.7,393.0,742.0,53.0,,0.1,0.1,0.9,2.0,22.0,0.0,0.0,0.0,2.0,6.0,0.16,0.05,1161.0,1312.0,4.0,1317.0,698.0,450.0,30.55,34.53,0.11,34.66,18.37,11.84
20,20,22,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31,31,2790,31.0,24,0.77,100,75,78.0,14,13,4,13,41.9,4,2,1,1,33.3,2,6,0,26.6,0.24,2.6,0.09,152,378,40.2,829,116,30.2,33.1,241,53.1,41.2,420,27,6.4,24,0.77,12.8,127,250,819.0,1072.0,76.4,23163.0,13690.0,114.0,114.0,100.0,437.0,444.0,98.4,267.0,510.0,52.4,,0.6,0.0,1.4,2.0,10.0,0.0,0.0,0.0,2.0,4.0,0.13,0.06,1037.0,1125.0,2.0,1127.0,603.0,571.0,33.45,36.29,0.06,36.35,19.45,18.42
21,21,23,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,1983,17,17,1456,16.2,19,1.17,56,39,67.9,8,4,5,5,29.4,1,1,0,0,0.0,0,1,2,18.6,0.31,1.6,0.1,109,272,40.1,405,53,51.9,39.9,99,62.6,47.9,251,6,2.4,9,0.56,11.0,61,210,332.0,507.0,65.5,10758.0,8164.0,55.0,55.0,100.0,128.0,132.0,97.0,147.0,315.0,46.7,,0.1,0.0,-0.1,1.0,9.0,1.0,0.0,0.0,0.0,4.0,0.25,0.0,435.0,531.0,3.0,534.0,285.0,224.0,26.85,32.78,0.19,32.96,17.59,13.83
23,23,25,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,1989,14,14,1260,14.0,28,2.0,72,46,65.3,2,4,8,3,21.4,3,3,0,0,0.0,1,4,2,23.0,0.28,-3.0,-0.22,120,326,36.8,441,49,52.2,41.1,115,83.5,55.9,224,8,3.6,24,1.71,17.2,96,230,334.0,560.0,59.6,11556.0,9168.0,31.0,31.0,100.0,129.0,133.0,97.0,174.0,392.0,44.4,,0.0,0.0,0.0,1.0,13.0,0.0,0.0,2.0,0.0,2.0,0.14,0.0,501.0,590.0,8.0,598.0,326.0,259.0,35.79,42.14,0.57,42.71,23.29,18.5
28,28,30,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,1994,19,17,1542,17.1,30,1.75,87,57,67.8,4,5,8,5,29.4,2,2,0,0,0.0,0,7,0,27.5,0.3,-2.5,-0.15,103,276,37.3,286,87,44.8,38.9,168,88.1,58.5,263,10,3.8,13,0.76,12.8,148,128,269.0,455.0,59.1,9691.0,8167.0,28.0,28.0,100.0,113.0,117.0,96.6,127.0,308.0,41.2,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,506.0,2.0,508.0,232.0,110.0,27.08,29.59,0.12,29.71,13.57,6.43
29,29,31,Cárdenas,es ESP,GK,Levante,es La Liga,24,1997,24,24,2160,24.0,46,1.92,120,74,65.0,6,6,12,5,20.8,4,4,0,0,0.0,1,5,0,41.5,0.31,-4.5,-0.19,92,296,31.1,525,85,41.9,36.6,198,38.4,35.7,332,10,3.0,26,1.08,15.6,76,219,496.0,725.0,68.4,13104.0,9639.0,124.0,125.0,99.2,201.0,204.0,98.5,160.0,382.0,41.9,,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,6.0,0.25,0.0,706.0,793.0,8.0,800.0,380.0,301.0,29.42,33.04,0.33,33.33,15.83,12.54
30,30,32,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14,14,1260,14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,0.0,0,1,0,17.2,0.29,0.2,0.01,75,218,34.4,348,77,42.5,36.4,136,51.5,40.8,217,8,3.7,15,1.07,15.2,70,147,324.0,486.0,66.7,9565.0,7217.0,58.0,58.0,100.0,134.0,139.0,96.4,128.0,283.0,45.2,,0.1,0.0,-0.1,1.0,4.0,0.0,0.0,0.0,0.0,6.0,0.43,0.0,431.0,512.0,2.0,514.0,249.0,181.0,30.79,36.57,0.14,36.71,17.79,12.93
31,31,33,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28,28,2520,28.0,40,1.43,118,76,68.6,11,6,11,10,35.7,6,3,2,1,40.0,0,4,0,42.0,0.32,2.0,0.07,165,370,44.6,873,135,30.6,32.3,204,50.5,42.1,413,31,7.5,30,1.07,14.8,103,267,843.0,1079.0,78.1,24035.0,16216.0,144.0,145.0,99.3,389.0,395.0,98.5,307.0,532.0,57.7,,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,916.0,1136.0,11.0,1143.0,681.0,605.0,32.71,40.57,0.39,40.82,24.32,21.61
32,32,34,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,17,17,1457,16.2,29,1.79,77,49,68.8,4,8,5,3,17.6,6,5,1,0,16.7,0,4,2,28.6,0.31,1.6,0.1,104,242,43.0,351,69,49.0,39.8,94,74.5,54.6,195,6,3.1,14,0.86,16.0,70,171,299.0,447.0,66.9,10204.0,8337.0,41.0,42.0,97.6,108.0,110.0,98.2,148.0,291.0,50.9,,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,2.0,5.0,0.31,0.12,403.0,482.0,2.0,484.0,253.0,178.0,24.88,29.75,0.12,29.88,15.62,10.99
34,34,36,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,37,37,3322,36.9,63,1.71,171,108,67.8,13,11,13,3,8.1,9,8,1,0,11.1,0,10,1,56.0,0.28,-6.0,-0.16,186,431,43.2,1219,174,29.0,30.9,246,31.7,28.8,491,21,4.3,30,0.81,13.4,77,353,1161.0,1469.0,79.0,29559.0,19668.0,291.0,294.0,99.0,475.0,484.0,98.1,381.0,673.0,56.6,,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,8.0,0.22,0.03,1199.0,1557.0,15.0,1572.0,915.0,783.0,32.49,42.2,0.41,42.6,24.8,21.22
35,35,37,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25,25,2250,25.0,62,2.48,133,72,57.1,3,8,14,0,0.0,5,5,0,0,0.0,1,5,1,44.1,0.29,-16.9,-0.68,181,424,42.7,686,78,40.2,35.3,218,67.9,47.9,355,9,2.5,39,1.56,16.9,148,275,632.0,905.0,69.8,19839.0,14847.0,79.0,79.0,100.0,259.0,264.0,98.1,290.0,556.0,52.2,,0.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,6.0,0.24,0.0,773.0,947.0,15.0,962.0,493.0,396.0,30.92,37.88,0.6,38.48,19.72,15.84
36,36,38,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36,36,3240,36.0,29,0.81,120,91,77.5,26,7,3,16,44.4,3,2,1,0,33.3,1,2,0,33.3,0.25,4.3,0.12,74,251,29.5,936,188,20.3,28.8,199,30.7,34.3,467,21,4.5,31,0.86,15.5,61,190,936.0,1137.0,82.3,21923.0,14425.0,208.0,210.0,99.0,531.0,537.0,98.9,192.0,383.0,50.1,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.08,0.0,1033.0,1194.0,6.0,1200.0,748.0,661.0,28.69,33.17,0.17,33.33,20.78,18.36
37,37,39,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35,35,3150,35.0,63,1.8,168,104,66.1,6,10,19,2,5.7,8,6,2,0,25.0,4,10,1,52.4,0.28,-9.6,-0.27,321,703,45.7,890,112,52.9,39.4,316,73.4,48.2,484,22,4.5,33,0.94,15.0,231,470,775.0,1216.0,63.7,27429.0,23118.0,97.0,100.0,97.0,256.0,264.0,97.0,410.0,830.0,49.4,,0.0,0.1,0.0,0.0,27.0,0.0,0.0,0.0,1.0,4.0,0.11,0.03,1064.0,1295.0,11.0,1305.0,638.0,487.0,30.4,37.0,0.31,37.29,18.23,13.91
40,40,42,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,15,15,1304,14.5,33,2.28,66,34,54.5,3,5,7,3,20.0,3,3,0,0,0.0,0,3,1,22.3,0.3,-9.7,-0.67,32,133,24.1,302,53,28.8,30.2,112,41.1,33.8,159,5,3.1,4,0.28,10.6,46,86,299.0,414.0,72.2,6524.0,4557.0,109.0,109.0,100.0,122.0,128.0,95.3,63.0,172.0,36.6,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,382.0,439.0,1.0,440.0,229.0,181.0,26.34,30.28,0.07,30.34,15.79,12.48
42,42,44,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,31,30,2772,30.8,37,1.2,126,88,76.2,11,8,11,9,30.0,9,7,2,0,22.2,0,3,1,37.7,0.23,1.7,0.05,182,554,32.9,711,151,54.3,42.1,230,73.0,53.5,405,35,8.6,35,1.14,13.9,167,386,545.0,947.0,57.6,18378.0,15120.0,70.0,71.0,98.6,222.0,227.0,97.8,249.0,639.0,39.0,,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,7.0,0.23,0.0,869.0,1008.0,7.0,1015.0,489.0,367.0,28.21,32.73,0.23,32.95,15.88,11.92
43,43,45,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,38,3420,38.0,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0,0,1,2,43.3,0.27,2.3,0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3,200,603,926.0,1465.0,63.2,31107.0,24452.0,93.0,95.0,97.9,396.0,408.0,97.1,436.0,952.0,45.8,,0.1,0.1,-0.1,1.0,23.0,1.0,0.0,2.0,0.0,3.0,0.08,0.0,1306.0,1516.0,11.0,1529.0,814.0,719.0,34.37,39.89,0.29,40.24,21.42,18.92
44,44,46,Ouparine Djoco,gw GNB,GK,Clermont Foot,fr Ligue 1,23,1998,24,23,2116,23.5,36,1.53,99,65,65.7,6,4,13,5,21.7,2,2,0,0,0.0,0,7,2,28.2,0.27,-5.8,-0.24,92,302,30.5,584,107,36.6,33.7,154,57.1,40.5,304,23,7.6,28,1.19,14.2,87,213,498.0,738.0,67.5,13010.0,9504.0,113.0,113.0,100.0,216.0,225.0,96.0,148.0,378.0,39.2,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.09,0.0,650.0,785.0,3.0,788.0,476.0,310.0,27.66,33.4,0.13,33.53,20.26,13.19
47,47,49,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,17,1530,17.0,17,1.0,61,45,73.8,13,2,2,5,29.4,1,1,0,0,0.0,0,3,1,17.5,0.27,1.5,0.09,20,47,42.6,374,108,8.8,22.0,95,14.7,21.7,176,11,6.3,34,2.0,18.4,13,32,424.0,469.0,90.4,8442.0,5460.0,152.0,154.0,98.7,200.0,206.0,97.1,70.0,106.0,66.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,497.0,1.0,498.0,319.0,224.0,25.12,29.24,0.06,29.29,18.76,13.18
49,49,51,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,16,1440,16.0,25,1.56,57,32,57.9,5,4,7,7,43.8,1,1,0,0,0.0,0,1,0,19.3,0.32,-5.7,-0.36,67,203,33.0,282,46,38.3,36.3,133,71.4,48.9,223,5,2.2,10,0.63,15.4,94,108,267.0,416.0,64.2,8418.0,6209.0,25.0,26.0,96.2,130.0,131.0,99.2,112.0,257.0,43.6,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,449.0,3.0,452.0,224.0,156.0,24.44,28.06,0.19,28.25,14.0,9.75
50,50,52,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,26,2340,26.0,35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,0.0,0,7,1,34.0,0.32,0.0,0.0,207,497,41.6,605,88,46.3,37.0,236,91.9,60.5,360,22,6.1,14,0.54,11.9,216,280,534.0,846.0,63.1,18819.0,14800.0,62.0,62.0,100.0,228.0,233.0,97.9,242.0,544.0,44.5,,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,3.0,0.12,0.0,688.0,887.0,9.0,895.0,462.0,324.0,26.46,34.12,0.35,34.42,17.77,12.46
51,51,53,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37,37,3330,37.0,26,0.7,83,57,69.9,28,6,3,20,54.1,1,1,0,0,0.0,0,1,0,25.7,0.3,-0.3,-0.01,87,182,47.8,988,165,15.7,25.7,138,19.6,26.8,300,21,7.0,55,1.49,19.0,27,155,1016.0,1128.0,90.1,22789.0,14725.0,280.0,280.0,100.0,519.0,523.0,99.2,212.0,316.0,67.1,,0.0,0.1,0.0,0.0,7.0,1.0,0.0,3.0,1.0,2.0,0.05,0.03,906.0,1159.0,10.0,1169.0,795.0,714.0,24.49,31.32,0.27,31.59,21.49,19.3
54,54,56,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,37,3330,37.0,50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,1,60.0,2,8,2,46.8,0.26,-1.2,-0.03,193,525,36.8,736,164,48.9,38.2,277,59.6,44.4,595,28,4.7,12,0.32,10.4,165,359,666.0,1013.0,65.7,20643.0,15735.0,110.0,111.0,99.1,270.0,274.0,98.5,281.0,622.0,45.2,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.08,0.0,978.0,1081.0,3.0,1084.0,593.0,414.0,26.43,29.22,0.08,29.3,16.03,11.19
56,56,58,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,13,11,1105,12.3,15,1.22,45,30,68.9,7,3,1,3,27.3,1,1,0,0,0.0,0,1,0,13.1,0.28,-1.9,-0.15,25,82,30.5,221,61,30.3,30.6,82,18.3,24.4,159,15,9.4,21,1.71,16.6,15,66,236.0,304.0,77.6,5282.0,3844.0,76.0,77.0,98.7,110.0,114.0,96.5,45.0,107.0,42.1,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,283.0,322.0,3.0,325.0,197.0,115.0,23.01,26.18,0.24,26.42,16.02,9.35
57,57,59,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13,13,1166,13.0,29,2.24,81,51,65.4,1,5,7,2,15.4,2,1,1,0,50.0,0,8,0,23.5,0.27,-5.5,-0.42,59,154,38.3,286,66,41.6,36.2,92,38.0,34.9,177,9,5.1,21,1.62,18.1,34,118,267.0,381.0,70.1,7544.0,5808.0,44.0,44.0,100.0,122.0,125.0,97.6,94.0,201.0,46.8,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.23,0.0,356.0,411.0,4.0,415.0,207.0,155.0,27.38,31.62,0.31,31.92,15.92,11.92
58,58,60,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12,12,1080,12.0,24,2.0,69,47,66.7,3,2,7,1,8.3,1,1,0,0,0.0,0,5,2,19.9,0.28,-2.1,-0.17,64,216,29.6,433,60,40.4,33.9,83,49.4,36.9,194,9,4.6,18,1.5,16.8,41,174,336.0,517.0,65.0,8817.0,5774.0,77.0,79.0,97.5,149.0,154.0,96.8,109.0,282.0,38.7,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,422.0,540.0,6.0,546.0,340.0,280.0,35.17,45.0,0.5,45.5,28.33,23.33
60,60,62,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,32,2880,32.0,39,1.22,141,103,73.8,15,9,8,10,31.3,2,2,0,0,0.0,1,3,1,39.7,0.27,1.7,0.05,245,633,38.7,1084,112,41.5,37.8,244,75.0,59.1,462,14,3.0,35,1.09,15.8,183,449,915.0,1333.0,68.6,29868.0,22866.0,127.0,129.0,98.4,404.0,412.0,98.1,383.0,786.0,48.7,,0.0,0.4,0.0,1.0,45.0,3.0,0.0,2.0,1.0,10.0,0.31,0.03,1088.0,1371.0,27.0,1396.0,827.0,686.0,34.0,42.84,0.84,43.62,25.84,21.44
61,61,63,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19,19,1710,19.0,35,1.84,101,68,67.3,6,5,8,3,15.8,2,2,0,0,0.0,0,5,2,32.4,0.31,-0.6,-0.03,105,330,31.8,461,71,50.1,39.6,140,70.7,49.5,285,19,6.7,24,1.26,12.3,98,230,360.0,603.0,59.7,11459.0,8540.0,48.0,49.0,98.0,167.0,173.0,96.5,144.0,377.0,38.2,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.16,0.0,513.0,669.0,4.0,673.0,336.0,260.0,27.0,35.21,0.21,35.42,17.68,13.68
