,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
3,3,3,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,37,3330,37.0,43.0,1.16,147.0,105.0,72.1,19,9.0,9.0,14.0,37.8,4.0,2.0,1.0,1.0,33.3,0.0,0.0,2.0,51.1,0.33,10.1,0.27,116.0,283.0,41.0,1256.0,210.0,18.4,26.9,193.0,26.9,31.3,397.0,23.0,5.8,89.0,2.41,19.8,51,231,1241.0,1453.0,85.4,29043.0,18696.0,307.0,309.0,99.4,657.0,666.0,98.6,273.0,469.0,58.2,1,0.3,0.0,0.7,1.0,16.0,0.0,0.0,3.0,2.0,3.0,0.08,0.05,1124.0,1498.0,39.0,1536.0,985.0,901.0,30.38,40.49,1.05,41.51,26.62,24.35
5,5,5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,29,29,2565,28.5,33.0,1.16,120.0,90.0,73.3,8,9.0,12.0,9.0,31.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,35.0,0.29,5.0,0.18,68.0,213.0,31.9,864.0,151.0,17.1,26.3,182.0,35.7,31.5,332.0,15.0,4.5,52.0,1.82,16.9,64,147,871.0,1046.0,83.3,19299.0,11448.0,287.0,289.0,99.3,390.0,395.0,98.7,190.0,357.0,53.2,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,892.0,1103.0,16.0,1119.0,654.0,604.0,31.3,38.7,0.56,39.26,22.95,21.19
6,6,6,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10,10,900,10.0,21.0,2.1,51.0,30.0,60.8,2,2.0,6.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.8,0.31,-4.2,-0.42,58.0,162.0,35.8,260.0,46.0,38.8,35.8,92.0,66.3,51.2,166.0,5.0,3.0,17.0,1.7,16.1,60,100,233.0,353.0,66.0,7218.0,5138.0,33.0,33.0,100.0,107.0,112.0,95.5,91.0,203.0,44.8,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,327.0,384.0,0.0,384.0,198.0,153.0,32.7,38.4,0.0,38.4,19.8,15.3
7,7,7,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25,25,2250,25.0,39.0,1.56,121.0,82.0,71.9,2,6.0,17.0,4.0,16.0,7.0,5.0,2.0,0.0,28.6,0.0,4.0,2.0,32.3,0.21,-4.7,-0.19,159.0,441.0,36.1,714.0,104.0,45.8,39.1,200.0,57.0,44.2,356.0,24.0,6.7,23.0,0.92,13.9,114,327,617.0,919.0,67.1,19319.0,14234.0,91.0,91.0,100.0,246.0,248.0,99.2,279.0,572.0,48.8,0,0.0,0.1,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.2,0.0,811.0,968.0,17.0,982.0,548.0,414.0,32.44,38.72,0.68,39.28,21.92,16.56
8,8,8,Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36,36,3240,36.0,63.0,1.75,200.0,136.0,72.0,5,10.0,21.0,4.0,11.1,10.0,7.0,3.0,0.0,30.0,0.0,4.0,2.0,69.5,0.31,8.5,0.24,191.0,422.0,45.3,772.0,166.0,33.8,34.2,296.0,54.4,41.7,574.0,21.0,3.7,20.0,0.56,12.7,161,260,791.0,1072.0,73.8,24081.0,17998.0,102.0,103.0,99.0,381.0,393.0,96.9,306.0,570.0,53.7,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.08,0.0,1110.0,1188.0,2.0,1189.0,599.0,401.0,30.83,33.0,0.06,33.03,16.64,11.14
10,10,10,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32,1990,34,34,3060,34.0,57.0,1.68,161.0,105.0,65.8,10,6.0,18.0,5.0,14.7,3.0,2.0,0.0,1.0,0.0,1.0,11.0,1.0,50.4,0.31,-5.6,-0.16,206.0,525.0,39.2,1164.0,168.0,35.3,33.6,249.0,45.8,39.3,529.0,43.0,8.1,43.0,1.26,13.4,114,410,1068.0,1417.0,75.4,29033.0,20956.0,239.0,239.0,100.0,489.0,493.0,99.2,331.0,670.0,49.4,0,0.0,0.1,0.0,1.0,28.0,1.0,0.0,1.0,1.0,4.0,0.12,0.03,1219.0,1489.0,15.0,1503.0,903.0,757.0,35.85,43.79,0.44,44.21,26.56,22.26
11,11,11,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,20,2002,32,32,2880,32.0,56.0,1.75,120.0,67.0,54.2,6,6.0,20.0,4.0,12.5,2.0,1.0,1.0,0.0,50.0,1.0,7.0,4.0,35.4,0.28,-16.6,-0.52,212.0,629.0,33.7,935.0,144.0,50.2,38.1,237.0,67.5,50.0,456.0,36.0,7.9,48.0,1.5,15.1,159,469,718.0,1178.0,61.0,21528.0,16289.0,183.0,185.0,98.9,256.0,263.0,97.3,278.0,722.0,38.5,0,0.1,0.1,-0.1,1.0,42.0,1.0,0.0,1.0,0.0,7.0,0.22,0.0,910.0,1234.0,19.0,1253.0,746.0,599.0,28.44,38.56,0.59,39.16,23.31,18.72
14,14,14,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25,1997,27,27,2430,27.0,62.0,2.3,143.0,84.0,62.2,1,5.0,21.0,3.0,11.1,9.0,8.0,0.0,1.0,0.0,1.0,6.0,3.0,51.4,0.31,-7.6,-0.28,94.0,291.0,32.3,479.0,124.0,39.5,34.6,185.0,55.1,42.6,357.0,21.0,5.9,18.0,0.67,11.4,101,189,438.0,667.0,65.7,12371.0,9125.0,77.0,79.0,97.5,218.0,224.0,97.3,141.0,359.0,39.3,0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,619.0,739.0,3.0,742.0,446.0,247.0,22.93,27.37,0.11,27.48,16.52,9.15
15,15,15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,31,1991,37,37,3330,37.0,54.0,1.46,176.0,122.0,73.3,11,10.0,16.0,8.0,21.6,9.0,7.0,2.0,0.0,22.2,1.0,11.0,2.0,54.9,0.26,2.9,0.08,198.0,477.0,41.5,806.0,163.0,38.2,35.5,289.0,58.5,43.9,520.0,30.0,5.8,25.0,0.68,11.6,169,307,799.0,1096.0,72.9,24651.0,17824.0,87.0,87.0,100.0,405.0,411.0,98.5,305.0,595.0,51.3,0,0.0,0.1,0.0,0.0,14.0,1.0,0.0,0.0,0.0,5.0,0.14,0.0,1060.0,1199.0,1.0,1200.0,749.0,472.0,28.65,32.41,0.03,32.43,20.24,12.76
17,17,17,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31,1991,26,26,2340,26.0,29.0,1.12,75.0,45.0,69.3,16,4.0,6.0,7.0,26.9,7.0,6.0,1.0,0.0,14.3,0.0,2.0,0.0,26.9,0.27,-2.1,-0.08,59.0,189.0,31.2,985.0,126.0,14.9,25.3,156.0,26.9,30.0,288.0,20.0,6.9,39.0,1.5,17.0,41,146,988.0,1142.0,86.5,21548.0,10888.0,248.0,249.0,99.6,588.0,593.0,99.2,147.0,292.0,50.3,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,846.0,1160.0,31.0,1191.0,786.0,752.0,32.54,44.62,1.19,45.81,30.23,28.92
